Data,Predicted,Reference
Train,[-0.004996055373517518],[-0.03225818565279794]
Train,[0.009923770424546374],[-7.769851570889031e-07]
Train,[0.009923770424557677],[-7.769851570670464e-07]
Train,[-0.007053653413399052],[-0.016908658625533646]
Train,[0.00030483420643136807],[2.147515531627273e-06]
Train,[-0.010682675871598381],[-0.03181998237701682]
Train,[-0.009623301314174122],[-0.020466061799623576]
Train,[0.0036966681302031176],[-2.2178075255649983e-06]
Train,[-0.017649817049905526],[0.034386940850617984]
Train,[0.0004930812753317952],[1.3818615606561856e-06]
Train,[0.0003718836618102063],[1.4598582711141459e-06]
Train,[-0.0084969255281993],[-0.004030206474187189]
Train,[-0.003062453889222738],[-9.471188573092583e-17]
Train,[-0.003922659970006155],[5.46414725370726e-18]
Train,[-0.007222388601377034],[1.82138241790242e-18]
Train,[-0.000298194125798965],[1.092829450741452e-17]
Train,[0.008739111879522374],[2.1475155316309158e-06]
Train,[0.015694278767525785],[-0.02046606179962359]
Train,[0.01341993364156795],[-0.03181998237701695]
Train,[0.007988476816000178],[-2.2178075256323896e-06]
Train,[0.009275094547574317],[-0.04557838729447085]
Train,[0.00314751259690021],[1.820191515441475e-06]
Train,[0.003147512596897875],[1.8201915155289015e-06]
Train,[0.014021246528546309],[-0.07587621233758134]
Train,[-0.0017761349798557874],[-4.1009506176001475e-06]
Train,[0.003753872487994695],[0.03502305871878561]
Train,[0.0035623194040355424],[0.04596011552868171]
Train,[0.002762245466309457],[2.452425396471171e-06]
Train,[-0.01165384889189606],[-3.64276483580484e-18]
Train,[-0.0030507280612855304],[-1.092829450741452e-16]
Train,[-0.002272238317472183],[-1.3113953408897423e-16]
Train,[-0.00907781660986776],[9.1069120895121e-18]
Train,[-0.01770048427497331],[0.034386940850618]
Train,[0.00034249138652563685],[1.45985827106679e-06]
Train,[0.0004647233068326418],[1.381861560628865e-06]
Train,[-0.008561065836606943],[-0.004030206474187182]
Train,[-0.00011100296031791352],[-4.100950617578291e-06]
Train,[-0.019590820669021743],[0.04596011552868179]
Train,[-0.01522711592040828],[0.035023058718785624]
Train,[-0.0005435566776042924],[2.4524253964638855e-06]
Train,[-0.01198913888374964],[-0.04635304026034097]
Train,[6.483454913897482e-05],[8.766607765741092e-07]
Train,[6.483454913475286e-05],[8.766607766032513e-07]
Train,[-0.010684554120378277],[-0.040709636276467155]
Train,[-0.0147383306070781],[5.282009011917018e-17]
Train,[-0.013291218120232215],[-5.46414725370726e-18]
Train,[-0.013359731741429378],[1.82138241790242e-18]
Train,[-0.01007641589767179],[9.471188573092583e-17]
Train,[0.006731608062489141],[-9.471188573092583e-17]
Train,[0.014525851052446347],[1.82138241790242e-18]
Train,[0.012253274684072045],[5.46414725370726e-18]
Train,[0.014425663741862974],[1.092829450741452e-17]
Train,[-0.002425805800116315],[-3.64276483580484e-18]
Train,[-0.0028810590711290133],[-1.3113953408897423e-16]
Train,[-0.002767125553372986],[-1.092829450741452e-16]
Train,[0.0013816340556510069],[9.1069120895121e-18]
Train,[-0.003781721084752131],[5.282009011917018e-17]
Train,[-0.0020456481159878102],[1.82138241790242e-18]
Train,[-0.002434823734506851],[-5.46414725370726e-18]
Train,[-0.003036786957803419],[9.471188573092583e-17]
Train,[-0.031394482150303646],[-0.026621245462551197]
Train,[-0.00493026496592604],[-5.688607871304142e-07]
Train,[-0.004930264965921211],[-5.688607871322355e-07]
Train,[-0.028875670202191242],[-0.010823945532928939]
Train,[-0.005021750103069566],[-0.03225642570605386]
Train,[0.0061506768354461705],[7.900587201402797e-05]
Train,[0.006150676835446535],[7.900587201395693e-05]
Train,[-0.0069620855921586535],[-0.01692222211298195]
Train,[-0.00468666944853391],[0.00021839714942577227]
Train,[-0.014585025137916268],[0.03183374883540315]
Train,[-0.011441198681479735],[0.020468388897137785]
Train,[-0.0014062630495558222],[-0.00022558532345777192]
Train,[-0.017662472600067022],[0.034430140265059306]
Train,[-0.004285405792832287],[-0.00014064887786440584]
Train,[-0.0044478883058494765],[-0.00014859676587885906]
Train,[-0.008502841724581945],[-0.004036594411177927]
Train,[-0.0025753523627492195],[-1.4753197585009603e-16]
Train,[-0.002312769842174647],[2.185658901482904e-17]
Train,[-0.003186688002846593],[1.457105934321936e-17]
Train,[5.7775948286980415e-05],[1.639244176112178e-17]
Train,[0.011458459192895695],[0.0002183971494257249]
Train,[0.010077461223767242],[0.020468388897137844]
Train,[0.0061112694478937185],[0.03183374883540315]
Train,[0.011727351562891945],[-0.00022558532345770454]
Train,[0.009354082137667639],[-0.04565742741386274]
Train,[0.004341377188348336],[-0.00018499056409219296]
Train,[0.004341377188348175],[-0.00018499056409211466]
Train,[0.01411121669215709],[-0.07587345187227598]
Train,[-0.000729646258565007],[-0.000417703483878227]
Train,[0.008012835764855083],[-0.03506887734551717]
Train,[0.0090002104270887],[-0.04598491259983777]
Train,[0.0039152686046731435],[0.00024937868650868835]
Train,[-0.010625858090878836],[-1.274967692531694e-17]
Train,[-0.0022779626993962576],[1.5117474068590086e-16]
Train,[-0.0013626112559406542],[1.9853068355136378e-16]
Train,[-0.004649187559957615],[-4.371317802965808e-17]
Train,[-0.017713481026299785],[0.034430140265059465]
Train,[-0.0045168525268665235],[-0.0001485967658787516]
Train,[-0.004353133263160279],[-0.00014064887786438763]
Train,[-0.008568232694584265],[-0.00403659441117794]
Train,[-0.002596582353115342],[-0.00041770348387830354]
Train,[-0.011418027846376848],[-0.04598491259983788]
Train,[-0.00901531638821441],[-0.03506887734551722]
Train,[-0.004203055676758407],[0.00024937868650867014]
Train,[-0.012029814333690998],[-0.04642098563854254]
Train,[-0.0014749540405275302],[-8.929989840338444e-05]
Train,[-0.001474954040527929],[-8.92998984034318e-05]
Train,[-0.01067802141262916],[-0.04070587366488182]
Train,[-0.014529512742879084],[8.742635605931616e-17]
Train,[-0.012690233104678688],[-3.096350110434114e-17]
Train,[-0.012905626604803976],[-2.367797143273146e-17]
Train,[-0.00982495059206493],[1.274967692531694e-16]
Train,[0.006423871153789682],[-1.4753197585009603e-16]
