Time,Iteration,Cost,Parameters
Sat Aug 24 18:09:40 2024,0,0.7473941533389186,[-2.88948018  2.2511379  -2.1379829  -0.13023429  0.54018382 -2.78381224
  3.05488172  2.17589819  1.17181672 -1.05277982]
Sat Aug 24 18:11:25 2024,1,0.7507090833092225,[-2.87488899  2.23654671 -2.15257409 -0.14482548  0.52559262 -2.76922105
  3.06947291  2.161307    1.15722553 -1.06737101]
Sat Aug 24 18:13:10 2024,2,0.7262957998749072,[-2.85965867  2.25177703 -2.16780442 -0.12959516  0.5103623  -2.75399072
  3.08470324  2.17653732  1.1419952  -1.05214069]
Sat Aug 24 18:14:56 2024,3,0.721910841596215,[-2.84484296  2.23696133 -2.18262012 -0.14441086  0.525178   -2.76880643
  3.06988753  2.19135303  1.1271795  -1.03732498]
Sat Aug 24 18:16:41 2024,4,0.721618171875621,[-2.82574742  2.21786579 -2.20171566 -0.12531532  0.54427355 -2.78790197
  3.08898307  2.17225749  1.10808396 -1.01822944]
Sat Aug 24 18:18:27 2024,5,0.7195905892728222,[-2.8063054   2.23730781 -2.22115768 -0.14475734  0.52483152 -2.80734399
  3.06954105  2.19169951  1.12752598 -0.99878742]
Sat Aug 24 18:20:12 2024,6,0.7059920510249446,[-2.78858015  2.21958255 -2.23888294 -0.12703209  0.50710627 -2.78961873
  3.0518158   2.17397425  1.14525123 -0.98106217]
Sat Aug 24 18:21:57 2024,7,0.6962373746585341,[-2.77009626  2.23806644 -2.25736682 -0.1085482   0.52559015 -2.77113485
  3.07029968  2.19245814  1.12676735 -0.99954605]
Sat Aug 24 18:23:42 2024,8,0.6975045516462441,[-2.75040127  2.21837144 -2.27706181 -0.12824319  0.50589516 -2.79082984
  3.05060469  2.17276314  1.14646234 -0.97985106]
Sat Aug 24 18:25:27 2024,9,0.6840826798945565,[-2.72831375  2.24045897 -2.29914934 -0.10615567  0.48380764 -2.76874232
  3.07269221  2.15067562  1.16854987 -0.95776353]
Sat Aug 24 18:27:13 2024,10,0.6745108093207152,[-2.70920039  2.25957232 -2.28003598 -0.12526902  0.50292099 -2.78785567
  3.09180557  2.13156227  1.18766322 -0.97687689]
Sat Aug 24 18:28:58 2024,11,0.6587537543589951,[-2.68793237  2.28084034 -2.25876796 -0.104001    0.48165297 -2.80912369
  3.07053755  2.11029425  1.1663952  -0.95560887]
Sat Aug 24 18:30:43 2024,12,0.651974837358457,[-2.6670302   2.30174251 -2.2378658  -0.12490317  0.50255514 -2.78822152
  3.04963538  2.13119641  1.14549303 -0.97651104]
Sat Aug 24 18:32:28 2024,13,0.6455233089401912,[-2.64676079  2.2814731  -2.2581352  -0.14517258  0.48228573 -2.80849093
  3.02936597  2.15146582  1.12522362 -0.99678044]
Sat Aug 24 18:34:14 2024,14,0.6273395889140044,[-2.62090464  2.25561695 -2.28399136 -0.17102873  0.45642958 -2.78263477
  3.00350981  2.12560967  1.09936747 -1.0226366 ]
Sat Aug 24 18:35:59 2024,15,0.627666074357572,[-2.59784674  2.23255905 -2.30704926 -0.19408664  0.43337167 -2.75957687
  3.02656772  2.10255176  1.12242537 -1.0456945 ]
Sat Aug 24 18:37:44 2024,16,0.612526894604002,[-2.57493226  2.20964457 -2.32996374 -0.21700112  0.41045719 -2.78249135
  3.0494822   2.12546624  1.09951089 -1.02278002]
Sat Aug 24 18:39:29 2024,17,0.5971083782294152,[-2.55157351  2.23300331 -2.35332249 -0.19364237  0.43381594 -2.7591326
  3.07284094  2.1021075   1.12286964 -0.99942128]
Sat Aug 24 18:41:14 2024,18,0.5860217424990065,[-2.52657332  2.20800312 -2.3283223  -0.21864256  0.40881575 -2.73413241
