Data,Predicted,Reference
Train,[-0.006228320749802346],[-0.03225818565279794]
Train,[-0.005894002796436751],[-7.769851570889031e-07]
Train,[-0.005894002796436684],[-7.769851570670464e-07]
Train,[-0.004556913472883768],[-0.016908658625533646]
Train,[-0.010589889426885539],[2.147515531627273e-06]
Train,[-0.010061761061598134],[-0.03181998237701682]
Train,[-0.010859059879981538],[-0.020466061799623576]
Train,[-0.009574070805946138],[-2.2178075255649983e-06]
Train,[-0.006753982789681799],[0.034386940850617984]
Train,[-0.010609769228397011],[1.3818615606561856e-06]
Train,[-0.010609760120561449],[1.4598582711141459e-06]
Train,[-0.010762672230673669],[-0.004030206474187189]
Train,[-0.010459843420921168],[-9.471188573092583e-17]
Train,[-0.010630003178833615],[5.46414725370726e-18]
Train,[-0.010630003329962012],[1.82138241790242e-18]
Train,[-0.010454225394054951],[1.092829450741452e-17]
Train,[0.0009017281280508923],[2.1475155316309158e-06]
Train,[-0.002824929745522466],[-0.02046606179962359]
Train,[0.0025229750482004235],[-0.03181998237701695]
Train,[0.005904326268924454],[-2.2178075256323896e-06]
Train,[0.002512868464135507],[-0.04557838729447085]
Train,[0.005842746918071868],[1.820191515441475e-06]
Train,[0.005842746918065592],[1.8201915155289015e-06]
Train,[0.0025712377164252838],[-0.07587621233758134]
Train,[0.015240112762376983],[-4.1009506176001475e-06]
Train,[0.010638878389290063],[0.03502305871878561]
Train,[0.0030850991403734555],[0.04596011552868171]
Train,[0.00638194836071346],[2.452425396471171e-06]
Train,[0.013236564800325305],[-3.64276483580484e-18]
Train,[0.011948845685667734],[-1.092829450741452e-16]
Train,[0.01215945497418991],[-1.3113953408897423e-16]
Train,[0.006504611739058975],[9.1069120895121e-18]
Train,[-0.007544254428425473],[0.034386940850618]
Train,[-0.011622733393701694],[1.45985827106679e-06]
Train,[-0.011622743863971633],[1.381861560628865e-06]
Train,[-0.01178060142687049],[-0.004030206474187182]
Train,[-0.007961827637792556],[-4.100950617578291e-06]
Train,[-0.004654423156049462],[0.04596011552868179]
Train,[-0.006968494721976929],[0.035023058718785624]
Train,[-0.010425310708809216],[2.4524253964638855e-06]
Train,[-0.006392739378940786],[-0.04635304026034097]
Train,[-0.0077407735230949635],[8.766607765741092e-07]
Train,[-0.007740773523095148],[8.766607766032513e-07]
Train,[-0.009400546935395682],[-0.040709636276467155]
Train,[-0.0055443864573128275],[5.282009011917018e-17]
Train,[-0.007254652451093446],[-5.46414725370726e-18]
Train,[-0.007258203046030297],[1.82138241790242e-18]
Train,[-0.0087309947712728],[9.471188573092583e-17]
Train,[-0.0450850633814759],[-9.471188573092583e-17]
Train,[-0.044331087248386795],[1.82138241790242e-18]
Train,[-0.04433110402773588],[5.46414725370726e-18]
Train,[-0.04504550027584318],[1.092829450741452e-17]
Train,[-0.052398542766771444],[-3.64276483580484e-18]
Train,[-0.05408256970043309],[-1.3113953408897423e-16]
Train,[-0.05384137246648953],[-1.092829450741452e-16]
Train,[-0.0493113767303442],[9.1069120895121e-18]
Train,[-0.04535411428432193],[5.282009011917018e-17]
Train,[-0.051572322076014504],[1.82138241790242e-18]
Train,[-0.052024043914529194],[-5.46414725370726e-18]
Train,[-0.054186634457652434],[9.471188573092583e-17]
Train,[-0.02600212098717409],[-0.026621245462551197]
Train,[-0.05587457494773456],[-5.688607871304142e-07]
Train,[-0.05587457494773777],[-5.688607871322355e-07]
Train,[-0.04306845395656318],[-0.010823945532928939]
