Data,Predicted,Reference
Train,[-0.02203605143837959],[-0.03225818565279794]
Train,[-0.03329179767660409],[-7.769851570889031e-07]
Train,[-0.03329179767660602],[-7.769851570670464e-07]
Train,[-0.026043095673569924],[-0.016908658625533646]
Train,[-0.00786857217745248],[2.147515531627273e-06]
Train,[-0.010198463321757044],[-0.03181998237701682]
Train,[-0.008245766858877741],[-0.020466061799623576]
Train,[-0.016340515175485404],[-2.2178075255649983e-06]
Train,[-0.014026837975805104],[0.034386940850617984]
Train,[-0.007421347109378244],[1.3818615606561856e-06]
Train,[-0.007417084053954918],[1.4598582711141459e-06]
Train,[-0.00844229059066629],[-0.004030206474187189]
Train,[-0.0038549020342659567],[-9.471188573092583e-17]
Train,[-0.006372402928368967],[5.46414725370726e-18]
Train,[-0.006369325278840593],[1.82138241790242e-18]
Train,[-0.009460077237384696],[1.092829450741452e-17]
Train,[-0.0366436460012807],[2.1475155316309158e-06]
Train,[-0.041994899882596234],[-0.02046606179962359]
Train,[-0.034373559056462166],[-0.03181998237701695]
Train,[-0.028939111009688736],[-2.2178075256323896e-06]
Train,[-0.0265808709908257],[-0.04557838729447085]
Train,[-0.02872968848781868],[1.820191515441475e-06]
Train,[-0.028729688487819923],[1.8201915155289015e-06]
Train,[-0.008188049752983342],[-0.07587621233758134]
Train,[-0.007839159913861811],[-4.1009506176001475e-06]
Train,[-0.01050558898021545],[0.03502305871878561]
Train,[-0.010404600609328277],[0.04596011552868171]
Train,[-0.027767906890162775],[2.452425396471171e-06]
Train,[-0.00658785672614073],[-3.64276483580484e-18]
Train,[-0.015965917713066165],[-1.092829450741452e-16]
Train,[-0.01582926577053699],[-1.3113953408897423e-16]
Train,[-0.025793962100405427],[9.1069120895121e-18]
Train,[-0.014550932937181849],[0.034386940850618]
Train,[-0.00739103954491919],[1.45985827106679e-06]
Train,[-0.007395358113293074],[1.381861560628865e-06]
Train,[-0.008356373109085763],[-0.004030206474187182]
Train,[-0.0018041939238565288],[-4.100950617578291e-06]
Train,[-0.006922887349330278],[0.04596011552868179]
Train,[-0.006212240226578459],[0.035023058718785624]
Train,[-0.0010866307802621493],[2.4524253964638855e-06]
Train,[-0.0038657132024359905],[-0.04635304026034097]
Train,[-0.0023562994746186353],[8.766607765741092e-07]
