Data,Predicted,Reference
Train,[-0.00865919803066704],[-0.03225818565279794]
Train,[-0.012416919076323168],[-7.769851570889031e-07]
Train,[-0.012416919076325392],[-7.769851570670464e-07]
Train,[-0.012175126841375282],[-0.016908658625533646]
Train,[-0.009927332815104526],[2.147515531627273e-06]
Train,[-0.008980974203374155],[-0.03181998237701682]
Train,[-0.010044728051242194],[-0.020466061799623576]
Train,[-0.010884693117649022],[-2.2178075255649983e-06]
Train,[-0.006036843782222464],[0.034386940850617984]
Train,[-0.009870853710672452],[1.3818615606561856e-06]
Train,[-0.009869142683068556],[1.4598582711141459e-06]
Train,[-0.010024467453095764],[-0.004030206474187189]
Train,[-0.009412932619187618],[-9.471188573092583e-17]
Train,[-0.00972338068139604],[5.46414725370726e-18]
Train,[-0.009721223968428993],[1.82138241790242e-18]
Train,[-0.010041742670155248],[1.092829450741452e-17]
Train,[-0.019668561869529266],[2.1475155316309158e-06]
Train,[-0.018004487247276407],[-0.02046606179962359]
Train,[-0.02455468683061915],[-0.03181998237701695]
Train,[-0.02935757339552468],[-2.2178075256323896e-06]
Train,[-0.013234233142132876],[-0.04557838729447085]
Train,[-0.018754364017326726],[1.820191515441475e-06]
Train,[-0.01875436401732113],[1.8201915155289015e-06]
Train,[-0.02580060596750179],[-0.07587621233758134]
Train,[-0.027742536370314194],[-4.1009506176001475e-06]
Train,[-0.026260006113583666],[0.03502305871878561]
Train,[-0.02178617049417366],[0.04596011552868171]
Train,[-0.01909650605426589],[2.452425396471171e-06]
Train,[-0.025204670216855973],[-3.64276483580484e-18]
Train,[-0.023662155361188635],[-1.092829450741452e-16]
Train,[-0.023923570509776972],[-1.3113953408897423e-16]
Train,[-0.018688811729471524],[9.1069120895121e-18]
Train,[-0.0054747932384736995],[0.034386940850618]
Train,[-0.009551191621346973],[1.45985827106679e-06]
Train,[-0.009553003336099406],[1.381861560628865e-06]
Train,[-0.00971446865264941],[-0.004030206474187182]
Train,[-0.008073738824513949],[-4.100950617578291e-06]
Train,[-0.008765688487415857],[0.04596011552868179]
Train,[-0.008554190362465436],[0.035023058718785624]
Train,[-0.008531775924658378],[2.4524253964638855e-06]
Train,[-0.01245231693604961],[-0.04635304026034097]
Train,[-0.007678877702819782],[8.766607765741092e-07]
Train,[-0.00767887770282822],[8.766607766032513e-07]
Train,[-0.011919356396427418],[-0.040709636276467155]
Train,[-0.007892936304150602],[5.282009011917018e-17]
Train,[-0.009146120172987918],[-5.46414725370726e-18]
Train,[-0.009293687031119116],[1.82138241790242e-18]
Train,[-0.008427567871541572],[9.471188573092583e-17]
Train,[-0.024302576648925638],[-9.471188573092583e-17]
Train,[-0.022441678818043098],[1.82138241790242e-18]
Train,[-0.02243963685147457],[5.46414725370726e-18]
Train,[-0.018570498050619583],[1.092829450741452e-17]
Train,[-0.013956407964131926],[-3.64276483580484e-18]
Train,[-0.016859102652953154],[-1.3113953408897423e-16]
Train,[-0.017047453745278558],[-1.092829450741452e-16]
Train,[-0.02218020746736405],[9.1069120895121e-18]
Train,[-0.007061545602728941],[5.282009011917018e-17]
Train,[-0.013833311558278997],[1.82138241790242e-18]
Train,[-0.013383369074519261],[-5.46414725370726e-18]
Train,[-0.016309987386631124],[9.471188573092583e-17]
Train,[-0.020477048808751893],[-0.026621245462551197]
Train,[-0.005765867818499814],[-5.688607871304142e-07]
Train,[-0.005765867818495707],[-5.688607871322355e-07]
Train,[-0.025818791060127484],[-0.010823945532928939]
Train,[-0.008667379617651553],[-0.03225642570605386]
Train,[-0.011732118176843458],[7.900587201402797e-05]
Train,[-0.011732118176843536],[7.900587201395693e-05]
Train,[-0.01216428701296337],[-0.01692222211298195]
Train,[-0.009797181847196674],[0.00021839714942577227]
Train,[-0.005062426106356755],[0.03183374883540315]
Train,[-0.007502555561618062],[0.020468388897137785]
Train,[-0.010350999144455857],[-0.00022558532345777192]
Train,[-0.006063672066927333],[0.034430140265059306]
Train,[-0.009811949760258962],[-0.00014064887786440584]
Train,[-0.009810488749166693],[-0.00014859676587885906]
Train,[-0.010037092066180158],[-0.004036594411177927]
Train,[-0.009395748161959597],[-1.4753197585009603e-16]
Train,[-0.009734923937676639],[2.185658901482904e-17]
Train,[-0.009734811486716496],[1.457105934321936e-17]
Train,[-0.010072017571962829],[1.639244176112178e-17]
Train,[-0.01945605251140614],[0.0002183971494257249]
Train,[-0.035241139367313275],[0.020468388897137844]
Train,[-0.04180866959343153],[0.03183374883540315]
Train,[-0.02799894280496038],[-0.00022558532345770454]
Train,[-0.013050932014331634],[-0.04565742741386274]
Train,[-0.017175780600809754],[-0.00018499056409219296]
Train,[-0.01717578060080986],[-0.00018499056409211466]
Train,[-0.025604658048688073],[-0.07587345187227598]
Train,[-0.022522912794085925],[-0.000417703483878227]
Train,[-0.009866994013971203],[-0.03506887734551717]
Train,[-0.013182486242748906],[-0.04598491259983777]
Train,[-0.017531748015042453],[0.00024937868650868835]
Train,[-0.025569863318042348],[-1.274967692531694e-17]
Train,[-0.0237146489248444],[1.5117474068590086e-16]
Train,[-0.024025655383624195],[1.9853068355136378e-16]
Train,[-0.019175558220121857],[-4.371317802965808e-17]
Train,[-0.005490199731258253],[0.034430140265059465]
Train,[-0.009481672993961122],[-0.0001485967658787516]
Train,[-0.009483207964011956],[-0.00014064887786438763]
Train,[-0.009720626995945739],[-0.00403659441117794]
Train,[-0.009507984472481898],[-0.00041770348387830354]
Train,[-0.011544934987207631],[-0.04598491259983788]
Train,[-0.01214200095775539],[-0.03506887734551722]
Train,[-0.009276837291755618],[0.00024937868650867014]
Train,[-0.012450681725831048],[-0.04642098563854254]
Train,[-0.008887455959481727],[-8.929989840338444e-05]
Train,[-0.008887455959481939],[-8.92998984034318e-05]
Train,[-0.011926313083660624],[-0.04070587366488182]
Train,[-0.007663100118636768],[8.742635605931616e-17]
Train,[-0.00849004235683329],[-3.096350110434114e-17]
Train,[-0.008665979598339134],[-2.367797143273146e-17]
Train,[-0.00834742789230073],[1.274967692531694e-16]
Train,[-0.02413532202577144],[-1.4753197585009603e-16]
Train,[-0.022266080882780474],[1.457105934321936e-17]
Train,[-0.022265914764524553],[2.185658901482904e-17]
Train,[-0.018364518107524534],[1.639244176112178e-17]
Train,[-0.013307791642892917],[-1.274967692531694e-17]
Train,[-0.016390988396393944],[1.9853068355136378e-16]
Train,[-0.0166191974162648],[1.5117474068590086e-16]
Train,[-0.021563477264852526],[-4.371317802965808e-17]
Train,[-0.006078016066185266],[8.742635605931616e-17]
Train,[-0.011676374785101246],[-2.367797143273146e-17]
Train,[-0.011120111318276595],[-3.096350110434114e-17]
Train,[-0.01589203759343529],[1.274967692531694e-16]
Train,[-0.020318260636284707],[-0.026634468268519597]
Train,[-0.009977797585857897],[5.783038463533851e-05]
Train,[-0.009977797585857926],[5.7830384635351266e-05]
Train,[-0.025681554196841087],[-0.010832636499721451]
Train,[-0.008657497909946044],[-0.032258451158275296]
Train,[-0.01202658325951549],[-1.3271416039564208e-05]
Train,[-0.012026583259514929],[-1.3271416039666206e-05]
Train,[-0.012177516358198866],[-0.016905929475836967]
Train,[-0.009857456531139754],[3.667982742938658e-05]
Train,[-0.008977737130189487],[-0.03181689782676138]
Train,[-0.010041944927600582],[-0.020465344205368968]
Train,[-0.010586419136000775],[-3.7879038950043834e-05]
Train,[-0.006031259234590117],[0.03437783697126322]
Train,[-0.009823058396054907],[2.359828106542327e-05]
Train,[-0.009820101318060796],[2.4929931815233868e-05]
Train,[-0.010021824690818828],[-0.004028753092825896]
Train,[-0.00941588612591541],[-8.19622088056089e-17]
Train,[-0.009722300411792608],[1.82138241790242e-17]
Train,[-0.009721978544135854],[1.274967692531694e-17]
Train,[-0.01001952063455891],[7.28552967160968e-18]
Train,[-0.01969405477932696],[3.667982742931737e-05]
Train,[-0.01806224842304084],[-0.02046534420536899]
Train,[-0.0246074009438429],[-0.031816897826761434]
Train,[-0.02874702176254124],[-3.787903895011487e-05]
Train,[-0.013271891420701995],[-0.045562209296626306]
Train,[-0.018190799698167122],[3.1093243300779163e-05]
Train,[-0.018190799698167517],[3.1093243300713596e-05]
Train,[-0.025841169349003625],[-0.07587647421210354]
Train,[-0.02502383141036774],[-7.002230991633843e-05]
Train,[-0.026297310002166813],[0.03501319319465092]
Train,[-0.02182841638540609],[0.04595459277084304]
Train,[-0.018428190130653194],[4.188850986001449e-05]
Train,[-0.027439628517746728],[1.639244176112178e-17]
Train,[-0.02361480934788736],[-9.471188573092583e-17]
Train,[-0.02391061441069899],[-1.1656847474575488e-16]
Train,[-0.019613697424686827],[3.824903077595082e-17]
Train,[-0.005471546935728951],[0.034377836971263155]
Train,[-0.009500760280667889],[2.4929931815233868e-05]
Train,[-0.009503895025443753],[2.3598281065485193e-05]
Train,[-0.00971314831685665],[-0.004028753092825932]
Train,[-0.008850766692267698],[-7.002230991629472e-05]
Train,[-0.008762709570472657],[0.04595459277084304]
Train,[-0.008551990882605739],[0.035013193194650974]
Train,[-0.008934839855300874],[4.188850985993799e-05]
Train,[-0.012452616342397308],[-0.04633911749680126]
Train,[-0.008335570034327815],[1.496840694527187e-05]
Train,[-0.008335570034327954],[1.496840694528462e-05]
Train,[-0.011917887570951753],[-0.040710207897740124]
Train,[-0.007888291124074132],[5.282009011917018e-17]
Train,[-0.00836544212101461],[-2.914211868643872e-17]
Train,[-0.00845622868415551],[-2.549935385063388e-17]
Train,[-0.008481509627055323],[7.649806155190164e-17]
Train,[-0.024339402500997354],[-8.19622088056089e-17]
Train,[-0.022475600607497228],[1.274967692531694e-17]
Train,[-0.02247507121927975],[1.82138241790242e-17]
Train,[-0.018652935715036886],[7.28552967160968e-18]
Train,[-0.012203235697328002],[1.639244176112178e-17]
Train,[-0.01695017970033405],[-1.1656847474575488e-16]
Train,[-0.01716250246696735],[-9.471188573092583e-17]
Train,[-0.02175268813871885],[3.824903077595082e-17]
Train,[-0.007081997685775605],[5.282009011917018e-17]
Train,[-0.011291827526617934],[-2.549935385063388e-17]
Train,[-0.011005411097544552],[-2.914211868643872e-17]
Train,[-0.01648383930115328],[7.649806155190164e-17]
