Data,Predicted,Reference
Train,[-0.006133593426452169],[-0.03225818565279794]
Train,[-0.00579941431095843],[-7.769851570889031e-07]
Train,[-0.005799414310958339],[-7.769851570670464e-07]
Train,[-0.004462871803753105],[-0.016908658625533646]
Train,[-0.010493118161043546],[2.147515531627273e-06]
Train,[-0.009965237852704712],[-0.03181998237701682]
Train,[-0.010762163103187715],[-0.020466061799623576]
Train,[-0.009477778159734978],[-2.2178075255649983e-06]
Train,[-0.006658982541694063],[0.034386940850617984]
Train,[-0.010512988576760543],[1.3818615606561856e-06]
Train,[-0.010512979473060874],[1.4598582711141459e-06]
Train,[-0.010665820643041727],[-0.004030206474187189]
Train,[-0.010363133530399265],[-9.471188573092583e-17]
Train,[-0.010533212973202434],[5.46414725370726e-18]
Train,[-0.010533213124256655],[1.82138241790242e-18]
Train,[-0.010357518142884948],[1.092829450741452e-17]
Train,[0.0008382868965254811],[2.1475155316309158e-06]
Train,[-0.0028882940894282634],[-0.02046606179962359]
Train,[0.002461699933562358],[-0.03181998237701695]
Train,[0.005843729194031183],[-2.2178075256323896e-06]
Train,[0.002460057162252124],[-0.04557838729447085]
Train,[0.005782085642988826],[1.820191515441475e-06]
Train,[0.005782085642982557],[1.8201915155289015e-06]
Train,[0.002561411322647754],[-0.07587621233758134]
Train,[0.015190770346252783],[-4.1009506176001475e-06]
Train,[0.010596611563065786],[0.03502305871878561]
Train,[0.003071037841817848],[0.04596011552868171]
Train,[0.006321680332451429],[2.452425396471171e-06]
Train,[0.013192211949288197],[-3.64276483580484e-18]
Train,[0.01189457914759341],[-1.092829450741452e-16]
Train,[0.012105085058465253],[-1.3113953408897423e-16]
Train,[0.006446024241590135],[9.1069120895121e-18]
Train,[-0.007449612749172131],[0.034386940850618]
Train,[-0.011526232849712627],[1.45985827106679e-06]
Train,[-0.01152624331526992],[1.381861560628865e-06]
Train,[-0.01168402864190151],[-0.004030206474187182]
Train,[-0.007867021905374258],[-4.100950617578291e-06]
Train,[-0.004561099855614732],[0.04596011552868179]
Train,[-0.006874153396550136],[0.035023058718785624]
Train,[-0.01032936924334328],[2.4524253964638855e-06]
Train,[-0.0062986232077798295],[-0.04635304026034097]
Train,[-0.007646068542558449],[8.766607765741092e-07]
Train,[-0.007646068542558646],[8.766607766032513e-07]
Train,[-0.009305077596522068],[-0.040709636276467155]
Train,[-0.005450644693486611],[5.282009011917018e-17]
Train,[-0.0071601655237372485],[-5.46414725370726e-18]
Train,[-0.007163714375863223],[1.82138241790242e-18]
Train,[-0.008635837096160285],[9.471188573092583e-17]
Train,[-0.04514677602749091],[-9.471188573092583e-17]
Train,[-0.04439414151948728],[1.82138241790242e-18]
Train,[-0.04439415829060019],[5.46414725370726e-18]
Train,[-0.04510719652562009],[1.092829450741452e-17]
Train,[-0.05242867992421665],[-3.64276483580484e-18]
Train,[-0.054123930561819945],[-1.3113953408897423e-16]
Train,[-0.053882851719631496],[-1.092829450741452e-16]
Train,[-0.049363070513387064],[9.1069120895121e-18]
Train,[-0.045363154902631646],[5.282009011917018e-17]
Train,[-0.05160071680526116],[1.82138241790242e-18]
Train,[-0.052052216915937526],[-5.46414725370726e-18]
Train,[-0.054226553747222614],[9.471188573092583e-17]
Train,[-0.026005624406318376],[-0.026621245462551197]
Train,[-0.05589507364939691],[-5.688607871304142e-07]
Train,[-0.05589507364940015],[-5.688607871322355e-07]
Train,[-0.043112893193243254],[-0.010823945532928939]
Train,[-0.0061214340563823305],[-0.03225642570605386]
Train,[-0.005809283220121733],[7.900587201402797e-05]
Train,[-0.005809283220121745],[7.900587201395693e-05]
Train,[-0.00444792938252748],[-0.01692222211298195]
Train,[-0.010442070145858314],[0.00021839714942577227]
Train,[-0.0049074211356623],[0.03183374883540315]
Train,[-0.008435472612232778],[0.020468388897137785]
Train,[-0.009475072054603623],[-0.00022558532345777192]
Train,[-0.006624135216360854],[0.034430140265059306]
Train,[-0.01048545965662846],[-0.00014064887786440584]
Train,[-0.01048690800024697],[-0.00014859676587885906]
Train,[-0.01062930115621426],[-0.004036594411177927]
Train,[-0.010321163473283965],[-1.4753197585009603e-16]
Train,[-0.010494567291358656],[2.185658901482904e-17]
Train,[-0.010494567293262666],[1.457105934321936e-17]
Train,[-0.010320355711940345],[1.639244176112178e-17]
Train,[0.0003046745308606021],[0.0002183971494257249]
Train,[0.009892990228473097],[0.020468388897137844]
Train,[0.00725663444337957],[0.03183374883540315]
Train,[0.004002268375151147],[-0.00022558532345770454]
Train,[0.0019889111155982028],[-0.04565742741386274]
Train,[0.0040304149317786945],[-0.00018499056409219296]
Train,[0.004030414931778793],[-0.00018499056409211466]
Train,[0.00224430577489802],[-0.07587345187227598]
Train,[0.011125271217656276],[-0.000417703483878227]
Train,[-0.00022906223154762944],[-0.03506887734551717]
Train,[0.0022061309655977833],[-0.04598491259983777]
Train,[0.00456223912455753],[0.00024937868650868835]
Train,[0.01326363875030361],[-1.274967692531694e-17]
Train,[0.011739528925226237],[1.5117474068590086e-16]
Train,[0.011993932057223823],[1.9853068355136378e-16]
Train,[0.0066371667209030516],[-4.371317802965808e-17]
Train,[-0.007430556463189384],[0.034430140265059465]
Train,[-0.011521632174066595],[-0.0001485967658787516]
Train,[-0.01152011270289358],[-0.00014064887786438763]
Train,[-0.011668646771954857],[-0.00403659441117794]
Train,[-0.007895921669965309],[-0.00041770348387830354]
Train,[-0.009168985742521738],[-0.04598491259983788]
Train,[-0.009889003892576546],[-0.03506887734551722]
Train,[-0.01030605367104253],[0.00024937868650867014]
Train,[-0.006266577810204957],[-0.04642098563854254]
Train,[-0.007652648616384812],[-8.929989840338444e-05]
Train,[-0.007652648616384812],[-8.92998984034318e-05]
Train,[-0.0092847050136951],[-0.04070587366488182]
Train,[-0.005417747150314261],[8.742635605931616e-17]
Train,[-0.007119873785126092],[-3.096350110434114e-17]
Train,[-0.0071239839544479065],[-2.367797143273146e-17]
Train,[-0.008613642532106306],[1.274967692531694e-16]
Train,[-0.045433938334681595],[-1.4753197585009603e-16]
Train,[-0.04464654427057083],[1.457105934321936e-17]
Train,[-0.04464654448070874],[2.185658901482904e-17]
Train,[-0.04536725609622163],[1.639244176112178e-17]
Train,[-0.05300244016059281],[-1.274967692531694e-17]
Train,[-0.05461692059737225],[1.9853068355136378e-16]
Train,[-0.05432802478901666],[1.5117474068590086e-16]
Train,[-0.05033971069486233],[-4.371317802965808e-17]
Train,[-0.045744610094899024],[8.742635605931616e-17]
Train,[-0.053629582605698285],[-2.367797143273146e-17]
Train,[-0.0541500771627366],[-3.096350110434114e-17]
Train,[-0.05464868951303473],[1.274967692531694e-16]
Train,[-0.02581636632510945],[-0.026634468268519597]
Train,[-0.052383849612547134],[5.783038463533851e-05]
Train,[-0.052383849612547134],[5.7830384635351266e-05]
Train,[-0.04330039531285472],[-0.010832636499721451]
Train,[-0.006136164252377377],[-0.032258451158275296]
Train,[-0.005823373699592526],[-1.3271416039564208e-05]
Train,[-0.0058233736995925494],[-1.3271416039666206e-05]
Train,[-0.004465959658309847],[-0.016905929475836967]
Train,[-0.010498804781729324],[3.667982742938658e-05]
Train,[-0.009972442424576428],[-0.03181689782676138]
Train,[-0.010769671845895404],[-0.020465344205368968]
Train,[-0.009494705081586601],[-3.7879038950043834e-05]
Train,[-0.006666289680249039],[0.03437783697126322]
Train,[-0.010519425510781706],[2.359828106542327e-05]
Train,[-0.010519188535631989],[2.4929931815233868e-05]
Train,[-0.010673444134286806],[-0.004028753092825896]
Train,[-0.010371893123154726],[-8.19622088056089e-17]
Train,[-0.010541290643997047],[1.82138241790242e-17]
Train,[-0.01054129067087944],[1.274967692531694e-17]
Train,[-0.010365415013191309],[7.28552967160968e-18]
Train,[0.0009499995051902224],[3.667982742931737e-05]
Train,[-0.002759855786732749],[-0.02046534420536899]
Train,[0.002575053763564748],[-0.031816897826761434]
Train,[0.005271490318482627],[-3.787903895011487e-05]
Train,[0.0025568220529680174],[-0.045562209296626306]
Train,[0.005248744890690512],[3.1093243300779163e-05]
Train,[0.005248744890690909],[3.1093243300713596e-05]
Train,[0.0026266687061582655],[-0.07587647421210354]
Train,[0.013253072510664208],[-7.002230991633843e-05]
Train,[0.010665825926761838],[0.03501319319465092]
Train,[0.003131819632232684],[0.04595459277084304]
Train,[0.005704873691718706],[4.188850986001449e-05]
Train,[0.014824072253154161],[1.639244176112178e-17]
Train,[0.01189784650908249],[-9.471188573092583e-17]
Train,[0.012135279431531743],[-1.1656847474575488e-16]
Train,[0.007321285710353879],[3.824903077595082e-17]
Train,[-0.007453691225197821],[0.034377836971263155]
Train,[-0.011528057002780707],[2.4929931815233868e-05]
Train,[-0.011528306836145415],[2.3598281065485193e-05]
Train,[-0.011687328253598826],[-0.004028753092825932]
Train,[-0.00789518745224111],[-7.002230991629472e-05]
Train,[-0.004564215076002667],[0.04595459277084304]
Train,[-0.006878959652369274],[0.035013193194650974]
Train,[-0.010337600251773936],[4.188850985993799e-05]
Train,[-0.006305347970920007],[-0.04633911749680126]
Train,[-0.007666125678708773],[1.496840694527187e-05]
Train,[-0.007666125678708773],[1.496840694528462e-05]
Train,[-0.009309437578906486],[-0.040710207897740124]
Train,[-0.0054566743519139805],[5.282009011917018e-17]
Train,[-0.00714710042108793],[-2.914211868643872e-17]
Train,[-0.007149199361919576],[-2.549935385063388e-17]
Train,[-0.008641395644626047],[7.649806155190164e-17]
Train,[-0.04508582639259097],[-8.19622088056089e-17]
Train,[-0.044339763301144336],[1.274967692531694e-17]
Train,[-0.044339766289575575],[1.82138241790242e-17]
Train,[-0.04503648818783042],[7.28552967160968e-18]
Train,[-0.0541974749569824],[1.639244176112178e-17]
Train,[-0.054028817701534324],[-1.1656847474575488e-16]
Train,[-0.053756419427229384],[-9.471188573092583e-17]
Train,[-0.050208102953370325],[3.824903077595082e-17]
Train,[-0.0453934485473272],[5.282009011917018e-17]
Train,[-0.05408792793423355],[-2.549935385063388e-17]
Train,[-0.0543552287762728],[-2.914211868643872e-17]
Train,[-0.05403192915306075],[7.649806155190164e-17]
Train,[-0.026041444204014344],[-0.026618455211376083]
Train,[-0.05389926753096141],[-9.716962955821612e-06]
Train,[-0.05389926753096042],[-9.716962955823433e-06]
Train,[-0.0430723807994976],[-0.010822185141719742]
Train,[-0.006043749551189779],[-0.03225291592097013]
Train,[-0.005722036523589994],[6.734542800778838e-05]
Train,[-0.00572203652358997],[6.734542800765178e-05]
Train,[-0.004374050653109453],[-0.01698701209913348]
Train,[-0.010240889092076872],[0.0001863537379243354]
Train,[-0.004781461977719852],[0.031900059154929106]
Train,[-0.008271814161121343],[0.020491276960865223]
Train,[-0.009293256241863853],[-0.00019272011327513546]
Train,[-0.00643754401974197],[0.034636065097496914]
Train,[-0.01027728132107262],[-0.00012048514277568004]
Train,[-0.010278519666412562],[-0.00012734142166573567]
Train,[-0.010430769467459185],[-0.004063263554342336]
Train,[-0.010094682205399523],[-2.0217344838716861e-16]
Train,[-0.01028305566182005],[-9.1069120895121e-18]
Train,[-0.010283057017203787],[-5.46414725370726e-18]
Train,[-0.01011954325568819],[2.367797143273146e-17]
Train,[-0.0030817877277262806],[0.00018635373792438823]
Train,[0.007316985014030186],[0.02049127696086523]
Train,[0.005491072664720912],[0.031900059154928974]
Train,[0.0010035110477989335],[-0.00019272011327503894]
Train,[-0.000721291280268723],[-0.046026900956620265]
Train,[0.0012245588518124898],[-0.00015737296144795846]
Train,[0.0012245588518125371],[-0.00015737296144791293]
Train,[0.0003420244266981971],[-0.07594437972340634]
Train,[0.009299125135714806],[-0.0003593257613444789]
Train,[-0.003147553196184332],[-0.03532985502844954]
Train,[-0.0005064870077613028],[-0.046184500384455554]
Train,[0.001770167754950588],[0.0002131451434576835]
Train,[0.009639881453103153],[7.28552967160968e-18]
Train,[0.009631917819387473],[2.0763759564087587e-16]
Train,[0.009877626010138378],[2.659218330137533e-16]
Train,[0.00336605758619083],[1.82138241790242e-17]
Train,[-0.007215046713439189],[0.03463606509749698]
Train,[-0.01127994336276633],[-0.000127341421665661]
Train,[-0.011278644525891633],[-0.00012048514277566183]
Train,[-0.011437466118477676],[-0.004063263554342365]
Train,[-0.007622459359559155],[-0.00035932576134449533]
Train,[-0.008912519737708952],[-0.04618450038445562]
Train,[-0.009623371761794062],[-0.0353298550284496]
Train,[-0.010056271601803758],[0.0002131451434576489]
Train,[-0.0060030609996918165],[-0.046806704565322856]
Train,[-0.00739323238280453],[-7.680393062679538e-05]
Train,[-0.007393232382804515],[-7.680393062679721e-05]
Train,[-0.009039754131631269],[-0.04074139126274762]
Train,[-0.005175244582005943],[1.1292570990995005e-16]
Train,[-0.0068842728413821075],[1.457105934321936e-17]
Train,[-0.006891100312365437],[1.092829450741452e-17]
Train,[-0.00837057608343828],[1.7849547695443715e-16]
Train,[-0.04685465134082534],[-2.0217344838716861e-16]
Train,[-0.04601864635843821],[-5.46414725370726e-18]
Train,[-0.04601879114678312],[-9.1069120895121e-18]
Train,[-0.04669093370926205],[2.367797143273146e-17]
Train,[-0.05174650085924155],[7.28552967160968e-18]
Train,[-0.055685479452575806],[2.659218330137533e-16]
Train,[-0.05541894112412545],[2.0763759564087587e-16]
Train,[-0.050897452738732585],[1.82138241790242e-17]
Train,[-0.04517950640841262],[1.1292570990995005e-16]
Train,[-0.05271525917601799],[1.092829450741452e-17]
Train,[-0.0535390140409859],[1.457105934321936e-17]
Train,[-0.055730223735851625],[1.7849547695443715e-16]
Train,[-0.02461967365096862],[-0.026691351933937537]
Train,[-0.053008492294194715],[4.926089640430649e-05]
Train,[-0.05300849229419564],[4.9260896404284635e-05]
Train,[-0.04430621157964882],[-0.01087560101983036]
Train,[-0.006079235244790254],[-0.032257439000084195]
Train,[-0.005767760506025356],[6.434735235748744e-05]
Train,[-0.005767760506025335],[6.434735235751294e-05]
Train,[-0.004419390201744035],[-0.016947195719522582]
Train,[-0.01034999291159239],[0.00017798743397651917]
Train,[-0.004851436762636073],[0.03185469380534497]
Train,[-0.008359623158550693],[0.020482007954393176]
Train,[-0.009391862101279987],[-0.00018397587138982923]
Train,[-0.006540374472256917],[0.03450262844213766]
Train,[-0.010387464298017375],[-0.00011478966231369395]
Train,[-0.01038864710641194],[-0.00012130035054604856]
Train,[-0.010537864404001026],[-0.004042276703811714]
Train,[-0.01021726132818819],[2.1674450773038799e-16]
Train,[-0.010396304506940334],[-3.64276483580484e-18]
Train,[-0.010396304548774006],[-3.64276483580484e-18]
Train,[-0.01022801166906672],[-2.549935385063388e-17]
Train,[-0.0010881081751873637],[0.00017798743397641717]
Train,[0.008848583418191724],[0.020482007954393176]
Train,[0.006556380795727946],[0.031854693805345065]
Train,[0.002823215762991155],[-0.00018397587138976]
Train,[0.0008748131877264674],[-0.045788727678603355]
Train,[0.0029569238204955766],[-0.00015059937639435856]
Train,[0.0029569238204955697],[-0.00015059937639436038]
Train,[0.0014314731592718856],[-0.07595761327956829]
Train,[0.010535441917003816],[-0.00034161342684195934]
Train,[-0.0014179291330307167],[-0.035190439322304326]
Train,[0.001110488044628091],[-0.046112163840391025]
Train,[0.0034849783189337354],[0.00020368585599564348]
Train,[0.012710834152620339],[5.46414725370726e-18]
Train,[0.010978484082809017],[-2.1492312531248556e-16]
Train,[0.011237803107512717],[-2.8413565719277754e-16]
Train,[0.005074277626094102],[9.1069120895121e-18]
Train,[-0.007258963310458146],[0.03450262844213766]
Train,[-0.01131231348410316],[-0.00012130035054604127]
Train,[-0.0113110781268302],[-0.00011478966231360835]
Train,[-0.011466141219518855],[-0.004042276703811639]
Train,[-0.007692218325239695],[-0.00034161342684195934]
Train,[-0.008963968876876538],[-0.04611216384039102]
Train,[-0.009678809500291173],[-0.03519043932230428]
Train,[-0.010098140996563525],[0.0002036858559956781]
Train,[-0.00608639901318942],[-0.04660756576194903]
Train,[-0.0074574801479000115],[-7.299039871720849e-05]
Train,[-0.007457480147900053],[-7.299039871725766e-05]
Train,[-0.009084586095998827],[-0.04075621358173597]
Train,[-0.005248733837933841],[-1.2567538683526697e-16]
Train,[-0.006946639959048422],[5.46414725370726e-18]
Train,[-0.006943796799375075],[9.1069120895121e-18]
Train,[-0.008415037113989249],[-1.82138241790242e-16]
Train,[-0.04624506726843344],[2.1674450773038799e-16]
Train,[-0.045436197036141046],[-3.64276483580484e-18]
Train,[-0.045436201578389394],[-3.64276483580484e-18]
Train,[-0.04613872336062435],[-2.549935385063388e-17]
Train,[-0.05362597316268311],[5.46414725370726e-18]
Train,[-0.05532002944267523],[-2.8413565719277754e-16]
Train,[-0.055031642193724827],[-2.1492312531248556e-16]
Train,[-0.050485052375401115],[9.1069120895121e-18]
Train,[-0.04577341936816918],[-1.2567538683526697e-16]
Train,[-0.053318170242203596],[9.1069120895121e-18]
Train,[-0.05297167124889015],[5.46414725370726e-18]
Train,[-0.05535880302246525],[-1.82138241790242e-16]
Train,[-0.025600447824060853],[-0.026649711472575964]
Train,[-0.05288473596544723],[4.7101786673576285e-05]
Train,[-0.0528847359654475],[4.7101786673565355e-05]
Train,[-0.04388219207446911],[-0.010850265879310724]
Train,[-0.006176387655939886],[-0.03226008434719173]
Train,[-0.0058635664288892615],[9.96537042049296e-06]
Train,[-0.00586356642888924],[9.965370420352715e-06]
Train,[-0.0045032000292345425],[-0.01687261862185265]
Train,[-0.010609294304994904],[-2.7527324798067157e-05]
Train,[-0.010069887718852132],[-0.03178336996229776]
Train,[-0.010871965854481134],[-0.0204535410952693]
Train,[-0.009581353243788168],[2.8409620887019856e-05]
Train,[-0.006763875340050631],[0.03427282024114467]
Train,[-0.01063029009079508],[-1.7673851867693314e-05]
Train,[-0.010630480764536633],[-1.8667592070412004e-05]
Train,[-0.010777172422535014],[-0.004014822211446167]
Train,[-0.01048974295460892],[-2.786715099390703e-16]
Train,[-0.010651906982840052],[3.64276483580484e-17]
Train,[-0.010651907334662111],[2.185658901482904e-17]
Train,[-0.01046974999082164],[3.096350110434114e-17]
Train,[0.0024295041178223763],[-2.7527324798147297e-05]
Train,[-0.0011597589770752476],[-0.02045354109526921]
Train,[0.003987188780906225],[-0.03178336996229771]
Train,[0.006726043294059238],[2.840962088695975e-05]
Train,[0.003766381608158163],[-0.045373762919551586]
Train,[0.00655611535380236],[-2.3370960339368413e-05]
Train,[0.006556115353802076],[-2.337096033939027e-05]
Train,[0.0034648418264640753],[-0.0758378889665457]
Train,[0.014331441325520644],[5.233139829603008e-05]
Train,[0.01152379161291635],[0.03487873259228366]
Train,[0.003919538207002304],[0.045850938498696356]
Train,[0.007009384985906277],[-3.1407020303301317e-05]
Train,[0.01511368902310678],[1.82138241790242e-17]
Train,[0.013390898810401055],[-2.8595703961067994e-16]
Train,[0.013620604673168916],[-3.733833956699961e-16]
Train,[0.008582652276690713],[7.103391429819438e-17]
Train,[-0.007569406600133817],[0.03427282024114483]
Train,[-0.011660687766255905],[-1.866759207035554e-05]
Train,[-0.011660489166767095],[-1.767385186763503e-05]
Train,[-0.011811945641880232],[-0.004014822211446258]
Train,[-0.008029458652416874],[5.233139829602461e-05]
Train,[-0.004659798500269343],[0.04585093849869641]
Train,[-0.007004986242018564],[0.034878732592283614]
Train,[-0.010477495100066238],[-3.140702030335413e-05]
Train,[-0.006446204255431],[-0.046141727681121285]
Train,[-0.00780447435438539],[-1.1188647228934842e-05]
Train,[-0.007804474354385407],[-1.1188647228947592e-05]
Train,[-0.009441444617906197],[-0.04069030074280135]
Train,[-0.005581033591657003],[1.657458000291202e-16]
Train,[-0.007277846845516805],[-5.099870770126776e-17]
Train,[-0.007282233700546168],[-3.64276483580484e-17]
Train,[-0.00876635684315347],[2.404224791631194e-16]
Train,[-0.04417316583583527],[-2.786715099390703e-16]
Train,[-0.04339887048409127],[2.185658901482904e-17]
Train,[-0.04339891032271163],[3.64276483580484e-17]
Train,[-0.04420406483202094],[3.096350110434114e-17]
Train,[-0.05311745651716962],[1.82138241790242e-17]
Train,[-0.05395075800557813],[-3.733833956699961e-16]
Train,[-0.05368081042051383],[-2.8595703961067994e-16]
Train,[-0.049484242095796556],[7.103391429819438e-17]
Train,[-0.046286806990548074],[1.657458000291202e-16]
Train,[-0.05349462792841487],[-3.64276483580484e-17]
Train,[-0.05406917596459605],[-5.099870770126776e-17]
Train,[-0.054078021707574295],[2.404224791631194e-16]
Train,[-0.02626512195955545],[-0.026589644432313802]
Train,[-0.053754865616702174],[7.298857535779471e-06]
Train,[-0.05375486561670137],[7.298857535801328e-06]
Train,[-0.04236664350935439],[-0.01079993434753671]
Train,[-0.006071615629734193],[-0.03225267527530423]
Train,[-0.005782591099633917],[-0.00013597401369861169]
Train,[-0.005782591099633931],[-0.00013597401369856797]
Train,[-0.004397663406321113],[-0.016967150970550973]
Train,[-0.010296645628404575],[0.0003761174613524426]
Train,[-0.009806728173022099],[-0.03187786912483632]
Train,[-0.010596002960459395],[-0.020480858048852323]
Train,[-0.009370503835867362],[-0.0003887951568687144]
Train,[-0.006499707292368554],[0.03457066771027381]
Train,[-0.010321436015995085],[0.0002428764549533592]
Train,[-0.0103189010840096],[0.0002566643540699009]
Train,[-0.010497180392214912],[-0.004054819430135859]
Train,[-0.010170694464450692],[6.739114946238954e-17]
Train,[-0.010354055899552014],[-5.46414725370726e-18]
Train,[-0.010354056040497616],[-7.28552967160968e-18]
Train,[-0.010187204280492851],[-7.28552967160968e-18]
Train,[-0.0018237175813583073],[0.00037611746135235154]
Train,[-0.005853779465972632],[-0.020480858048852277]
Train,[-0.0001703378165473161],[-0.031877869124836415]
Train,[0.0017315964254444511],[-0.0003887951568688146]
Train,[0.00022195289997780078],[-0.045913403778570616]
