Data,Predicted,Reference
Train,[-0.011884901744868757],[-0.03225818565279794]
Train,[-0.006415935819082107],[-7.769851570889031e-07]
Train,[-0.006415935819074916],[-7.769851570670464e-07]
Train,[-0.01574680346148642],[-0.016908658625533646]
Train,[-0.0007422691115295927],[2.147515531627273e-06]
Train,[-0.010747040931396062],[-0.03181998237701682]
Train,[-0.010501090821653358],[-0.020466061799623576]
Train,[-0.0025624293597707446],[-2.2178075255649983e-06]
Train,[-0.017332548434897444],[0.034386940850617984]
Train,[-0.00035361211692334026],[1.3818615606561856e-06]
Train,[-0.00047045049561895194],[1.4598582711141459e-06]
Train,[-0.009464171523180251],[-0.004030206474187189]
Train,[-0.0012888552479443506],[-9.471188573092583e-17]
Train,[-0.003618058136818191],[5.46414725370726e-18]
Train,[-0.007142999925164838],[1.82138241790242e-18]
Train,[-0.0024011054797469433],[1.092829450741452e-17]
Train,[-0.00019659290042931186],[2.1475155316309158e-06]
Train,[-0.02905097991120877],[-0.02046606179962359]
Train,[-0.031477029691112754],[-0.03181998237701695]
Train,[0.0010426102364862848],[-2.2178075256323896e-06]
Train,[-0.008381971901643257],[-0.04557838729447085]
Train,[0.0030627185117908123],[1.820191515441475e-06]
Train,[0.003062718511745114],[1.8201915155289015e-06]
Train,[-0.0018344770708506337],[-0.07587621233758134]
Train,[0.014860911692135827],[-4.1009506176001475e-06]
Train,[-0.015270360157697581],[0.03502305871878561]
Train,[-0.01606360994588215],[0.04596011552868171]
Train,[0.0034266196303306368],[2.452425396471171e-06]
Train,[0.008370461126428908],[-3.64276483580484e-18]
Train,[0.009543466630164626],[-1.092829450741452e-16]
Train,[0.009959438800961482],[-1.3113953408897423e-16]
Train,[0.0044658111990600715],[9.1069120895121e-18]
Train,[-0.01725126628354646],[0.034386940850618]
Train,[-0.0005918685302450213],[1.45985827106679e-06]
Train,[-0.0004741447895959679],[1.381861560628865e-06]
Train,[-0.0095851297642222],[-0.004030206474187182]
Train,[-0.005746649723156707],[-4.100950617578291e-06]
Train,[-0.03124194300411627],[0.04596011552868179]
Train,[-0.025426636827835573],[0.035023058718785624]
Train,[-0.002098637064951824],[2.4524253964638855e-06]
Train,[-0.021247144686929533],[-0.04635304026034097]
Train,[-0.0050129485342792135],[8.766607765741092e-07]
Train,[-0.005012948534301897],[8.766607766032513e-07]
Train,[-0.017483250600910622],[-0.040709636276467155]
Train,[-0.012071383089534997],[5.282009011917018e-17]
Train,[-0.012924705116965966],[-5.46414725370726e-18]
Train,[-0.013029973025656514],[1.82138241790242e-18]
Train,[-0.009349179422701926],[9.471188573092583e-17]
Train,[0.014505314906124866],[-9.471188573092583e-17]
Train,[0.016522675662586857],[1.82138241790242e-18]
Train,[0.015798341209138034],[5.46414725370726e-18]
Train,[0.011939288560791681],[1.092829450741452e-17]
Train,[0.010720460312810086],[-3.64276483580484e-18]
