Data,Predicted,Reference
Train,[-0.011876645192323024],[-0.03225818565279794]
Train,[-0.006385263626548996],[-7.769851570889031e-07]
Train,[-0.00638526362654178],[-7.769851570670464e-07]
Train,[-0.01573872651975532],[-0.016908658625533646]
Train,[-0.0007110222123100964],[2.147515531627273e-06]
Train,[-0.010738188576987927],[-0.03181998237701682]
Train,[-0.010489587736476843],[-0.020466061799623576]
Train,[-0.0025305801841955422],[-2.2178075255649983e-06]
Train,[-0.017335464717616097],[0.034386940850617984]
Train,[-0.00032177028887549566],[1.3818615606561856e-06]
Train,[-0.0004388289727060637],[1.4598582711141459e-06]
Train,[-0.009450330900664198],[-0.004030206474187189]
Train,[-0.0012611189113752022],[-9.471188573092583e-17]
Train,[-0.003595760087107198],[5.46414725370726e-18]
Train,[-0.0071272397791717285],[1.82138241790242e-18]
Train,[-0.0023760789125202362],[1.092829450741452e-17]
Train,[-0.00016506413875454353],[2.1475155316309158e-06]
Train,[-0.029034324409703893],[-0.02046606179962359]
Train,[-0.031464069504309376],[-0.03181998237701695]
Train,[0.0010713918852232474],[-2.2178075256323896e-06]
Train,[-0.008373437401607927],[-0.04557838729447085]
Train,[0.00309237113051756],[1.820191515441475e-06]
Train,[0.003092371130471814],[1.8201915155289015e-06]
Train,[-0.0018301730667855236],[-0.07587621233758134]
Train,[0.014881970121891817],[-4.1009506176001475e-06]
Train,[-0.015255527888454516],[0.03502305871878561]
Train,[-0.016045851972850775],[0.04596011552868171]
Train,[0.003455735921933158],[2.452425396471171e-06]
Train,[0.008378295955776209],[-3.64276483580484e-18]
Train,[0.009560438190338225],[-1.092829450741452e-16]
Train,[0.009977039990470655],[-1.3113953408897423e-16]
Train,[0.004482597868415334],[9.1069120895121e-18]
Train,[-0.01725419580962883],[0.034386940850618]
Train,[-0.0005602062920865362],[1.45985827106679e-06]
Train,[-0.0004422625284105551],[1.381861560628865e-06]
Train,[-0.009571251493661666],[-0.004030206474187182]
Train,[-0.0057154117222357895],[-4.100950617578291e-06]
Train,[-0.031242567161508642],[0.04596011552868179]
Train,[-0.025423037505180022],[0.035023058718785624]
Train,[-0.0020670082657563023],[2.4524253964638855e-06]
Train,[-0.021239176231937454],[-0.04635304026034097]
Train,[-0.004980536184024678],[8.766607765741092e-07]
Train,[-0.0049805361840473805],[8.766607766032513e-07]
Train,[-0.017472488246982262],[-0.040709636276467155]
Train,[-0.012061001764477603],[5.282009011917018e-17]
Train,[-0.012915990710233999],[-5.46414725370726e-18]
Train,[-0.013021856588683864],[1.82138241790242e-18]
Train,[-0.009331098260070886],[9.471188573092583e-17]
Train,[0.014529717256029601],[-9.471188573092583e-17]
Train,[0.01653203646919323],[1.82138241790242e-18]
Train,[0.015815489223158275],[5.46414725370726e-18]
Train,[0.011960771488867605],[1.092829450741452e-17]
Train,[0.010732370651155732],[-3.64276483580484e-18]
Train,[0.01122790294939629],[-1.3113953408897423e-16]
Train,[0.011550707324961296],[-1.092829450741452e-16]
Train,[0.01500182911685771],[9.1069120895121e-18]
Train,[0.0014704580071729248],[5.282009011917018e-17]
Train,[0.01026485510899434],[1.82138241790242e-18]
Train,[0.010161309314877602],[-5.46414725370726e-18]
Train,[0.011384601726053687],[9.471188573092583e-17]
Train,[-0.017899978447255833],[-0.026621245462551197]
Train,[-0.010024703727308822],[-5.688607871304142e-07]
Train,[-0.010024703727300984],[-5.688607871322355e-07]
Train,[-0.03171547073621639],[-0.010823945532928939]
Train,[-0.011853792517694204],[-0.03225642570605386]
Train,[-0.008846532871748572],[7.900587201402797e-05]
Train,[-0.008846532871748334],[7.900587201395693e-05]
Train,[-0.015699090943643045],[-0.01692222211298195]
Train,[-0.005271843783342223],[0.00021839714942577227]
Train,[-0.012529781523730783],[0.03183374883540315]
Train,[-0.010712330998455099],[0.020468388897137785]
Train,[-0.006070182726280525],[-0.00022558532345777192]
Train,[-0.017374520546647673],[0.034430140265059306]
Train,[-0.004791850056222196],[-0.00014064887786440584]
Train,[-0.004940131396875753],[-0.00014859676587885906]
Train,[-0.009446409364689606],[-0.004036594411177927]
Train,[-0.0007720186937519786],[-1.4753197585009603e-16]
Train,[-0.0018997785195792162],[2.185658901482904e-17]
Train,[-0.002810186857739133],[1.457105934321936e-17]
Train,[-0.0019925991132255577],[1.639244176112178e-17]
Train,[-0.011668292315775059],[0.0002183971494257249]
Train,[-0.023914602490093122],[0.020468388897137844]
Train,[-0.010192005547407202],[0.03183374883540315]
Train,[-0.011203670039463801],[-0.00022558532345770454]
Train,[-0.008485086402837901],[-0.04565742741386274]
Train,[-0.004853688414672362],[-0.00018499056409219296]
Train,[-0.004853688414671902],[-0.00018499056409211466]
Train,[-0.0017237614044954466],[-0.07587345187227598]
Train,[0.008862283204430195],[-0.000417703483878227]
Train,[-0.004910703467606844],[-0.03506887734551717]
Train,[-0.007720989278292399],[-0.04598491259983777]
Train,[-0.004631869894371725],[0.00024937868650868835]
Train,[0.009143887860444858],[-1.274967692531694e-17]
Train,[0.010060792359056303],[1.5117474068590086e-16]
Train,[0.01057311721512293],[1.9853068355136378e-16]
Train,[0.005597354768847926],[-4.371317802965808e-17]
Train,[-0.017290943226277528],[0.034430140265059465]
Train,[-0.005074054527682154],[-0.0001485967658787516]
Train,[-0.004926142582462152],[-0.00014064887786438763]
Train,[-0.009569315503263728],[-0.00403659441117794]
Train,[-0.010515619456784017],[-0.00041770348387830354]
Train,[-0.018625300980276635],[-0.04598491259983788]
Train,[-0.014206282713945731],[-0.03506887734551722]
Train,[-0.0071631025796802085],[0.00024937868650867014]
Train,[-0.021250577810313306],[-0.04642098563854254]
Train,[-0.008758202249214864],[-8.929989840338444e-05]
Train,[-0.008758202249215563],[-8.92998984034318e-05]
Train,[-0.017474002041111082],[-0.04070587366488182]
Train,[-0.011823859218177241],[8.742635605931616e-17]
Train,[-0.012282130585772825],[-3.096350110434114e-17]
Train,[-0.012483201348928025],[-2.367797143273146e-17]
Train,[-0.009114755573946665],[1.274967692531694e-16]
Train,[0.014034966430476553],[-1.4753197585009603e-16]
Train,[0.015453378970252634],[1.457105934321936e-17]
Train,[0.014905478330534001],[2.185658901482904e-17]
Train,[0.011812378951526759],[1.639244176112178e-17]
Train,[0.010498677571298931],[-1.274967692531694e-17]
Train,[0.010751814635583818],[1.9853068355136378e-16]
Train,[0.011165213705906785],[1.5117474068590086e-16]
Train,[0.013591576910617444],[-4.371317802965808e-17]
Train,[0.0010681448638102308],[8.742635605931616e-17]
Train,[0.009570980085237681],[-2.367797143273146e-17]
Train,[0.009321614085310839],[-3.096350110434114e-17]
Train,[0.01104628918678858],[1.274967692531694e-16]
Train,[-0.017825046663224525],[-0.026634468268519597]
Train,[-0.017238083220074005],[5.783038463533851e-05]
Train,[-0.017238083220074057],[5.7830384635351266e-05]
Train,[-0.03161838394107784],[-0.010832636499721451]
Train,[-0.011881398539705145],[-0.032258451158275296]
Train,[-0.007736715279656051],[-1.3271416039564208e-05]
Train,[-0.007736715279658023],[-1.3271416039666206e-05]
Train,[-0.015747211922101965],[-0.016905929475836967]
Train,[-0.003377912285703425],[3.667982742938658e-05]
Train,[-0.010738067123873467],[-0.03181689782676138]
Train,[-0.010490476519390144],[-0.020465344205368968]
Train,[-0.0046181562215886415],[-3.7879038950043834e-05]
Train,[-0.017327355027161796],[0.03437783697126322]
Train,[-0.002957055275023215],[2.359828106542327e-05]
Train,[-0.0030952050522466885],[2.4929931815233868e-05]
Train,[-0.009451131233220687],[-0.004028753092825896]
Train,[-0.0013500942897856402],[-8.19622088056089e-17]
Train,[-0.001501679534621826],[1.82138241790242e-17]
Train,[-0.002051135013716676],[1.274967692531694e-17]
Train,[-0.002756777799801371],[7.28552967160968e-18]
Train,[-0.00651574432274396],[3.667982742931737e-05]
Train,[-0.029012765564982976],[-0.02046534420536899]
Train,[-0.03144182147449138],[-0.031816897826761434]
Train,[-0.005646981613396942],[-3.787903895011487e-05]
Train,[-0.008350526576699404],[-0.045562209296626306]
Train,[-0.0014734105414375119],[3.1093243300779163e-05]
Train,[-0.0014734105414347014],[3.1093243300713596e-05]
Train,[-0.0018523297955611207],[-0.07587647421210354]
Train,[0.011352990351206155],[-7.002230991633843e-05]
Train,[-0.015269872087881416],[0.03501319319465092]
Train,[-0.016071281408448056],[0.04595459277084304]
Train,[-0.0010863817774330784],[4.188850986001449e-05]
Train,[0.011161671776348905],[1.639244176112178e-17]
Train,[0.009402390213270804],[-9.471188573092583e-17]
Train,[0.00987009741308227],[-1.1656847474575488e-16]
Train,[0.00576733337755867],[3.824903077595082e-17]
Train,[-0.017246558277221716],[0.034377836971263155]
Train,[-0.003227759768073284],[2.4929931815233868e-05]
Train,[-0.0030893826604906915],[2.3598281065485193e-05]
Train,[-0.009571646969433101],[-0.004028753092825932]
Train,[-0.008330328582882988],[-7.002230991629472e-05]
Train,[-0.031234997778047113],[0.04595459277084304]
Train,[-0.02541711639262046],[0.035013193194650974]
Train,[-0.004883384215026012],[4.188850985993799e-05]
Train,[-0.02123684760606426],[-0.04633911749680126]
Train,[-0.006964747208433318],[1.496840694527187e-05]
Train,[-0.00696474720843377],[1.496840694528462e-05]
Train,[-0.017472118136308695],[-0.040710207897740124]
Train,[-0.012064116822953715],[5.282009011917018e-17]
Train,[-0.012121486876034976],[-2.914211868643872e-17]
Train,[-0.012237970137881636],[-2.549935385063388e-17]
Train,[-0.009466503461545536],[7.649806155190164e-17]
Train,[0.014616942015582385],[-8.19622088056089e-17]
Train,[0.014962396533663217],[1.274967692531694e-17]
Train,[0.014596361385821282],[1.82138241790242e-17]
Train,[0.012136814170721799],[7.28552967160968e-18]
Train,[0.00998336994971912],[1.639244176112178e-17]
Train,[0.011311309291394088],[-1.1656847474575488e-16]
Train,[0.011669871839940204],[-9.471188573092583e-17]
Train,[0.013333394366026171],[3.824903077595082e-17]
Train,[0.0015019147982816671],[5.282009011917018e-17]
Train,[0.009371866717715425],[-2.549935385063388e-17]
Train,[0.00922402437273792],[-2.914211868643872e-17]
Train,[0.01157400898486363],[7.649806155190164e-17]
Train,[-0.017915885984194458],[-0.026618455211376083]
Train,[-0.014341943188316896],[-9.716962955821612e-06]
Train,[-0.014341943188318673],[-9.716962955823433e-06]
Train,[-0.03173628791411792],[-0.010822185141719742]
Train,[-0.01174253593348921],[-0.03225291592097013]
Train,[-0.008561411997739389],[6.734542800778838e-05]
Train,[-0.008561411997738837],[6.734542800765178e-05]
Train,[-0.015469338280205868],[-0.01698701209913348]
Train,[-0.0050623103794517395],[0.0001863537379243354]
Train,[-0.01260640722616333],[0.031900059154929106]
Train,[-0.010738013177423079],[0.020491276960865223]
Train,[-0.00586424462955244],[-0.00019272011327513546]
Train,[-0.017565516046195738],[0.034636065097496914]
Train,[-0.004594556238362084],[-0.00012048514277568004]
Train,[-0.004744237327854076],[-0.00012734142166573567]
Train,[-0.009424978957119277],[-0.004063263554342336]
Train,[-0.00074653973868871],[-2.0217344838716861e-16]
Train,[-0.0038447798613829667],[-9.1069120895121e-18]
Train,[-0.005913133775701023],[-5.46414725370726e-18]
Train,[-0.0015929402277421814],[2.367797143273146e-17]
Train,[-0.011189942169438825],[0.00018635373792438823]
Train,[-0.023627436732330014],[0.02049127696086523]
Train,[-0.009740168952203112],[0.031900059154928974]
Train,[-0.010719497843057377],[-0.00019272011327503894]
Train,[-0.009113888220645596],[-0.046026900956620265]
Train,[-0.004531570697590606],[-0.00015737296144795846]
Train,[-0.0045315706975902715],[-0.00015737296144791293]
Train,[-0.0011458118567433007],[-0.07594437972340634]
Train,[0.0092302325514353],[-0.0003593257613444789]
Train,[-0.005578320366008152],[-0.03532985502844954]
Train,[-0.008353026718763694],[-0.046184500384455554]
Train,[-0.004327320923568831],[0.0002131451434576835]
Train,[0.007030298935256992],[7.28552967160968e-18]
Train,[0.010509546351347616],[2.0763759564087587e-16]
Train,[0.010971610381016848],[2.659218330137533e-16]
Train,[0.004960059968010725],[1.82138241790242e-17]
Train,[-0.017481188079715076],[0.03463606509749698]
Train,[-0.004870332938151643],[-0.000127341421665661]
Train,[-0.004720944993842641],[-0.00012048514277566183]
Train,[-0.009540406616756453],[-0.004063263554342365]
Train,[-0.010328016228712739],[-0.00035932576134449533]
Train,[-0.01870266871734604],[-0.04618450038445562]
Train,[-0.014229798936589988],[-0.0353298550284496]
Train,[-0.006932856715258855],[0.0002131451434576489]
Train,[-0.021307866715835268],[-0.046806704565322856]
Train,[-0.008592790896201352],[-7.680393062679538e-05]
Train,[-0.008592790896201541],[-7.680393062679721e-05]
Train,[-0.01748015316788099],[-0.04074139126274762]
Train,[-0.011635270761499684],[1.1292570990995005e-16]
Train,[-0.012733393105062722],[1.457105934321936e-17]
Train,[-0.012957550379780206],[1.092829450741452e-17]
Train,[-0.009026898511847486],[1.7849547695443715e-16]
Train,[0.013979886350853498],[-2.0217344838716861e-16]
Train,[0.016645746085002484],[-5.46414725370726e-18]
Train,[0.016107706242601678],[-9.1069120895121e-18]
Train,[0.011893492211421951],[2.367797143273146e-17]
Train,[0.010402089478714925],[7.28552967160968e-18]
Train,[0.010424125980126766],[2.659218330137533e-16]
Train,[0.010799422000288864],[2.0763759564087587e-16]
Train,[0.014532719045789861],[1.82138241790242e-17]
Train,[0.0002053858623449333],[1.1292570990995005e-16]
Train,[0.00960024595742137],[1.092829450741452e-17]
Train,[0.00937580634796743],[1.457105934321936e-17]
Train,[0.010630223164283565],[1.7849547695443715e-16]
Train,[-0.017441799642336636],[-0.026691351933937537]
Train,[-0.016909653979013412],[4.926089640430649e-05]
Train,[-0.016909653979011924],[4.9260896404284635e-05]
Train,[-0.031043247123135394],[-0.01087560101983036]
Train,[-0.011809413884568078],[-0.032257439000084195]
Train,[-0.008622933004290309],[6.434735235748744e-05]
Train,[-0.008622933004290389],[6.434735235751294e-05]
Train,[-0.015571791407844348],[-0.016947195719522582]
Train,[-0.005028279524911952],[0.00017798743397651917]
Train,[-0.012567880608846487],[0.03185469380534497]
Train,[-0.010725758017006712],[0.020482007954393176]
Train,[-0.005859231171261276],[-0.00018397587138982923]
Train,[-0.017445931581753542],[0.03450262844213766]
Train,[-0.004559368570420848],[-0.00011478966231369395]
Train,[-0.004707454814829113],[-0.00012130035054604856]
Train,[-0.009435591358848187],[-0.004042276703811714]
Train,[-0.0005925684318785048],[2.1674450773038799e-16]
Train,[-0.003955942407176987],[-3.64276483580484e-18]
Train,[-0.004335140830693881],[-3.64276483580484e-18]
Train,[-0.0015417665934215298],[-2.549935385063388e-17]
Train,[-0.011045292888127414],[0.00017798743397641717]
Train,[-0.023804133128283163],[0.020482007954393176]
Train,[-0.01001430991713193],[0.031854693805345065]
Train,[-0.01054585027160566],[-0.00018397587138976]
Train,[-0.008730576647930564],[-0.045788727678603355]
Train,[-0.00442241988278944],[-0.00015059937639435856]
Train,[-0.00442241988278944],[-0.00015059937639436038]
Train,[-0.0014703534755014548],[-0.07595761327956829]
Train,[0.009215017069210586],[-0.00034161342684195934]
Train,[-0.005168352316488679],[-0.035190439322304326]
Train,[-0.007974030733587061],[-0.046112163840391025]
Train,[-0.004186699104129558],[0.00020368585599564348]
Train,[0.009704710832449333],[5.46414725370726e-18]
Train,[0.010418641818428739],[-2.1492312531248556e-16]
Train,[0.010931846000999945],[-2.8413565719277754e-16]
Train,[0.004932807323696472],[9.1069120895121e-18]
Train,[-0.017369795895822153],[0.03450262844213766]
