Time,Iteration,Cost,Parameters
Sat Aug 24 23:25:35 2024,0,0.17885620678477696,[-2.90289637  2.23714756 -2.12456671 -0.1168181   0.55417415]
Sat Aug 24 23:26:48 2024,1,0.17426218765315593,[-2.90324381  2.23680013 -2.12421928 -0.11647067  0.55452158]
Sat Aug 24 23:28:01 2024,2,0.17980209592966653,[-2.90400002  2.23604392 -2.12497549 -0.11722688  0.55376537]
Sat Aug 24 23:29:13 2024,3,0.1782496412032769,[-2.90429254  2.2357514  -2.12468297 -0.11693436  0.55347285]
Sat Aug 24 23:30:26 2024,4,0.1762652480355493,[-2.90423473  2.23569359 -2.12462516 -0.11687655  0.55341504]
Sat Aug 24 23:31:39 2024,5,0.17832481998367014,[-2.90486999  2.23632884 -2.12526041 -0.1175118   0.55277978]
Sat Aug 24 23:32:52 2024,6,0.17659280404950486,[-2.90487703  2.2363218  -2.12525336 -0.11750476  0.55278683]
Sat Aug 24 23:34:04 2024,7,0.17755510944963154,[-2.90421112  2.23698771 -2.12591928 -0.11817067  0.55212092]
Sat Aug 24 23:35:17 2024,8,0.1733009628314015,[-2.90450068  2.23727727 -2.12620884 -0.11788111  0.55241048]
Sat Aug 24 23:36:29 2024,9,0.1758778503480014,[-2.90486897  2.23690898 -2.12657713 -0.11751282  0.55204219]
Sat Aug 24 23:37:41 2024,10,0.17847879213797727,[-2.9052843   2.23649364 -2.12616179 -0.11709748  0.55162685]
Sat Aug 24 23:38:54 2024,11,0.17464191287348213,[-2.90474698  2.23595632 -2.12669912 -0.11656016  0.55216417]
Sat Aug 24 23:40:06 2024,12,0.17690372129032522,[-2.90509695  2.23560635 -2.12704908 -0.11621019  0.55251414]
Sat Aug 24 23:41:19 2024,13,0.1736915645181014,[-2.90622426  2.23447904 -2.12592176 -0.11508287  0.55364146]
Sat Aug 24 23:42:32 2024,14,0.17790956915202255,[-2.9070862   2.23534097 -2.12678369 -0.11422094  0.55450339]
Sat Aug 24 23:43:44 2024,15,0.17832557097341806,[-2.90717491  2.23542968 -2.12687241 -0.11430966  0.5545921 ]
Sat Aug 24 23:44:57 2024,16,0.180733470223839,[-2.90712219  2.23537696 -2.12692513 -0.11436238  0.55453938]
Sat Aug 24 23:46:09 2024,17,0.17814410482302795,[-2.90731246  2.23556723 -2.1271154  -0.11455265  0.55434911]
Sat Aug 24 23:47:22 2024,18,0.1752827727290038,[-2.90733691  2.23559168 -2.12713985 -0.1145282   0.55437356]
Sat Aug 24 23:48:35 2024,19,0.17561875981287006,[-2.90733162  2.23558639 -2.12713455 -0.11453349  0.55436827]
Sat Aug 24 23:49:47 2024,20,0.17166239312289625,[-2.90743526  2.23548275 -2.12703091 -0.11463713  0.55426463]
Sat Aug 24 23:51:00 2024,21,0.17353802736614013,[-2.9075348   2.23558229 -2.12713046 -0.11453759  0.55416509]
Sat Aug 24 23:52:13 2024,22,0.17967151322106822,[-2.90768946  2.23542762 -2.12728512 -0.11469225  0.55401042]
Sat Aug 24 23:53:25 2024,23,0.17579297537321692,[-2.90736143  2.23575566 -2.12761316 -0.11502029  0.55368238]
Sat Aug 24 23:54:38 2024,24,0.1756487080702047,[-2.90638374  2.23673335 -2.12859085 -0.11599798  0.5527047 ]
Sat Aug 24 23:55:51 2024,25,0.17429561725035597,[-2.90704049  2.2373901  -2.1279341  -0.11534123  0.55336145]
Sat Aug 24 23:57:03 2024,26,0.1718273003476022,[-2.90748842  2.23694216 -2.12748617 -0.11578916  0.55291351]
Sat Aug 24 23:58:16 2024,27,0.17986500670947173,[-2.90866298  2.2357676  -2.12631161 -0.1146146   0.55408807]
Sat Aug 24 23:59:28 2024,28,0.17746621096218657,[-2.90883713  2.23559346 -2.12648575 -0.11478875  0.55426222]
Sun Aug 25 00:00:41 2024,29,0.17132414448811323,[-2.90846496  2.23522128 -2.12611358 -0.11441657  0.55389005]
Sun Aug 25 00:01:53 2024,30,0.18026457864648646,[-2.90925868  2.236015   -2.1269073  -0.11362285  0.55309633]
Sun Aug 25 00:03:06 2024,31,0.17420480725373413,[-2.90898073  2.23629295 -2.12662935 -0.1139008   0.55337428]
Sun Aug 25 00:04:19 2024,32,0.17478629593621195,[-2.90898305  2.23629063 -2.12663168 -0.11389848  0.55337195]
Sun Aug 25 00:05:31 2024,33,0.17884975865836386,[-2.90924327  2.23603041 -2.12637146 -0.1141587   0.55311173]
Sun Aug 25 00:06:45 2024,34,0.17499063355850675,[-2.91008195  2.23686909 -2.12721013 -0.11499738  0.55395041]
Sun Aug 25 00:07:58 2024,35,0.17252681099448783,[-2.91099729  2.23595375 -2.1262948  -0.11408204  0.55486574]
Sun Aug 25 00:09:10 2024,36,0.1811529103227916,[-2.91003412  2.23499058 -2.12725797 -0.11311887  0.55582891]
Sun Aug 25 00:10:23 2024,37,0.17940847472335503,[-2.91002143  2.23500328 -2.12724527 -0.11313157  0.5558416 ]
Sun Aug 25 00:11:35 2024,38,0.17691128311928112,[-2.90986944  2.23515526 -2.12709329 -0.11297958  0.55568962]
Sun Aug 25 00:12:48 2024,39,0.1747210871372028,[-2.91012931  2.23541513 -2.12735316 -0.11271972  0.55542975]
Sun Aug 25 00:14:00 2024,40,0.1733069081197257,[-2.91046972  2.23575553 -2.12701275 -0.11306012  0.55577016]
Sun Aug 25 00:15:12 2024,41,0.17634541132132242,[-2.91057109  2.23585691 -2.12691138 -0.11316149  0.55566879]
Sun Aug 25 00:16:25 2024,42,0.174885998536938,[-2.9114226   2.23670842 -2.12605987 -0.11401301  0.55481728]
Sun Aug 25 00:17:37 2024,43,0.1780849674417766,[-2.91109381  2.23703721 -2.12573107 -0.1143418   0.55448848]
Sun Aug 25 00:18:50 2024,44,0.17529085934195726,[-2.91099268  2.23713834 -2.1258322  -0.11444293  0.55438735]
Sun Aug 25 00:20:02 2024,45,0.1754110800178249,[-2.91046777  2.23766325 -2.12530729 -0.11496783  0.55386245]
Sun Aug 25 00:21:14 2024,46,0.18058237451940679,[-2.91082246  2.23730856 -2.12566198 -0.11461315  0.55421713]
Sun Aug 25 00:22:26 2024,47,0.17942844679405895,[-2.91180305  2.23632797 -2.12468139 -0.11559373  0.55519772]
