Data,Predicted,Reference
Train,[-0.010154887431019003],[-0.03225818565279794]
Train,[0.0005773602169521228],[-7.769851570889031e-07]
Train,[0.0005773602169609748],[-7.769851570670464e-07]
Train,[0.0014954302593382656],[-0.016908658625533646]
Train,[0.003569771941411267],[2.147515531627273e-06]
Train,[-0.004104748089842277],[-0.03181998237701682]
Train,[0.00304659235728224],[-0.020466061799623576]
Train,[0.0014757660937654462],[-2.2178075255649983e-06]
Train,[-0.012095768583301357],[0.034386940850617984]
Train,[0.0036481539976460082],[1.3818615606561856e-06]
Train,[0.003661699014732139],[1.4598582711141459e-06]
Train,[0.003824877235961011],[-0.004030206474187189]
Train,[0.01026806888883862],[-9.471188573092583e-17]
Train,[0.009221711019925822],[5.46414725370726e-18]
Train,[0.008722294650239859],[1.82138241790242e-18]
Train,[0.007794006640244307],[1.092829450741452e-17]
Train,[-0.03143500072022872],[2.1475155316309158e-06]
Train,[-0.027612514241373697],[-0.02046606179962359]
Train,[-0.024729660301051316],[-0.03181998237701695]
Train,[-0.03725712649972438],[-2.2178075256323896e-06]
Train,[-0.023388828858810152],[-0.04557838729447085]
Train,[-0.019814164415685256],[1.820191515441475e-06]
Train,[-0.019814164415670785],[1.8201915155289015e-06]
Train,[-0.018030781509691174],[-0.07587621233758134]
Train,[-0.01686047429815036],[-4.1009506176001475e-06]
Train,[-0.013715591454010093],[0.03502305871878561]
Train,[-0.012120466347916213],[0.04596011552868171]
Train,[-0.01935171656698769],[2.452425396471171e-06]
Train,[-0.017663182000535786],[-3.64276483580484e-18]
Train,[-0.019368834870557024],[-1.092829450741452e-16]
Train,[-0.019800582726975394],[-1.3113953408897423e-16]
Train,[-0.013516637065210531],[9.1069120895121e-18]
Train,[-0.012397337143450884],[0.034386940850618]
Train,[0.003265639775427798],[1.45985827106679e-06]
Train,[0.003252377158902944],[1.381861560628865e-06]
Train,[0.003511347764970518],[-0.004030206474187182]
Train,[0.00513417609263399],[-4.100950617578291e-06]
Train,[-0.023321521204480812],[0.04596011552868179]
Train,[-0.005554171614834517],[0.035023058718785624]
Train,[0.005120978489770732],[2.4524253964638855e-06]
Train,[-0.0036606279033292175],[-0.04635304026034097]
Train,[0.005698352429681327],[8.766607765741092e-07]
Train,[0.005698352429664465],[8.766607766032513e-07]
Train,[-0.004394442300919458],[-0.040709636276467155]
Train,[0.014148070478111265],[5.282009011917018e-17]
Train,[0.01579105941632004],[-5.46414725370726e-18]
Train,[0.015676811682398383],[1.82138241790242e-18]
Train,[0.015428958592180643],[9.471188573092583e-17]
Train,[-0.018076156046490446],[-9.471188573092583e-17]
Train,[-0.021129551065241635],[1.82138241790242e-18]
Train,[-0.020187547084744604],[5.46414725370726e-18]
Train,[-0.023583561803808314],[1.092829450741452e-17]
Train,[-0.014512176741980992],[-3.64276483580484e-18]
Train,[-0.013723549985835682],[-1.3113953408897423e-16]
Train,[-0.013640111812415413],[-1.092829450741452e-16]
Train,[-0.013565653242191365],[9.1069120895121e-18]
Train,[-0.016481831560150283],[5.282009011917018e-17]
Train,[-0.014772915191982233],[1.82138241790242e-18]
Train,[-0.014734964576436768],[-5.46414725370726e-18]
Train,[-0.013674349950749726],[9.471188573092583e-17]
Train,[-0.018227129153854042],[-0.026621245462551197]
Train,[-0.01587159262075009],[-5.688607871304142e-07]
Train,[-0.015871592620750864],[-5.688607871322355e-07]
Train,[-0.01313105744724286],[-0.010823945532928939]
Train,[-0.010148676803973604],[-0.03225642570605386]
Train,[-0.0014563983314462776],[7.900587201402797e-05]
Train,[-0.0014563983314461427],[7.900587201395693e-05]
Train,[0.001434004475314677],[-0.01692222211298195]
Train,[0.004101431718238251],[0.00021839714942577227]
Train,[-0.02104113288659296],[0.03183374883540315]
Train,[-0.0034238739702076157],[0.020468388897137785]
Train,[0.0015773819286823878],[-0.00022558532345777192]
Train,[-0.012097181777643115],[0.034430140265059306]
Train,[0.00421378800932095],[-0.00014064887786440584]
Train,[0.00422932458858735],[-0.00014859676587885906]
Train,[0.0038419753947014257],[-0.004036594411177927]
Train,[0.010100547283758829],[-1.4753197585009603e-16]
Train,[0.00907770439740407],[2.185658901482904e-17]
Train,[0.009192703062611511],[1.457105934321936e-17]
Train,[0.007750507128475211],[1.639244176112178e-17]
Train,[-0.029038740973716236],[0.0002183971494257249]
Train,[-0.02266996875764547],[0.020468388897137844]
Train,[-0.01769981191342612],[0.03183374883540315]
Train,[-0.0337347049863806],[-0.00022558532345770454]
Train,[-0.023485836111788994],[-0.04565742741386274]
