Data,Predicted,Reference
Train,[-0.011798893644742658],[-0.03225818565279794]
Train,[-0.006096266202146207],[-7.769851570889031e-07]
Train,[-0.006096266202138887],[-7.769851570670464e-07]
Train,[-0.01566255535778738],[-0.016908658625533646]
Train,[-0.0004167714450468083],[2.147515531627273e-06]
Train,[-0.010654851354314288],[-0.03181998237701682]
Train,[-0.0103812581372004],[-0.020466061799623576]
Train,[-0.0022305956964579743],[-2.2178075255649983e-06]
Train,[-0.017362926377162274],[0.034386940850617984]
Train,[-2.1920049333521094e-05],[1.3818615606561856e-06]
Train,[-0.00014105304229446663],[1.4598582711141459e-06]
Train,[-0.00931998597811827],[-0.004030206474187189]
Train,[-0.0009999609386934646],[-9.471188573092583e-17]
Train,[-0.0033858232691084105],[5.46414725370726e-18]
Train,[-0.0069788596760208205],[1.82138241790242e-18]
Train,[-0.0021404446475939655],[1.092829450741452e-17]
Train,[0.00013182888756666942],[2.1475155316309158e-06]
Train,[-0.028876855794946123],[-0.02046606179962359]
Train,[-0.0313413808530744],[-0.03181998237701695]
Train,[0.0013423398619257377],[-2.2178075256323896e-06]
Train,[-0.008293167478331096],[-0.04557838729447085]
Train,[0.0033714740085770568],[1.820191515441475e-06]
Train,[0.003371474008530881],[1.8201915155289015e-06]
Train,[-0.0017899943905544172],[-0.07587621233758134]
Train,[0.01507967242954148],[-4.1009506176001475e-06]
Train,[-0.015115659797708932],[0.03502305871878561]
Train,[-0.01587836761759378],[0.04596011552868171]
Train,[0.0037297698833306833],[2.452425396471171e-06]
Train,[0.00845147451599448],[-3.64276483580484e-18]
Train,[0.00971975272047832],[-1.092829450741452e-16]
Train,[0.010142280457571352],[-1.3113953408897423e-16]
Train,[0.0046403179663395515],[9.1069120895121e-18]
Train,[-0.01728178476034044],[0.034386940850618]
Train,[-0.00026204279708560486],[1.45985827106679e-06]
Train,[-0.0001420274109354767],[1.381861560628865e-06]
Train,[-0.00944054794747714],[-0.004030206474187182]
Train,[-0.0054210977187898945],[-4.100950617578291e-06]
Train,[-0.03124800227950845],[0.04596011552868179]
Train,[-0.025388811083160736],[0.035023058718785624]
Train,[-0.0017691158329973754],[2.4524253964638855e-06]
Train,[-0.021163866489543357],[-0.04635304026034097]
Train,[-0.00467516821586406],[8.766607765741092e-07]
Train,[-0.004675168215887091],[8.766607766032513e-07]
Train,[-0.017370939326409558],[-0.040709636276467155]
Train,[-0.011963205549132317],[5.282009011917018e-17]
Train,[-0.012833890465594668],[-5.46414725370726e-18]
Train,[-0.012945392829283421],[1.82138241790242e-18]
Train,[-0.009160763277925437],[9.471188573092583e-17]
Train,[0.014758967246610185],[-9.471188573092583e-17]
Train,[0.016619367124812746],[1.82138241790242e-18]
Train,[0.01597628399752976],[5.46414725370726e-18]
Train,[0.012162563243727028],[1.092829450741452e-17]
Train,[0.010843917104979058],[-3.64276483580484e-18]
Train,[0.011422483072235739],[-1.3113953408897423e-16]
Train,[0.011737804308092327],[-1.092829450741452e-16]
Train,[0.015155027418937036],[9.1069120895121e-18]
Train,[0.0016078547306102979],[5.282009011917018e-17]
Train,[0.010366168568841028],[1.82138241790242e-18]
Train,[0.010269228141902722],[-5.46414725370726e-18]
Train,[0.011566856062829306],[9.471188573092583e-17]
Train,[-0.017843919574955444],[-0.026621245462551197]
Train,[-0.009793454578677958],[-5.688607871304142e-07]
Train,[-0.009793454578670077],[-5.688607871322355e-07]
Train,[-0.03157119097945605],[-0.010823945532928939]
Train,[-0.01177598844661365],[-0.03225642570605386]
Train,[-0.008600201619233668],[7.900587201402797e-05]
Train,[-0.00860020161923341],[7.900587201395693e-05]
