Data,Predicted,Reference
Train,[-0.021668027289846306],[-0.03225818565279794]
Train,[-0.02856083989376687],[-7.769851570889031e-07]
Train,[-0.02856083989377222],[-7.769851570670464e-07]
Train,[-0.025821113996328124],[-0.016908658625533646]
Train,[-0.011652086840998168],[2.147515531627273e-06]
Train,[-0.013156653855784853],[-0.03181998237701682]
Train,[-0.009978106902843922],[-0.020466061799623576]
Train,[-0.014930799339224263],[-2.2178075255649983e-06]
Train,[-0.02548023083752863],[0.034386940850617984]
Train,[-0.011591415062339325],[1.3818615606561856e-06]
Train,[-0.011591341979518253],[1.4598582711141459e-06]
Train,[-0.010496609609368721],[-0.004030206474187189]
Train,[-0.012042128936507935],[-9.471188573092583e-17]
Train,[-0.011529058321076462],[5.46414725370726e-18]
Train,[-0.011529054416334734],[1.82138241790242e-18]
Train,[-0.012045112662424437],[1.092829450741452e-17]
Train,[-0.0617899008592822],[2.1475155316309158e-06]
Train,[-0.06039302593709202],[-0.02046606179962359]
Train,[-0.06099240479220849],[-0.03181998237701695]
Train,[-0.061608030647334056],[-2.2178075256323896e-06]
Train,[-0.05605863223054149],[-0.04557838729447085]
Train,[-0.061632973351653714],[1.820191515441475e-06]
Train,[-0.06163297335164997],[1.8201915155289015e-06]
Train,[-0.034026467616859034],[-0.07587621233758134]
Train,[-0.05536663224156842],[-4.1009506176001475e-06]
Train,[-0.051409653347936055],[0.03502305871878561]
Train,[-0.036729423933831405],[0.04596011552868171]
Train,[-0.0615213813150553],[2.452425396471171e-06]
Train,[-0.05196205226683312],[-3.64276483580484e-18]
Train,[-0.05858581243511042],[-1.092829450741452e-16]
Train,[-0.05868163669024609],[-1.3113953408897423e-16]
Train,[-0.060462443392328855],[9.1069120895121e-18]
Train,[-0.02584972429913123],[0.034386940850618]
Train,[-0.011221270743811882],[1.45985827106679e-06]
Train,[-0.01122134819723145],[1.381861560628865e-06]
Train,[-0.0100662948694287],[-0.004030206474187182]
Train,[-0.02387304639666546],[-4.100950617578291e-06]
Train,[-0.024677501863099586],[0.04596011552868179]
Train,[-0.022880534943913167],[0.035023058718785624]
Train,[-0.015097672340732574],[2.4524253964638855e-06]
Train,[-0.02192122713671769],[-0.04635304026034097]
Train,[-0.025063079566148158],[8.766607765741092e-07]
Train,[-0.02506307956613824],[8.766607766032513e-07]
Train,[-0.01565234817263424],[-0.040709636276467155]
Train,[-0.03145295483088179],[5.282009011917018e-17]
Train,[-0.0249868582531188],[-5.46414725370726e-18]
Train,[-0.02479281720359816],[1.82138241790242e-18]
Train,[-0.020871331993919492],[9.471188573092583e-17]
Train,[-0.005154348081862064],[-9.471188573092583e-17]
Train,[-0.003923759438827517],[1.82138241790242e-18]
Train,[-0.003923775415031169],[5.46414725370726e-18]
Train,[-0.00513518420654638],[1.092829450741452e-17]
Train,[-0.030504480277208524],[-3.64276483580484e-18]
Train,[-0.024153039229845803],[-1.3113953408897423e-16]
Train,[-0.023878812649689243],[-1.092829450741452e-16]
Train,[-0.013879310660155686],[9.1069120895121e-18]
Train,[-0.04103868992541929],[5.282009011917018e-17]
Train,[-0.031002599012812902],[1.82138241790242e-18]
Train,[-0.031595851009369624],[-5.46414725370726e-18]
Train,[-0.025213082765706038],[9.471188573092583e-17]
Train,[-0.019753915359227627],[-0.026621245462551197]
Train,[-0.0414817408713319],[-5.688607871304142e-07]
Train,[-0.04148174087133637],[-5.688607871322355e-07]
Train,[-0.01357682475624227],[-0.010823945532928939]
Train,[-0.021636610231539396],[-0.03225642570605386]
Train,[-0.026754319812835457],[7.900587201402797e-05]
Train,[-0.026754319812835638],[7.900587201395693e-05]
