Data,Predicted,Reference
Train,[-0.014957975554466322],[-0.03225818565279794]
Train,[-0.013017637857091315],[-7.769851570889031e-07]
Train,[-0.013017637857089943],[-7.769851570670464e-07]
Train,[-0.012239500264420956],[-0.016908658625533646]
Train,[-0.021889943666276324],[2.147515531627273e-06]
Train,[-0.0209833047782265],[-0.03181998237701682]
Train,[-0.02256089209650366],[-0.020466061799623576]
Train,[-0.020057291196520572],[-2.2178075255649983e-06]
Train,[-0.014640075315065131],[0.034386940850617984]
Train,[-0.02192500644451009],[1.3818615606561856e-06]
Train,[-0.02192501363575225],[1.4598582711141459e-06]
Train,[-0.02233924831074922],[-0.004030206474187189]
Train,[-0.021662156668229893],[-9.471188573092583e-17]
Train,[-0.02196083311556777],[5.46414725370726e-18]
Train,[-0.021960834175632125],[1.82138241790242e-18]
Train,[-0.021655511568957158],[1.092829450741452e-17]
Train,[-0.04074504492367632],[2.1475155316309158e-06]
Train,[-0.04519159918503344],[-0.02046606179962359]
Train,[-0.03721118452664154],[-0.03181998237701695]
Train,[-0.032387522817638584],[-2.2178075256323896e-06]
Train,[-0.03174113743394883],[-0.04557838729447085]
Train,[-0.032517341567819213],[1.820191515441475e-06]
Train,[-0.03251734156782531],[1.8201915155289015e-06]
Train,[-0.008035273072681757],[-0.07587621233758134]
Train,[-0.009502826959116842],[-4.1009506176001475e-06]
Train,[-0.013055999165346938],[0.03502305871878561]
Train,[-0.010228416688553628],[0.04596011552868171]
Train,[-0.03150190138284526],[2.452425396471171e-06]
Train,[-0.009010663251434022],[-3.64276483580484e-18]
Train,[-0.018840902795951152],[-1.092829450741452e-16]
Train,[-0.01859624572898249],[-1.3113953408897423e-16]
Train,[-0.03008984546280945],[9.1069120895121e-18]
Train,[-0.015271802008478675],[0.034386940850618]
Train,[-0.02319563740249747],[1.45985827106679e-06]
Train,[-0.02319562951409127],[1.381861560628865e-06]
Train,[-0.023646864914287243],[-0.004030206474187182]
Train,[-0.01619776618210907],[-4.100950617578291e-06]
Train,[-0.012488552237425041],[0.04596011552868179]
Train,[-0.015384536982099163],[0.035023058718785624]
Train,[-0.020970478923106273],[2.4524253964638855e-06]
Train,[-0.015012200370365445],[-0.04635304026034097]
Train,[-0.015670823831974563],[8.766607765741092e-07]
Train,[-0.015670823831977206],[8.766607766032513e-07]
Train,[-0.019744873001230692],[-0.040709636276467155]
Train,[-0.01177287403398541],[5.282009011917018e-17]
Train,[-0.01517334934542613],[-5.46414725370726e-18]
Train,[-0.015224755427215431],[1.82138241790242e-18]
Train,[-0.01775189755391871],[9.471188573092583e-17]
Train,[-0.06289246833710366],[-9.471188573092583e-17]
Train,[-0.06301511773344795],[1.82138241790242e-18]
Train,[-0.06301512531041016],[5.46414725370726e-18]
Train,[-0.06285813169098303],[1.092829450741452e-17]
Train,[-0.04734826471016199],[-3.64276483580484e-18]
Train,[-0.05628134730617211],[-1.3113953408897423e-16]
Train,[-0.05624026900661887],[-1.092829450741452e-16]
Train,[-0.06024003301304482],[9.1069120895121e-18]
Train,[-0.02594331503355282],[5.282009011917018e-17]
Train,[-0.045721063832783085],[1.82138241790242e-18]
Train,[-0.04567674365962336],[-5.46414725370726e-18]
Train,[-0.05531978543939571],[9.471188573092583e-17]
Train,[-0.026464530145726844],[-0.026621245462551197]
Train,[-0.039838080230400225],[-5.688607871304142e-07]
Train,[-0.039838080230399496],[-5.688607871322355e-07]
Train,[-0.05220361653422481],[-0.010823945532928939]
Train,[-0.0149546507498192],[-0.03225642570605386]
Train,[-0.013449587181103543],[7.900587201402797e-05]
Train,[-0.013449587181103529],[7.900587201395693e-05]
Train,[-0.012236344296186127],[-0.01692222211298195]
Train,[-0.02181814120659727],[0.00021839714942577227]
Train,[-0.012025236664240695],[0.03183374883540315]
Train,[-0.01796775791710114],[0.020468388897137785]
Train,[-0.02015144283176256],[-0.00022558532345777192]
Train,[-0.014610205486738217],[0.034430140265059306]
Train,[-0.021900276899026787],[-0.00014064887786440584]
