Data,Predicted,Reference
Train,[-0.015103998656325576],[-0.03225818565279794]
Train,[-0.013162925450100582],[-7.769851570889031e-07]
Train,[-0.013162925450099231],[-7.769851570670464e-07]
Train,[-0.01238463913275876],[-0.016908658625533646]
Train,[-0.022038584578059843],[2.147515531627273e-06]
Train,[-0.021131601091784573],[-0.03181998237701682]
Train,[-0.02270979046544314],[-0.020466061799623576]
Train,[-0.02020523173072774],[-2.2178075255649983e-06]
Train,[-0.014785993755290534],[0.034386940850617984]
Train,[-0.022073660771318355],[1.3818615606561856e-06]
Train,[-0.022073667965916748],[1.4598582711141459e-06]
Train,[-0.022488061540035794],[-0.004030206474187189]
Train,[-0.021810710487110106],[-9.471188573092583e-17]
Train,[-0.022109501153309338],[5.46414725370726e-18]
Train,[-0.022109502213795807],[1.82138241790242e-18]
Train,[-0.021804062915648282],[1.092829450741452e-17]
Train,[-0.040673703733005995],[2.1475155316309158e-06]
Train,[-0.04511944971064697],[-0.02046606179962359]
Train,[-0.037142795246489384],[-0.03181998237701695]
Train,[-0.032320653258094856],[-2.2178075256323896e-06]
Train,[-0.031683019142454395],[-0.04557838729447085]
Train,[-0.03245038473333972],[1.820191515441475e-06]
Train,[-0.03245038473334578],[1.8201915155289015e-06]
Train,[-0.008031019625664843],[-0.07587621233758134]
Train,[-0.009450152426589777],[-4.1009506176001475e-06]
Train,[-0.013011829102434234],[0.03502305871878561]
Train,[-0.010219175111773808],[0.04596011552868171]
Train,[-0.031435508459142676],[2.452425396471171e-06]
Train,[-0.008963688727381208],[-3.64276483580484e-18]
Train,[-0.018782322207690237],[-1.092829450741452e-16]
Train,[-0.018537567712479292],[-1.3113953408897423e-16]
Train,[-0.030025452154306576],[9.1069120895121e-18]
Train,[-0.015416873396466451],[0.034386940850618]
Train,[-0.023343653703983714],[1.45985827106679e-06]
Train,[-0.023343645811808183],[1.381861560628865e-06]
Train,[-0.023795053180643243],[-0.004030206474187182]
Train,[-0.01634314609767133],[-4.100950617578291e-06]
Train,[-0.012632662585354691],[0.04596011552868179]
Train,[-0.015529627152156729],[0.035023058718785624]
Train,[-0.021117651318841378],[2.4524253964638855e-06]
Train,[-0.01515722682707709],[-0.04635304026034097]
Train,[-0.015816005316494467],[8.766607765741092e-07]
Train,[-0.015816005316497104],[8.766607766032513e-07]
Train,[-0.019891602777868785],[-0.040709636276467155]
Train,[-0.011916672337895859],[5.282009011917018e-17]
Train,[-0.01531836298225216],[-5.46414725370726e-18]
Train,[-0.015369789535161509],[1.82138241790242e-18]
Train,[-0.017897858679857714],[9.471188573092583e-17]
Train,[-0.06279926960633689],[-9.471188573092583e-17]
Train,[-0.06292053798983256],[1.82138241790242e-18]
Train,[-0.06292054556981205],[5.46414725370726e-18]
Train,[-0.06276497199835639],[1.092829450741452e-17]
Train,[-0.047290063730348636],[-3.64276483580484e-18]
Train,[-0.05620896868357568],[-1.3113953408897423e-16]
Train,[-0.056167874025670035],[-1.092829450741452e-16]
Train,[-0.06015747013141192],[9.1069120895121e-18]
Train,[-0.025912727815382414],[5.282009011917018e-17]
Train,[-0.04566537614485825],[1.82138241790242e-18]
Train,[-0.045621038322355235],[-5.46414725370726e-18]
Train,[-0.05524907035208153],[9.471188573092583e-17]
Train,[-0.02645627987263839],[-0.026621245462551197]
Train,[-0.039788562774543894],[-5.688607871304142e-07]
Train,[-0.03978856277454311],[-5.688607871322355e-07]
Train,[-0.05213304015400917],[-0.010823945532928939]
Train,[-0.015100712774269456],[-0.03225642570605386]
Train,[-0.013595086683293863],[7.900587201402797e-05]
Train,[-0.013595086683293846],[7.900587201395693e-05]
Train,[-0.012381518811597218],[-0.01692222211298195]
Train,[-0.021966796210838895],[0.00021839714942577227]
Train,[-0.012170269555513327],[0.03183374883540315]
Train,[-0.018114949838058815],[0.020468388897137785]
Train,[-0.02029946220779679],[-0.00022558532345777192]
Train,[-0.01475615287944392],[0.034430140265059306]
Train,[-0.022048963251626204],[-0.00014064887786440584]
Train,[-0.022051975446716086],[-0.00014859676587885906]
Train,[-0.022442362681475793],[-0.004036594411177927]
Train,[-0.021755602674567064],[-1.4753197585009603e-16]
Train,[-0.022061151595123486],[2.185658901482904e-17]
Train,[-0.022061151608389777],[1.457105934321936e-17]
Train,[-0.021757719514241537],[1.639244176112178e-17]
Train,[-0.040862380575566064],[0.0002183971494257249]
Train,[-0.02186827543095526],[0.020468388897137844]
Train,[0.0018589076961568155],[0.03183374883540315]
Train,[-0.03397836358599938],[-0.00022558532345770454]
Train,[-0.031914434257418876],[-0.04565742741386274]
Train,[-0.03397344406877676],[-0.00018499056409219296]
Train,[-0.033973444068776684],[-0.00018499056409211466]
Train,[-0.00827969971170458],[-0.07587345187227598]
Train,[-0.014522781785194602],[-0.000417703483878227]
Train,[-0.035141359842118455],[-0.03506887734551717]
Train,[-0.030980275989619145],[-0.04598491259983777]
Train,[-0.03290103454227773],[0.00024937868650868835]
Train,[-0.008590557206785032],[-1.274967692531694e-17]
Train,[-0.0187578265020024],[1.5117474068590086e-16]
Train,[-0.018464030510066946],[1.9853068355136378e-16]
Train,[-0.029630830305536895],[-4.371317802965808e-17]
Train,[-0.015399705003516426],[0.034430140265059465]
Train,[-0.023350266730196807],[-0.0001485967658787516]
Train,[-0.023346988880643234],[-0.00014064887786438763]
