Data,Predicted,Reference
Train,[-0.03859136547325701],[-0.03225818565279794]
Train,[-0.020651819163449193],[-7.769851570889031e-07]
Train,[-0.0206518191634476],[-7.769851570670464e-07]
Train,[-0.037309591590723924],[-0.016908658625533646]
Train,[-0.007025765091471929],[2.147515531627273e-06]
Train,[-0.03868057274418808],[-0.03181998237701682]
Train,[-0.026234445012694896],[-0.020466061799623576]
Train,[-0.009549698212584357],[-2.2178075255649983e-06]
Train,[0.0037394148708643857],[0.034386940850617984]
Train,[-0.006716583299631507],[1.3818615606561856e-06]
Train,[-0.0067966742627679376],[1.4598582711141459e-06]
Train,[-0.02054688201213003],[-0.004030206474187189]
Train,[0.0007712752037143117],[-9.471188573092583e-17]
Train,[-0.000747830922568471],[5.46414725370726e-18]
Train,[-0.003984031720992919],[1.82138241790242e-18]
Train,[-0.0002993539420755402],[1.092829450741452e-17]
Train,[-0.013603758178792676],[2.1475155316309158e-06]
Train,[-0.025652537249864875],[-0.02046606179962359]
Train,[-0.03306053399505288],[-0.03181998237701695]
Train,[-0.014899270607193486],[-2.2178075256323896e-06]
Train,[-0.03144680538572936],[-0.04557838729447085]
Train,[-0.015294535189925275],[1.820191515441475e-06]
Train,[-0.015294535189933898],[1.8201915155289015e-06]
Train,[-0.02251739995243731],[-0.07587621233758134]
Train,[-0.019982346902004053],[-4.1009506176001475e-06]
Train,[-0.009074137580557114],[0.03502305871878561]
Train,[-0.01281941639711242],[0.04596011552868171]
Train,[-0.015525117178546209],[2.452425396471171e-06]
Train,[-0.018640780239549272],[-3.64276483580484e-18]
Train,[-0.014964841187652423],[-1.092829450741452e-16]
Train,[-0.01490180836508637],[-1.3113953408897423e-16]
Train,[-0.01358316737566009],[9.1069120895121e-18]
Train,[0.0038247122658990793],[0.034386940850618]
Train,[-0.006841856107995656],[1.45985827106679e-06]
Train,[-0.006762036100888376],[1.381861560628865e-06]
Train,[-0.02054565002053518],[-0.004030206474187182]
Train,[-0.013626038360248232],[-4.100950617578291e-06]
Train,[-0.008323715064924225],[0.04596011552868179]
Train,[-0.002275467844234817],[0.035023058718785624]
Train,[-0.007901100297401643],[2.4524253964638855e-06]
Train,[-0.027917722794379513],[-0.04635304026034097]
Train,[-0.013878424772587628],[8.766607765741092e-07]
Train,[-0.013878424772597717],[8.766607766032513e-07]
Train,[-0.03170131221235495],[-0.040709636276467155]
Train,[-0.016600100544767495],[5.282009011917018e-17]
Train,[-0.00927772778680973],[-5.46414725370726e-18]
Train,[-0.009422368877368772],[1.82138241790242e-18]
Train,[-0.004265429961196065],[9.471188573092583e-17]
Train,[-0.011164019969298934],[-9.471188573092583e-17]
Train,[-0.013484809529548773],[1.82138241790242e-18]
Train,[-0.011842333387036521],[5.46414725370726e-18]
Train,[-0.011204835183997322],[1.092829450741452e-17]
Train,[-0.019316388214111142],[-3.64276483580484e-18]
Train,[-0.015528667743084465],[-1.3113953408897423e-16]
Train,[-0.01560646692271603],[-1.092829450741452e-16]
Train,[-0.01424563062814533],[9.1069120895121e-18]
Train,[-0.023208351108883953],[5.282009011917018e-17]
Train,[-0.019958339168051092],[1.82138241790242e-18]
Train,[-0.01982541118325606],[-5.46414725370726e-18]
Train,[-0.015976772973771244],[9.471188573092583e-17]
Train,[-0.025828582068902383],[-0.026621245462551197]
Train,[-0.022950888100005007],[-5.688607871304142e-07]
Train,[-0.022950888100003994],[-5.688607871322355e-07]
Train,[-0.025109092565430136],[-0.010823945532928939]
Train,[-0.03859857517460038],[-0.03225642570605386]
Train,[-0.02087992042726279],[7.900587201402797e-05]
Train,[-0.020879920427262763],[7.900587201395693e-05]
Train,[-0.03726677029717341],[-0.01692222211298195]
Train,[-0.010413589442217897],[0.00021839714942577227]
Train,[-0.0023736084836936838],[0.03183374883540315]
Train,[-0.003899947604337185],[0.020468388897137785]
Train,[-0.0124649139999453],[-0.00022558532345777192]
Train,[0.0037358271999420947],[0.034430140265059306]
Train,[-0.010226554096902554],[-0.00014064887786440584]
Train,[-0.010373036472980827],[-0.00014859676587885906]
Train,[-0.020550630630465753],[-0.004036594411177927]
Train,[0.0008854712118753349],[-1.4753197585009603e-16]
Train,[0.00022810921124501946],[2.185658901482904e-17]
Train,[-0.0002430709547265039],[1.457105934321936e-17]
Train,[-0.00014923221689524928],[1.639244176112178e-17]
Train,[-0.01516084292766275],[0.0002183971494257249]
Train,[-0.007586697476770329],[0.020468388897137844]
Train,[-0.002305332636870781],[0.03183374883540315]
Train,[-0.016148793936843764],[-0.00022558532345770454]
Train,[-0.031440057328561234],[-0.04565742741386274]
Train,[-0.016537475315335882],[-0.00018499056409219296]
Train,[-0.01653747531533581],[-0.00018499056409211466]
Train,[-0.02258421190094363],[-0.07587345187227598]
Train,[-0.020432497993887168],[-0.000417703483878227]
Train,[-0.02964012170854812],[-0.03506887734551717]
Train,[-0.03108262493912777],[-0.04598491259983777]
Train,[-0.016695698798946845],[0.00024937868650868835]
Train,[-0.018598205173505113],[-1.274967692531694e-17]
Train,[-0.014951745042473628],[1.5117474068590086e-16]
