Time,Iteration,Cost,Parameters
Sat Aug 24 04:12:22 2024,0,0.18652471331218626,[-2.90326424  2.23735384 -2.12436043 -0.11661182  0.55396787]
Sat Aug 24 04:13:34 2024,1,0.18662821192477516,[-2.9020901   2.2361797  -2.12318629 -0.11543768  0.55279373]
Sat Aug 24 04:14:46 2024,2,0.18913852856390964,[-2.90156605  2.23670375 -2.12266224 -0.11491363  0.55331778]
Sat Aug 24 04:15:58 2024,3,0.19041573210859544,[-2.9011526   2.23629031 -2.12224879 -0.11532707  0.55290433]
Sat Aug 24 04:17:10 2024,4,0.18734946537262906,[-2.90079828  2.23593598 -2.12189447 -0.1156814   0.55255001]
Sat Aug 24 04:18:22 2024,5,0.19162130190609777,[-2.90009584  2.23523354 -2.12119203 -0.11638384  0.55184757]
Sat Aug 24 04:19:34 2024,6,0.18617218534486002,[-2.89867962  2.23664977 -2.1197758  -0.11496761  0.55043135]
Sat Aug 24 04:20:46 2024,7,0.18122112581709082,[-2.89845905  2.23687033 -2.11999637 -0.11474705  0.55065191]
Sat Aug 24 04:21:58 2024,8,0.18881366828964494,[-2.89753334  2.23779604 -2.12092208 -0.11567275  0.55157762]
Sat Aug 24 04:23:11 2024,9,0.18805579683066714,[-2.89741849  2.23791089 -2.12103693 -0.1155579   0.55146277]
Sat Aug 24 04:24:23 2024,10,0.18745574094052184,[-2.89693638  2.238393   -2.12055481 -0.11507579  0.55194488]
Sat Aug 24 04:25:35 2024,11,0.19089944773885414,[-2.8953454   2.23680202 -2.11896383 -0.11348481  0.55353587]
Sat Aug 24 04:26:46 2024,12,0.1881803380147201,[-2.89373868  2.2351953  -2.12057056 -0.11187809  0.55192914]
Sat Aug 24 04:27:57 2024,13,0.18383144112728905,[-2.89340236  2.23553162 -2.12023423 -0.11221441  0.55159282]
Sat Aug 24 04:29:08 2024,14,0.1875020202606055,[-2.89252183  2.23465109 -2.12111476 -0.11133388  0.55071229]
Sat Aug 24 04:30:19 2024,15,0.18811785247123408,[-2.89235895  2.23448821 -2.12095188 -0.111171    0.55054941]
Sat Aug 24 04:31:30 2024,16,0.1894206550415993,[-2.89095715  2.23308641 -2.11955009 -0.11257279  0.5519512 ]
Sat Aug 24 04:32:41 2024,17,0.18569045825338606,[-2.89091003  2.23313353 -2.11959721 -0.11261991  0.55190408]
Sat Aug 24 04:33:53 2024,18,0.18756740274209635,[-2.89074298  2.23296648 -2.11976426 -0.11278696  0.55173703]
Sat Aug 24 04:35:04 2024,19,0.1839700941917281,[-2.88990621  2.23380325 -2.11892749 -0.11195019  0.5525738 ]
Sat Aug 24 04:36:14 2024,20,0.18939513917100956,[-2.88859438  2.23511509 -2.12023932 -0.11326203  0.55126197]
Sat Aug 24 04:37:25 2024,21,0.18655435565574527,[-2.88832052  2.23538895 -2.12051318 -0.11353589  0.55153583]
Sat Aug 24 04:38:36 2024,22,0.18950955489151616,[-2.88756577  2.23614369 -2.11975844 -0.11278115  0.55229057]
Sat Aug 24 04:39:47 2024,23,0.18691256339072576,[-2.88692054  2.23549846 -2.11911321 -0.11342638  0.5529358 ]
Sat Aug 24 04:40:58 2024,24,0.18827326812396625,[-2.88644161  2.23501952 -2.11863427 -0.11294745  0.55341474]
Sat Aug 24 04:42:09 2024,25,0.18736729856215215,[-2.88533114  2.23612999 -2.11974474 -0.11405792  0.55230427]
Sat Aug 24 04:43:20 2024,26,0.18697667118337108,[-2.88514936  2.23631177 -2.11992652 -0.11423969  0.55212249]
Sat Aug 24 04:44:31 2024,27,0.1866925467113233,[-2.88455833  2.2369028  -2.12051755 -0.11364867  0.55271351]
Sat Aug 24 04:45:42 2024,28,0.1864293047684681,[-2.88437752  2.23708361 -2.12033673 -0.11382948  0.5525327 ]
Sat Aug 24 04:46:52 2024,29,0.18729183609316188,[-2.88409875  2.23680484 -2.12005796 -0.11355071  0.55225393]
Sat Aug 24 04:48:03 2024,30,0.1817369425769771,[-2.88354582  2.23735777 -2.12061089 -0.11299779  0.551701  ]
Sat Aug 24 04:49:14 2024,31,0.1894162265000106,[-2.88300857  2.23682052 -2.12007364 -0.11246054  0.55223825]
Sat Aug 24 04:50:25 2024,32,0.18817661422032245,[-2.88218168  2.23764741 -2.12090053 -0.11328743  0.55141136]
Sat Aug 24 04:51:37 2024,33,0.18973473723819845,[-2.88211014  2.23771896 -2.12082899 -0.11335897  0.55133982]
Sat Aug 24 04:52:47 2024,34,0.18831980437210577,[-2.88031381  2.23592262 -2.11903265 -0.11156264  0.55313615]
Sat Aug 24 04:53:58 2024,35,0.18369450175415797,[-2.88050633  2.23611515 -2.11922518 -0.11175517  0.55294362]
Sat Aug 24 04:55:08 2024,36,0.1895052626230956,[-2.88054234  2.23615116 -2.11926119 -0.11171917  0.55290762]
Sat Aug 24 04:56:19 2024,37,0.18627010540826303,[-2.88008301  2.23661048 -2.11972051 -0.11217849  0.55244829]
Sat Aug 24 04:57:31 2024,38,0.1835276766014313,[-2.87880917  2.23533664 -2.11844667 -0.11345233  0.55117445]
Sat Aug 24 04:58:42 2024,39,0.18991741455713765,[-2.87874327  2.23527074 -2.11838077 -0.11338643  0.55110855]
Sat Aug 24 04:59:53 2024,40,0.18873970100075727,[-2.87865083  2.23536317 -2.1184732  -0.11347886  0.55120098]
Sat Aug 24 05:01:03 2024,41,0.18636700238619552,[-2.87696487  2.23367721 -2.12015917 -0.1117929   0.54951502]
Sat Aug 24 05:02:14 2024,42,0.1840126414355949,[-2.87619746  2.23444462 -2.12092658 -0.11256031  0.55028243]
