Data,Predicted,Reference
Train,[-0.033110675177920094],[-0.03225818565279794]
Train,[-0.02295768875034202],[-7.769851570889031e-07]
Train,[-0.022957688750311046],[-7.769851570670464e-07]
Train,[-0.04550546706254419],[-0.016908658625533646]
Train,[0.0023372845318020124],[2.147515531627273e-06]
Train,[-0.00359636116960587],[-0.03181998237701682]
Train,[-0.002853144479704895],[-0.020466061799623576]
Train,[-0.010542133801597667],[-2.2178075255649983e-06]
Train,[0.0031492033483101955],[0.034386940850617984]
Train,[0.0031915311232024145],[1.3818615606561856e-06]
Train,[0.0031984427353094606],[1.4598582711141459e-06]
Train,[-0.0020636055726950806],[-0.004030206474187189]
Train,[0.010671359848601293],[-9.471188573092583e-17]
Train,[0.005264960560814911],[5.46414725370726e-18]
Train,[0.005271330675245335],[1.82138241790242e-18]
Train,[-0.0008122223538042189],[1.092829450741452e-17]
Train,[-0.005161924360336269],[2.1475155316309158e-06]
Train,[-0.0063108337497695755],[-0.02046606179962359]
Train,[-0.011408792956044503],[-0.03181998237701695]
Train,[-0.009614997626502881],[-2.2178075256323896e-06]
Train,[-0.009251635085480815],[-0.04557838729447085]
Train,[-0.0006837691093393871],[1.820191515441475e-06]
Train,[-0.0006837691093491025],[1.8201915155289015e-06]
Train,[-0.019304704800838977],[-0.07587621233758134]
Train,[-0.007831622528885135],[-4.1009506176001475e-06]
Train,[-0.019826492692820007],[0.03502305871878561]
Train,[-0.017937485149401307],[0.04596011552868171]
Train,[-0.0007371849409985906],[2.452425396471171e-06]
Train,[-0.013720685685039192],[-3.64276483580484e-18]
Train,[-0.0043181911239706435],[-1.092829450741452e-16]
Train,[-0.004055492262946578],[-1.3113953408897423e-16]
Train,[-0.002785574736783373],[9.1069120895121e-18]
Train,[0.0035083918899645092],[0.034386940850618]
Train,[0.003960976218937174],[1.45985827106679e-06]
Train,[0.003953981100969466],[1.381861560628865e-06]
Train,[-0.0012523202147207099],[-0.004030206474187182]
Train,[0.02035161087531484],[-4.100950617578291e-06]
Train,[0.004386065443086362],[0.04596011552868179]
Train,[0.0026937720113535462],[0.035023058718785624]
Train,[0.019384420511136046],[2.4524253964638855e-06]
Train,[-0.014418186783386383],[-0.04635304026034097]
Train,[0.02236702865803886],[8.766607765741092e-07]
Train,[0.02236702865797673],[8.766607766032513e-07]
Train,[0.0010752719868807818],[-0.040709636276467155]
Train,[0.0029721199406253095],[5.282009011917018e-17]
Train,[0.00958634884713022],[-5.46414725370726e-18]
Train,[0.008595388771025315],[1.82138241790242e-18]
Train,[0.019826024524354037],[9.471188573092583e-17]
Train,[0.0063554678661778925],[-9.471188573092583e-17]
Train,[0.0042640404233060475],[1.82138241790242e-18]
Train,[0.004260812605979321],[5.46414725370726e-18]
Train,[0.0031593471148442104],[1.092829450741452e-17]
Train,[0.0014898390765018135],[-3.64276483580484e-18]
Train,[0.012423209163539634],[-1.3113953408897423e-16]
Train,[0.011836643634414553],[-1.092829450741452e-16]
Train,[0.008475334518507275],[9.1069120895121e-18]
Train,[-0.011250711320655365],[5.282009011917018e-17]
Train,[-0.0008440107605658334],[1.82138241790242e-18]
Train,[3.7030634272377116e-05],[-5.46414725370726e-18]
Train,[0.011464780873192967],[9.471188573092583e-17]
Train,[-0.03496958027943728],[-0.026621245462551197]
Train,[0.00641294904880804],[-5.688607871304142e-07]
Train,[0.0064129490488141275],[-5.688607871322355e-07]
Train,[-0.008410141572883638],[-0.010823945532928939]
Train,[-0.03302363812256742],[-0.03225642570605386]
Train,[-0.031995479697457654],[7.900587201402797e-05]
Train,[-0.03199547969745687],[7.900587201395693e-05]
Train,[-0.04554790420901979],[-0.01692222211298195]
Train,[0.002704304030467538],[0.00021839714942577227]
Train,[-0.008778722938865592],[0.03183374883540315]
Train,[-0.005433837326082247],[0.020468388897137785]
Train,[-0.011841980009168957],[-0.00022558532345777192]
Train,[0.003161541358098592],[0.034430140265059306]
Train,[0.0034956311068727146],[-0.00014064887786440584]
Train,[0.003506644159160138],[-0.00014859676587885906]
Train,[-0.0020565278926127383],[-0.004036594411177927]
Train,[0.010874141347844762],[-1.4753197585009603e-16]
Train,[0.005270306698503787],[2.185658901482904e-17]
Train,[0.005270727623081916],[1.457105934321936e-17]
Train,[-0.0008487391891557212],[1.639244176112178e-17]
Train,[-0.005383871926132255],[0.0002183971494257249]
Train,[-0.020140490251944074],[0.020468388897137844]
Train,[-0.031699508119591824],[0.03183374883540315]
Train,[-0.012231551344360261],[-0.00022558532345770454]
Train,[-0.00932881424500244],[-0.04565742741386274]
Train,[-0.0023174672972317025],[-0.00018499056409219296]
Train,[-0.002317467297231633],[-0.00018499056409211466]
Train,[-0.01925286166757796],[-0.07587345187227598]
Train,[-0.011775969119246598],[-0.000417703483878227]
Train,[-0.006837942214892013],[-0.03506887734551717]
Train,[-0.010217131122364545],[-0.04598491259983777]
Train,[-0.0027277943691034682],[0.00024937868650868835]
Train,[-0.013445991616054491],[-1.274967692531694e-17]
Train,[-0.004085129112789926],[1.5117474068590086e-16]
Train,[-0.003770746147315295],[1.9853068355136378e-16]
Train,[-0.001883240423497904],[-4.371317802965808e-17]
Train,[0.003528262124407191],[0.034430140265059465]
Train,[0.004289724937359929],[-0.0001485967658787516]
Train,[0.004278433437819362],[-0.00014064887786438763]
Train,[-0.0012284398175071325],[-0.00403659441117794]
Train,[0.010092106762126622],[-0.00041770348387830354]
Train,[0.0016011336318513796],[-0.04598491259983788]
Train,[0.0025935524534219994],[-0.03506887734551722]
Train,[0.013744278602516986],[0.00024937868650867014]
Train,[-0.014550634232413059],[-0.04642098563854254]
Train,[0.013613157196016707],[-8.929989840338444e-05]
Train,[0.013613157196015144],[-8.92998984034318e-05]
Train,[0.0010394760822734828],[-0.04070587366488182]
Train,[0.0037158654107048634],[8.742635605931616e-17]
Train,[0.014005555938755377],[-3.096350110434114e-17]
Train,[0.01281298878470299],[-2.367797143273146e-17]
Train,[0.02050181349780657],[1.274967692531694e-16]
Train,[0.006792197832031121],[-1.4753197585009603e-16]
Train,[0.004539913839319253],[1.457105934321936e-17]
Train,[0.004539678982911335],[2.185658901482904e-17]
