Time,Iteration,Cost,Parameters
Thu Aug 15 23:59:47 2024,0,0.3977308352010124,[-2.89778018  2.24283791 -2.11887636 -0.1219343   0.55929035 -2.7647057
  3.07398825  2.19500472  1.18011671 -1.07188636]
Fri Aug 16 00:01:43 2024,1,0.3958501791508199,[-2.89276318  2.2478549  -2.11385937 -0.1169173   0.56430735 -2.75968871
  3.07900525  2.20002172  1.17509972 -1.06686936]
Fri Aug 16 00:03:40 2024,2,0.38947388120321896,[-2.88707786  2.25354022 -2.11954469 -0.11123198  0.55862203 -2.75400338
  3.08469057  2.20570704  1.18078504 -1.07255468]
Fri Aug 16 00:05:36 2024,3,0.39261989367497746,[-2.88106864  2.247531   -2.11353547 -0.1172412   0.56463125 -2.7600126
  3.07868135  2.19969782  1.18679426 -1.0785639 ]
Fri Aug 16 00:07:32 2024,4,0.3894239512135547,[-2.87539396  2.25320568 -2.10786079 -0.11156653  0.57030592 -2.76568728
  3.07300667  2.2053725   1.18111958 -1.07288923]
Fri Aug 16 00:09:28 2024,5,0.3934985537171594,[-2.8701674   2.24797912 -2.10263423 -0.10633996  0.56507936 -2.77091384
  3.06778011  2.21059906  1.17589302 -1.07811579]
Fri Aug 16 00:11:24 2024,6,0.3896025038479247,[-2.86438934  2.25375717 -2.09685617 -0.10056191  0.57085742 -2.7766919
  3.06200206  2.204821    1.18167108 -1.07233773]
Fri Aug 16 00:13:21 2024,7,0.3894304493083884,[-2.85766542  2.24703325 -2.09013225 -0.09383799  0.57758134 -2.76996798
  3.05527814  2.19809708  1.17494716 -1.06561381]
Fri Aug 16 00:15:17 2024,8,0.38987942646620166,[-2.85204789  2.24141572 -2.08451472 -0.08822045  0.5719638  -2.76435045
  3.0496606   2.20371462  1.18056469 -1.07123135]
Fri Aug 16 00:17:13 2024,9,0.38622103565499977,[-2.84522313  2.24824048 -2.07768996 -0.09504521  0.56513904 -2.75752569
  3.05648536  2.21053938  1.18738945 -1.06440659]
Fri Aug 16 00:19:09 2024,10,0.3875908595696542,[-2.83948935  2.2425067  -2.07195618 -0.08931143  0.55940526 -2.76325947
  3.06221914  2.21627315  1.19312323 -1.07014037]
Fri Aug 16 00:21:05 2024,11,0.3832793973228709,[-2.83354875  2.2484473  -2.07789679 -0.08337083  0.55346466 -2.75731886
  3.06815975  2.22221376  1.18718262 -1.07608097]
Fri Aug 16 00:23:01 2024,12,0.3900441726410631,[-2.82767499  2.25432106 -2.07202303 -0.08924458  0.54759091 -2.75144511
  3.06228599  2.22808751  1.19305638 -1.07020722]
Fri Aug 16 00:24:58 2024,13,0.386652523686102,[-2.82086558  2.26113047 -2.07883245 -0.096054    0.55440032 -2.75825452
  3.05547658  2.2212781   1.19986579 -1.06339781]
Fri Aug 16 00:26:53 2024,14,0.38157797091939955,[-2.81525987  2.26673618 -2.08443816 -0.09044829  0.56000603 -2.75264881
  3.04987087  2.21567239  1.2054715  -1.0577921 ]
Fri Aug 16 00:28:50 2024,15,0.37914866942945,[-2.80843115  2.25990747 -2.09126687 -0.097277    0.56683474 -2.75947752
  3.05669958  2.2225011   1.21230021 -1.05096338]
Fri Aug 16 00:30:52 2024,16,0.3801376212782961,[-2.80127394  2.26706468 -2.09842408 -0.09011979  0.57399196 -2.76663474
  3.06385679  2.22965831  1.205143   -1.04380617]
Fri Aug 16 00:32:49 2024,17,0.3840888857459198,[-2.79430279  2.26009353 -2.09145293 -0.08314864  0.58096311 -2.77360589
  3.07082794  2.23662946  1.19817185 -1.03683502]
Fri Aug 16 00:34:47 2024,18,0.3802717446888778,[-2.78764167  2.26675465 -2.08479181 -0.07648751  0.58762423 -2.76694476
  3.06416682  2.24329059  1.20483297 -1.04349614]
Fri Aug 16 00:36:43 2024,19,0.38072229023997867,[-2.78087046  2.25998344 -2.0780206  -0.08325873  0.59439544 -2.76017355
  3.07093803  2.23651937  1.19806176 -1.03672493]
Fri Aug 16 00:38:40 2024,20,0.37464350177209177,[-2.77357331  2.26728058 -2.07072345 -0.07596158  0.5870983  -2.75287641
  3.07823518  2.24381651  1.19076462 -1.04402207]
Fri Aug 16 00:40:38 2024,21,0.37523489290775597,[-2.76683994  2.27401395 -2.06399008 -0.06922821  0.58036493 -2.74614304
  3.0715018   2.23708314  1.18403125 -1.05075544]
Fri Aug 16 00:42:38 2024,22,0.3726284898481011,[-2.76018838  2.26736239 -2.05733852 -0.07587978  0.57371337 -2.73949147
  3.06485024  2.23043158  1.17737968 -1.05740701]
Fri Aug 16 00:44:35 2024,23,0.3741962278762098,[-2.75308904  2.27446173 -2.06443786 -0.08297912  0.58081271 -2.74659082
  3.07194958  2.23753092  1.17028034 -1.06450635]
Fri Aug 16 00:46:31 2024,24,0.3748116595926574,[-2.74579439  2.26716708 -2.05714321 -0.07568447  0.58810736 -2.75388547
  3.07924423  2.23023627  1.17757499 -1.071801  ]
Fri Aug 16 00:48:29 2024,25,0.37554351155671706,[-2.73836068  2.25973338 -2.06457692 -0.06825077  0.59554106 -2.74645176
  3.08667794  2.23766998  1.17014128 -1.06436729]
Fri Aug 16 00:50:24 2024,26,0.3665904525251562,[-2.73128371  2.26681035 -2.05749995 -0.0611738   0.58846409 -2.75352873
  3.07960097  2.24474695  1.16306431 -1.05729032]
Fri Aug 16 00:52:21 2024,27,0.36962296432613423,[-2.7241951   2.25972174 -2.05041134 -0.0682624   0.5955527  -2.74644012
  3.08668958  2.25183556  1.15597571 -1.05020172]
Fri Aug 16 00:54:18 2024,28,0.37473606485693434,[-2.71705644  2.25258308 -2.04327268 -0.06112374  0.58841404 -2.73930146
  3.07955091  2.24469689  1.16311437 -1.05734038]
Fri Aug 16 00:56:16 2024,29,0.368252229090426,[-2.70982736  2.245354   -2.05050176 -0.05389466  0.58118496 -2.73207238
  3.07232183  2.25192597  1.17034345 -1.0501113 ]
Fri Aug 16 00:58:12 2024,30,0.3683071997275546,[-2.702351    2.25283036 -2.0430254  -0.06137102  0.5737086  -2.73954874
  3.07979819  2.25940233  1.16286709 -1.04263494]
Fri Aug 16 01:00:11 2024,31,0.3654557443646828,[-2.69414969  2.24462904 -2.05122672 -0.0531697   0.58190992 -2.74775006
  3.07159687  2.25120101  1.17106841 -1.03443363]
Fri Aug 16 01:02:13 2024,32,0.36331516078224396,[-2.68661457  2.25216416 -2.0436916  -0.06070482  0.5743748  -2.74021494
  3.07913199  2.24366589  1.17860353 -1.04196874]
Fri Aug 16 01:04:12 2024,33,0.36315369344352777,[-2.67944866  2.25933006 -2.0508575  -0.06787072  0.56720889 -2.74738084
  3.07196609  2.2508318   1.18576943 -1.03480284]
Fri Aug 16 01:06:09 2024,34,0.3596112742885881,[-2.6726994   2.2525808  -2.05760676 -0.06112146  0.57395816 -2.7541301
  3.06521683  2.24408253  1.19251869 -1.0415521 ]
Fri Aug 16 01:08:06 2024,35,0.3610898491997554,[-2.66460759  2.24448898 -2.04951494 -0.05302964  0.56586634 -2.76222192
  3.07330865  2.23599072  1.20061051 -1.03346029]
Fri Aug 16 01:10:04 2024,36,0.35484784459906726,[-2.65664298  2.25245359 -2.04155033 -0.04506503  0.55790173 -2.75425731
  3.08127326  2.22802611  1.1926459  -1.02549568]
Fri Aug 16 01:12:00 2024,37,0.35267159950036636,[-2.64898744  2.26010912 -2.0338948  -0.0374095   0.5502462  -2.76191284
  3.08892879  2.22037058  1.20030143 -1.03315121]
Fri Aug 16 01:13:57 2024,38,0.3485336978026417,[-2.64045273  2.26864384 -2.04242952 -0.02887479  0.54171148 -2.75337813
  3.08039407  2.22890529  1.19176672 -1.04168592]
Fri Aug 16 01:15:53 2024,39,0.35070223024790664,[-2.63283057  2.276266   -2.05005168 -0.02125263  0.54933364 -2.74575597
  3.07277191  2.23652745  1.18414456 -1.04930808]
Fri Aug 16 01:17:49 2024,40,0.35087501446488684,[-2.62451947  2.2845771  -2.04174057 -0.02956373  0.55764475 -2.75406707
  3.06446081  2.22821635  1.17583345 -1.04099698]
Fri Aug 16 01:19:45 2024,41,0.34920784285018885,[-2.61575469  2.27581232 -2.05050535 -0.03832851  0.56640952 -2.76283185
  3.07322559  2.23698112  1.18459823 -1.0322322 ]
Fri Aug 16 01:21:40 2024,42,0.3498710226235879,[-2.60833667  2.28323035 -2.05792337 -0.03091049  0.57382755 -2.77024987
  3.06580756  2.24439914  1.19201625 -1.02481418]
Fri Aug 16 01:23:36 2024,43,0.35164103232439636,[-2.60034338  2.27523706 -2.04993008 -0.0229172   0.56583426 -2.77824316
  3.07380085  2.25239243  1.18402297 -1.01682089]
Fri Aug 16 01:25:33 2024,44,0.34141221530779814,[-2.59189584  2.26678952 -2.05837762 -0.01446966  0.5742818  -2.7866907
  3.06535331  2.24394489  1.1924705  -1.02526843]
Fri Aug 16 01:27:28 2024,45,0.34581841752288783,[-2.5836374   2.27504795 -2.06663606 -0.00621122  0.58254024 -2.79494913
  3.07361175  2.25220333  1.20072894 -1.03352687]
Fri Aug 16 01:29:23 2024,46,0.3424915238880829,[-2.57567865  2.2670892  -2.07459481 -0.01416998  0.59049899 -2.78699038
  3.0815705   2.26016208  1.19277019 -1.02556812]
Fri Aug 16 01:31:19 2024,47,0.33912101801842165,[-2.56744522  2.25885577 -2.06636137 -0.02240341  0.58226555 -2.79522382
  3.08980394  2.26839552  1.18453675 -1.03380155]
