Data,Predicted,Reference
Train,[-0.012625551482403671],[-0.03225818565279794]
Train,[0.005520903182115384],[-7.769851570889031e-07]
Train,[0.0055209031821228365],[-7.769851570670464e-07]
Train,[-0.013371973722595423],[-0.016908658625533646]
Train,[0.0076975112504808745],[2.147515531627273e-06]
Train,[-0.009788190487277859],[-0.03181998237701682]
Train,[-0.006693400121656592],[-0.020466061799623576]
Train,[0.007620504471445737],[-2.2178075255649983e-06]
Train,[-0.017951634487171946],[0.034386940850617984]
Train,[0.008077822781185835],[1.3818615606561856e-06]
Train,[0.007941542756165884],[1.4598582711141459e-06]
Train,[-0.004774444413948999],[-0.004030206474187189]
Train,[0.0008505855491376643],[-9.471188573092583e-17]
Train,[-0.003608619024432084],[5.46414725370726e-18]
Train,[-0.009825094345031095],[1.82138241790242e-18]
Train,[0.00039835519935536433],[1.092829450741452e-17]
Train,[-0.000638955788706376],[2.1475155316309158e-06]
Train,[-0.01861396727604025],[-0.02046606179962359]
Train,[-0.019515508797512765],[-0.03181998237701695]
Train,[-0.015440410120048076],[-2.2178075256323896e-06]
Train,[-0.010388993659735413],[-0.04557838729447085]
Train,[0.017249891810754193],[1.820191515441475e-06]
Train,[0.017249891810706772],[1.8201915155289015e-06]
Train,[-0.01098836465629834],[-0.07587621233758134]
Train,[0.019090908783638918],[-4.1009506176001475e-06]
Train,[-0.005050083146238692],[0.03502305871878561]
Train,[-0.004473800215551037],[0.04596011552868171]
Train,[0.017588430811091574],[2.452425396471171e-06]
Train,[-0.0070157262508418914],[-3.64276483580484e-18]
Train,[0.007202118239478845],[-1.092829450741452e-16]
Train,[0.008040394013764964],[-1.3113953408897423e-16]
Train,[0.006573805370818561],[9.1069120895121e-18]
Train,[-0.018098595558841187],[0.034386940850618]
Train,[0.008053987919209745],[1.45985827106679e-06]
Train,[0.008187572412216145],[1.381861560628865e-06]
Train,[-0.004495574642138801],[-0.004030206474187182]
Train,[0.0036278572164397975],[-4.100950617578291e-06]
Train,[-0.018770389971379545],[0.04596011552868179]
Train,[-0.0129209983145592],[0.035023058718785624]
Train,[0.0071678086886941186],[2.4524253964638855e-06]
Train,[-0.014200578209197146],[-0.04635304026034097]
Train,[0.00346374735906286],[8.766607765741092e-07]
Train,[0.003463747359057283],[8.766607766032513e-07]
Train,[-0.009079058957234569],[-0.040709636276467155]
Train,[-0.011055774566298965],[5.282009011917018e-17]
Train,[-0.012588803496899238],[-5.46414725370726e-18]
Train,[-0.012853656758554823],[1.82138241790242e-18]
Train,[-0.007881257690646218],[9.471188573092583e-17]
Train,[0.003945078384765755],[-9.471188573092583e-17]
Train,[-0.0019778658911878077],[1.82138241790242e-18]
Train,[0.004259290634749579],[5.46414725370726e-18]
Train,[0.011643978290621521],[1.092829450741452e-17]
Train,[-0.008310210130473908],[-3.64276483580484e-18]
Train,[-0.008424518915319871],[-1.3113953408897423e-16]
Train,[-0.008375321458795106],[-1.092829450741452e-16]
Train,[-0.006462672692566759],[9.1069120895121e-18]
Train,[-0.00859881152585593],[5.282009011917018e-17]
Train,[-0.008007469363184905],[1.82138241790242e-18]
Train,[-0.008139445687635525],[-5.46414725370726e-18]
Train,[-0.008657702893424579],[9.471188573092583e-17]
Train,[-0.020447467332144153],[-0.026621245462551197]
Train,[-0.022191750008259833],[-5.688607871304142e-07]
