Data,Predicted,Reference
Train,[-0.012606108093137149],[-0.03225818565279794]
Train,[0.0056148061474890565],[-7.769851570889031e-07]
Train,[0.00561480614749655],[-7.769851570670464e-07]
Train,[-0.013365918924095842],[-0.016908658625533646]
Train,[0.007813540220952549],[2.147515531627273e-06]
Train,[-0.009770398447818743],[-0.03181998237701682]
Train,[-0.006673042626283812],[-0.020466061799623576]
Train,[0.007736443050622747],[-2.2178075255649983e-06]
Train,[-0.01795655891576436],[0.034386940850617984]
Train,[0.008196662514789625],[1.3818615606561856e-06]
Train,[0.008059377419713576],[1.4598582711141459e-06]
Train,[-0.00474308617705236],[-0.004030206474187189]
Train,[0.0009622300267675205],[-9.471188573092583e-17]
Train,[-0.0035207257907359803],[5.46414725370726e-18]
Train,[-0.009765467987274332],[1.82138241790242e-18]
Train,[0.000495237893821615],[1.092829450741452e-17]
Train,[-0.0005041261277890225],[2.1475155316309158e-06]
Train,[-0.018571329287548653],[-0.02046606179962359]
Train,[-0.0194886991631608],[-0.03181998237701695]
Train,[-0.015287478177123753],[-2.2178075256323896e-06]
Train,[-0.010360435626492965],[-0.04557838729447085]
Train,[0.01734469395100939],[1.820191515441475e-06]
Train,[0.017344693950961755],[1.8201915155289015e-06]
Train,[-0.010933678248730271],[-0.07587621233758134]
Train,[0.019152430972317343],[-4.1009506176001475e-06]
Train,[-0.004986003236187595],[0.03502305871878561]
Train,[-0.00435717680773772],[0.04596011552868171]
Train,[0.017680403237501717],[2.452425396471171e-06]
Train,[-0.0069792492500578805],[-3.64276483580484e-18]
Train,[0.007262185824962606],[-1.092829450741452e-16]
Train,[0.008102510758301767],[-1.3113953408897423e-16]
Train,[0.006627345195544784],[9.1069120895121e-18]
Train,[-0.01810330124268691],[0.034386940850618]
Train,[0.008171611608743062],[1.45985827106679e-06]
Train,[0.008306206552947828],[1.381861560628865e-06]
Train,[-0.004464770896975913],[-0.004030206474187182]
Train,[0.0037387379656100726],[-4.100950617578291e-06]
Train,[-0.018790735949457273],[0.04596011552868179]
Train,[-0.01293157378079797],[0.035023058718785624]
Train,[0.00728416622307459],[2.4524253964638855e-06]
Train,[-0.014199530650055714],[-0.04635304026034097]
Train,[0.0035805568300075904],[8.766607765741092e-07]
Train,[0.003580556830001846],[8.766607766032513e-07]
Train,[-0.009067847628957036],[-0.040709636276467155]
Train,[-0.01105371504943099],[5.282009011917018e-17]
Train,[-0.01256690319517654],[-5.46414725370726e-18]
Train,[-0.012833686861365585],[1.82138241790242e-18]
Train,[-0.00781316308637816],[9.471188573092583e-17]
Train,[0.00405765199418361],[-9.471188573092583e-17]
Train,[-0.0019301674447865598],[1.82138241790242e-18]
Train,[0.004335100802771852],[5.46414725370726e-18]
Train,[0.011721943484534234],[1.092829450741452e-17]
Train,[-0.00824526768323232],[-3.64276483580484e-18]
Train,[-0.008311386661721527],[-1.3113953408897423e-16]
Train,[-0.008265657144055038],[-1.092829450741452e-16]
Train,[-0.006368742392310098],[9.1069120895121e-18]
Train,[-0.008557448062603001],[5.282009011917018e-17]
Train,[-0.007949823762034394],[1.82138241790242e-18]
Train,[-0.008078530254546388],[-5.46414725370726e-18]
Train,[-0.008550705327575583],[9.471188573092583e-17]
Train,[-0.02043565535724041],[-0.026621245462551197]
Train,[-0.022080578905479726],[-5.688607871304142e-07]
