Data,Predicted,Reference
Train,[-0.012655562640722616],[-0.03225818565279794]
Train,[0.005375843470096368],[-7.769851570889031e-07]
Train,[0.00537584347010377],[-7.769851570670464e-07]
Train,[-0.013381351062010684],[-0.016908658625533646]
Train,[0.007518332165109055],[2.147515531627273e-06]
Train,[-0.009815718463033179],[-0.03181998237701682]
Train,[-0.006724944113786028],[-0.020466061799623576]
Train,[0.007441466210669153],[-2.2178075255649983e-06]
Train,[-0.01794400750407594],[0.034386940850617984]
Train,[0.007894307172945014],[1.3818615606561856e-06]
Train,[0.007759577803810601],[1.4598582711141459e-06]
Train,[-0.004822969734467851],[-0.004030206474187189]
Train,[0.0006783028973797469],[-9.471188573092583e-17]
Train,[-0.003744231328432774],[5.46414725370726e-18]
Train,[-0.009917045279667925],[1.82138241790242e-18]
Train,[0.00024881484048467197],[1.092829450741452e-17]
Train,[-0.0008469115851102257],[2.1475155316309158e-06]
Train,[-0.01867957117858297],[-0.02046606179962359]
Train,[-0.019556718438321564],[-0.03181998237701695]
Train,[-0.015675930722529968],[-2.2178075256323896e-06]
Train,[-0.010433088305994029],[-0.04557838729447085]
Train,[0.017103199978249977],[1.820191515441475e-06]
Train,[0.017103199978202824],[1.8201915155289015e-06]
Train,[-0.011072683660651308],[-0.07587621233758134]
Train,[0.018995428356274158],[-4.1009506176001475e-06]
Train,[-0.005148993158573287],[0.03502305871878561]
Train,[-0.004653637973028361],[0.04596011552868171]
Train,[0.017446089521384132],[2.452425396471171e-06]
Train,[-0.007072087053257709],[-3.64276483580484e-18]
Train,[0.007109128648339922],[-1.092829450741452e-16]
Train,[0.007944231089333387],[-1.3113953408897423e-16]
Train,[0.0064908816114365026],[9.1069120895121e-18]
Train,[-0.018091302336791713],[0.034386940850618]
Train,[0.007872345489269846],[1.45985827106679e-06]
Train,[0.008004371096435144],[1.381861560628865e-06]
Train,[-0.004543251942707111],[-0.004030206474187182]
Train,[0.0034566921015252235],[-4.100950617578291e-06]
Train,[-0.01873899694121141],[0.04596011552868179]
Train,[-0.012904775001680564],[0.035023058718785624]
Train,[0.006988134797360297],[2.4524253964638855e-06]
Train,[-0.014202227054346948],[-0.04635304026034097]
Train,[0.0032834556321120353],[8.766607765741092e-07]
Train,[0.0032834556321067092],[8.766607766032513e-07]
Train,[-0.00909646777147403],[-0.040709636276467155]
Train,[-0.0110590481369356],[5.282009011917018e-17]
Train,[-0.01262259901021824],[-5.46414725370726e-18]
Train,[-0.012884473913342508],[1.82138241790242e-18]
Train,[-0.00798629050356683],[9.471188573092583e-17]
Train,[0.003771299618535542],[-9.471188573092583e-17]
Train,[-0.0020516136916113063],[1.82138241790242e-18]
Train,[0.004142119962228994],[5.46414725370726e-18]
Train,[0.011523333160561196],[1.092829450741452e-17]
Train,[-0.008410379656962485],[-3.64276483580484e-18]
Train,[-0.008598897050434033],[-1.3113953408897423e-16]
Train,[-0.008544360098105252],[-1.092829450741452e-16]
Train,[-0.006607521714145866],[9.1069120895121e-18]
Train,[-0.008662663956375346],[5.282009011917018e-17]
Train,[-0.008096408326908515],[1.82138241790242e-18]
Train,[-0.008233417321612426],[-5.46414725370726e-18]
Train,[-0.008822628853735153],[9.471188573092583e-17]
Train,[-0.02046556131732023],[-0.026621245462551197]
Train,[-0.022362817612848824],[-5.688607871304142e-07]
Train,[-0.02236281761284306],[-5.688607871322355e-07]
Train,[-0.026679482113726113],[-0.010823945532928939]
Train,[-0.01265723740424648],[-0.03225642570605386]
Train,[0.0018524466114946828],[7.900587201402797e-05]
Train,[0.0018524466114951637],[7.900587201395693e-05]
Train,[-0.0133274897523835],[-0.01692222211298195]
Train,[0.0015945078528703518],[0.00021839714942577227]
Train,[-0.019064694478787347],[0.03183374883540315]
Train,[-0.013246174073367107],[0.020468388897137785]
Train,[0.00131722669874019],[-0.00022558532345777192]
Train,[-0.01793474896138573],[0.034430140265059306]
Train,[0.0023241043038403006],[-0.00014064887786440584]
Train,[0.002120653883416111],[-0.00014859676587885906]
Train,[-0.004835534101101843],[-0.004036594411177927]
Train,[0.0016636870791267302],[-1.4753197585009603e-16]
Train,[-0.0005241427124882538],[2.185658901482904e-17]
Train,[-0.0022594274428197514],[1.457105934321936e-17]
Train,[0.0009721170164112256],[1.639244176112178e-17]
Train,[-0.008768702289699993],[0.0002183971494257249]
Train,[-0.02295670595639308],[0.020468388897137844]
Train,[-0.02063338054224278],[0.03183374883540315]
Train,[-0.021218657887190188],[-0.00022558532345770454]
Train,[-0.010350956262075063],[-0.04565742741386274]
Train,[0.008928377818953054],[-0.00018499056409219296]
Train,[0.008928377818953587],[-0.00018499056409211466]
Train,[-0.011106507513244861],[-0.07587345187227598]
Train,[0.014493917559897073],[-0.000417703483878227]
Train,[-0.006705098212922441],[-0.03506887734551717]
Train,[-0.010132022829880455],[-0.04598491259983777]
Train,[0.009195062426455352],[0.00024937868650868835]
Train,[-0.00606550823671481],[-1.274967692531694e-17]
Train,[0.008138279532511903],[1.5117474068590086e-16]
Train,[0.009171830152543307],[1.9853068355136378e-16]
Train,[0.010227229610848858],[-4.371317802965808e-17]
Train,[-0.01808608635898054],[0.034430140265059465]
Train,[0.002338939804475961],[-0.0001485967658787516]
Train,[0.0025394128968778667],[-0.00014064887786438763]
Train,[-0.004550080037759332],[-0.00403659441117794]
Train,[-1.5549361091653116e-05],[-0.00041770348387830354]
Train,[-0.008986132801178114],[-0.04598491259983788]
Train,[-0.008581402276741278],[-0.03506887734551722]
Train,[0.002518301447786291],[0.00024937868650867014]
Train,[-0.014256445966982785],[-0.04642098563854254]
Train,[0.001233389228663426],[-8.929989840338444e-05]
Train,[0.001233389228662887],[-8.92998984034318e-05]
Train,[-0.00910243812644175],[-0.04070587366488182]
Train,[-0.010846308495093014],[8.742635605931616e-17]
Train,[-0.011199224338948563],[-3.096350110434114e-17]
Train,[-0.011623835438313775],[-2.367797143273146e-17]
Train,[-0.007526034407450168],[1.274967692531694e-16]
Train,[0.004297936281980876],[-1.4753197585009603e-16]
Train,[0.005394082910027692],[1.457105934321936e-17]
Train,[0.006844132665085762],[2.185658901482904e-17]
Train,[0.012171461064577588],[1.639244176112178e-17]
Train,[-0.008458684664213163],[-1.274967692531694e-17]
Train,[-0.008623528665084038],[1.9853068355136378e-16]
Train,[-0.008539463947017401],[1.5117474068590086e-16]
Train,[-0.005698778321964089],[-4.371317802965808e-17]
Train,[-0.00901302753808303],[8.742635605931616e-17]
Train,[-0.0087424008696939],[-2.367797143273146e-17]
Train,[-0.009020840226154079],[-3.096350110434114e-17]
Train,[-0.008824059616703477],[1.274967692531694e-16]
Train,[-0.02032043489405552],[-0.026634468268519597]
Train,[-0.02766506211298362],[5.783038463533851e-05]
Train,[-0.02766506211298365],[5.7830384635351266e-05]
Train,[-0.02666136143750107],[-0.010832636499721451]
Train,[-0.012655179252438472],[-0.032258451158275296]
Train,[0.0036587685862030928],[-1.3271416039564208e-05]
Train,[0.0036587685862002],[-1.3271416039666206e-05]
Train,[-0.013392988451845509],[-0.016905929475836967]
Train,[0.004220433154458415],[3.667982742938658e-05]
Train,[-0.009814563838844914],[-0.03181689782676138]
Train,[-0.006722775785196804],[-0.020465344205368968]
Train,[0.0039851408830918625],[-3.7879038950043834e-05]
Train,[-0.01794587592074179],[0.03437783697126322]
Train,[0.004738046725357884],[2.359828106542327e-05]
Train,[0.004563406446822996],[2.4929931815233868e-05]
Train,[-0.004820302272141673],[-0.004028753092825896]
Train,[0.0004981511476032825],[-8.19622088056089e-17]
Train,[0.00023016821970336072],[1.82138241790242e-17]
Train,[-0.000825029614733105],[1.274967692531694e-17]
Train,[-0.00046069214724163584],[7.28552967160968e-18]
Train,[-0.005668356258227178],[3.667982742931737e-05]
Train,[-0.018705434111204934],[-0.02046534420536899]
Train,[-0.01957215490269673],[-0.031816897826761434]
Train,[-0.019203860065408043],[-3.787903895011487e-05]
Train,[-0.010450221976750907],[-0.045562209296626306]
Train,[0.012370432183465356],[3.1093243300779163e-05]
Train,[0.012370432183468281],[3.1093243300713596e-05]
Train,[-0.01106593592622555],[-0.07587647421210354]
Train,[0.01675365743527763],[-7.002230991633843e-05]
Train,[-0.005146121394437471],[0.03501319319465092]
Train,[-0.004642515888637519],[0.04595459277084304]
Train,[0.012748180717984399],[4.188850986001449e-05]
Train,[-0.0030820995769218736],[1.639244176112178e-17]
Train,[0.006789884108726423],[-9.471188573092583e-17]
Train,[0.00772611170498313],[-1.1656847474575488e-16]
Train,[0.01075921040315949],[3.824903077595082e-17]
Train,[-0.018092344120767632],[0.034377836971263155]
Train,[0.004736875864946219],[2.4929931815233868e-05]
Train,[0.004908449798125698],[2.3598281065485193e-05]
Train,[-0.004541757655259214],[-0.004028753092825932]
Train,[0.0018589516174669243],[-7.002230991629472e-05]
Train,[-0.018741335573429913],[0.04595459277084304]
Train,[-0.012905005013481314],[0.035013193194650974]
Train,[0.004702881156947901],[4.188850985993799e-05]
Train,[-0.014191073088490859],[-0.04633911749680126]
Train,[0.0024375388118767923],[1.496840694527187e-05]
Train,[0.002437538811876523],[1.496840694528462e-05]
Train,[-0.009095206646656643],[-0.040710207897740124]
Train,[-0.011056676264789083],[5.282009011917018e-17]
Train,[-0.010880373922609144],[-2.914211868643872e-17]
Train,[-0.011118056603345083],[-2.549935385063388e-17]
Train,[-0.008275175518611387],[7.649806155190164e-17]
Train,[0.003673102090368989],[-8.19622088056089e-17]
Train,[0.006658225305159932],[1.274967692531694e-17]
Train,[0.007511282147101665],[1.82138241790242e-17]
Train,[0.01085441297051594],[7.28552967160968e-18]
Train,[-0.009165690277893138],[1.639244176112178e-17]
Train,[-0.008599224765285626],[-1.1656847474575488e-16]
Train,[-0.008541756899607017],[-9.471188573092583e-17]
Train,[-0.005610963919912566],[3.824903077595082e-17]
Train,[-0.008684028828030937],[5.282009011917018e-17]
Train,[-0.009182828436887867],[-2.549935385063388e-17]
Train,[-0.009339541404115713],[-2.914211868643872e-17]
Train,[-0.008797368026211269],[7.649806155190164e-17]
Train,[-0.02049411498172278],[-0.026618455211376083]
Train,[-0.02556224485452487],[-9.716962955821612e-06]
Train,[-0.025562244854526166],[-9.716962955823433e-06]
Train,[-0.026683143277114577],[-0.010822185141719742]
Train,[-0.012669381105950953],[-0.03225291592097013]
