Data,Predicted,Reference
Train,[-0.011055641856812777],[-0.03225818565279794]
Train,[-0.0003740090686124649],[-7.769851570889031e-07]
Train,[-0.000374009068614146],[-7.769851570670464e-07]
Train,[-0.016387841254014743],[-0.016908658625533646]
Train,[0.008566234857267546],[2.147515531627273e-06]
Train,[-0.011798401848104644],[-0.03181998237701682]
Train,[-0.009948720094278154],[-0.020466061799623576]
Train,[0.008509598191704236],[-2.2178075255649983e-06]
Train,[-0.01760578183184022],[0.034386940850617984]
Train,[0.008990300819815687],[1.3818615606561856e-06]
Train,[0.008836709106948504],[1.4598582711141459e-06]
Train,[-0.007250032591344298],[-0.004030206474187189]
Train,[0.0011674803813121826],[-9.471188573092583e-17]
Train,[-0.003574292263421806],[5.46414725370726e-18]
Train,[-0.007976620435431193],[1.82138241790242e-18]
Train,[-0.0026367701434975967],[1.092829450741452e-17]
Train,[0.007483335593011289],[2.1475155316309158e-06]
Train,[-0.006277008215762056],[-0.02046606179962359]
Train,[-0.007793699562108031],[-0.03181998237701695]
Train,[0.015608095940939664],[-2.2178075256323896e-06]
Train,[-0.007544200195324981],[-0.04557838729447085]
Train,[-0.004869166323645857],[1.820191515441475e-06]
Train,[-0.004869166323673922],[1.8201915155289015e-06]
Train,[-0.0005697511480619156],[-0.07587621233758134]
Train,[-0.009694868833888887],[-4.1009506176001475e-06]
Train,[-0.0030441128565292853],[0.03502305871878561]
Train,[0.00858554686915361],[0.04596011552868171]
Train,[-0.0054176685599439545],[2.452425396471171e-06]
Train,[-0.015814745080545065],[-3.64276483580484e-18]
Train,[-0.011645408634770612],[-1.092829450741452e-16]
Train,[-0.011370719410881157],[-1.3113953408897423e-16]
Train,[-0.010110440350622618],[9.1069120895121e-18]
Train,[-0.017483089274474183],[0.034386940850618]
Train,[0.008996198178049234],[1.45985827106679e-06]
Train,[0.009149470668167818],[1.381861560628865e-06]
Train,[-0.007235444739934914],[-0.004030206474187182]
Train,[0.007042688120835862],[-4.100950617578291e-06]
Train,[-0.022368003825587544],[0.04596011552868179]
Train,[-0.019214763365797596],[0.035023058718785624]
Train,[0.00865543320048076],[2.4524253964638855e-06]
Train,[-0.015441641468231975],[-0.04635304026034097]
Train,[0.007812055503463496],[8.766607765741092e-07]
Train,[0.007812055503441825],[8.766607766032513e-07]
Train,[-0.014111646246338731],[-0.040709636276467155]
Train,[-0.023633451042741768],[5.282009011917018e-17]
Train,[-0.017061914463827307],[-5.46414725370726e-18]
Train,[-0.017442220295827336],[1.82138241790242e-18]
Train,[-0.006616002489316123],[9.471188573092583e-17]
Train,[0.003480896404400349],[-9.471188573092583e-17]
Train,[-0.010287974662530326],[1.82138241790242e-18]
Train,[-0.005633622741779507],[5.46414725370726e-18]
Train,[-0.007438722336603226],[1.092829450741452e-17]
Train,[0.0042951683550274755],[-3.64276483580484e-18]
Train,[0.01241413623276479],[-1.3113953408897423e-16]
Train,[0.011686183832777936],[-1.092829450741452e-16]
Train,[0.005082942361799338],[9.1069120895121e-18]
Train,[-0.0024860000713966],[5.282009011917018e-17]
Train,[0.0027107022608584565],[1.82138241790242e-18]
Train,[0.0035097580295262126],[-5.46414725370726e-18]
Train,[0.011562885954312745],[9.471188573092583e-17]
Train,[-0.01057553859376266],[-0.026621245462551197]
Train,[0.009514194803153261],[-5.688607871304142e-07]
Train,[0.009514194803157332],[-5.688607871322355e-07]
Train,[-0.004917742782404236],[-0.010823945532928939]
Train,[-0.011039504423342865],[-0.03225642570605386]
Train,[-0.00167720973744199],[7.900587201402797e-05]
Train,[-0.0016772097374417277],[7.900587201395693e-05]
Train,[-0.016304759109819374],[-0.01692222211298195]
Train,[0.0011554026346878273],[0.00021839714942577227]
Train,[-0.01487062743010667],[0.03183374883540315]
Train,[-0.010152533621343739],[0.020468388897137785]
Train,[0.0025628975204677927],[-0.00022558532345777192]
Train,[-0.01763759205959572],[0.034430140265059306]
Train,[0.001922225322293362],[-0.00014064887786440584]
Train,[0.0016506114063200908],[-0.00014859676587885906]
Train,[-0.007256930293909227],[-0.004036594411177927]
