Data,Predicted,Reference
Train,[-0.01105646285327163],[-0.03225818565279794]
Train,[-0.013915597056812149],[-7.769851570889031e-07]
Train,[-0.01391559705679472],[-7.769851570670464e-07]
Train,[-0.023430858951460652],[-0.016908658625533646]
Train,[-0.0065505350672519945],[2.147515531627273e-06]
Train,[-0.014128410529363826],[-0.03181998237701682]
Train,[-0.010875292294840912],[-0.020466061799623576]
Train,[-0.004146196095175545],[-2.2178075255649983e-06]
Train,[-0.0113549932366151],[0.034386940850617984]
Train,[-0.006834087758882932],[1.3818615606561856e-06]
Train,[-0.006828743625772665],[1.4598582711141459e-06]
Train,[-0.008573396429273102],[-0.004030206474187189]
Train,[-0.008246979282357863],[-9.471188573092583e-17]
Train,[-0.006757996337901219],[5.46414725370726e-18]
Train,[-0.00879126352684907],[1.82138241790242e-18]
Train,[-0.004858960345667171],[1.092829450741452e-17]
Train,[-0.0024109907576287163],[2.1475155316309158e-06]
Train,[-0.0055094192589479575],[-0.02046606179962359]
Train,[-0.009152634575256616],[-0.03181998237701695]
Train,[-0.0027643769554152654],[-2.2178075256323896e-06]
Train,[0.00016567397203471547],[-0.04557838729447085]
Train,[-0.0007844598680975235],[1.820191515441475e-06]
Train,[-0.0007844598680841346],[1.8201915155289015e-06]
Train,[-0.01374286821946832],[-0.07587621233758134]
Train,[0.002593186262085872],[-4.1009506176001475e-06]
Train,[0.013142601607141771],[0.03502305871878561]
Train,[0.013566571046601429],[0.04596011552868171]
Train,[-0.0005457222250595073],[2.452425396471171e-06]
Train,[-0.011017069123548273],[-3.64276483580484e-18]
Train,[-0.006430632948315969],[-1.092829450741452e-16]
Train,[-0.006105941377284862],[-1.3113953408897423e-16]
Train,[-0.008223139801439938],[9.1069120895121e-18]
Train,[-0.011661880857955479],[0.034386940850618]
Train,[-0.006685148421907015],[1.45985827106679e-06]
Train,[-0.006692482352412679],[1.381861560628865e-06]
Train,[-0.008345348537910356],[-0.004030206474187182]
Train,[-0.0047901580944763305],[-4.100950617578291e-06]
Train,[-0.021138535303446396],[0.04596011552868179]
Train,[-0.008304499932159435],[0.035023058718785624]
Train,[-0.010438394519382726],[2.4524253964638855e-06]
Train,[-0.015797586011030852],[-0.04635304026034097]
Train,[-0.005464788427806275],[8.766607765741092e-07]
Train,[-0.0054647884277704666],[8.766607766032513e-07]
Train,[-0.019971141953677485],[-0.040709636276467155]
Train,[-0.005383300984260669],[5.282009011917018e-17]
