Data,Predicted,Reference
Train,[-0.014340289103830726],[-0.03225818565279794]
Train,[0.0051584739423962975],[-7.769851570889031e-07]
Train,[0.005158473942410959],[-7.769851570670464e-07]
Train,[-0.011044209612650692],[-0.016908658625533646]
Train,[0.00325085902115595],[2.147515531627273e-06]
Train,[-0.014338518066022947],[-0.03181998237701682]
Train,[-0.014232591255883692],[-0.020466061799623576]
Train,[0.0033088158106779455],[-2.2178075255649983e-06]
Train,[-0.018760828293494552],[0.034386940850617984]
Train,[0.0038931716203014478],[1.3818615606561856e-06]
Train,[0.003662053424236281],[1.4598582711141459e-06]
Train,[-0.012672747977526128],[-0.004030206474187189]
Train,[0.01036609802101992],[-9.471188573092583e-17]
Train,[0.006210014346603622],[5.46414725370726e-18]
Train,[-0.00028287759737590624],[1.82138241790242e-18]
Train,[0.008948833829219427],[1.092829450741452e-17]
Train,[0.009044704297406914],[2.1475155316309158e-06]
Train,[-0.012611979176468438],[-0.02046606179962359]
Train,[-0.016218795398806662],[-0.03181998237701695]
Train,[0.0033752592238752177],[-2.2178075256323896e-06]
Train,[-0.01225908677625293],[-0.04557838729447085]
Train,[0.012246289045362168],[1.820191515441475e-06]
Train,[0.012246289045317011],[1.8201915155289015e-06]
Train,[-0.01176610800189376],[-0.07587621233758134]
Train,[0.004842957289274476],[-4.1009506176001475e-06]
Train,[-0.005534920891078487],[0.03502305871878561]
Train,[0.0009339616635832234],[0.04596011552868171]
Train,[0.0118755262127818],[2.452425396471171e-06]
Train,[0.000786805864964992],[-3.64276483580484e-18]
Train,[0.007233625623602394],[-1.092829450741452e-16]
Train,[0.007814390383119211],[-1.3113953408897423e-16]
Train,[0.0027487220266141713],[9.1069120895121e-18]
Train,[-0.018822940405861566],[0.034386940850618]
Train,[0.003384287806373831],[1.45985827106679e-06]
Train,[0.003617589521232077],[1.381861560628865e-06]
Train,[-0.01289322379162134],[-0.004030206474187182]
Train,[0.002306298704892784],[-4.100950617578291e-06]
Train,[-0.019417159477537582],[0.04596011552868179]
