Data,Predicted,Reference
Train,[-0.018204747376894245],[-0.03225818565279794]
Train,[-0.01581840468914342],[-7.769851570889031e-07]
Train,[-0.015818404689133737],[-7.769851570670464e-07]
Train,[-0.01114165923229517],[-0.016908658625533646]
Train,[-0.023962276611064953],[2.147515531627273e-06]
Train,[-0.018405422446309987],[-0.03181998237701682]
Train,[-0.021621918092727423],[-0.020466061799623576]
Train,[-0.02332980784788124],[-2.2178075255649983e-06]
Train,[-0.017214637266865045],[0.034386940850617984]
Train,[-0.023788094500886835],[1.3818615606561856e-06]
Train,[-0.02386014381726133],[1.4598582711141459e-06]
Train,[-0.022259741205286048],[-0.004030206474187189]
Train,[-0.00736073137778306],[-9.471188573092583e-17]
Train,[-0.006655955800321763],[5.46414725370726e-18]
Train,[-0.00786704537178629],[1.82138241790242e-18]
Train,[-0.006505870869948795],[1.092829450741452e-17]
Train,[-0.003084783231814608],[2.1475155316309158e-06]
Train,[-0.004544080965863091],[-0.02046606179962359]
Train,[-0.013460707279419086],[-0.03181998237701695]
Train,[-0.003393694565234982],[-2.2178075256323896e-06]
Train,[-0.017957443913214244],[-0.04557838729447085]
Train,[-0.0068093977046500415],[1.820191515441475e-06]
Train,[-0.006809397704631154],[1.8201915155289015e-06]
Train,[-0.02010101803378287],[-0.07587621233758134]
Train,[-0.01458743384572347],[-4.1009506176001475e-06]
Train,[-0.011203365313517436],[0.03502305871878561]
Train,[-0.014590596790405681],[0.04596011552868171]
Train,[-0.00712528903648091],[2.452425396471171e-06]
Train,[-0.008359711079829257],[-3.64276483580484e-18]
Train,[-0.013066905678717095],[-1.092829450741452e-16]
Train,[-0.012949980823067937],[-1.3113953408897423e-16]
Train,[-0.020894530547790884],[9.1069120895121e-18]
Train,[-0.017167435521123698],[0.034386940850618]
Train,[-0.024235859063247905],[1.45985827106679e-06]
Train,[-0.02416022925859482],[1.381861560628865e-06]
Train,[-0.0226147380285682],[-0.004030206474187182]
Train,[-0.022126001421424617],[-4.100950617578291e-06]
Train,[-0.015840055729704122],[0.04596011552868179]
Train,[-0.02013263303238761],[0.035023058718785624]
