Time,Iteration,Cost,Parameters
Fri Aug 23 21:43:14 2024,0,0.1490240050737203,[-2.90646145  2.23415663 -2.12100163 -0.11980903  0.55060907]
Fri Aug 23 21:44:27 2024,1,0.15236754248971598,[-2.90946677  2.23115131 -2.11799631 -0.11680371  0.54760375]
Fri Aug 23 21:45:40 2024,2,0.15153460877303132,[-2.91299343  2.22762466 -2.11446966 -0.12033036  0.5440771 ]
Fri Aug 23 21:46:53 2024,3,0.1501750592034327,[-2.91697518  2.22364291 -2.11048791 -0.11634862  0.54805885]
Fri Aug 23 21:48:07 2024,4,0.1484202485969705,[-2.92019694  2.22042114 -2.11370967 -0.11312685  0.54483708]
Fri Aug 23 21:49:20 2024,5,0.14702755680770133,[-2.92330248  2.22352669 -2.11681521 -0.11623239  0.54173154]
Fri Aug 23 21:50:33 2024,6,0.1533931004381734,[-2.92583356  2.2209956  -2.11428413 -0.11370131  0.53920046]
Fri Aug 23 21:51:46 2024,7,0.14861632137285544,[-2.92876521  2.22392725 -2.11135248 -0.11663296  0.54213211]
Fri Aug 23 21:52:59 2024,8,0.15171493900389868,[-2.93218509  2.22734713 -2.11477236 -0.11321308  0.54555199]
Fri Aug 23 21:54:12 2024,9,0.14890266761553037,[-2.93481684  2.22471539 -2.11740411 -0.11584483  0.54292024]
Fri Aug 23 21:55:25 2024,10,0.14604805478387103,[-2.93754323  2.22744178 -2.11467772 -0.11311843  0.54564664]
Fri Aug 23 21:56:38 2024,11,0.1477513402586198,[-2.94012344  2.23002199 -2.11725792 -0.11053822  0.54822685]
Fri Aug 23 21:57:51 2024,12,0.1480355643790817,[-2.94192267  2.22822275 -2.11545869 -0.10873899  0.55002608]
Fri Aug 23 21:59:04 2024,13,0.14961521678287876,[-2.94416925  2.23046934 -2.11321211 -0.11098557  0.55227266]
Fri Aug 23 22:00:17 2024,14,0.1498430516198964,[-2.94719009  2.23349017 -2.11019127 -0.11400641  0.54925183]
Fri Aug 23 22:01:30 2024,15,0.1487491029740795,[-2.94951486  2.2311654  -2.10786651 -0.11633117  0.54692706]
Fri Aug 23 22:02:44 2024,16,0.14807283964293494,[-2.9526359   2.22804436 -2.11098755 -0.11321013  0.54380601]
Fri Aug 23 22:03:57 2024,17,0.14670582413347688,[-2.95550218  2.22517808 -2.11385383 -0.11034385  0.54667229]
Fri Aug 23 22:05:10 2024,18,0.148118298832286,[-2.9577309   2.22294936 -2.11608255 -0.10811513  0.54890101]
Fri Aug 23 22:06:23 2024,19,0.1479722712413228,[-2.9602038   2.22542226 -2.11360966 -0.10564223  0.55137391]
Fri Aug 23 22:07:36 2024,20,0.15085578000008282,[-2.9623919   2.22761036 -2.11142155 -0.10783034  0.55356201]
Fri Aug 23 22:08:49 2024,21,0.15176353430281142,[-2.9648199   2.22518236 -2.10899355 -0.10540234  0.55599001]
Fri Aug 23 22:10:02 2024,22,0.14519750005658644,[-2.96703202  2.22297024 -2.10678143 -0.10319022  0.5537779 ]
Fri Aug 23 22:11:15 2024,23,0.14715436600741,[-2.96964243  2.22035983 -2.10417102 -0.10057981  0.55116749]
Fri Aug 23 22:12:28 2024,24,0.14666680472425692,[-2.97206462  2.22278203 -2.10659322 -0.09815762  0.5487453 ]
Fri Aug 23 22:13:42 2024,25,0.15029163484545988,[-2.97480422  2.22552162 -2.10933281 -0.10089722  0.5460057 ]
Fri Aug 23 22:14:55 2024,26,0.1494600626247557,[-2.97748629  2.22283954 -2.10665073 -0.09821514  0.54332362]
Fri Aug 23 22:16:08 2024,27,0.14597942548036658,[-2.97997657  2.22532982 -2.10914101 -0.10070541  0.54083335]
Fri Aug 23 22:17:21 2024,28,0.14814738499953375,[-2.98156574  2.22374065 -2.11073018 -0.10229458  0.53924418]
Fri Aug 23 22:18:34 2024,29,0.1437082999419306,[-2.98424474  2.22641966 -2.10805117 -0.10497359  0.53656517]
Fri Aug 23 22:19:47 2024,30,0.14931657248176108,[-2.9874122   2.22958711 -2.11121862 -0.10814104  0.53339772]
Fri Aug 23 22:21:00 2024,31,0.15174520771785358,[-2.98958978  2.23176469 -2.10904104 -0.10596346  0.53122014]
Fri Aug 23 22:22:13 2024,32,0.1447251090985033,[-2.99172178  2.23389669 -2.11117304 -0.10383146  0.53335214]
Fri Aug 23 22:23:25 2024,33,0.14245858639806677,[-2.99349381  2.23566872 -2.11294506 -0.10560349  0.53512416]
Fri Aug 23 22:24:38 2024,34,0.14916703764345574,[-2.99599037  2.23816529 -2.11544163 -0.10810005  0.53762073]
Fri Aug 23 22:25:50 2024,35,0.1424980159698926,[-2.99822101  2.24039592 -2.11767227 -0.10586941  0.53985137]
Fri Aug 23 22:27:03 2024,36,0.14904125329618698,[-3.00060944  2.24278436 -2.11528384 -0.10825785  0.53746294]
Fri Aug 23 22:28:15 2024,37,0.14420920639226703,[-3.00249789  2.24089591 -2.11717229 -0.1101463   0.53935139]
Fri Aug 23 22:29:27 2024,38,0.14402736448824452,[-3.00475313  2.23864067 -2.11491705 -0.10789106  0.54160662]
Fri Aug 23 22:30:40 2024,39,0.14609830749960903,[-3.00632223  2.24020977 -2.11648615 -0.10632196  0.54003752]
Fri Aug 23 22:31:52 2024,40,0.14393719294623675,[-3.00858316  2.24247069 -2.11422523 -0.10406103  0.5377766 ]
Fri Aug 23 22:33:05 2024,41,0.14103715731691982,[-3.01099785  2.240056   -2.11663992 -0.10647572  0.54019129]
Fri Aug 23 22:34:17 2024,42,0.1421618617367898,[-3.01252263  2.23853122 -2.1181647  -0.1080005   0.54171607]
Fri Aug 23 22:35:29 2024,43,0.14684447228814046,[-3.0147232   2.24073179 -2.12036527 -0.11020107  0.54391664]
Fri Aug 23 22:36:41 2024,44,0.1465308774479294,[-3.01676328  2.24277187 -2.12240534 -0.11224115  0.54187656]
Fri Aug 23 22:37:53 2024,45,0.14196156444358066,[-3.01913401  2.24040114 -2.12477608 -0.10987042  0.5442473 ]
Fri Aug 23 22:39:06 2024,46,0.1437314060344862,[-3.02055719  2.23897795 -2.12335289 -0.10844723  0.54282411]
Fri Aug 23 22:40:19 2024,47,0.14235529474895792,[-3.0231814   2.23635375 -2.1259771  -0.10582302  0.5401999 ]
Fri Aug 23 22:41:31 2024,48,0.14141397876145959,[-3.02559992  2.23393523 -2.12839562 -0.10340451  0.54261842]
Fri Aug 23 22:42:44 2024,49,0.14200993977727372,[-3.02737304  2.23570835 -2.1266225  -0.10163139  0.54439154]
Fri Aug 23 22:43:56 2024,50,0.14390302071300973,[-3.02898875  2.23409263 -2.12823822 -0.10324711  0.54277582]
Fri Aug 23 22:45:09 2024,51,0.14961254931739948,[-3.03132265  2.23642652 -2.13057211 -0.10091322  0.54044193]
Fri Aug 23 22:46:21 2024,52,0.1430495903865033,[-3.03321831  2.23453085 -2.12867645 -0.09901755  0.53854626]
Fri Aug 23 22:47:34 2024,53,0.14370877763269363,[-3.03521525  2.23253392 -2.12667951 -0.10101449  0.5405432 ]
Fri Aug 23 22:48:46 2024,54,0.14292046689927548,[-3.03719793  2.2345166  -2.12469683 -0.10299717  0.53856051]
Fri Aug 23 22:49:58 2024,55,0.141611759910308,[-3.03948216  2.23223237 -2.12698106 -0.1052814   0.54084474]
Fri Aug 23 22:51:11 2024,56,0.14173393779864088,[-3.04147305  2.23422326 -2.12499017 -0.10727228  0.53885386]
Fri Aug 23 22:52:23 2024,57,0.1440783216991974,[-3.04364452  2.23639474 -2.12716165 -0.10510081  0.53668238]
Fri Aug 23 22:53:36 2024,58,0.14243010364420675,[-3.0459908   2.23404846 -2.12950792 -0.10744708  0.53902865]
Fri Aug 23 22:54:48 2024,59,0.14170113439447576,[-3.0478163   2.23222296 -2.12768242 -0.10562158  0.53720315]
