Data,Predicted,Reference
Train,[-0.014354462267433053],[-0.03225818565279794]
Train,[0.0023455497543180513],[-7.769851570889031e-07]
Train,[0.002345549754330535],[-7.769851570670464e-07]
Train,[-0.016578725030690376],[-0.016908658625533646]
Train,[0.001095103302526761],[2.147515531627273e-06]
Train,[-0.008669201580644194],[-0.03181998237701682]
Train,[-0.0030643626375925575],[-0.020466061799623576]
Train,[0.0023687275122792084],[-2.2178075255649983e-06]
Train,[-0.010137156583850018],[0.034386940850617984]
Train,[0.0010298507058685868],[1.3818615606561856e-06]
Train,[0.001031824486988492],[1.4598582711141459e-06]
Train,[-0.0011852174816594108],[-0.004030206474187189]
Train,[-0.004018750535783667],[-9.471188573092583e-17]
Train,[-0.004071618733705119],[5.46414725370726e-18]
Train,[-0.006167250826495025],[1.82138241790242e-18]
Train,[-0.0015739773743742222],[1.092829450741452e-17]
Train,[-0.0006889380102836922],[2.1475155316309158e-06]
Train,[0.002518437036790406],[-0.02046606179962359]
Train,[-0.0024565206787189775],[-0.03181998237701695]
Train,[0.005574987981821208],[-2.2178075256323896e-06]
Train,[-0.013480098595424537],[-0.04557838729447085]
Train,[-0.009319704467056262],[1.820191515441475e-06]
Train,[-0.009319704467007833],[1.8201915155289015e-06]
Train,[0.005412828521241764],[-0.07587621233758134]
Train,[-0.008398399847066808],[-4.1009506176001475e-06]
Train,[-0.004192943613997266],[0.03502305871878561]
Train,[0.0023465081636044275],[0.04596011552868171]
Train,[-0.00928784313210368],[2.452425396471171e-06]
Train,[-0.010099142799067108],[-3.64276483580484e-18]
Train,[-0.015218120176950022],[-1.092829450741452e-16]
Train,[-0.015567497439504703],[-1.3113953408897423e-16]
Train,[-0.014694928789244804],[9.1069120895121e-18]
Train,[-0.010276919967411152],[0.034386940850618]
Train,[0.0009957947506610615],[1.45985827106679e-06]
Train,[0.0009939286362854708],[1.381861560628865e-06]
Train,[-0.0012431191501908684],[-0.004030206474187182]
Train,[-2.6676114964011703e-05],[-4.100950617578291e-06]
Train,[-0.014562626610884552],[0.04596011552868179]
Train,[-0.013652593363798692],[0.035023058718785624]
Train,[0.00046456917597851265],[2.4524253964638855e-06]
Train,[-0.015423594995828089],[-0.04635304026034097]
Train,[-1.6789653722264765e-05],[8.766607765741092e-07]
Train,[-1.6789653721527104e-05],[8.766607766032513e-07]
Train,[-0.0088511896106039],[-0.040709636276467155]
Train,[-0.007542129120398122],[5.282009011917018e-17]
Train,[-0.012851777543085516],[-5.46414725370726e-18]
Train,[-0.013318801200294843],[1.82138241790242e-18]
Train,[-0.008855655460318444],[9.471188573092583e-17]
Train,[-0.002222284093226985],[-9.471188573092583e-17]
Train,[0.000641409000462498],[1.82138241790242e-18]
Train,[0.0002942320366259315],[5.46414725370726e-18]
Train,[-0.003267620456374409],[1.092829450741452e-17]
Train,[-0.0016226012661255734],[-3.64276483580484e-18]
Train,[6.105415630895458e-05],[-1.3113953408897423e-16]
Train,[0.0002450823002358974],[-1.092829450741452e-16]
Train,[0.0010535250157185714],[9.1069120895121e-18]
Train,[-0.002580266726283881],[5.282009011917018e-17]
Train,[-0.0024222231489911877],[1.82138241790242e-18]
Train,[-0.0020076270909394167],[-5.46414725370726e-18]
Train,[0.00020762937553474875],[9.471188573092583e-17]
Train,[-0.02004247242606265],[-0.026621245462551197]
Train,[-0.011436517006050858],[-5.688607871304142e-07]
Train,[-0.011436517006052534],[-5.688607871322355e-07]
Train,[-0.006095664499035233],[-0.010823945532928939]
Train,[-0.014328985664606999],[-0.03225642570605386]
Train,[-0.0016671339914625164],[7.900587201402797e-05]
Train,[-0.001667133991462123],[7.900587201395693e-05]
Train,[-0.016615146127604417],[-0.01692222211298195]
Train,[0.0004939773491168115],[0.00021839714942577227]
Train,[-0.007947876683843459],[0.03183374883540315]
Train,[-0.0021740633122268754],[0.020468388897137785]
Train,[0.002529867486033684],[-0.00022558532345777192]
Train,[-0.010159511789751515],[0.034430140265059306]
Train,[0.00044813409930695604],[-0.00014064887786440584]
Train,[0.0004012050022228676],[-0.00014859676587885906]
Train,[-0.0011913109239155685],[-0.004036594411177927]
Train,[-0.003731241745321257],[-1.4753197585009603e-16]
Train,[-0.0033862247488745255],[2.185658901482904e-17]
Train,[-0.0037377496042060353],[1.457105934321936e-17]
Train,[-0.001536226465661368],[1.639244176112178e-17]
Train,[0.0072124457671481675],[0.0002183971494257249]
Train,[0.00823861677115655],[0.020468388897137844]
Train,[0.0011095560112037136],[0.03183374883540315]
Train,[0.013865518329257028],[-0.00022558532345770454]
Train,[-0.013588103277710643],[-0.04565742741386274]
Train,[-0.003956330826064598],[-0.00018499056409219296]
Train,[-0.003956330826064684],[-0.00018499056409211466]
Train,[0.005309073138265669],[-0.07587345187227598]
Train,[-0.006090916679634045],[-0.000417703483878227]
Train,[-0.014227871991553256],[-0.03506887734551717]
