Data,Predicted,Reference
Train,[-0.012626060327938268],[-0.03225818565279794]
Train,[0.0055184448664463304],[-7.769851570889031e-07]
Train,[0.0055184448664537585],[-7.769851570670464e-07]
Train,[-0.013372132397643267],[-0.016908658625533646]
Train,[0.007694474106088505],[2.147515531627273e-06]
Train,[-0.00978865656661998],[-0.03181998237701682]
Train,[-0.006693933726039602],[-0.020466061799623576]
Train,[0.007617469701596044],[-2.2178075255649983e-06]
Train,[-0.017951505433110027],[0.034386940850617984]
Train,[0.008074712090630891],[1.3818615606561856e-06]
Train,[0.00793845836422083],[1.4598582711141459e-06]
Train,[-0.004775265924984457],[-0.004030206474187189]
Train,[0.0008476640338235174],[-9.471188573092583e-17]
Train,[-0.0036109188867234775],[5.46414725370726e-18]
Train,[-0.009826654232842498],[1.82138241790242e-18]
Train,[0.0003958197158998577],[1.092829450741452e-17]
Train,[-0.0006424832959044858],[2.1475155316309158e-06]
Train,[-0.018615081708703338],[-0.02046606179962359]
Train,[-0.019516209246391237],[-0.03181998237701695]
Train,[-0.015444408793808878],[-2.2178075256323896e-06]
Train,[-0.010389741143351556],[-0.04557838729447085]
Train,[0.01724740828788189],[1.820191515441475e-06]
Train,[0.01724740828783447],[1.8201915155289015e-06]
Train,[-0.010989795214236634],[-0.07587621233758134]
Train,[0.019089295142918194],[-4.1009506176001475e-06]
Train,[-0.00505176016899153],[0.03502305871878561]
Train,[-0.004476851141215017],[0.04596011552868171]
Train,[0.017586021225862076],[2.452425396471171e-06]
Train,[-0.007016681274463229],[-3.64276483580484e-18]
Train,[0.007200544351494143],[-1.092829450741452e-16]
Train,[0.008038766426504366],[-1.3113953408897423e-16]
Train,[0.006572402250719262],[9.1069120895121e-18]
Train,[-0.018098472202887173],[0.034386940850618]
Train,[0.008050909027190689],[1.45985827106679e-06]
Train,[0.008184467081280074],[1.381861560628865e-06]
Train,[-0.004496381695601557],[-0.004030206474187182]
Train,[0.003624955267973616],[-4.100950617578291e-06]
Train,[-0.018769857581959405],[0.04596011552868179]
Train,[-0.01292072223450225],[0.035023058718785624]
Train,[0.007164763030205356],[2.4524253964638855e-06]
Train,[-0.014200605843430459],[-0.04635304026034097]
Train,[0.003460690420037643],[8.766607765741092e-07]
Train,[0.0034606904200320584],[8.766607766032513e-07]
Train,[-0.009079353077748594],[-0.040709636276467155]
Train,[-0.011055829114536451],[5.282009011917018e-17]
Train,[-0.012589376586989939],[-5.46414725370726e-18]
Train,[-0.012854179337333465],[1.82138241790242e-18]
Train,[-0.007883039273264851],[9.471188573092583e-17]
Train,[0.003942132128321124],[-9.471188573092583e-17]
Train,[-0.0019791150433414186],[1.82138241790242e-18]
Train,[0.004257305561839244],[5.46414725370726e-18]
Train,[0.011641935803197752],[1.092829450741452e-17]
Train,[-0.008311909233695227],[-3.64276483580484e-18]
Train,[-0.008427477988486221],[-1.3113953408897423e-16]
Train,[-0.008378189865212927],[-1.092829450741452e-16]
Train,[-0.006465129989024237],[9.1069120895121e-18]
Train,[-0.008599894083469298],[5.282009011917018e-17]
Train,[-0.008008977724478719],[1.82138241790242e-18]
Train,[-0.008141039523931973],[-5.46414725370726e-18]
Train,[-0.008660501533292996],[9.471188573092583e-17]
Train,[-0.020447775512452856],[-0.026621245462551197]
Train,[-0.02219465581253592],[-5.688607871304142e-07]
Train,[-0.02219465581253013],[-5.688607871322355e-07]
Train,[-0.02660322062485933],[-0.010823945532928939]
Train,[-0.012627635322535321],[-0.03225642570605386]
Train,[0.0019702455832413257],[7.900587201402797e-05]
Train,[0.0019702455832417954],[7.900587201395693e-05]
Train,[-0.013317870318132677],[-0.01692222211298195]
Train,[0.0017058929586474733],[0.00021839714942577227]
Train,[-0.019049269136449228],[0.03183374883540315]
Train,[-0.01321831183656163],[0.020468388897137785]
Train,[0.0014360528174702414],[-0.00022558532345777192]
Train,[-0.017942386061359113],[0.034430140265059306]
Train,[0.002441925931737278],[-0.00014064887786440584]
Train,[0.0022362753730226074],[-0.00014859676587885906]
Train,[-0.004787831886560686],[-0.004036594411177927]
Train,[0.0018392995838974935],[-1.4753197585009603e-16]
Train,[-0.00037060342691093017],[2.185658901482904e-17]
Train,[-0.0021166835074534042],[1.457105934321936e-17]
Train,[0.0011233207284150866],[1.639244176112178e-17]
Train,[-0.008623500047134473],[0.0002183971494257249]
Train,[-0.022904906557735572],[0.020468388897137844]
Train,[-0.02067715814122911],[0.03183374883540315]
Train,[-0.02104932461027702],[-0.00022558532345770454]
Train,[-0.010307840945444834],[-0.04565742741386274]
Train,[0.009024163765308374],[-0.00018499056409219296]
Train,[0.00902416376530891],[-0.00018499056409211466]
Train,[-0.011023617877387919],[-0.07587345187227598]
Train,[0.014544145731604083],[-0.000417703483878227]
Train,[-0.006693176486083026],[-0.03506887734551717]
Train,[-0.010087565203075894],[-0.04598491259983777]
Train,[0.009286509387209268],[0.00024937868650868835]
Train,[-0.0060079046293312136],[-1.274967692531694e-17]
Train,[0.008232668639731927],[1.5117474068590086e-16]
Train,[0.009270045962295092],[1.9853068355136378e-16]
Train,[0.010326856568888241],[-4.371317802965808e-17]
Train,[-0.01809339081244633],[0.034430140265059465]
Train,[0.0024539310059540275],[-0.0001485967658787516]
Train,[0.002656613047581603],[-0.00014064887786438763]
Train,[-0.0045032284649972705],[-0.00403659441117794]
Train,[9.883540155507489e-05],[-0.00041770348387830354]
Train,[-0.008968399512640822],[-0.04598491259983788]
Train,[-0.008556338501550647],[-0.03506887734551722]
Train,[0.002630818830575774],[0.00024937868650867014]
Train,[-0.014255026963798144],[-0.04642098563854254]
Train,[0.0013704386726624985],[-8.929989840338444e-05]
Train,[0.0013704386726619592],[-8.92998984034318e-05]
Train,[-0.009085322433408996],[-0.04070587366488182]
Train,[-0.010839273475520265],[8.742635605931616e-17]
Train,[-0.011150477137999994],[-3.096350110434114e-17]
Train,[-0.011579778466659451],[-2.367797143273146e-17]
Train,[-0.007418959015925644],[1.274967692531694e-16]
Train,[0.004476304411076443],[-1.4753197585009603e-16]
Train,[0.0055193800590840544],[1.457105934321936e-17]
Train,[0.006981077925683876],[2.185658901482904e-17]
Train,[0.012294529887711092],[1.639244176112178e-17]
Train,[-0.008355717031284425],[-1.274967692531694e-17]
Train,[-0.008445878059613512],[1.9853068355136378e-16]
Train,[-0.008368258307363078],[1.5117474068590086e-16]
Train,[-0.005531139494600559],[-4.371317802965808e-17]
