Data,Predicted,Reference
Train,[-0.014234589903414259],[-0.03225818565279794]
Train,[-0.01338288350153008],[-7.769851570889031e-07]
Train,[-0.013382883501530276],[-7.769851570670464e-07]
Train,[-0.007794799451964976],[-0.016908658625533646]
Train,[-0.01889344380088542],[2.147515531627273e-06]
Train,[-0.018414558722482606],[-0.03181998237701682]
Train,[-0.019090376559976273],[-0.020466061799623576]
Train,[-0.01798174013821876],[-2.2178075255649983e-06]
Train,[-0.01420151346932454],[0.034386940850617984]
Train,[-0.018910546522539304],[1.3818615606561856e-06]
Train,[-0.0189105326941902],[1.4598582711141459e-06]
Train,[-0.01902057538098994],[-0.004030206474187189]
Train,[-0.018780415870213965],[-9.471188573092583e-17]
Train,[-0.018927892558635424],[5.46414725370726e-18]
Train,[-0.018927892511530077],[1.82138241790242e-18]
Train,[-0.018774778095084307],[1.092829450741452e-17]
Train,[-0.04045648125113038],[2.1475155316309158e-06]
Train,[-0.04398265877637287],[-0.02046606179962359]
Train,[-0.0372826441523565],[-0.03181998237701695]
Train,[-0.03336978533572855],[-2.2178075256323896e-06]
Train,[-0.03155722223973812],[-0.04557838729447085]
Train,[-0.03349080665232575],[1.820191515441475e-06]
Train,[-0.03349080665233024],[1.8201915155289015e-06]
Train,[0.00274884518613117],[-0.07587621233758134]
Train,[-0.00902112758538499],[-4.1009506176001475e-06]
Train,[-0.013189002959136739],[0.03502305871878561]
Train,[-0.004838406552790752],[0.04596011552868171]
Train,[-0.03256075952287053],[2.452425396471171e-06]
Train,[-0.007206593504180924],[-3.64276483580484e-18]
Train,[-0.019723672161890304],[-1.092829450741452e-16]
Train,[-0.019510449629953564],[-1.3113953408897423e-16]
Train,[-0.031022622159789105],[9.1069120895121e-18]
Train,[-0.014895266279810169],[0.034386940850618]
Train,[-0.019747533730142423],[1.45985827106679e-06]
Train,[-0.019747549706614284],[1.381861560628865e-06]
Train,[-0.01985101651275613],[-0.004030206474187182]
Train,[-0.016040663437616516],[-4.100950617578291e-06]
Train,[-0.010187521554873994],[0.04596011552868179]
Train,[-0.014949356359644728],[0.035023058718785624]
Train,[-0.01870079118862046],[2.4524253964638855e-06]
Train,[-0.012650461211494313],[-0.04635304026034097]
Train,[-0.015775069371817847],[8.766607765741092e-07]
Train,[-0.01577506937181744],[8.766607766032513e-07]
Train,[-0.01746555383691448],[-0.040709636276467155]
Train,[-0.011351059540609247],[5.282009011917018e-17]
Train,[-0.014930135512754869],[-5.46414725370726e-18]
