Data,Predicted,Reference
Train,[-0.006093958096717661],[-0.03225818565279794]
Train,[0.0026471422075693522],[-7.769851570889031e-07]
Train,[0.002647142207575538],[-7.769851570670464e-07]
Train,[6.381230494438581e-05],[-0.016908658625533646]
Train,[-0.01814750827460425],[2.147515531627273e-06]
Train,[-0.016418745787628527],[-0.03181998237701682]
Train,[-0.01996097193963581],[-0.020466061799623576]
Train,[-0.014424983449762025],[-2.2178075255649983e-06]
Train,[-0.0008065500209757874],[0.034386940850617984]
Train,[-0.01821507589048874],[1.3818615606561856e-06]
Train,[-0.01821514461115283],[1.4598582711141459e-06]
Train,[-0.01940592421705652],[-0.004030206474187189]
Train,[-0.01771096086425343],[-9.471188573092583e-17]
Train,[-0.018284401646613407],[5.46414725370726e-18]
Train,[-0.018284405637830344],[1.82138241790242e-18]
Train,[-0.017706098855426677],[1.092829450741452e-17]
Train,[0.013632393287421546],[2.1475155316309158e-06]
Train,[0.010957566674911648],[-0.02046606179962359]
Train,[0.014024789366041698],[-0.03181998237701695]
Train,[0.016095678086557503],[-2.2178075256323896e-06]
Train,[0.010956534982569164],[-0.04557838729447085]
Train,[0.016080379381629754],[1.820191515441475e-06]
Train,[0.016080379381624446],[1.8201915155289015e-06]
Train,[-0.012111176961942543],[-0.07587621233758134]
Train,[0.015654740095584926],[-4.1009506176001475e-06]
Train,[0.011450955870956674],[0.03502305871878561]
Train,[-0.0065631010305501674],[0.04596011552868171]
Train,[0.016276881694411],[2.452425396471171e-06]
Train,[0.01190728808122013],[-3.64276483580484e-18]
Train,[0.016831697647021804],[-1.092829450741452e-16]
Train,[0.01699242203035179],[-1.3113953408897423e-16]
Train,[0.01567883856566801],[9.1069120895121e-18]
Train,[-0.0007432607726774712],[0.034386940850618]
Train,[-0.019272772094501997],[1.45985827106679e-06]
Train,[-0.019272699566730486],[1.381861560628865e-06]
Train,[-0.02053606183374555],[-0.004030206474187182]
Train,[-0.003975171477289482],[-4.100950617578291e-06]
Train,[-0.001615231868340992],[0.04596011552868179]
Train,[-0.005033774413032271],[0.035023058718785624]
Train,[-0.014820656708637999],[2.4524253964638855e-06]
Train,[-0.004932629504880972],[-0.04635304026034097]
Train,[-0.0024963050215500316],[8.766607765741092e-07]
Train,[-0.0024963050215611386],[8.766607766032513e-07]
Train,[-0.013701883095160006],[-0.040709636276467155]
Train,[0.006495019266711246],[5.282009011917018e-17]
Train,[-0.0022096837526603],[-5.46414725370726e-18]
Train,[-0.0024301333555948328],[1.82138241790242e-18]
Train,[-0.0077768863014475295],[9.471188573092583e-17]
Train,[-0.042960288196562],[-9.471188573092583e-17]
Train,[-0.04215812162361631],[1.82138241790242e-18]
Train,[-0.04215813871589287],[5.46414725370726e-18]
Train,[-0.0429211826854242],[1.092829450741452e-17]
Train,[-0.05034527349875354],[-3.64276483580484e-18]
Train,[-0.05243636804385031],[-1.3113953408897423e-16]
Train,[-0.05218941286428978],[-1.092829450741452e-16]
Train,[-0.04749047267464388],[9.1069120895121e-18]
Train,[-0.03980203913604793],[5.282009011917018e-17]
Train,[-0.049369174164457366],[1.82138241790242e-18]
Train,[-0.04982461323114011],[-5.46414725370726e-18]
Train,[-0.052531397102091315],[9.471188573092583e-17]
Train,[-0.020950404337876972],[-0.026621245462551197]
Train,[-0.05310992790901192],[-5.688607871304142e-07]
Train,[-0.05310992790901513],[-5.688607871322355e-07]
