Data,Predicted,Reference
Train,[-0.005213131051114271],[-0.03225818565279794]
Train,[-0.03866014488233905],[-7.769851570889031e-07]
Train,[-0.038660144882357625],[-7.769851570670464e-07]
Train,[-0.020030322129575107],[-0.016908658625533646]
Train,[-0.01802179981383304],[2.147515531627273e-06]
Train,[-0.011083832389373091],[-0.03181998237701682]
Train,[-0.011622089248240753],[-0.020466061799623576]
Train,[-0.02309838366245445],[-2.2178075255649983e-06]
Train,[-0.017201176053756356],[0.034386940850617984]
Train,[-0.017850802259320175],[1.3818615606561856e-06]
Train,[-0.017831308679495308],[1.4598582711141459e-06]
Train,[-0.012787727262163321],[-0.004030206474187189]
Train,[-0.01623955315103704],[-9.471188573092583e-17]
Train,[-0.01725545332981382],[5.46414725370726e-18]
Train,[-0.017239195429129342],[1.82138241790242e-18]
Train,[-0.017568290164094835],[1.092829450741452e-17]
Train,[-0.044313288148254214],[2.1475155316309158e-06]
Train,[-0.042056996264021],[-0.02046606179962359]
Train,[-0.035494394670846426],[-0.03181998237701695]
Train,[-0.043334840428318734],[-2.2178075256323896e-06]
Train,[-0.0440605297458582],[-0.04557838729447085]
Train,[-0.03027127818319058],[1.820191515441475e-06]
Train,[-0.03027127818322004],[1.8201915155289015e-06]
Train,[-0.00174003103931925],[-0.07587621233758134]
Train,[-0.003719394047924791],[-4.1009506176001475e-06]
Train,[-0.024244344612415262],[0.03502305871878561]
Train,[-0.010962698085455656],[0.04596011552868171]
Train,[-0.02916866951114924],[2.452425396471171e-06]
Train,[-0.006890677913453011],[-3.64276483580484e-18]
Train,[-0.015626882176434376],[-1.092829450741452e-16]
Train,[-0.014938379997580591],[-1.3113953408897423e-16]
Train,[-0.03132433615405086],[9.1069120895121e-18]
Train,[-0.017849121990665358],[0.034386940850618]
Train,[-0.018461015191103287],[1.45985827106679e-06]
Train,[-0.018480490190751344],[1.381861560628865e-06]
Train,[-0.013400685169992845],[-0.004030206474187182]
Train,[-0.002305157977542274],[-4.100950617578291e-06]
Train,[-0.015175058361689081],[0.04596011552868179]
Train,[-0.023613851486527924],[0.035023058718785624]
Train,[-0.01176846282850926],[2.4524253964638855e-06]
Train,[-0.02066577441093388],[-0.04635304026034097]
Train,[0.000562890840983411],[8.766607765741092e-07]
Train,[0.0005628908409321208],[8.766607766032513e-07]
Train,[-0.02888906790789528],[-0.040709636276467155]
Train,[-0.0005458054062565781],[5.282009011917018e-17]
Train,[-0.006980379610541176],[-5.46414725370726e-18]
Train,[-0.007852810339408652],[1.82138241790242e-18]
Train,[-0.00674946468985541],[9.471188573092583e-17]
Train,[-0.012554567826186414],[-9.471188573092583e-17]
Train,[-0.014342512549099724],[1.82138241790242e-18]
Train,[-0.014356441254848572],[5.46414725370726e-18]
Train,[-0.015921226261593337],[1.092829450741452e-17]
Train,[-0.028447111076715676],[-3.64276483580484e-18]
Train,[-0.01602291427059943],[-1.3113953408897423e-16]
Train,[-0.016355827467447685],[-1.092829450741452e-16]
Train,[-0.014633649235704297],[9.1069120895121e-18]
Train,[-0.048312186037476904],[5.282009011917018e-17]
Train,[-0.030504222902327204],[1.82138241790242e-18]
Train,[-0.030231899175712427],[-5.46414725370726e-18]
Train,[-0.017417374752188037],[9.471188573092583e-17]
Train,[-0.038016103795273266],[-0.026621245462551197]
Train,[-0.033954352391494705],[-5.688607871304142e-07]
Train,[-0.033954352391494774],[-5.688607871322355e-07]
Train,[-0.030211506931188948],[-0.010823945532928939]
Train,[-0.005177330264054275],[-0.03225642570605386]
Train,[-0.03179612615250695],[7.900587201402797e-05]
Train,[-0.03179612615250773],[7.900587201395693e-05]
Train,[-0.01998111072341898],[-0.01692222211298195]
Train,[-0.01679769006506361],[0.00021839714942577227]
Train,[-0.008753180344068539],[0.03183374883540315]
Train,[-0.011982494528465705],[0.020468388897137785]
Train,[-0.016718538655404375],[-0.00022558532345777192]
Train,[-0.017201627752789383],[0.034430140265059306]
Train,[-0.017004757477935995],[-0.00014064887786440584]
Train,[-0.016975799845984685],[-0.00014859676587885906]
Train,[-0.012777961370773383],[-0.004036594411177927]
Train,[-0.015917651613215424],[-1.4753197585009603e-16]
Train,[-0.017238325320906963],[2.185658901482904e-17]
Train,[-0.017237279128688405],[1.457105934321936e-17]
Train,[-0.01774192678694636],[1.639244176112178e-17]
Train,[-0.043196684931277866],[0.0002183971494257249]
Train,[-0.023066102262939887],[0.020468388897137844]
Train,[0.014036215849980868],[0.03183374883540315]
Train,[-0.03919845903541821],[-0.00022558532345770454]
Train,[-0.04408116729254996],[-0.04565742741386274]
Train,[-0.0359545450763416],[-0.00018499056409219296]
Train,[-0.03595454507634123],[-0.00018499056409211466]
Train,[-0.001814202417551526],[-0.07587345187227598]
Train,[-0.01502292503143358],[-0.000417703483878227]
Train,[-0.0454168914646954],[-0.03506887734551717]
Train,[-0.04336144270260522],[-0.04598491259983777]
Train,[-0.035135306686383976],[0.00024937868650868835]
Train,[-0.005824184921677366],[-1.274967692531694e-17]
Train,[-0.015027032382126408],[1.5117474068590086e-16]
Train,[-0.01421097555103827],[1.9853068355136378e-16]
Train,[-0.02867770148566932],[-4.371317802965808e-17]
Train,[-0.017862440004393482],[0.034430140265059465]
Train,[-0.01761937843721353],[-0.0001485967658787516]
Train,[-0.017648368970844746],[-0.00014064887786438763]
Train,[-0.01340421709537942],[-0.00403659441117794]
Train,[-0.011725957674179012],[-0.00041770348387830354]
Train,[-0.028578534295157658],[-0.04598491259983788]
Train,[-0.0287493071275164],[-0.03506887734551722]
Train,[-0.018253487481529586],[0.00024937868650867014]
Train,[-0.020547654560335585],[-0.04642098563854254]
Train,[-0.006958610167364195],[-8.929989840338444e-05]
Train,[-0.006958610167365592],[-8.92998984034318e-05]
Train,[-0.028878975756751146],[-0.04070587366488182]
Train,[-0.000387966564779368],[8.742635605931616e-17]
Train,[-0.0031413631142878113],[-3.096350110434114e-17]
Train,[-0.004127784586043583],[-2.367797143273146e-17]
