Data,Predicted,Reference
Train,[-0.04401298313970774],[-0.03225818565279794]
Train,[-0.017560102758079347],[-7.769851570889031e-07]
Train,[-0.017560102758079708],[-7.769851570670464e-07]
Train,[-0.03011323763239328],[-0.016908658625533646]
Train,[-0.018187315141293188],[2.147515531627273e-06]
Train,[-0.0504470254736706],[-0.03181998237701682]
Train,[-0.02910434598915104],[-0.020466061799623576]
Train,[-0.018663176726432643],[-2.2178075255649983e-06]
Train,[0.023526233719826654],[0.034386940850617984]
Train,[-0.01832831434543908],[1.3818615606561856e-06]
Train,[-0.018265996711541287],[1.4598582711141459e-06]
Train,[-0.019552962983649922],[-0.004030206474187189]
Train,[-0.016411832259219872],[-9.471188573092583e-17]
Train,[-0.01574152800276546],[5.46414725370726e-18]
Train,[-0.014352155573156552],[1.82138241790242e-18]
Train,[-0.016870428905313796],[1.092829450741452e-17]
Train,[-0.009722706719105438],[2.1475155316309158e-06]
Train,[-0.03181868471092651],[-0.02046606179962359]
Train,[-0.027932225114834088],[-0.03181998237701695]
Train,[-0.013359852871890296],[-2.2178075256323896e-06]
Train,[-0.02675142925928675],[-0.04557838729447085]
Train,[-0.0065462297096282925],[1.820191515441475e-06]
Train,[-0.006546229709680094],[1.8201915155289015e-06]
Train,[-0.04104264024689293],[-0.07587621233758134]
Train,[-0.006219709134089067],[-4.1009506176001475e-06]
Train,[-0.013191747634696395],[0.03502305871878561]
Train,[-0.001409022049946119],[0.04596011552868171]
Train,[-0.006648196466473498],[2.452425396471171e-06]
Train,[-0.005153277889913014],[-3.64276483580484e-18]
Train,[-0.0031397421618595905],[-1.092829450741452e-16]
Train,[-0.0030869809360689997],[-1.3113953408897423e-16]
Train,[-0.0035278081226698295],[9.1069120895121e-18]
Train,[0.0235105815843938],[0.034386940850618]
Train,[-0.018217172471355018],[1.45985827106679e-06]
Train,[-0.01827779706403576],[1.381861560628865e-06]
Train,[-0.01962875770330401],[-0.004030206474187182]
Train,[-0.01433324535960368],[-4.100950617578291e-06]
Train,[0.021929706018543646],[0.04596011552868179]
Train,[0.014814651958286938],[0.035023058718785624]
Train,[-0.01676823642287296],[2.4524253964638855e-06]
Train,[-0.0346107114518914],[-0.04635304026034097]
Train,[-0.014390143668436208],[8.766607765741092e-07]
Train,[-0.014390143668430147],[8.766607766032513e-07]
Train,[-0.04590136673154267],[-0.040709636276467155]
Train,[-0.014972063566714074],[5.282009011917018e-17]
Train,[-0.014851750654099041],[-5.46414725370726e-18]
Train,[-0.014807927181700898],[1.82138241790242e-18]
Train,[-0.015154126437845087],[9.471188573092583e-17]
Train,[-0.0025397761904298547],[-9.471188573092583e-17]
Train,[-0.010186018953621782],[1.82138241790242e-18]
Train,[-0.0058957880186555],[5.46414725370726e-18]
Train,[-0.005911402518081326],[1.092829450741452e-17]
Train,[-0.003167566071075717],[-3.64276483580484e-18]
Train,[-0.0013490869096284151],[-1.3113953408897423e-16]
Train,[-0.001434263238656698],[-1.092829450741452e-16]
Train,[-0.0024311947454980585],[9.1069120895121e-18]
Train,[-0.008562686010650447],[5.282009011917018e-17]
Train,[-0.003481682828855801],[1.82138241790242e-18]
Train,[-0.0034446505022591154],[-5.46414725370726e-18]
Train,[-0.0015686999323059527],[9.471188573092583e-17]
Train,[-0.020905658794933123],[-0.026621245462551197]
Train,[-0.0038536937615118744],[-5.688607871304142e-07]
Train,[-0.0038536937615079748],[-5.688607871322355e-07]
Train,[-0.02581626271985538],[-0.010823945532928939]
Train,[-0.0440509106522247],[-0.03225642570605386]
Train,[-0.01687788945388747],[7.900587201402797e-05]
Train,[-0.01687788945388759],[7.900587201395693e-05]
Train,[-0.030173380484779737],[-0.01692222211298195]
Train,[-0.014846988113673139],[0.00021839714942577227]
Train,[0.016992427136041252],[0.03183374883540315]
Train,[0.007626652845749105],[0.020468388897137785]
Train,[-0.01581207923953087],[-0.00022558532345777192]
Train,[0.023542934939463328],[0.034430140265059306]
Train,[-0.015233058226312683],[-0.00014064887786440584]
Train,[-0.015114900374071398],[-0.00014859676587885906]
Train,[-0.019556813263383925],[-0.004036594411177927]
Train,[-0.016598536777425205],[-1.4753197585009603e-16]
Train,[-0.016345339636703798],[2.185658901482904e-17]
Train,[-0.016024189925928148],[1.457105934321936e-17]
Train,[-0.016989969932483636],[1.639244176112178e-17]
Train,[-0.02036187761885153],[0.0002183971494257249]
Train,[-0.022685666020210958],[0.020468388897137844]
Train,[0.015018972023667492],[0.03183374883540315]
Train,[-0.022773526914047635],[-0.00022558532345770454]
Train,[-0.026608176278376867],[-0.04565742741386274]
Train,[-0.016644250674411255],[-0.00018499056409219296]
Train,[-0.01664425067441061],[-0.00018499056409211466]
Train,[-0.040717850234828726],[-0.07587345187227598]
Train,[-0.014984394832034679],[-0.000417703483878227]
Train,[-0.02760834585545895],[-0.03506887734551717]
Train,[-0.02634324983178511],[-0.04598491259983777]
