Data,Predicted,Reference
Train,[-0.00833949352431576],[-0.03225818565279794]
Train,[-0.00845141664072447],[-7.769851570889031e-07]
Train,[-0.008451416640723759],[-7.769851570670464e-07]
Train,[-0.014310813975270823],[-0.016908658625533646]
Train,[-0.004668678952310715],[2.147515531627273e-06]
Train,[-0.005004057793834],[-0.03181998237701682]
Train,[-0.004625124201255657],[-0.020466061799623576]
Train,[-0.005270437037797459],[-2.2178075255649983e-06]
Train,[-0.00791994360965363],[0.034386940850617984]
Train,[-0.004657196902365254],[1.3818615606561856e-06]
Train,[-0.004657216721475049],[1.4598582711141459e-06]
Train,[-0.004648074622587433],[-0.004030206474187189]
Train,[-0.004745414917162685],[-9.471188573092583e-17]
Train,[-0.004645619608979426],[5.46414725370726e-18]
Train,[-0.004645619997566917],[1.82138241790242e-18]
Train,[-0.004750687723856091],[1.092829450741452e-17]
Train,[0.0050305008364073455],[2.1475155316309158e-06]
Train,[0.008192799432419972],[-0.02046606179962359]
Train,[0.002148868736942934],[-0.03181998237701695]
Train,[-0.0013979962201058856],[-2.2178075256323896e-06]
Train,[-0.003064107908749529],[-0.04557838729447085]
Train,[-0.0012863159861691955],[1.820191515441475e-06]
Train,[-0.0012863159861650937],[1.8201915155289015e-06]
Train,[-0.035457852164895096],[-0.07587621233758134]
Train,[-0.024480300397042517],[-4.1009506176001475e-06]
Train,[-0.020150796972173878],[0.03502305871878561]
Train,[-0.02770884755795735],[0.04596011552868171]
Train,[-0.002144529540788825],[2.452425396471171e-06]
Train,[-0.026238527306944943],[-3.64276483580484e-18]
Train,[-0.014208725614446157],[-1.092829450741452e-16]
Train,[-0.01441050397379996],[-1.3113953408897423e-16]
Train,[-0.0035782203166270167],[9.1069120895121e-18]
Train,[-0.007277473196246591],[0.034386940850618]
Train,[-0.0039683625571312175],[1.45985827106679e-06]
Train,[-0.003968340249482716],[1.381861560628865e-06]
Train,[-0.00397214220569156],[-0.004030206474187182]
Train,[-0.006399385119187938],[-4.100950617578291e-06]
Train,[-0.012101675140974549],[0.04596011552868179]
Train,[-0.007590860863235944],[0.035023058718785624]
Train,[-0.004643536029910339],[2.4524253964638855e-06]
Train,[-0.009900875907604922],[-0.04635304026034097]
Train,[-0.006540824960846195],[8.766607765741092e-07]
Train,[-0.006540824960847579],[8.766607766032513e-07]
Train,[-0.005793811771510099],[-0.040709636276467155]
Train,[-0.010234350119092524],[5.282009011917018e-17]
Train,[-0.007368582643960757],[-5.46414725370726e-18]
Train,[-0.007396330224152306],[1.82138241790242e-18]
Train,[-0.005795124447269811],[9.471188573092583e-17]
Train,[-0.025022982637352722],[-9.471188573092583e-17]
Train,[-0.025317284625556276],[1.82138241790242e-18]
Train,[-0.02531728318693607],[5.46414725370726e-18]
Train,[-0.02501861807364053],[1.092829450741452e-17]
Train,[-0.005321395242514741],[-3.64276483580484e-18]
Train,[-0.014505767545788391],[-1.3113953408897423e-16]
Train,[-0.014630996894294023],[-1.092829450741452e-16]
Train,[-0.021295589213295784],[9.1069120895121e-18]
Train,[0.0197530034604401],[5.282009011917018e-17]
Train,[-0.0039035278525207393],[1.82138241790242e-18]
Train,[-0.003466514739165162],[-5.46414725370726e-18]
Train,[-0.013395423633820952],[9.471188573092583e-17]
Train,[0.002668292508195511],[-0.026621245462551197]
Train,[0.00790006160310413],[-5.688607871304142e-07]
Train,[0.007900061603107975],[-5.688607871322355e-07]
Train,[-0.016756956638440918],[-0.010823945532928939]
Train,[-0.00834173082433176],[-0.03225642570605386]
Train,[-0.008701623647481789],[7.900587201402797e-05]
Train,[-0.008701623647481763],[7.900587201395693e-05]
Train,[-0.014246535024326032],[-0.01692222211298195]
Train,[-0.0047023289514599945],[0.00021839714942577227]
Train,[-0.011513317836427882],[0.03183374883540315]
Train,[-0.0059161823447267566],[0.020468388897137785]
Train,[-0.005323772582117617],[-0.00022558532345777192]
Train,[-0.007951165017075398],[0.034430140265059306]
Train,[-0.004679561795966941],[-0.00014064887786440584]
Train,[-0.004678938627776308],[-0.00014859676587885906]
Train,[-0.004672982239879849],[-0.004036594411177927]
Train,[-0.004773609902367337],[-1.4753197585009603e-16]
Train,[-0.004672407875860048],[2.185658901482904e-17]
Train,[-0.004672407880700807],[1.457105934321936e-17]
Train,[-0.004776224678406486],[1.639244176112178e-17]
Train,[0.004879133834334735],[0.0002183971494257249]
Train,[-0.012292787826760148],[0.020468388897137844]
Train,[-0.04787158633488132],[0.03183374883540315]
Train,[-0.00044946384890559804],[-0.00022558532345770454]
Train,[-0.003094853204569271],[-0.04565742741386274]
Train,[-0.0004432866025185584],[-0.00018499056409219296]
Train,[-0.00044328660251863306],[-0.00018499056409211466]
Train,[-0.03543543244745668],[-0.07587345187227598]
Train,[-0.020023385156644695],[-0.000417703483878227]
Train,[-0.001201761859961185],[-0.03506887734551717]
Train,[-0.003961409480518956],[-0.04598491259983777]
Train,[-0.0013361898898582507],[0.00024937868650868835]
Train,[-0.026743361714862558],[-1.274967692531694e-17]
Train,[-0.014350956566712699],[1.5117474068590086e-16]
Train,[-0.014590894224448871],[1.9853068355136378e-16]
Train,[-0.004019420289973183],[-4.371317802965808e-17]
Train,[-0.007295909013030481],[0.034430140265059465]
Train,[-0.003975492768558464],[-0.0001485967658787516]
Train,[-0.003976078674156796],[-0.00014064887786438763]
Train,[-0.0039822633474735835],[-0.00403659441117794]
Train,[-0.0066259859961147645],[-0.00041770348387830354]
Train,[-0.005839466425842789],[-0.04598491259983788]
Train,[-0.005347097705698007],[-0.03506887734551722]
Train,[-0.004719491432197208],[0.00024937868650867014]
Train,[-0.00995080067824394],[-0.04642098563854254]
Train,[-0.00675610291398098],[-8.929989840338444e-05]
Train,[-0.0067561029139810245],[-8.92998984034318e-05]
Train,[-0.005809445172270865],[-0.04070587366488182]
Train,[-0.010242631422200029],[8.742635605931616e-17]
Train,[-0.007271169432596126],[-3.096350110434114e-17]
Train,[-0.007303209317672581],[-2.367797143273146e-17]
Train,[-0.005799651428584885],[1.274967692531694e-16]
Train,[-0.025357244873230766],[-1.4753197585009603e-16]
Train,[-0.02567634001397245],[1.457105934321936e-17]
Train,[-0.025676339994364184],[2.185658901482904e-17]
Train,[-0.025362965210534133],[1.639244176112178e-17]
Train,[-0.004856449937840758],[-1.274967692531694e-17]
Train,[-0.014431124064388153],[1.9853068355136378e-16]
Train,[-0.014584032459841472],[1.5117474068590086e-16]
Train,[-0.021283882290511768],[-4.371317802965808e-17]
Train,[0.02117369488670045],[8.742635605931616e-17]
Train,[-0.0019755519696904806],[-2.367797143273146e-17]
Train,[-0.0014648594529918766],[-3.096350110434114e-17]
Train,[-0.013341870571226445],[1.274967692531694e-16]
