Time,Iteration,Cost,Parameters
Sat Aug 24 21:23:14 2024,0,0.11382274390123634,[-2.90269619  2.23792189 -2.12379238 -0.11701828  0.55437434]
Sat Aug 24 21:24:04 2024,1,0.11133863718160592,[-2.90174514  2.23887294 -2.12474343 -0.11606723  0.55532539]
Sat Aug 24 21:24:54 2024,2,0.11385801954290332,[-2.90075955  2.23788736 -2.12375785 -0.11508164  0.5543398 ]
Sat Aug 24 21:25:44 2024,3,0.11382305761484995,[-2.90043809  2.23820882 -2.12407931 -0.11476018  0.55401834]
Sat Aug 24 21:26:34 2024,4,0.12014557554687735,[-2.89975373  2.23889318 -2.12476367 -0.11407582  0.55470269]
Sat Aug 24 21:27:24 2024,5,0.11407755467560377,[-2.89908818  2.23822763 -2.12542922 -0.11474137  0.55403714]
Sat Aug 24 21:28:14 2024,6,0.11825120867332271,[-2.89774097  2.23957483 -2.12408201 -0.11608858  0.55268993]
Sat Aug 24 21:29:04 2024,7,0.11968949396337232,[-2.8966964   2.24061941 -2.12303744 -0.11713316  0.55373451]
Sat Aug 24 21:29:54 2024,8,0.11311861912836883,[-2.89657641  2.24073939 -2.12315742 -0.11725314  0.55385449]
Sat Aug 24 21:30:44 2024,9,0.11351371141800577,[-2.89488618  2.23904916 -2.12484765 -0.11894337  0.55216426]
Sat Aug 24 21:31:34 2024,10,0.11661855454167652,[-2.89430414  2.2396312  -2.1254297  -0.11952541  0.5527463 ]
Sat Aug 24 21:32:24 2024,11,0.11818626753723678,[-2.89379084  2.2401445  -2.12594299 -0.11901212  0.55223301]
Sat Aug 24 21:33:14 2024,12,0.11790362097710778,[-2.89244117  2.23879482 -2.12459332 -0.12036179  0.55358268]
Sat Aug 24 21:34:03 2024,13,0.11235317275485875,[-2.89198105  2.2383347  -2.1241332  -0.11990167  0.5540428 ]
Sat Aug 24 21:34:53 2024,14,0.11213825129467694,[-2.89087068  2.23944507 -2.12302283 -0.12101204  0.55293243]
Sat Aug 24 21:35:43 2024,15,0.11620514349008677,[-2.89044021  2.23987554 -2.12345329 -0.1214425   0.55250197]
Sat Aug 24 21:36:33 2024,16,0.1163637342322945,[-2.88961123  2.23904655 -2.1226243  -0.12061352  0.55167298]
Sat Aug 24 21:37:23 2024,17,0.11470834673777634,[-2.88918133  2.23861665 -2.12219441 -0.12018362  0.55210288]
Sat Aug 24 21:38:13 2024,18,0.11600180001023401,[-2.88857459  2.2392234  -2.12280115 -0.11957688  0.55270962]
Sat Aug 24 21:39:03 2024,19,0.11529398544557369,[-2.8885712   2.23922    -2.12280454 -0.11957349  0.55270622]
Sat Aug 24 21:39:52 2024,20,0.11589020895784616,[-2.88831029  2.23948092 -2.12254363 -0.1198344   0.55296714]
Sat Aug 24 21:40:42 2024,21,0.11662501247197647,[-2.8870463   2.23821693 -2.12127965 -0.12109838  0.55170315]
Sat Aug 24 21:41:32 2024,22,0.11713816804764618,[-2.88603162  2.23923162 -2.12229433 -0.12211307  0.55271784]
Sat Aug 24 21:42:22 2024,23,0.1143911601461111,[-2.88489332  2.24036992 -2.12115603 -0.12325137  0.55157954]
Sat Aug 24 21:43:12 2024,24,0.11689178554452391,[-2.88383464  2.24142859 -2.12009736 -0.12431004  0.55263821]
Sat Aug 24 21:44:02 2024,25,0.11532327058537759,[-2.88306256  2.24065651 -2.12086944 -0.12353796  0.55186614]
Sat Aug 24 21:44:52 2024,26,0.11839989031000336,[-2.88311375  2.2407077  -2.12092063 -0.12348677  0.55181495]
Sat Aug 24 21:45:42 2024,27,0.11907459977541623,[-2.88199455  2.24182691 -2.11980142 -0.12460598  0.55293415]
Sat Aug 24 21:46:32 2024,28,0.11700153376816887,[-2.88151994  2.24230151 -2.12027603 -0.12413137  0.55245954]
Sat Aug 24 21:47:22 2024,29,0.11561295786937054,[-2.8810915   2.24272996 -2.12070447 -0.12370293  0.5520311 ]
Sat Aug 24 21:48:12 2024,30,0.11460600850299206,[-2.88036742  2.24200588 -2.1199804  -0.12297885  0.55130703]
Sat Aug 24 21:49:02 2024,31,0.11716622834372843,[-2.87921626  2.24315704 -2.12113156 -0.12182769  0.55245819]
Sat Aug 24 21:49:52 2024,32,0.11714742489075956,[-2.87869602  2.24263681 -2.12165179 -0.12234792  0.55297842]
Sat Aug 24 21:50:42 2024,33,0.1139140783032528,[-2.87763412  2.24369871 -2.1227137  -0.12340983  0.55191652]
Sat Aug 24 21:51:32 2024,34,0.1164602513278741,[-2.87682432  2.24450851 -2.12352349 -0.12421962  0.55272631]
Sat Aug 24 21:52:22 2024,35,0.11521531969761402,[-2.87589627  2.24543657 -2.12445155 -0.12514768  0.55365437]
Sat Aug 24 21:53:12 2024,36,0.11901290650619041,[-2.87571766  2.24561517 -2.12463016 -0.12532628  0.55347577]
Sat Aug 24 21:54:02 2024,37,0.11576617431988265,[-2.87552154  2.2458113  -2.12482628 -0.12552241  0.55367189]
Sat Aug 24 21:54:52 2024,38,0.11581402945316643,[-2.87505603  2.24627681 -2.12436077 -0.1250569   0.55320638]
Sat Aug 24 21:55:42 2024,39,0.1171254336669912,[-2.87474842  2.24658441 -2.12466838 -0.12474929  0.55289878]
Sat Aug 24 21:56:31 2024,40,0.11893493556571583,[-2.87398852  2.24734431 -2.12390848 -0.12398939  0.55213888]
Sat Aug 24 21:57:21 2024,41,0.11622776860744026,[-2.87284191  2.2461977  -2.12276187 -0.12284278  0.55328549]
Sat Aug 24 21:58:11 2024,42,0.11732617144440526,[-2.87184965  2.24718996 -2.12176961 -0.12185053  0.55229323]
Sat Aug 24 21:59:01 2024,43,0.1149465385041876,[-2.87106099  2.2464013  -2.12098095 -0.12263919  0.55308189]
Sat Aug 24 21:59:50 2024,44,0.11771834327755748,[-2.87048308  2.24582338 -2.12040304 -0.1232171   0.55250398]
Sat Aug 24 22:00:40 2024,45,0.11629946701672313,[-2.87003151  2.24537182 -2.11995147 -0.12366867  0.55205242]
Sat Aug 24 22:01:30 2024,46,0.11356294101707444,[-2.8705151   2.24488823 -2.12043506 -0.12318508  0.55253601]
Sat Aug 24 22:02:19 2024,47,0.11592469330240304,[-2.86921441  2.24358753 -2.11913437 -0.12448577  0.5538367 ]
Sat Aug 24 22:03:09 2024,48,0.109908211520485,[-2.86897108  2.24383086 -2.11889104 -0.12424244  0.55359337]
Sat Aug 24 22:03:59 2024,49,0.11464393204778309,[-2.86897536  2.24382658 -2.11888676 -0.12424672  0.55358909]
Sat Aug 24 22:04:49 2024,50,0.11343383109791486,[-2.86925629  2.24410752 -2.11860582 -0.12396579  0.55387003]
Sat Aug 24 22:05:39 2024,51,0.11783642948314348,[-2.86915326  2.24400448 -2.11870886 -0.12386275  0.55376699]
Sat Aug 24 22:06:28 2024,52,0.11131638813215236,[-2.86812137  2.2429726  -2.11767697 -0.12489464  0.55479888]
Sat Aug 24 22:07:18 2024,53,0.11784151754399934,[-2.86693986  2.24415411 -2.11885848 -0.12607615  0.55598039]
Sat Aug 24 22:08:08 2024,54,0.11120284027106227,[-2.86701972  2.24407425 -2.11877862 -0.12599629  0.55606025]
Sat Aug 24 22:08:58 2024,55,0.11538356970942253,[-2.86638866  2.24344318 -2.11940969 -0.12536522  0.55669132]
Sat Aug 24 22:09:48 2024,56,0.11664250483117547,[-2.8662714   2.24356045 -2.11929242 -0.12548249  0.55680858]
Sat Aug 24 22:10:38 2024,57,0.11483852326150008,[-2.86574483  2.24408701 -2.11981898 -0.12495593  0.55628202]
Sat Aug 24 22:11:28 2024,58,0.11308243377900398,[-2.86537657  2.24371874 -2.11945071 -0.12458766  0.55591375]
Sat Aug 24 22:12:18 2024,59,0.11864283214654057,[-2.86483932  2.24425599 -2.11891347 -0.1251249   0.5553765 ]
Sat Aug 24 22:13:08 2024,60,0.11618444469622376,[-2.8639272   2.2451681  -2.11982558 -0.12603702  0.55446438]
Sat Aug 24 22:13:57 2024,61,0.11658143861413015,[-2.86331594  2.24577936 -2.11921433 -0.12664828  0.55507564]
Sat Aug 24 22:14:47 2024,62,0.11463835156305852,[-2.8635733   2.24603672 -2.11895697 -0.12690564  0.55481828]
Sat Aug 24 22:15:37 2024,63,0.11619207122455634,[-2.86291412  2.24537753 -2.11829778 -0.12624645  0.5541591 ]
Sat Aug 24 22:16:27 2024,64,0.11324690663369705,[-2.8626285   2.24566314 -2.11801217 -0.12653206  0.55387348]
Sat Aug 24 22:17:17 2024,65,0.11734031511048648,[-2.86187366  2.2449083  -2.11725732 -0.12728691  0.55462833]
Sat Aug 24 22:18:07 2024,66,0.11470657430090138,[-2.86124256  2.2442772  -2.11788843 -0.12665581  0.55525943]
Sat Aug 24 22:18:57 2024,67,0.1124825512482672,[-2.86072924  2.24376388 -2.11737512 -0.1261425   0.55474612]
Sat Aug 24 22:19:46 2024,68,0.11532910269286667,[-2.86122891  2.24326421 -2.11787479 -0.12564283  0.55524579]
Sat Aug 24 22:20:36 2024,69,0.11670786370469599,[-2.86071386  2.24274916 -2.11838984 -0.12512777  0.55473074]
Sat Aug 24 22:21:25 2024,70,0.11276140924320356,[-2.85992455  2.24195985 -2.11917915 -0.12433846  0.55552005]
Sat Aug 24 22:22:14 2024,71,0.11628297058118198,[-2.85893427  2.24096957 -2.11818886 -0.12532875  0.55452976]
Sat Aug 24 22:23:04 2024,72,0.11528742166692257,[-2.85890971  2.24099412 -2.11816431 -0.1253533   0.55455431]
Sat Aug 24 22:23:53 2024,73,0.11674477712957985,[-2.85852658  2.24137725 -2.11778118 -0.12573643  0.55417119]
Sat Aug 24 22:24:43 2024,74,0.11649438131720981,[-2.85771742  2.24218641 -2.11697201 -0.1265456   0.55336202]
Sat Aug 24 22:25:32 2024,75,0.11528453090285198,[-2.85743434  2.24190334 -2.11668894 -0.12626253  0.55364509]
Sat Aug 24 22:26:22 2024,76,0.11579624880316511,[-2.85669637  2.24264132 -2.11742692 -0.1270005   0.55438307]
Sat Aug 24 22:27:11 2024,77,0.11549885913756588,[-2.85547745  2.24386023 -2.11620801 -0.12578159  0.55316416]
Sat Aug 24 22:28:00 2024,78,0.1166703798644682,[-2.85453868  2.244799   -2.11714677 -0.12672036  0.55222539]
Sat Aug 24 22:28:50 2024,79,0.11713913266227859,[-2.85474     2.24500032 -2.11734809 -0.12692168  0.55242671]
Sat Aug 24 22:29:39 2024,80,0.1163133818330955,[-2.85357527  2.24616505 -2.11851282 -0.12808641  0.55359143]
Sat Aug 24 22:30:29 2024,81,0.11459416656945992,[-2.85358474  2.24617452 -2.11852229 -0.12807694  0.55358196]
Sat Aug 24 22:31:18 2024,82,0.1139094060657548,[-2.85309826  2.246661   -2.11803581 -0.12856342  0.55406845]
Sat Aug 24 22:32:08 2024,83,0.11392655455130539,[-2.85228019  2.24747907 -2.11721774 -0.12774535  0.55325038]
Sat Aug 24 22:32:57 2024,84,0.11625900403478921,[-2.85226872  2.24749054 -2.11722921 -0.12773388  0.55323891]
Sat Aug 24 22:33:46 2024,85,0.11166242528508293,[-2.85124924  2.24647106 -2.11620973 -0.1267144   0.55221942]
Sat Aug 24 22:34:36 2024,86,0.11684222852165133,[-2.85049618  2.245718   -2.11696278 -0.12596134  0.55297248]
