Data,Predicted,Reference
Train,[0.005174991664852822],[-0.03225818565279794]
Train,[-0.0680877703724467],[-7.769851570889031e-07]
Train,[-0.06808777037248195],[-7.769851570670464e-07]
Train,[-0.042965740734004554],[-0.016908658625533646]
Train,[-0.013069065024130275],[2.147515531627273e-06]
Train,[0.00041204746820510595],[-0.03181998237701682]
Train,[-0.0007990205429021997],[-0.020466061799623576]
Train,[-0.02695485492632969],[-2.2178075255649983e-06]
Train,[-0.014826608146765795],[0.034386940850617984]
Train,[-0.012548742155690004],[1.3818615606561856e-06]
Train,[-0.012508546319045062],[1.4598582711141459e-06]
Train,[-0.0031470566529474132],[-0.004030206474187189]
Train,[-0.008199585424947836],[-9.471188573092583e-17]
Train,[-0.010963942026839282],[5.46414725370726e-18]
Train,[-0.01092925539016074],[1.82138241790242e-18]
Train,[-0.012856276914722436],[1.092829450741452e-17]
Train,[-0.032481123499730986],[2.1475155316309158e-06]
Train,[-0.022200256187233553],[-0.02046606179962359]
Train,[-0.018802944203202856],[-0.03181998237701695]
Train,[-0.033933775284945025],[-2.2178075256323896e-06]
Train,[-0.055282475022957876],[-0.04557838729447085]
Train,[-0.024719892252433144],[1.820191515441475e-06]
Train,[-0.024719892252481605],[1.8201915155289015e-06]
Train,[-0.014664101652147014],[-0.07587621233758134]
Train,[-0.011373574245091589],[-4.1009506176001475e-06]
Train,[-0.038809523631778226],[0.03502305871878561]
Train,[-0.01881551811440266],[0.04596011552868171]
Train,[-0.024331071602965628],[2.452425396471171e-06]
Train,[-0.023363334494260573],[-3.64276483580484e-18]
Train,[-0.01978037472350471],[-1.092829450741452e-16]
Train,[-0.018584114793538095],[-1.3113953408897423e-16]
Train,[-0.03171057377853456],[9.1069120895121e-18]
Train,[-0.015118536788380264],[0.034386940850618]
Train,[-0.012784607632647431],[1.45985827106679e-06]
Train,[-0.012824717353404059],[1.381861560628865e-06]
Train,[-0.00347285032303791],[-0.004030206474187182]
Train,[0.014942337781703873],[-4.100950617578291e-06]
Train,[-0.02068229588263089],[0.04596011552868179]
Train,[-0.02991071152251442],[0.035023058718785624]
Train,[0.001574915629940671],[2.4524253964638855e-06]
Train,[-0.029078478939492964],[-0.04635304026034097]
Train,[0.019790566870015874],[8.766607765741092e-07]
Train,[0.019790566869917543],[8.766607766032513e-07]
Train,[-0.03722183470689995],[-0.040709636276467155]
Train,[0.007611069750440936],[5.282009011917018e-17]
Train,[0.0032571778360022045],[-5.46414725370726e-18]
Train,[0.001525855948313323],[1.82138241790242e-18]
Train,[0.008376366806158735],[9.471188573092583e-17]
Train,[-0.013024419822418993],[-9.471188573092583e-17]
Train,[-0.019711219208100404],[1.82138241790242e-18]
