Data,Predicted,Reference
Train,[0.03842938675297439],[-0.03225818565279794]
Train,[0.03842938675297436],[-7.769851570889031e-07]
Train,[0.03842938675297433],[-7.769851570670464e-07]
Train,[0.03842938675297439],[-0.016908658625533646]
Train,[0.038429386752974325],[2.147515531627273e-06]
Train,[0.038429386752974394],[-0.03181998237701682]
Train,[0.03842938675297437],[-0.020466061799623576]
Train,[0.03842938675297433],[-2.2178075255649983e-06]
Train,[0.038429386752974366],[0.034386940850617984]
Train,[0.03842938675297435],[1.3818615606561856e-06]
Train,[0.038429386752974366],[1.4598582711141459e-06]
Train,[0.038429386752974366],[-0.004030206474187189]
Train,[0.03842938675297441],[-9.471188573092583e-17]
Train,[0.03842938675297439],[5.46414725370726e-18]
Train,[0.03842938675297438],[1.82138241790242e-18]
Train,[0.03842938675297435],[1.092829450741452e-17]
Train,[-0.03136041361189152],[2.1475155316309158e-06]
Train,[-0.03136041361189154],[-0.02046606179962359]
Train,[-0.031360413611891534],[-0.03181998237701695]
Train,[-0.03136041361189151],[-2.2178075256323896e-06]
Train,[-0.03136041361189155],[-0.04557838729447085]
Train,[-0.03136041361189154],[1.820191515441475e-06]
Train,[-0.03136041361189153],[1.8201915155289015e-06]
Train,[-0.03136041361189154],[-0.07587621233758134]
Train,[-0.03136041361189151],[-4.1009506176001475e-06]
Train,[-0.03136041361189153],[0.03502305871878561]
Train,[-0.031360413611891534],[0.04596011552868171]
Train,[-0.031360413611891534],[2.452425396471171e-06]
Train,[-0.03136041361189151],[-3.64276483580484e-18]
Train,[-0.03136041361189152],[-1.092829450741452e-16]
Train,[-0.03136041361189152],[-1.3113953408897423e-16]
Train,[-0.03136041361189153],[9.1069120895121e-18]
Train,[0.03832043985407935],[0.034386940850618]
Train,[0.03832043985407935],[1.45985827106679e-06]
Train,[0.03832043985407937],[1.381861560628865e-06]
Train,[0.038320439854079354],[-0.004030206474187182]
Train,[0.03832043985407939],[-4.100950617578291e-06]
Train,[0.03832043985407933],[0.04596011552868179]
Train,[0.038320439854079354],[0.035023058718785624]
Train,[0.038320439854079416],[2.4524253964638855e-06]
Train,[0.038320439854079416],[-0.04635304026034097]
Train,[0.038320439854079354],[8.766607765741092e-07]
Train,[0.03832043985407937],[8.766607766032513e-07]
Train,[0.03832043985407938],[-0.040709636276467155]
Train,[0.03832043985407936],[5.282009011917018e-17]
Train,[0.03832043985407938],[-5.46414725370726e-18]
Train,[0.03832043985407939],[1.82138241790242e-18]
Train,[0.03832043985407937],[9.471188573092583e-17]
Train,[0.024362840794046877],[-9.471188573092583e-17]
