Data,Predicted,Reference
Train,[-0.001371088966546467],[-0.03225818565279794]
Train,[-0.0013710889665464851],[-7.769851570889031e-07]
Train,[-0.0013710889665464888],[-7.769851570670464e-07]
Train,[-0.0013710889665464595],[-0.016908658625533646]
Train,[-0.001371088966546445],[2.147515531627273e-06]
Train,[-0.0013710889665464342],[-0.03181998237701682]
Train,[-0.0013710889665464578],[-0.020466061799623576]
Train,[-0.001371088966546474],[-2.2178075255649983e-06]
Train,[-0.0013710889665464595],[0.034386940850617984]
Train,[-0.0013710889665464595],[1.3818615606561856e-06]
Train,[-0.0013710889665464413],[1.4598582711141459e-06]
Train,[-0.0013710889665464376],[-0.004030206474187189]
Train,[-0.0013710889665464615],[-9.471188573092583e-17]
Train,[-0.0013710889665464541],[5.46414725370726e-18]
Train,[-0.001371088966546467],[1.82138241790242e-18]
Train,[-0.0013710889665464467],[1.092829450741452e-17]
Train,[0.014362889250363518],[2.1475155316309158e-06]
Train,[0.014362889250363541],[-0.02046606179962359]
Train,[0.014362889250363492],[-0.03181998237701695]
Train,[0.014362889250363548],[-2.2178075256323896e-06]
Train,[0.014362889250363518],[-0.04557838729447085]
Train,[0.014362889250363555],[1.820191515441475e-06]
Train,[0.014362889250363544],[1.8201915155289015e-06]
Train,[0.014362889250363511],[-0.07587621233758134]
Train,[0.014362889250363515],[-4.1009506176001475e-06]
Train,[0.014362889250363548],[0.03502305871878561]
Train,[0.014362889250363525],[0.04596011552868171]
Train,[0.014362889250363544],[2.452425396471171e-06]
Train,[0.014362889250363536],[-3.64276483580484e-18]
Train,[0.014362889250363522],[-1.092829450741452e-16]
Train,[0.014362889250363489],[-1.3113953408897423e-16]
Train,[0.014362889250363518],[9.1069120895121e-18]
Train,[-0.0023149154270858704],[0.034386940850618]
Train,[-0.002314915427085892],[1.45985827106679e-06]
Train,[-0.0023149154270858396],[1.381861560628865e-06]
Train,[-0.0023149154270858375],[-0.004030206474187182]
Train,[-0.002314915427085845],[-4.100950617578291e-06]
Train,[-0.0023149154270858487],[0.04596011552868179]
Train,[-0.0023149154270858596],[0.035023058718785624]
Train,[-0.0023149154270858305],[2.4524253964638855e-06]
Train,[-0.0023149154270858487],[-0.04635304026034097]
Train,[-0.0023149154270858466],[8.766607765741092e-07]
Train,[-0.0023149154270858396],[8.766607766032513e-07]
Train,[-0.002314915427085852],[-0.040709636276467155]
Train,[-0.002314915427085852],[5.282009011917018e-17]
Train,[-0.0023149154270858704],[-5.46414725370726e-18]
Train,[-0.002314915427085867],[1.82138241790242e-18]
Train,[-0.0023149154270858466],[9.471188573092583e-17]
Train,[-0.02131343208687734],[-9.471188573092583e-17]
Train,[-0.021313432086877346],[1.82138241790242e-18]
Train,[-0.02131343208687736],[5.46414725370726e-18]
Train,[-0.02131343208687734],[1.092829450741452e-17]
Train,[-0.021313432086877335],[-3.64276483580484e-18]
Train,[-0.021313432086877318],[-1.3113953408897423e-16]
Train,[-0.021313432086877335],[-1.092829450741452e-16]
Train,[-0.02131343208687734],[9.1069120895121e-18]
Train,[-0.021313432086877332],[5.282009011917018e-17]
Train,[-0.021313432086877325],[1.82138241790242e-18]
Train,[-0.021313432086877356],[-5.46414725370726e-18]
Train,[-0.02131343208687734],[9.471188573092583e-17]
Train,[-0.02131343208687732],[-0.026621245462551197]
Train,[-0.021313432086877335],[-5.688607871304142e-07]
Train,[-0.02131343208687734],[-5.688607871322355e-07]
Train,[-0.02131343208687735],[-0.010823945532928939]
Train,[-0.001335020857574094],[-0.03225642570605386]
Train,[-0.001335020857574072],[7.900587201402797e-05]
Train,[-0.0013350208575740683],[7.900587201395693e-05]
Train,[-0.0013350208575740646],[-0.01692222211298195]
Train,[-0.001335020857574094],[0.00021839714942577227]
Train,[-0.001335020857574101],[0.03183374883540315]
Train,[-0.001335020857574094],[0.020468388897137785]
Train,[-0.0013350208575740356],[-0.00022558532345777192]
Train,[-0.001335020857574072],[0.034430140265059306]
Train,[-0.0013350208575740848],[-0.00014064887786440584]
Train,[-0.0013350208575740902],[-0.00014859676587885906]
Train,[-0.00133502085757407],[-0.004036594411177927]
Train,[-0.0013350208575740646],[-1.4753197585009603e-16]
Train,[-0.001335020857574081],[2.185658901482904e-17]
Train,[-0.0013350208575740447],[1.457105934321936e-17]
Train,[-0.0013350208575740828],[1.639244176112178e-17]
Train,[0.013751534980639255],[0.0002183971494257249]
Train,[0.013751534980639269],[0.020468388897137844]
Train,[0.013751534980639291],[0.03183374883540315]
Train,[0.013751534980639272],[-0.00022558532345770454]
Train,[0.013751534980639281],[-0.04565742741386274]
Train,[0.013751534980639284],[-0.00018499056409219296]
Train,[0.013751534980639284],[-0.00018499056409211466]
Train,[0.013751534980639255],[-0.07587345187227598]
Train,[0.013751534980639272],[-0.000417703483878227]
Train,[0.013751534980639251],[-0.03506887734551717]
Train,[0.013751534980639244],[-0.04598491259983777]
Train,[0.013751534980639255],[0.00024937868650868835]
Train,[0.013751534980639281],[-1.274967692531694e-17]
Train,[0.013751534980639284],[1.5117474068590086e-16]
Train,[0.013751534980639255],[1.9853068355136378e-16]
Train,[0.013751534980639244],[-4.371317802965808e-17]
