Data,Predicted,Reference
Train,[-0.01562598797511382],[-0.03225818565279794]
Train,[-0.01861707563380335],[-7.769851570889031e-07]
Train,[-0.018617075633803312],[-7.769851570670464e-07]
Train,[-0.016204499398852996],[-0.016908658625533646]
Train,[0.0013363469877425225],[2.147515531627273e-06]
Train,[-0.0026840261581154035],[-0.03181998237701682]
Train,[-0.0026840261581153615],[-0.020466061799623576]
Train,[-0.007064610827615851],[-2.2178075255649983e-06]
Train,[0.005424332976496888],[0.034386940850617984]
Train,[0.0018640956899993806],[1.3818615606561856e-06]
Train,[0.0018640956899993843],[1.4598582711141459e-06]
Train,[-0.002100834081296051],[-0.004030206474187189]
Train,[0.006512175083536751],[-9.471188573092583e-17]
Train,[0.003087772702507001],[5.46414725370726e-18]
Train,[0.0030877727025069974],[1.82138241790242e-18]
Train,[-0.0007437945453411073],[1.092829450741452e-17]
Train,[-0.025461438208119858],[2.1475155316309158e-06]
Train,[-0.026054026952734365],[-0.02046606179962359]
Train,[-0.02605402695273435],[-0.03181998237701695]
Train,[-0.026699709598548324],[-2.2178075256323896e-06]
Train,[-0.023813294108567955],[-0.04557838729447085]
Train,[-0.024085734292956604],[1.820191515441475e-06]
Train,[-0.024085734292956608],[1.8201915155289015e-06]
Train,[-0.024484449302900252],[-0.07587621233758134]
Train,[-0.023813817344907246],[-4.1009506176001475e-06]
Train,[-0.023790808667156743],[0.03502305871878561]
Train,[-0.02379080866715675],[0.04596011552868171]
Train,[-0.024038496225455123],[2.452425396471171e-06]
Train,[-0.023926476736318092],[-3.64276483580484e-18]
Train,[-0.02375836865455716],[-1.092829450741452e-16]
Train,[-0.023758368654557157],[-1.3113953408897423e-16]
Train,[-0.023936840317837643],[9.1069120895121e-18]
Train,[0.006224178428099651],[0.034386940850618]
Train,[0.0026651600392732103],[1.45985827106679e-06]
Train,[0.002665160039273225],[1.381861560628865e-06]
Train,[-0.0012984122821459248],[-0.004030206474187182]
Train,[0.01331192311415071],[-4.100950617578291e-06]
Train,[0.013467970290403595],[0.04596011552868179]
Train,[0.013467970290403603],[0.035023058718785624]
Train,[0.011788128254952337],[2.4524253964638855e-06]
Train,[0.0077938198770997995],[-0.04635304026034097]
Train,[0.013048487755138168],[8.766607765741092e-07]
Train,[0.013048487755138172],[8.766607766032513e-07]
Train,[0.01358660505749433],[-0.040709636276467155]
Train,[0.003554898726600928],[5.282009011917018e-17]
Train,[0.01206934112031368],[-5.46414725370726e-18]
Train,[0.012069341120313683],[1.82138241790242e-18]
Train,[0.013710941684001953],[9.471188573092583e-17]
Train,[-0.019062722166846766],[-9.471188573092583e-17]
Train,[-0.019695076024978178],[1.82138241790242e-18]
Train,[-0.019695076024978178],[5.46414725370726e-18]
Train,[-0.020402617389068133],[1.092829450741452e-17]
Train,[-0.018095467229670755],[-3.64276483580484e-18]
Train,[-0.017884858222964532],[-1.3113953408897423e-16]
Train,[-0.017884858222964494],[-1.092829450741452e-16]
Train,[-0.018108450921988765],[9.1069120895121e-18]
Train,[-0.019756685168593573],[5.282009011917018e-17]
Train,[-0.018183860521752686],[1.82138241790242e-18]
Train,[-0.018183860521752717],[-5.46414725370726e-18]
Train,[-0.017880616961288488],[9.471188573092583e-17]
Train,[-0.02133378884445254],[-0.026621245462551197]
