Data,Predicted,Reference
Train,[-0.025644322437959156],[-0.03225818565279794]
Train,[-0.01498523769859811],[-7.769851570889031e-07]
Train,[-0.01498523769859605],[-7.769851570670464e-07]
Train,[-0.01283813917609853],[-0.016908658625533646]
Train,[-0.011501192898449461],[2.147515531627273e-06]
Train,[-0.034051983966619424],[-0.03181998237701682]
Train,[-0.025720137822676382],[-0.020466061799623576]
Train,[-0.012429221296316522],[-2.2178075255649983e-06]
Train,[-0.011823555126409212],[0.034386940850617984]
Train,[-0.01120725606787506],[1.3818615606561856e-06]
Train,[-0.01129678270436433],[1.4598582711141459e-06]
Train,[-0.021680695658061536],[-0.004030206474187189]
Train,[-0.004550871465176318],[-9.471188573092583e-17]
Train,[-0.0043642790538393015],[5.46414725370726e-18]
Train,[-0.0038807790636156215],[1.82138241790242e-18]
Train,[-0.005522707295131577],[1.092829450741452e-17]
Train,[-0.011501192898448424],[2.1475155316309158e-06]
Train,[-0.02572013782267641],[-0.02046606179962359]
Train,[-0.034051983966619466],[-0.03181998237701695]
Train,[-0.012429221296324396],[-2.2178075256323896e-06]
Train,[-0.037368877984178525],[-0.04557838729447085]
Train,[-0.010958030247231468],[1.820191515441475e-06]
Train,[-0.010958030247255912],[1.8201915155289015e-06]
Train,[-0.01619938281322375],[-0.07587621233758134]
Train,[-0.011639288023501762],[-4.1009506176001475e-06]
Train,[-0.013431431515193744],[0.03502305871878561]
Train,[-0.012700202914852304],[0.04596011552868171]
Train,[-0.011063783742041765],[2.452425396471171e-06]
Train,[-0.004415992606986206],[-3.64276483580484e-18]
Train,[-0.004369029625658417],[-1.092829450741452e-16]
Train,[-0.0044664120902952196],[-1.3113953408897423e-16]
Train,[-0.0035418706575962725],[9.1069120895121e-18]
Train,[-0.011823555126409212],[0.034386940850618]
Train,[-0.01129678270435171],[1.45985827106679e-06]
Train,[-0.011207256067870127],[1.381861560628865e-06]
Train,[-0.021680695658061543],[-0.004030206474187182]
Train,[-0.011639288023498399],[-4.100950617578291e-06]
Train,[-0.012700202914852346],[0.04596011552868179]
Train,[-0.013431431515193736],[0.035023058718785624]
Train,[-0.011063783742041838],[2.4524253964638855e-06]
Train,[-0.03170029877544262],[-0.04635304026034097]
Train,[-0.010584230029200269],[8.766607765741092e-07]
Train,[-0.010584230029227454],[8.766607766032513e-07]
Train,[-0.03630680464059038],[-0.040709636276467155]
Train,[-0.007814248213005921],[5.282009011917018e-17]
Train,[-0.004586953736272715],[-5.46414725370726e-18]
Train,[-0.004505473777161328],[1.82138241790242e-18]
Train,[-0.00440975836971686],[9.471188573092583e-17]
Train,[-0.004550871465176349],[-9.471188573092583e-17]
Train,[-0.0038807790636156067],[1.82138241790242e-18]
Train,[-0.0043642790538392946],[5.46414725370726e-18]
Train,[-0.005522707295131572],[1.092829450741452e-17]
Train,[-0.004415992606986216],[-3.64276483580484e-18]
Train,[-0.004466412090295225],[-1.3113953408897423e-16]
Train,[-0.004369029625658403],[-1.092829450741452e-16]
Train,[-0.0035418706575962616],[9.1069120895121e-18]
Train,[-0.007814248213005923],[5.282009011917018e-17]
Train,[-0.0045054737771613165],[1.82138241790242e-18]
Train,[-0.004586953736272748],[-5.46414725370726e-18]
Train,[-0.004409758369716855],[9.471188573092583e-17]
Train,[-0.022790488891744388],[-0.026621245462551197]
Train,[-0.010769360614354623],[-5.688607871304142e-07]
Train,[-0.010769360614351669],[-5.688607871322355e-07]
Train,[-0.02575724691706999],[-0.010823945532928939]
Train,[-0.02570048487497753],[-0.03225642570605386]
Train,[-0.01562926429003974],[7.900587201402797e-05]
Train,[-0.01562926429003968],[7.900587201395693e-05]
Train,[-0.012889379562557611],[-0.01692222211298195]
Train,[-0.015419222451316083],[0.00021839714942577227]
Train,[-0.013604908608788756],[0.03183374883540315]
Train,[-0.015260178741292152],[0.020468388897137785]
Train,[-0.01553813642448073],[-0.00022558532345777192]
Train,[-0.011820218766773225],[0.034430140265059306]
Train,[-0.01500641540364218],[-0.00014064887786440584]
Train,[-0.015147094551239977],[-0.00014859676587885906]
Train,[-0.021686568338269676],[-0.004036594411177927]
Train,[-0.004682748673751837],[-1.4753197585009603e-16]
Train,[-0.004716672183963521],[2.185658901482904e-17]
Train,[-0.004518964617126196],[1.457105934321936e-17]
Train,[-0.005596685682425714],[1.639244176112178e-17]
Train,[-0.015419222451316003],[0.0002183971494257249]
Train,[-0.01526017874129213],[0.020468388897137844]
Train,[-0.013604908608788737],[0.03183374883540315]
Train,[-0.015538136424480618],[-0.00022558532345770454]
Train,[-0.03737198311687247],[-0.04565742741386274]
Train,[-0.015273183858417118],[-0.00018499056409219296]
Train,[-0.015273183858416833],[-0.00018499056409211466]
Train,[-0.01620109970927275],[-0.07587345187227598]
Train,[-0.015998239544286717],[-0.000417703483878227]
Train,[-0.03168574158590214],[-0.03506887734551717]
Train,[-0.03736160103883378],[-0.04598491259983777]
Train,[-0.01545796953315906],[0.00024937868650868835]
Train,[-0.004517926544787246],[-1.274967692531694e-17]
Train,[-0.0044746927117100405],[1.5117474068590086e-16]
Train,[-0.004594939097613688],[1.9853068355136378e-16]
Train,[-0.003980515947943734],[-4.371317802965808e-17]
Train,[-0.011820218766773223],[0.034430140265059465]
Train,[-0.015147094551239575],[-0.0001485967658787516]
Train,[-0.015006415403642111],[-0.00014064887786438763]
Train,[-0.0216865683382697],[-0.00403659441117794]
Train,[-0.0159982395442869],[-0.00041770348387830354]
Train,[-0.03736160103883381],[-0.04598491259983788]
Train,[-0.031685741585902136],[-0.03506887734551722]
Train,[-0.015457969533159005],[0.00024937868650867014]
Train,[-0.031639441175260165],[-0.04642098563854254]
Train,[-0.014263996016223458],[-8.929989840338444e-05]
Train,[-0.014263996016224079],[-8.92998984034318e-05]
Train,[-0.03629793956249713],[-0.04070587366488182]
Train,[-0.007981993856022294],[8.742635605931616e-17]
Train,[-0.005026960180530272],[-3.096350110434114e-17]
Train,[-0.004903019538928879],[-2.367797143273146e-17]
Train,[-0.004503854464784665],[1.274967692531694e-16]
Train,[-0.004682748673751845],[-1.4753197585009603e-16]
Train,[-0.004518964617126196],[1.457105934321936e-17]
