Data,Predicted,Reference
Train,[-0.0016518989457687352],[-0.03225818565279794]
Train,[-0.0016518989457687497],[-7.769851570889031e-07]
Train,[-0.001651898945768748],[-7.769851570670464e-07]
Train,[-0.0016518989457687443],[-0.016908658625533646]
Train,[-0.0016518989457687224],[2.147515531627273e-06]
Train,[-0.001651898945768728],[-0.03181998237701682]
Train,[-0.0016518989457687371],[-0.020466061799623576]
Train,[-0.0016518989457687426],[-2.2178075255649983e-06]
Train,[-0.0016518989457687352],[0.034386940850617984]
Train,[-0.0016518989457687371],[1.3818615606561856e-06]
Train,[-0.0016518989457687426],[1.4598582711141459e-06]
Train,[-0.0016518989457687007],[-0.004030206474187189]
Train,[-0.001651898945768748],[-9.471188573092583e-17]
Train,[-0.0016518989457687862],[5.46414725370726e-18]
Train,[-0.0016518989457687463],[1.82138241790242e-18]
Train,[-0.001651898945768719],[1.092829450741452e-17]
Train,[-0.0055624057105054196],[2.1475155316309158e-06]
Train,[-0.005562405710505428],[-0.02046606179962359]
Train,[-0.005562405710505463],[-0.03181998237701695]
Train,[-0.005562405710505423],[-2.2178075256323896e-06]
Train,[-0.005562405710505428],[-0.04557838729447085]
Train,[-0.005562405710505441],[1.820191515441475e-06]
Train,[-0.00556240571050541],[1.8201915155289015e-06]
Train,[-0.005562405710505436],[-0.07587621233758134]
Train,[-0.0055624057105054464],[-4.1009506176001475e-06]
Train,[-0.005562405710505443],[0.03502305871878561]
Train,[-0.005562405710505436],[0.04596011552868171]
Train,[-0.005562405710505448],[2.452425396471171e-06]
Train,[-0.005562405710505412],[-3.64276483580484e-18]
Train,[-0.0055624057105054395],[-1.092829450741452e-16]
Train,[-0.005562405710505461],[-1.3113953408897423e-16]
Train,[-0.005562405710505395],[9.1069120895121e-18]
Train,[-0.0024960215115415246],[0.034386940850618]
Train,[-0.0024960215115415337],[1.45985827106679e-06]
Train,[-0.0024960215115415224],[1.381861560628865e-06]
Train,[-0.002496021511541508],[-0.004030206474187182]
Train,[-0.002496021511541539],[-4.100950617578291e-06]
Train,[-0.002496021511541528],[0.04596011552868179]
Train,[-0.002496021511541528],[0.035023058718785624]
Train,[-0.00249602151154151],[2.4524253964638855e-06]
Train,[-0.0024960215115415337],[-0.04635304026034097]
Train,[-0.0024960215115415263],[8.766607765741092e-07]
Train,[-0.0024960215115415172],[8.766607766032513e-07]
Train,[-0.002496021511541519],[-0.040709636276467155]
Train,[-0.002496021511541528],[5.282009011917018e-17]
Train,[-0.0024960215115415116],[-5.46414725370726e-18]
Train,[-0.0024960215115415354],[1.82138241790242e-18]
Train,[-0.002496021511541543],[9.471188573092583e-17]
Train,[-0.00049310513336713],[-9.471188573092583e-17]
Train,[-0.0004931051333671283],[1.82138241790242e-18]
Train,[-0.0004931051333671283],[5.46414725370726e-18]
Train,[-0.0004931051333671155],[1.092829450741452e-17]
Train,[-0.0004931051333671319],[-3.64276483580484e-18]
Train,[-0.0004931051333671283],[-1.3113953408897423e-16]
Train,[-0.0004931051333671173],[-1.092829450741452e-16]
Train,[-0.0004931051333671319],[9.1069120895121e-18]
Train,[-0.0004931051333671192],[5.282009011917018e-17]
Train,[-0.00049310513336713],[1.82138241790242e-18]
Train,[-0.0004931051333671064],[-5.46414725370726e-18]
Train,[-0.0004931051333671046],[9.471188573092583e-17]
Train,[-0.0004931051333670991],[-0.026621245462551197]
Train,[-0.0004931051333671391],[-5.688607871304142e-07]
Train,[-0.0004931051333671046],[-5.688607871322355e-07]
Train,[-0.0004931051333671246],[-0.010823945532928939]
Train,[-0.0016195267347379908],[-0.03225642570605386]
Train,[-0.0016195267347379925],[7.900587201402797e-05]
Train,[-0.0016195267347379706],[7.900587201395693e-05]
Train,[-0.0016195267347380016],[-0.01692222211298195]
Train,[-0.0016195267347380053],[0.00021839714942577227]
Train,[-0.001619526734738007],[0.03183374883540315]
Train,[-0.001619526734738018],[0.020468388897137785]
Train,[-0.0016195267347379942],[-0.00022558532345777192]
Train,[-0.0016195267347379743],[0.034430140265059306]
Train,[-0.0016195267347380252],[-0.00014064887786440584]
Train,[-0.001619526734738009],[-0.00014859676587885906]
Train,[-0.0016195267347379615],[-0.004036594411177927]
Train,[-0.0016195267347379816],[-1.4753197585009603e-16]
Train,[-0.0016195267347380235],[2.185658901482904e-17]
Train,[-0.0016195267347380033],[1.457105934321936e-17]
Train,[-0.0016195267347380252],[1.639244176112178e-17]
Train,[-0.006247721115650774],[0.0002183971494257249]
Train,[-0.0062477211156507905],[0.020468388897137844]
Train,[-0.006247721115650764],[0.03183374883540315]
Train,[-0.006247721115650754],[-0.00022558532345770454]
Train,[-0.006247721115650809],[-0.04565742741386274]
Train,[-0.00624772111565078],[-0.00018499056409219296]
Train,[-0.006247721115650762],[-0.00018499056409211466]
Train,[-0.006247721115650778],[-0.07587345187227598]
Train,[-0.006247721115650815],[-0.000417703483878227]
