Data,Predicted,Reference
Train,[-0.020624314828156423],[-0.03225818565279794]
Train,[-0.02462662697448874],[-7.769851570889031e-07]
Train,[-0.02462662697448874],[-7.769851570670464e-07]
Train,[-0.030416299695370096],[-0.016908658625533646]
Train,[-0.01589157057729798],[2.147515531627273e-06]
Train,[-0.016063529939247003],[-0.03181998237701682]
Train,[-0.016063529939247007],[-0.020466061799623576]
Train,[-0.01672358802158814],[-2.2178075255649983e-06]
Train,[-0.015869711487254187],[0.034386940850617984]
Train,[-0.015887679256394907],[1.3818615606561856e-06]
Train,[-0.01588767925639491],[1.4598582711141459e-06]
Train,[-0.016017857740875528],[-0.004030206474187189]
Train,[-0.015831993981751124],[-9.471188573092583e-17]
Train,[-0.015885516413125255],[5.46414725370726e-18]
Train,[-0.01588551641312525],[1.82138241790242e-18]
Train,[-0.015942006847768548],[1.092829450741452e-17]
Train,[-0.016190950447586682],[2.1475155316309158e-06]
Train,[-0.015908824424606727],[-0.02046606179962359]
Train,[-0.01590882442460673],[-0.03181998237701695]
Train,[-0.014825896693333262],[-2.2178075256323896e-06]
Train,[-0.0199328970873118],[-0.04557838729447085]
Train,[-0.01754139938986131],[1.820191515441475e-06]
Train,[-0.017541399389861323],[1.8201915155289015e-06]
Train,[-0.016480740713463237],[-0.07587621233758134]
Train,[-0.024969123552340936],[-4.1009506176001475e-06]
Train,[-0.020401912526884967],[0.03502305871878561]
Train,[-0.020401912526884957],[0.04596011552868171]
Train,[-0.017782243136106424],[2.452425396471171e-06]
Train,[-0.027003058881361387],[-3.64276483580484e-18]
Train,[-0.021671770978530507],[-1.092829450741452e-16]
Train,[-0.021671770978530507],[-1.3113953408897423e-16]
Train,[-0.018467254335020594],[9.1069120895121e-18]
Train,[-0.015867873472761383],[0.034386940850618]
Train,[-0.01588696418831444],[1.45985827106679e-06]
Train,[-0.01588696418831443],[1.381861560628865e-06]
Train,[-0.016025278544364068],[-0.004030206474187182]
Train,[-0.010206302939239392],[-4.100950617578291e-06]
Train,[-0.013164055264700627],[0.04596011552868179]
Train,[-0.013164055264700616],[0.035023058718785624]
Train,[-0.014860568342228337],[2.4524253964638855e-06]
Train,[-0.004853039944611997],[-0.04635304026034097]
Train,[-0.00967476985965412],[8.766607765741092e-07]
Train,[-0.009674769859654125],[8.766607766032513e-07]
Train,[-0.012835880340605225],[-0.040709636276467155]
Train,[-0.0028307233874472074],[5.282009011917018e-17]
Train,[-0.008279500768362771],[-5.46414725370726e-18]
Train,[-0.008279500768362766],[1.82138241790242e-18]
Train,[-0.011951588571695714],[9.471188573092583e-17]
Train,[-0.0155096848669706],[-9.471188573092583e-17]
Train,[-0.015542670626432008],[1.82138241790242e-18]
Train,[-0.015542670626432007],[5.46414725370726e-18]
Train,[-0.015577485559931367],[1.092829450741452e-17]
Train,[-0.011484927354838977],[-3.64276483580484e-18]
Train,[-0.013487579259605685],[-1.3113953408897423e-16]
Train,[-0.013487579259605679],[-1.092829450741452e-16]
Train,[-0.014691328049194395],[9.1069120895121e-18]
Train,[-0.007970780373663982],[5.282009011917018e-17]
Train,[-0.011131323132339766],[1.82138241790242e-18]
Train,[-0.01113132313233977],[-5.46414725370726e-18]
Train,[-0.013261303805929976],[9.471188573092583e-17]
Train,[-0.006662488866403422],[-0.026621245462551197]
Train,[-0.01020903845989124],[-5.688607871304142e-07]
Train,[-0.010209038459891243],[-5.688607871322355e-07]
Train,[-0.012657699919555369],[-0.010823945532928939]
Train,[-0.020577093113963336],[-0.03225642570605386]
Train,[-0.02456673407654595],[7.900587201402797e-05]
Train,[-0.024566734076545957],[7.900587201395693e-05]
Train,[-0.030347937553219566],[-0.01692222211298195]
Train,[-0.01589123335987879],[0.00021839714942577227]
Train,[-0.01606083637469321],[0.03183374883540315]
Train,[-0.016060836374693216],[0.020468388897137785]
Train,[-0.016718294504079603],[-0.00022558532345777192]
Train,[-0.015868966016149212],[0.034430140265059306]
Train,[-0.015887555170119007],[-0.00014064887786440584]
Train,[-0.015887555170119003],[-0.00014859676587885906]
Train,[-0.01601612388906075],[-0.004036594411177927]
Train,[-0.0158305207676455],[-1.4753197585009603e-16]
Train,[-0.015885546914006014],[2.185658901482904e-17]
Train,[-0.01588554691400601],[1.457105934321936e-17]
Train,[-0.015941276791244255],[1.639244176112178e-17]
Train,[-0.01619349074763469],[0.0002183971494257249]
Train,[-0.015919992728142124],[0.020468388897137844]
Train,[-0.015919992728142127],[0.03183374883540315]
Train,[-0.0148597904877325],[-0.00022558532345770454]
Train,[-0.019887011715061284],[-0.04565742741386274]
Train,[-0.017524681844026283],[-0.00018499056409219296]
Train,[-0.017524681844026283],[-0.00018499056409211466]
Train,[-0.016477977077743563],[-0.07587345187227598]
Train,[-0.02485353732093807],[-0.000417703483878227]
Train,[-0.020343799492343898],[-0.03506887734551717]
Train,[-0.0203437994923439],[-0.04598491259983777]
Train,[-0.01775904040849098],[0.00024937868650868835]
Train,[-0.026848258733438886],[-1.274967692531694e-17]
Train,[-0.021588343148570985],[1.5117474068590086e-16]
Train,[-0.021588343148571002],[1.9853068355136378e-16]
Train,[-0.018429622068735354],[-4.371317802965808e-17]
Train,[-0.01586704041168746],[0.034430140265059465]
Train,[-0.015886818541535817],[-0.0001485967658787516]
Train,[-0.015886818541535817],[-0.00014064887786438763]
Train,[-0.016023610609738663],[-0.00403659441117794]
Train,[-0.010176929698543861],[-0.00041770348387830354]
Train,[-0.013152404498280014],[-0.04598491259983788]
Train,[-0.013152404498280014],[-0.03506887734551722]
Train,[-0.01485779975842776],[0.00024937868650867014]
Train,[-0.004800117572375661],[-0.04642098563854254]
Train,[-0.009649664230204679],[-8.929989840338444e-05]
Train,[-0.00964966423020468],[-8.92998984034318e-05]
Train,[-0.012827086602425134],[-0.04070587366488182]
Train,[-0.002779816092944508],[8.742635605931616e-17]
Train,[-0.008256547344294957],[-3.096350110434114e-17]
Train,[-0.008256547344294958],[-2.367797143273146e-17]
Train,[-0.011944889113701498],[1.274967692531694e-16]
Train,[-0.01550778126888599],[-1.4753197585009603e-16]
Train,[-0.015543098640570399],[1.457105934321936e-17]
Train,[-0.015543098640570392],[2.185658901482904e-17]
Train,[-0.01557886768707884],[1.639244176112178e-17]
Train,[-0.011305998508178296],[-1.274967692531694e-17]
Train,[-0.013399520046901125],[1.9853068355136378e-16]
Train,[-0.013399520046901122],[1.5117474068590086e-16]
Train,[-0.01465673615783608],[-4.371317802965808e-17]
Train,[-0.007637654873759107],[8.742635605931616e-17]
Train,[-0.010941465212814569],[-2.367797143273146e-17]
Train,[-0.010941465212814564],[-3.096350110434114e-17]
Train,[-0.013166438670975531],[1.274967692531694e-16]
Train,[-0.006279160284302743],[-0.026634468268519597]
Train,[-0.00998438321019654],[5.783038463533851e-05]
Train,[-0.009984383210196544],[5.7830384635351266e-05]
Train,[-0.01254063286542315],[-0.010832636499721451]
Train,[-0.020634172112258577],[-0.032258451158275296]
Train,[-0.024639168990192643],[-1.3271416039564208e-05]
Train,[-0.024639168990192657],[-1.3271416039666206e-05]
Train,[-0.030430695168090882],[-0.016905929475836967]
Train,[-0.015891642448266397],[3.667982742938658e-05]
