Time,Iteration,Cost,Parameters
Sat Aug 24 21:27:54 2024,0,0.5686095008801128,[-2.89055873  2.25005935 -2.11165492 -0.12915574  0.54126236]
Sat Aug 24 21:28:26 2024,1,0.5640821531263371,[-2.87696117  2.23646179 -2.12525248 -0.14275331  0.55485992]
Sat Aug 24 21:28:58 2024,2,0.5547599887550579,[-2.86482624  2.24859672 -2.13738741 -0.13061838  0.542725  ]
Sat Aug 24 21:29:30 2024,3,0.5618502315140148,[-2.85015556  2.23392604 -2.12271673 -0.14528906  0.55739568]
Sat Aug 24 21:30:02 2024,4,0.5639581345575427,[-2.83507701  2.21884749 -2.10763818 -0.16036761  0.57247423]
Sat Aug 24 21:30:34 2024,5,0.5455613970769274,[-2.82140671  2.20517719 -2.09396788 -0.14669731  0.58614452]
Sat Aug 24 21:31:06 2024,6,0.545227036642432,[-2.80684019  2.19061067 -2.1085344  -0.13213079  0.60071104]
Sat Aug 24 21:31:38 2024,7,0.5374945879735729,[-2.79191257  2.17568305 -2.12346202 -0.14705842  0.61563867]
Sat Aug 24 21:32:10 2024,8,0.5283275949076393,[-2.77601354  2.15978401 -2.10756299 -0.16295745  0.6315377 ]
Sat Aug 24 21:32:42 2024,9,0.5231827177123447,[-2.75951751  2.17628004 -2.12405902 -0.17945348  0.64803373]
Sat Aug 24 21:33:14 2024,10,0.53052960821028,[-2.74309736  2.1598599  -2.10763887 -0.19587362  0.66445387]
Sat Aug 24 21:33:46 2024,11,0.5052911173357589,[-2.72665994  2.17629732 -2.09120145 -0.1794362   0.6808913 ]
Sat Aug 24 21:34:18 2024,12,0.5223291894303748,[-2.71203057  2.16166794 -2.10583082 -0.16480683  0.66626192]
Sat Aug 24 21:34:50 2024,13,0.49995117770866976,[-2.69650171  2.17719681 -2.09030196 -0.18033569  0.68179079]
Sat Aug 24 21:35:22 2024,14,0.49501285179510957,[-2.67566865  2.15636375 -2.06946891 -0.20116875  0.66095773]
Sat Aug 24 21:35:54 2024,15,0.49277829927357497,[-2.65976021  2.14045531 -2.08537735 -0.21707719  0.67686617]
Sat Aug 24 21:36:26 2024,16,0.4779067429253526,[-2.6412479   2.15896762 -2.10388966 -0.2355895   0.65835386]
Sat Aug 24 21:36:58 2024,17,0.47861235364242327,[-2.62230722  2.17790831 -2.12283034 -0.25453018  0.63941318]
Sat Aug 24 21:37:30 2024,18,0.471182165718172,[-2.60350847  2.19670706 -2.14162909 -0.27332893  0.62061443]
Sat Aug 24 21:38:02 2024,19,0.45247809991630905,[-2.58522108  2.21499444 -2.12334171 -0.25504155  0.63890181]
Sat Aug 24 21:38:34 2024,20,0.44805185835133554,[-2.56575292  2.19552628 -2.10387355 -0.23557339  0.65836997]
Sat Aug 24 21:39:06 2024,21,0.44708270109272835,[-2.54660023  2.21467898 -2.08472085 -0.25472608  0.67752267]
Sat Aug 24 21:39:38 2024,22,0.43348728563650146,[-2.52391939  2.23735982 -2.1074017  -0.23204524  0.70020351]
Sat Aug 24 21:40:10 2024,23,0.4166908148326657,[-2.50428148  2.25699773 -2.08776379 -0.25168315  0.71984142]
Sat Aug 24 21:40:43 2024,24,0.4097904041665567,[-2.48515337  2.23786962 -2.06863568 -0.23255504  0.73896952]
Sat Aug 24 21:41:15 2024,25,0.39914115490028373,[-2.46495221  2.25807078 -2.08883684 -0.21235389  0.75917068]
Sat Aug 24 21:41:47 2024,26,0.40018685393967934,[-2.44565856  2.23877713 -2.06954319 -0.23164754  0.73987703]
Sat Aug 24 21:42:19 2024,27,0.3937954482690522,[-2.42660455  2.25783115 -2.05048918 -0.25070155  0.75893105]
Sat Aug 24 21:42:51 2024,28,0.38669691550497504,[-2.40535792  2.23658452 -2.0717358  -0.27194818  0.78017768]
Sat Aug 24 21:43:23 2024,29,0.37792872238888997,[-2.38690282  2.25503962 -2.05328071 -0.29040328  0.76172258]
Sat Aug 24 21:43:55 2024,30,0.35744564724394057,[-2.36840123  2.27354121 -2.0717823  -0.30890487  0.74322099]
Sat Aug 24 21:44:27 2024,31,0.35285311816042475,[-2.3492636   2.29267884 -2.09091993 -0.28976724  0.72408336]
Sat Aug 24 21:45:00 2024,32,0.340847061115877,[-2.33004442  2.27345966 -2.07170075 -0.30898642  0.70486418]
Sat Aug 24 21:45:32 2024,33,0.33142755051402417,[-2.31137741  2.25479265 -2.05303373 -0.32765343  0.7235312 ]
Sat Aug 24 21:46:04 2024,34,0.3292333630954647,[-2.29172318  2.27444687 -2.03337951 -0.30799921  0.70387697]
Sat Aug 24 21:46:36 2024,35,0.3126296860042546,[-2.27147053  2.29469953 -2.01312686 -0.28774655  0.68362432]
Sat Aug 24 21:47:08 2024,36,0.310609209223439,[-2.25249234  2.31367772 -1.99414867 -0.30672474  0.7026025 ]
Sat Aug 24 21:47:40 2024,37,0.2961390708875608,[-2.23426908  2.33190098 -2.01237193 -0.28850147  0.72082577]
Sat Aug 24 21:48:12 2024,38,0.2912395011392963,[-2.21648652  2.34968354 -1.99458937 -0.27071891  0.70304321]
Sat Aug 24 21:48:44 2024,39,0.29262442062482247,[-2.19755057  2.36861949 -2.01352532 -0.25178297  0.68410726]
Sat Aug 24 21:49:16 2024,40,0.2779315621777319,[-2.17905234  2.38711771 -2.03202355 -0.23328474  0.70260549]
Sat Aug 24 21:49:48 2024,41,0.27264555607794144,[-2.16157558  2.36964096 -2.01454679 -0.21580798  0.72008225]
Sat Aug 24 21:50:20 2024,42,0.2657291339842523,[-2.14491158  2.38630496 -1.99788279 -0.19914398  0.70341825]
Sat Aug 24 21:50:53 2024,43,0.25344987066451696,[-2.12900101  2.37039438 -2.01379336 -0.1832334   0.71932882]
Sat Aug 24 21:51:25 2024,44,0.2512270398699832,[-2.11257256  2.35396594 -2.03022181 -0.16680496  0.73575727]
Sat Aug 24 21:51:57 2024,45,0.2462496028513002,[-2.09714996  2.33854334 -2.01479921 -0.18222756  0.72033467]
Sat Aug 24 21:52:29 2024,46,0.23710456911487096,[-2.08078224  2.32217561 -2.03116694 -0.16585983  0.7367024 ]
Sat Aug 24 21:53:01 2024,47,0.2306678384182151,[-2.06686395  2.3360939  -2.04508522 -0.15194154  0.72278411]
Sat Aug 24 21:53:33 2024,48,0.2321292769218732,[-2.05251457  2.35044328 -2.03073585 -0.13759217  0.73713348]
Sat Aug 24 21:54:05 2024,49,0.22501915088417282,[-2.03840474  2.33633345 -2.01662602 -0.151702    0.72302366]
Sat Aug 24 21:54:37 2024,50,0.21658781265086538,[-2.02573722  2.32366593 -2.0039585  -0.13903448  0.73569118]
Sat Aug 24 21:55:09 2024,51,0.2158769792281249,[-2.01241237  2.31034108 -2.01728334 -0.15235932  0.74901602]
Sat Aug 24 21:55:41 2024,52,0.21055842353934456,[-1.99871934  2.29664805 -2.00359031 -0.16605235  0.76270905]
Sat Aug 24 21:56:13 2024,53,0.20043163923807444,[-1.9856583   2.283587   -1.99052927 -0.15299131  0.74964801]
Sat Aug 24 21:56:45 2024,54,0.1972436027133892,[-1.97276983  2.29647547 -1.97764079 -0.16587978  0.73675954]
Sat Aug 24 21:57:17 2024,55,0.19460590056404917,[-1.96035193  2.28405758 -1.9652229  -0.15346188  0.72434164]
Sat Aug 24 21:57:49 2024,56,0.19139542539737475,[-1.94787296  2.27157861 -1.95274393 -0.14098291  0.7368206 ]
Sat Aug 24 21:58:20 2024,57,0.18739751292619045,[-1.93646261  2.26016826 -1.96415428 -0.12957256  0.74823096]
Sat Aug 24 21:58:52 2024,58,0.1841070243085829,[-1.92536642  2.27126445 -1.97525047 -0.14066875  0.75932715]
Sat Aug 24 21:59:24 2024,59,0.18002048824546824,[-1.91399349  2.25989152 -1.96387755 -0.12929583  0.77070007]
Sat Aug 24 21:59:57 2024,60,0.17922815638431333,[-1.90369072  2.24958875 -1.97418032 -0.1395986   0.7603973 ]
Sat Aug 24 22:00:29 2024,61,0.17575085181591205,[-1.89346124  2.25981823 -1.9844098  -0.14982809  0.77062678]
Sat Aug 24 22:01:01 2024,62,0.1696821720491189,[-1.88240332  2.24876031 -1.97335188 -0.13877017  0.7816847 ]
Sat Aug 24 22:01:33 2024,63,0.17031647263331381,[-1.87223702  2.25892661 -1.96318558 -0.14893647  0.791851  ]
Sat Aug 24 22:02:05 2024,64,0.17067887431798037,[-1.86293354  2.26823009 -1.97248906 -0.15823994  0.78254752]
Sat Aug 24 22:02:37 2024,65,0.17038439848101714,[-1.85396753  2.25926408 -1.96352305 -0.14927393  0.77358151]
Sat Aug 24 22:03:09 2024,66,0.16019221944564696,[-1.84497674  2.25027329 -1.97251384 -0.14028315  0.7825723 ]
Sat Aug 24 22:03:41 2024,67,0.1612443989318357,[-1.83698217  2.25826787 -1.98050841 -0.13228857  0.79056687]
Sat Aug 24 22:04:13 2024,68,0.15800749701681632,[-1.82840143  2.24968713 -1.98908915 -0.14086931  0.79914762]
Sat Aug 24 22:04:45 2024,69,0.15791364696902663,[-1.82024288  2.25784568 -1.9972477  -0.14902786  0.79098907]
Sat Aug 24 22:05:17 2024,70,0.15327731735156624,[-1.81234401  2.24994681 -2.00514657 -0.15692673  0.7830902 ]
Sat Aug 24 22:05:50 2024,71,0.15807392757629307,[-1.80518865  2.24279145 -2.01230193 -0.14977136  0.79024556]
Sat Aug 24 22:06:22 2024,72,0.14769220677017764,[-1.79774952  2.23535232 -2.00486281 -0.14233224  0.79768469]
Sat Aug 24 22:06:54 2024,73,0.1541295534899769,[-1.7909982   2.228601   -1.99811149 -0.13558092  0.80443601]
Sat Aug 24 22:07:26 2024,74,0.15138909880691673,[-1.78393627  2.23566293 -2.00517342 -0.14264285  0.81149794]
Sat Aug 24 22:07:58 2024,75,0.1476714996162274,[-1.77712505  2.24247416 -1.9983622  -0.14945408  0.81830916]
Sat Aug 24 22:08:30 2024,76,0.14866658583335046,[-1.77104209  2.2363912  -2.00444515 -0.14337112  0.81222621]
Sat Aug 24 22:09:02 2024,77,0.14629830244368083,[-1.76505289  2.2423804  -1.99845595 -0.14936032  0.8182154 ]
Sat Aug 24 22:09:34 2024,78,0.14845379390745397,[-1.75858785  2.24884544 -1.99199091 -0.14289527  0.81175036]
Sat Aug 24 22:10:06 2024,79,0.14411156133621203,[-1.75219083  2.24244842 -1.99838793 -0.13649825  0.80535334]
