Data,Predicted,Reference
Train,[-0.016628301789410077],[-0.03225818565279794]
Train,[-0.022297831890699726],[-7.769851570889031e-07]
Train,[-0.02229783189069974],[-7.769851570670464e-07]
Train,[-0.02627575794730059],[-0.016908658625533646]
Train,[0.0035956165548240012],[2.147515531627273e-06]
Train,[-0.0005898742170697129],[-0.03181998237701682]
Train,[-0.0005898742170696564],[-0.020466061799623576]
Train,[-0.005520381916538211],[-2.2178075255649983e-06]
Train,[0.00744070929169785],[0.034386940850617984]
Train,[0.004118003816004555],[1.3818615606561856e-06]
Train,[0.004118003816004545],[1.4598582711141459e-06]
Train,[3.825348859048172e-05],[-0.004030206474187189]
Train,[0.008372394230809975],[-9.471188573092583e-17]
Train,[0.0053017079985332284],[5.46414725370726e-18]
Train,[0.005301707998533243],[1.82138241790242e-18]
Train,[0.0014732001094704267],[1.092829450741452e-17]
Train,[-0.025396878235738485],[2.1475155316309158e-06]
Train,[-0.026519571074483564],[-0.02046606179962359]
Train,[-0.026519571074483588],[-0.03181998237701695]
Train,[-0.027842103123232168],[-2.2178075256323896e-06]
Train,[-0.02317743193134314],[-0.04557838729447085]
Train,[-0.02331793165253312],[1.820191515441475e-06]
Train,[-0.023317931652533114],[1.8201915155289015e-06]
Train,[-0.023803200855077852],[-0.07587621233758134]
Train,[-0.023763571698065915],[-4.1009506176001475e-06]
Train,[-0.023196467133491223],[0.03502305871878561]
Train,[-0.023196467133491244],[0.04596011552868171]
Train,[-0.023274079463245778],[2.452425396471171e-06]
Train,[-0.024188511941937704],[-3.64276483580484e-18]
Train,[-0.02329183329161432],[-1.092829450741452e-16]
Train,[-0.02329183329161431],[-1.3113953408897423e-16]
Train,[-0.023198436975173348],[9.1069120895121e-18]
Train,[0.008238950131551171],[0.034386940850618]
Train,[0.004909229440271583],[1.45985827106679e-06]
Train,[0.004909229440271598],[1.381861560628865e-06]
Train,[0.0008208655513203466],[-0.004030206474187182]
Train,[0.010487695584280376],[-4.100950617578291e-06]
Train,[0.01260637153504643],[0.04596011552868179]
Train,[0.012606371535046427],[0.035023058718785624]
Train,[0.012316415525510134],[2.4524253964638855e-06]
Train,[0.0015207214601044045],[-0.04635304026034097]
Train,[0.00989099298755574],[8.766607765741092e-07]
Train,[0.009890992987555735],[8.766607766032513e-07]
Train,[0.012490573553627343],[-0.040709636276467155]
Train,[-0.004277087182158682],[5.282009011917018e-17]
Train,[0.008040869895971104],[-5.46414725370726e-18]
Train,[0.008040869895971095],[1.82138241790242e-18]
Train,[0.012010674865082258],[9.471188573092583e-17]
Train,[-0.019121609075881587],[-9.471188573092583e-17]
Train,[-0.019047196486793868],[1.82138241790242e-18]
Train,[-0.019047196486793854],[5.46414725370726e-18]
Train,[-0.01895441944517585],[1.092829450741452e-17]
Train,[-0.01911502032609259],[-3.64276483580484e-18]
Train,[-0.019196029320181805],[-1.3113953408897423e-16]
Train,[-0.019196029320181794],[-1.092829450741452e-16]
Train,[-0.01920446706055157],[9.1069120895121e-18]
Train,[-0.018796366592569006],[5.282009011917018e-17]
Train,[-0.019094241350519122],[1.82138241790242e-18]
Train,[-0.019094241350519132],[-5.46414725370726e-18]
Train,[-0.01919023979301918],[9.471188573092583e-17]
Train,[-0.018528440815419406],[-0.026621245462551197]
Train,[-0.019030482355653133],[-5.688607871304142e-07]
Train,[-0.019030482355653154],[-5.688607871322355e-07]
Train,[-0.01917029072392278],[-0.010823945532928939]
Train,[-0.01659057211710771],[-0.03225642570605386]
Train,[-0.022283834824242982],[7.900587201402797e-05]
Train,[-0.022283834824242996],[7.900587201395693e-05]
Train,[-0.02629504296044202],[-0.01692222211298195]
Train,[0.0036014467863855404],[0.00021839714942577227]
Train,[-0.0005906912243187675],[0.03183374883540315]
Train,[-0.0005906912243187785],[0.020468388897137785]
Train,[-0.005532683662476735],[-0.00022558532345777192]
Train,[0.007442779044297768],[0.034430140265059306]
Train,[0.004117273616355323],[-0.00014064887786440584]
Train,[0.004117273616355323],[-0.00014859676587885906]
Train,[3.005983833982743e-05],[-0.004036594411177927]
Train,[0.00836835724034164],[-1.4753197585009603e-16]
Train,[0.005294840486792674],[2.185658901482904e-17]
Train,[0.005294840486792685],[1.457105934321936e-17]
Train,[0.0014587295434540177],[1.639244176112178e-17]
Train,[-0.024934953233146196],[0.0002183971494257249]
Train,[-0.026051185684783807],[0.020468388897137844]
Train,[-0.026051185684783817],[0.03183374883540315]
Train,[-0.02736708041943563],[-0.00022558532345770454]
Train,[-0.02274238393569562],[-0.04565742741386274]
Train,[-0.02287948662429711],[-0.00018499056409219296]
Train,[-0.022879486624297143],[-0.00018499056409211466]
Train,[-0.023361763333450043],[-0.07587345187227598]
Train,[-0.023333427886455396],[-0.000417703483878227]
Train,[-0.022761650517169493],[-0.03506887734551717]
Train,[-0.022761650517169472],[-0.04598491259983777]
Train,[-0.022836614039026485],[0.00024937868650868835]
Train,[-0.023757908189450512],[-1.274967692531694e-17]
Train,[-0.022857271500641173],[1.5117474068590086e-16]
Train,[-0.022857271500641173],[1.9853068355136378e-16]
Train,[-0.022762132407315148],[-4.371317802965808e-17]
Train,[0.00825799232317352],[0.034430140265059465]
Train,[0.004925292454909996],[-0.0001485967658787516]
Train,[0.004925292454910007],[-0.00014064887786438763]
Train,[0.0008292363471366601],[-0.00403659441117794]
Train,[0.010436072688905134],[-0.00041770348387830354]
Train,[0.012588093331408066],[-0.04598491259983788]
Train,[0.012588093331408087],[-0.03506887734551722]
Train,[0.012305950219181626],[0.00024937868650867014]
Train,[0.0013513509109250093],[-0.04642098563854254]
Train,[0.009839859190163374],[-8.929989840338444e-05]
Train,[0.009839859190163374],[-8.92998984034318e-05]
Train,[0.012471678656916327],[-0.04070587366488182]
Train,[-0.004513487253432588],[8.742635605931616e-17]
Train,[0.00798150971027092],[-3.096350110434114e-17]
Train,[0.00798150971027092],[-2.367797143273146e-17]
Train,[0.0119895353371654],[1.274967692531694e-16]
Train,[-0.018729476219653204],[-1.4753197585009603e-16]
Train,[-0.018673920598160462],[1.457105934321936e-17]
Train,[-0.018673920598160452],[2.185658901482904e-17]
Train,[-0.018604580638543748],[1.639244176112178e-17]
Train,[-0.018723215128322677],[-1.274967692531694e-17]
Train,[-0.018784354783862395],[1.9853068355136378e-16]
Train,[-0.0187843547838624],[1.5117474068590086e-16]
Train,[-0.018790813294232427],[-4.371317802965808e-17]
Train,[-0.018482392201230616],[8.742635605931616e-17]
Train,[-0.01870775905263242],[-2.367797143273146e-17]
Train,[-0.018707759052632417],[-3.096350110434114e-17]
Train,[-0.018780050075871132],[1.274967692531694e-16]
Train,[-0.01827727613558847],[-0.026634468268519597]
Train,[-0.018660057969023185],[5.783038463533851e-05]
Train,[-0.0186600579690232],[5.7830384635351266e-05]
Train,[-0.018765158829862207],[-0.010832636499721451]
Train,[-0.016636080396247026],[-0.032258451158275296]
Train,[-0.022300730288172855],[-1.3271416039564208e-05]
Train,[-0.022300730288172883],[-1.3271416039666206e-05]
Train,[-0.026271714814403397],[-0.016905929475836967]
Train,[0.0035944488103970616],[3.667982742938658e-05]
Train,[-0.000589702868210928],[-0.03181689782676138]
Train,[-0.0005897028682108878],[-0.020465344205368968]
Train,[-0.0055178838684482295],[-3.7879038950043834e-05]
Train,[0.0074403210931933625],[0.03437783697126322]
Train,[0.004118167216683758],[2.359828106542327e-05]
Train,[0.004118167216683769],[2.4929931815233868e-05]
Train,[3.991881604170685e-05],[-0.004028753092825896]
Train,[0.008373273924238775],[-8.19622088056089e-17]
Train,[0.005303147625274503],[1.82138241790242e-17]
Train,[0.005303147625274474],[1.274967692531694e-17]
Train,[0.001476172286570081],[7.28552967160968e-18]
Train,[-0.025491548148467404],[3.667982742931737e-05]
Train,[-0.02661557882162744],[-0.02046534420536899]
Train,[-0.026615578821627482],[-0.031816897826761434]
Train,[-0.027939485561307202],[-3.787903895011487e-05]
Train,[-0.02326652905719451],[-0.045562209296626306]
Train,[-0.023407735751578417],[3.1093243300779163e-05]
Train,[-0.023407735751578423],[3.1093243300713596e-05]
Train,[-0.02389362793803432],[-0.07587647421210354]
Train,[-0.023851641981885184],[-7.002230991633843e-05]
Train,[-0.023285512751745546],[0.03501319319465092]
Train,[-0.02328551275174549],[0.04595459277084304]
Train,[-0.023363681190469568],[4.188850986001449e-05]
Train,[-0.024276670503299916],[1.639244176112178e-17]
Train,[-0.02338082125740995],[-9.471188573092583e-17]
Train,[-0.023380821257409944],[-1.1656847474575488e-16]
Train,[-0.02328779505430991],[3.824903077595082e-17]
Train,[0.008235090149417854],[0.034377836971263155]
Train,[0.004905957663749348],[2.4929931815233868e-05]
Train,[0.004905957663749363],[2.3598281065485193e-05]
Train,[0.0008191423806873622],[-0.004028753092825932]
Train,[0.010498436455551824],[-7.002230991629472e-05]
Train,[0.012610252912923505],[0.04595459277084304]
Train,[0.012610252912923515],[0.035013193194650974]
Train,[0.01231866331366571],[4.188850985993799e-05]
Train,[0.0015556270311468464],[-0.04633911749680126]
Train,[0.009901681201016106],[1.496840694527187e-05]
Train,[0.009901681201016099],[1.496840694528462e-05]
Train,[0.012494598075298234],[-0.040710207897740124]
Train,[-0.004228516395590997],[5.282009011917018e-17]
Train,[0.008053277396014961],[-2.914211868643872e-17]
Train,[0.008053277396014984],[-2.549935385063388e-17]
Train,[0.012015181879235929],[7.649806155190164e-17]
Train,[-0.01920573555279918],[-8.19622088056089e-17]
Train,[-0.019127281075663336],[1.274967692531694e-17]
Train,[-0.019127281075663343],[1.82138241790242e-17]
Train,[-0.019029485962377288],[7.28552967160968e-18]
Train,[-0.019199180917022163],[1.639244176112178e-17]
Train,[-0.01928439780690538],[-1.1656847474575488e-16]
Train,[-0.019284397806905374],[-9.471188573092583e-17]
Train,[-0.019293246844555648],[3.824903077595082e-17]
Train,[-0.01886406546602253],[5.282009011917018e-17]
Train,[-0.019177258401716368],[-2.549935385063388e-17]
Train,[-0.019177258401716392],[-2.914211868643872e-17]
Train,[-0.019278289286706985],[7.649806155190164e-17]
Train,[-0.018582999012274736],[-0.026618455211376083]
Train,[-0.019110066388556897],[-9.716962955821612e-06]
Train,[-0.01911006638855692],[-9.716962955823433e-06]
Train,[-0.01925725662924163],[-0.010822185141719742]
Train,[-0.01642078894883455],[-0.03225291592097013]
Train,[-0.02220928084367857],[6.734542800778838e-05]
Train,[-0.022209280843678604],[6.734542800765178e-05]
Train,[-0.026386579162271218],[-0.01698701209913348]
Train,[0.0036189144241295934],[0.0001863537379243354]
Train,[-0.0005864423107203032],[0.031900059154929106]
Train,[-0.0005864423107203287],[0.020491276960865223]
Train,[-0.005560122519487382],[-0.00019272011327513546]
Train,[0.007430416134013394],[0.034636065097496914]
Train,[0.004104944635184729],[-0.00012048514277568004]
Train,[0.004104944635184772],[-0.00012734142166573567]
Train,[5.111150927649826e-07],[-0.004063263554342336]
Train,[0.008329006138506515],[-2.0217344838716861e-16]
Train,[0.005255115316336135],[-9.1069120895121e-18]
Train,[0.005255115316336098],[-5.46414725370726e-18]
Train,[0.0014007902760454507],[2.367797143273146e-17]
Train,[-0.02227596196046412],[0.00018635373792438823]
Train,[-0.02334952864713647],[0.02049127696086523]
Train,[-0.023349528647136502],[0.031900059154928974]
Train,[-0.024619237192441287],[-0.00019272011327503894]
Train,[-0.020226365273566062],[-0.046026900956620265]
Train,[-0.02034349498870204],[-0.00015737296144795846]
Train,[-0.020343494988702037],[-0.00015737296144791293]
Train,[-0.020804185685094494],[-0.07594437972340634]
Train,[-0.020837571745613313],[-0.0003593257613444789]
Train,[-0.02024684658968443],[-0.03532985502844954]
Train,[-0.020246846589684394],[-0.046184500384455554]
Train,[-0.020305593602162154],[0.0002131451434576835]
Train,[-0.021258777567801115],[7.28552967160968e-18]
Train,[-0.02034428116011852],[2.0763759564087587e-16]
Train,[-0.020344281160118476],[2.659218330137533e-16]
Train,[-0.020237859519465953],[1.82138241790242e-17]
Train,[0.008223142990994171],[0.03463606509749698]
Train,[0.004890487144436456],[-0.000127341421665661]
Train,[0.0048904871444364955],[-0.00012048514277566183]
Train,[0.0007771864072748853],[-0.004063263554342365]
Train,[0.010050016658314011],[-0.00035932576134449533]
Train,[0.012368994073018915],[-0.04618450038445562]
Train,[0.012368994073018924],[-0.0353298550284496]
Train,[0.01213837414131306],[0.0002131451434576489]
Train,[0.00040528112573743713],[-0.046806704565322856]
Train,[0.009454145043244232],[-7.680393062679538e-05]
Train,[0.009454145043244244],[-7.680393062679721e-05]
Train,[0.012247989403667161],[-0.04074139126274762]
Train,[-0.00581231130068358],[1.1292570990995005e-16]
