Data,Predicted,Reference
Train,[-0.0012942931015903153],[-0.03225818565279794]
Train,[-0.0012942931015903208],[-7.769851570889031e-07]
Train,[-0.0012942931015903225],[-7.769851570670464e-07]
Train,[-0.0012942931015903299],[-0.016908658625533646]
Train,[-0.00129429310159031],[2.147515531627273e-06]
Train,[-0.0012942931015903299],[-0.03181998237701682]
Train,[-0.0012942931015903116],[-0.020466061799623576]
Train,[-0.0012942931015903262],[-2.2178075255649983e-06]
Train,[-0.0012942931015903134],[0.034386940850617984]
Train,[-0.0012942931015903407],[1.3818615606561856e-06]
Train,[-0.0012942931015903372],[1.4598582711141459e-06]
Train,[-0.0012942931015902971],[-0.004030206474187189]
Train,[-0.0012942931015903225],[-9.471188573092583e-17]
Train,[-0.0012942931015903498],[5.46414725370726e-18]
Train,[-0.0012942931015903134],[1.82138241790242e-18]
Train,[-0.0012942931015903407],[1.092829450741452e-17]
Train,[0.014369889708666133],[2.1475155316309158e-06]
Train,[0.01436988970866613],[-0.02046606179962359]
Train,[0.014369889708666142],[-0.03181998237701695]
Train,[0.014369889708666173],[-2.2178075256323896e-06]
Train,[0.01436988970866613],[-0.04557838729447085]
Train,[0.014369889708666192],[1.820191515441475e-06]
Train,[0.014369889708666192],[1.8201915155289015e-06]
Train,[0.014369889708666152],[-0.07587621233758134]
Train,[0.014369889708666166],[-4.1009506176001475e-06]
Train,[0.014369889708666152],[0.03502305871878561]
Train,[0.014369889708666166],[0.04596011552868171]
Train,[0.014369889708666152],[2.452425396471171e-06]
Train,[0.014369889708666173],[-3.64276483580484e-18]
Train,[0.014369889708666195],[-1.092829450741452e-16]
Train,[0.014369889708666159],[-1.3113953408897423e-16]
Train,[0.014369889708666185],[9.1069120895121e-18]
Train,[-0.002237873180390572],[0.034386940850618]
Train,[-0.00223787318039059],[1.45985827106679e-06]
Train,[-0.0022378731803905684],[1.381861560628865e-06]
Train,[-0.0022378731803905684],[-0.004030206474187182]
Train,[-0.0022378731803905662],[-4.100950617578291e-06]
Train,[-0.0022378731803905645],[0.04596011552868179]
Train,[-0.0022378731803905628],[0.035023058718785624]
Train,[-0.002237873180390552],[2.4524253964638855e-06]
Train,[-0.0022378731803905684],[-0.04635304026034097]
Train,[-0.002237873180390592],[8.766607765741092e-07]
Train,[-0.002237873180390548],[8.766607766032513e-07]
Train,[-0.0022378731803905593],[-0.040709636276467155]
Train,[-0.0022378731803905827],[5.282009011917018e-17]
Train,[-0.0022378731803905662],[-5.46414725370726e-18]
Train,[-0.00223787318039057],[1.82138241790242e-18]
Train,[-0.0022378731803905628],[9.471188573092583e-17]
Train,[-0.021301450745136948],[-9.471188573092583e-17]
Train,[-0.021301450745136966],[1.82138241790242e-18]
Train,[-0.02130145074513695],[5.46414725370726e-18]
Train,[-0.021301450745136962],[1.092829450741452e-17]
