Data,Predicted,Reference
Train,[-0.013047390239102787],[-0.03225818565279794]
Train,[-0.016467505311059165],[-7.769851570889031e-07]
Train,[-0.01646750531106178],[-7.769851570670464e-07]
Train,[-0.01895896499577777],[-0.016908658625533646]
Train,[0.0004952091821850583],[2.147515531627273e-06]
Train,[-0.0016790228641947944],[-0.03181998237701682]
Train,[0.002292520640755068],[-0.020466061799623576]
Train,[-0.0034829840125228427],[-2.2178075255649983e-06]
Train,[-0.014727691623246216],[0.034386940850617984]
Train,[0.0005749748864030722],[1.3818615606561856e-06]
Train,[0.0005750006339219165],[1.4598582711141459e-06]
Train,[0.001714833397893121],[-0.004030206474187189]
Train,[-1.8197890180683878e-05],[-9.471188573092583e-17]
Train,[0.000656761925061452],[5.46414725370726e-18]
Train,[0.0006567639166350452],[1.82138241790242e-18]
Train,[-3.2334405857398395e-05],[1.092829450741452e-17]
Train,[-0.06472463918631273],[2.1475155316309158e-06]
Train,[-0.06965555331742738],[-0.02046606179962359]
Train,[-0.059415735338413565],[-0.03181998237701695]
Train,[-0.05472278674325159],[-2.2178075256323896e-06]
Train,[-0.04869267985642979],[-0.04557838729447085]
Train,[-0.05487207162535702],[1.820191515441475e-06]
Train,[-0.05487207162536155],[1.8201915155289015e-06]
Train,[-0.02063081115517166],[-0.07587621233758134]
Train,[-0.033168976688382826],[-4.1009506176001475e-06]
Train,[-0.03249859013800276],[0.03502305871878561]
Train,[-0.02284094816226207],[0.04596011552868171]
Train,[-0.05375716622388677],[2.452425396471171e-06]
Train,[-0.03142786998100216],[-3.64276483580484e-18]
Train,[-0.04112877278174211],[-1.092829450741452e-16]
Train,[-0.0409788315594746],[-1.3113953408897423e-16]
Train,[-0.051728271986177105],[9.1069120895121e-18]
Train,[-0.014045343292980086],[0.034386940850618]
Train,[0.0021722600968335794],[1.45985827106679e-06]
Train,[0.0021722325926920934],[1.381861560628865e-06]
Train,[0.003380787064624156],[-0.004030206474187182]
Train,[-0.01135987369772687],[-4.100950617578291e-06]
Train,[-0.017853361971349062],[0.04596011552868179]
Train,[-0.012552345478652997],[0.035023058718785624]
Train,[-0.0025382290017917676],[2.4524253964638855e-06]
Train,[-0.014887058918593219],[-0.04635304026034097]
Train,[-0.01228074786237959],[8.766607765741092e-07]
Train,[-0.012280747862374439],[8.766607766032513e-07]
Train,[-0.005538534024809667],[-0.040709636276467155]
