Data,Predicted,Reference
Train,[-0.005578345665688944],[-0.03225818565279794]
Train,[-0.005565298649109214],[-7.769851570889031e-07]
Train,[-0.005565298649109229],[-7.769851570670464e-07]
Train,[-0.005504317959223304],[-0.016908658625533646]
Train,[-0.005746299248103895],[2.147515531627273e-06]
Train,[-0.005724558536865501],[-0.03181998237701682]
Train,[-0.005759132222136525],[-0.020466061799623576]
Train,[-0.005707780936461959],[-2.2178075255649983e-06]
Train,[-0.005584790610367651],[0.034386940850617984]
Train,[-0.005747052921232952],[1.3818615606561856e-06]
Train,[-0.005747052284200067],[1.4598582711141459e-06]
Train,[-0.00575479672902321],[-0.004030206474187189]
Train,[-0.005741355690455726],[-9.471188573092583e-17]
Train,[-0.005747819245094469],[5.46414725370726e-18]
Train,[-0.0057478192450944625],[1.82138241790242e-18]
Train,[-0.005741119346889315],[1.092829450741452e-17]
Train,[-0.019371597212285773],[2.1475155316309158e-06]
Train,[-0.019538518651702582],[-0.02046606179962359]
Train,[-0.019088810790009538],[-0.03181998237701695]
Train,[-0.018870580689785463],[-2.2178075256323896e-06]
Train,[-0.018345374821985047],[-0.04557838729447085]
Train,[-0.01887906818395293],[1.820191515441475e-06]
Train,[-0.01887906818395292],[1.8201915155289015e-06]
Train,[-0.0163357965181765],[-0.07587621233758134]
Train,[-0.017652914309053896],[-4.1009506176001475e-06]
Train,[-0.017165520182487057],[0.03502305871878561]
Train,[-0.015970397393293003],[0.04596011552868171]
Train,[-0.018820207499625485],[2.452425396471171e-06]
Train,[-0.017405982760074653],[-3.64276483580484e-18]
Train,[-0.01810739952211047],[-1.092829450741452e-16]
Train,[-0.01810739952211047],[-1.3113953408897423e-16]
Train,[-0.01866805217408113],[9.1069120895121e-18]
Train,[-0.005708581180846996],[0.034386940850618]
Train,[-0.005891481417767847],[1.45985827106679e-06]
Train,[-0.005891482135826922],[1.381861560628865e-06]
Train,[-0.005900210902429992],[-0.004030206474187182]
Train,[-0.0057416933146963],[-4.100950617578291e-06]
Train,[-0.005595888135841833],[0.04596011552868179]
Train,[-0.005699456242883819],[0.035023058718785624]
Train,[-0.005842849737453497],[2.4524253964638855e-06]
Train,[-0.005669120001185593],[-0.04635304026034097]
Train,[-0.005732838722693518],[8.766607765741092e-07]
Train,[-0.005732838722693517],[8.766607766032513e-07]
Train,[-0.005797623007004188],[-0.040709636276467155]
Train,[-0.005638035721317365],[5.282009011917018e-17]
