Data,Predicted,Reference
Train,[-0.005666200710698845],[-0.03225818565279794]
Train,[-0.00565326485707872],[-7.769851570889031e-07]
Train,[-0.00565326485707871],[-7.769851570670464e-07]
Train,[-0.005592803733786835],[-0.016908658625533646]
Train,[-0.005832723297975132],[2.147515531627273e-06]
Train,[-0.0058111678215596275],[-0.03181998237701682]
Train,[-0.00584544693272969],[-0.020466061799623576]
Train,[-0.005794533169369988],[-2.2178075255649983e-06]
Train,[-0.005672590743274006],[0.034386940850617984]
Train,[-0.005833470549671773],[1.3818615606561856e-06]
Train,[-0.005833469918066504],[1.4598582711141459e-06]
Train,[-0.005841148378808049],[-0.004030206474187189]
Train,[-0.005827821860339309],[-9.471188573092583e-17]
Train,[-0.0058342303443142994],[5.46414725370726e-18]
Train,[-0.005834230344314296],[1.82138241790242e-18]
Train,[-0.0058275875304631885],[1.092829450741452e-17]
Train,[-0.019341931239733153],[2.1475155316309158e-06]
Train,[-0.01950743047805789],[-0.02046606179962359]
Train,[-0.019061554209324132],[-0.03181998237701695]
Train,[-0.018845183469335367],[-2.2178075256323896e-06]
Train,[-0.018324452451268895],[-0.04557838729447085]
Train,[-0.01885359864850531],[1.820191515441475e-06]
Train,[-0.018853598648505318],[1.8201915155289015e-06]
Train,[-0.01633199612093682],[-0.07587621233758134]
Train,[-0.01763789182813723],[-4.1009506176001475e-06]
Train,[-0.017154650388376293],[0.03502305871878561]
Train,[-0.0159697102632063],[0.04596011552868171]
Train,[-0.01879523946793812],[2.452425396471171e-06]
Train,[-0.01739306418096871],[-3.64276483580484e-18]
Train,[-0.018088504744330023],[-1.092829450741452e-16]
Train,[-0.018088504744330013],[-1.3113953408897423e-16]
Train,[-0.018644380533503976],[9.1069120895121e-18]
Train,[-0.005795326595526944],[0.034386940850618]
Train,[-0.0059766684890881685],[1.45985827106679e-06]
Train,[-0.00597666920102925],[1.381861560628865e-06]
Train,[-0.005985323596949711],[-0.004030206474187182]
Train,[-0.00582815660795983],[-4.100950617578291e-06]
Train,[-0.005683593715808155],[0.04596011552868179]
Train,[-0.005786279403698613],[0.035023058718785624]
Train,[-0.005928451159555247],[2.4524253964638855e-06]
Train,[-0.005756201632309671],[-0.04635304026034097]
Train,[-0.005819377458694995],[8.766607765741092e-07]
Train,[-0.005819377458694993],[8.766607766032513e-07]
Train,[-0.005883609769093755],[-0.040709636276467155]
Train,[-0.005725382196172325],[5.282009011917018e-17]
Train,[-0.00579766981498394],[-5.46414725370726e-18]
Train,[-0.005797669814983943],[1.82138241790242e-18]
Train,[-0.005859512310193196],[9.471188573092583e-17]
Train,[-0.01999564833510887],[-9.471188573092583e-17]
Train,[-0.02008310953857464],[1.82138241790242e-18]
Train,[-0.020083109538574652],[5.46414725370726e-18]
Train,[-0.01999245026625917],[1.092829450741452e-17]
Train,[-0.01801771015433796],[-3.64276483580484e-18]
Train,[-0.018747395054268996],[-1.3113953408897423e-16]
Train,[-0.018747395054269],[-1.092829450741452e-16]
Train,[-0.019330642841307793],[9.1069120895121e-18]
Train,[-0.017030231155253085],[5.282009011917018e-17]
Train,[-0.017905468316855876],[1.82138241790242e-18]
Train,[-0.017905468316855876],[-5.46414725370726e-18]
Train,[-0.018654239003498996],[9.471188573092583e-17]
Train,[-0.01691173305819149],[-0.026621245462551197]
Train,[-0.01762874417280165],[-5.688607871304142e-07]
Train,[-0.01762874417280165],[-5.688607871322355e-07]
Train,[-0.018672407054013608],[-0.010823945532928939]
Train,[-0.005662270010917898],[-0.03225642570605386]
Train,[-0.005649085422150794],[7.900587201402797e-05]
Train,[-0.005649085422150771],[7.900587201395693e-05]
Train,[-0.005588959398542623],[-0.01692222211298195]
Train,[-0.0058268220309632066],[0.00021839714942577227]
Train,[-0.0056035794413081645],[0.03183374883540315]
Train,[-0.005743589263617098],[0.020468388897137785]
Train,[-0.005790168560708405],[-0.00022558532345777192]
Train,[-0.005667856556684473],[0.034430140265059306]
Train,[-0.005828617437311241],[-0.00014064887786440584]
Train,[-0.005828680962372945],[-0.00014859676587885906]
Train,[-0.005835880847564093],[-0.004036594411177927]
Train,[-0.005822393358152714],[-1.4753197585009603e-16]
Train,[-0.005828901093370611],[2.185658901482904e-17]
Train,[-0.005828901093370616],[1.457105934321936e-17]
