Data,Predicted,Reference
Train,[-0.0163037722830805],[-0.03225818565279794]
Train,[-0.007666584843639307],[-7.769851570889031e-07]
Train,[-0.0076665848436107],[-7.769851570670464e-07]
Train,[-0.021946613892187602],[-0.016908658625533646]
Train,[-0.0009450006280430429],[2.147515531627273e-06]
Train,[-0.01055681150705353],[-0.03181998237701682]
Train,[-0.012278747583843619],[-0.020466061799623576]
Train,[-0.003675215229323146],[-2.2178075255649983e-06]
Train,[-0.017502781704124306],[0.034386940850617984]
Train,[-0.0002807428502231972],[1.3818615606561856e-06]
Train,[-0.00048799897112612083],[1.4598582711141459e-06]
Train,[-0.012431984136269423],[-0.004030206474187189]
Train,[-0.0014938941154864186],[-9.471188573092583e-17]
Train,[-0.005873653777730805],[5.46414725370726e-18]
Train,[-0.009863712882152674],[1.82138241790242e-18]
Train,[-0.0034738107834543456],[1.092829450741452e-17]
Train,[0.0011907748857188948],[2.1475155316309158e-06]
Train,[-0.005823274202172428],[-0.02046606179962359]
Train,[-0.006345757874826735],[-0.03181998237701695]
Train,[0.007423525131610324],[-2.2178075256323896e-06]
Train,[-0.0024300968909856877],[-0.04557838729447085]
Train,[0.0024436732420035955],[1.820191515441475e-06]
Train,[0.002443673241975302],[1.8201915155289015e-06]
Train,[0.003599476660305503],[-0.07587621233758134]
Train,[0.009808067673561106],[-4.1009506176001475e-06]
Train,[-0.00013011765355748186],[0.03502305871878561]
Train,[-0.0019159897797247935],[0.04596011552868171]
Train,[0.0027149379874617475],[2.452425396471171e-06]
Train,[0.011314358317652878],[-3.64276483580484e-18]
Train,[0.01341170422716677],[-1.092829450741452e-16]
Train,[0.013814625763005715],[-1.3113953408897423e-16]
Train,[0.00894030861201608],[9.1069120895121e-18]
Train,[-0.017534146987386177],[0.034386940850618]
Train,[-0.0006881743052259026],[1.45985827106679e-06]
Train,[-0.00047866689191817185],[1.381861560628865e-06]
Train,[-0.012793672080236603],[-0.004030206474187182]
Train,[-0.007176327142382474],[-4.100950617578291e-06]
Train,[-0.028636438219327768],[0.04596011552868179]
Train,[-0.020502647755238454],[0.035023058718785624]
Train,[-0.003161907419201341],[2.4524253964638855e-06]
Train,[-0.019950752203588214],[-0.04635304026034097]
Train,[-0.006150384768637303],[8.766607765741092e-07]
Train,[-0.006150384768669836],[8.766607766032513e-07]
Train,[-0.017110353594204698],[-0.040709636276467155]
Train,[-0.007063487321901793],[5.282009011917018e-17]
Train,[-0.008171363933618593],[-5.46414725370726e-18]
Train,[-0.008479747649280093],[1.82138241790242e-18]
Train,[-0.00460209303299256],[9.471188573092583e-17]
Train,[0.005317248362908645],[-9.471188573092583e-17]
Train,[-0.002197918599237055],[1.82138241790242e-18]
Train,[0.0024425021590196105],[5.46414725370726e-18]
Train,[0.005495360188049322],[1.092829450741452e-17]
Train,[-0.0067047318706996],[-3.64276483580484e-18]
Train,[-0.0021431977026362473],[-1.3113953408897423e-16]
Train,[-0.0024835777980000153],[-1.092829450741452e-16]
Train,[-0.0025674617930620904],[9.1069120895121e-18]
Train,[-0.005264895009127593],[5.282009011917018e-17]
Train,[-0.007211487650560422],[1.82138241790242e-18]
Train,[-0.006891434433644126],[-5.46414725370726e-18]
Train,[-0.0028717728533170063],[9.471188573092583e-17]
Train,[-0.011362430243854381],[-0.026621245462551197]
Train,[-0.005372907745036511],[-5.688607871304142e-07]
Train,[-0.005372907745033938],[-5.688607871322355e-07]
Train,[-0.012267592042806896],[-0.010823945532928939]
Train,[-0.01626894579157706],[-0.03225642570605386]
Train,[-0.014514566048712063],[7.900587201402797e-05]
Train,[-0.014514566048711578],[7.900587201395693e-05]
Train,[-0.021926886146783113],[-0.01692222211298195]
Train,[-0.008123845689998575],[0.00021839714942577227]
Train,[-0.019564390843926086],[0.03183374883540315]
Train,[-0.01748967532494451],[0.020468388897137785]
Train,[-0.010654527747028826],[-0.00022558532345777192]
Train,[-0.017510412184424246],[0.034430140265059306]
Train,[-0.007376551186857007],[-0.00014064887786440584]
Train,[-0.007579125656995023],[-0.00014859676587885906]
