Data,Predicted,Reference
Train,[-0.016301529811177825],[-0.03225818565279794]
Train,[-0.007661240022410457],[-7.769851570889031e-07]
Train,[-0.00766124002238181],[-7.769851570670464e-07]
Train,[-0.02194655953093156],[-0.016908658625533646]
Train,[-0.0009374389463763668],[2.147515531627273e-06]
Train,[-0.010552217020054624],[-0.03181998237701682]
Train,[-0.012274121273300307],[-0.020466061799623576]
Train,[-0.0036679209009863184],[-2.2178075255649983e-06]
Train,[-0.017502594263015717],[0.034386940850617984]
Train,[-0.00027301537871722456],[1.3818615606561856e-06]
Train,[-0.0004803317249817865],[1.4598582711141459e-06]
Train,[-0.01242758484312527],[-0.004030206474187189]
Train,[-0.001487148370590071],[-9.471188573092583e-17]
Train,[-0.005868209015740476],[5.46414725370726e-18]
Train,[-0.009859529503290465],[1.82138241790242e-18]
Train,[-0.0034677350470302846],[1.092829450741452e-17]
Train,[0.00119837025254902],[2.1475155316309158e-06]
Train,[-0.005819207914324983],[-0.02046606179962359]
Train,[-0.006342105323370236],[-0.03181998237701695]
Train,[0.007429998276814044],[-2.2178075256323896e-06]
Train,[-0.0024272842757000856],[-0.04557838729447085]
Train,[0.0024509560498352594],[1.820191515441475e-06]
Train,[0.0024509560498069587],[1.8201915155289015e-06]
Train,[0.0036004329785678116],[-0.07587621233758134]
Train,[0.009813659303474272],[-4.1009506176001475e-06]
Train,[-0.00012903301267024514],[0.03502305871878561]
Train,[-0.0019154288678237526],[0.04596011552868171]
Train,[0.0027220904008679017],[2.452425396471171e-06]
Train,[0.01131680049531894],[-3.64276483580484e-18]
Train,[0.013415898394339475],[-1.092829450741452e-16]
Train,[0.013818978694577724],[-1.3113953408897423e-16]
Train,[0.008944139554092293],[9.1069120895121e-18]
Train,[-0.01753396577163513],[0.034386940850618]
Train,[-0.0006804850000075885],[1.45985827106679e-06]
Train,[-0.0004709176272003276],[1.381861560628865e-06]
Train,[-0.012789234112736213],[-0.004030206474187182]
Train,[-0.007169140543728897],[-4.100950617578291e-06]
Train,[-0.028635629829425226],[0.04596011552868179]
Train,[-0.020501186592632562],[0.035023058718785624]
Train,[-0.003154469179645029],[2.4524253964638855e-06]
Train,[-0.019946607419307025],[-0.04635304026034097]
Train,[-0.0061428878335474365],[8.766607765741092e-07]
Train,[-0.00614288783358],[8.766607766032513e-07]
Train,[-0.017105760805335518],[-0.040709636276467155]
Train,[-0.0070584588428719034],[5.282009011917018e-17]
Train,[-0.008166708091540947],[-5.46414725370726e-18]
Train,[-0.008475200872395441],[1.82138241790242e-18]
Train,[-0.0045962733640274225],[9.471188573092583e-17]
Train,[0.005323640935767032],[-9.471188573092583e-17]
Train,[-0.0021939984481076074],[1.82138241790242e-18]
Train,[0.0024475581291925567],[5.46414725370726e-18]
Train,[0.005500946882450313],[1.092829450741452e-17]
Train,[-0.0067003940905117155],[-3.64276483580484e-18]
Train,[-0.0021372579381622966],[-1.3113953408897423e-16]
Train,[-0.0024777933667077937],[-1.092829450741452e-16]
Train,[-0.0025624194086729213],[9.1069120895121e-18]
Train,[-0.00526049501706055],[5.282009011917018e-17]
Train,[-0.0072073478471143095],[1.82138241790242e-18]
Train,[-0.006887175267032576],[-5.46414725370726e-18]
Train,[-0.0028660752131717425],[9.471188573092583e-17]
Train,[-0.011359074811762885],[-0.026621245462551197]
Train,[-0.005365898592491809],[-5.688607871304142e-07]
Train,[-0.005365898592489226],[-5.688607871322355e-07]
Train,[-0.012263066162600937],[-0.010823945532928939]
Train,[-0.016266693990741356],[-0.03225642570605386]
Train,[-0.014510816022786588],[7.900587201402797e-05]
Train,[-0.014510816022786081],[7.900587201395693e-05]
Train,[-0.02192682676630266],[-0.01692222211298195]
Train,[-0.008118555287677466],[0.00021839714942577227]
Train,[-0.019563584829539203],[0.03183374883540315]
Train,[-0.0174880025948419],[0.020468388897137785]
Train,[-0.010649237389504228],[-0.00022558532345777192]
Train,[-0.017510225928427374],[0.034430140265059306]
Train,[-0.007371030336781672],[-0.00014064887786440584]
Train,[-0.007573671960067263],[-0.00014859676587885906]
Train,[-0.012407459739776326],[-0.004036594411177927]
Train,[-0.0006142431094677024],[-1.4753197585009603e-16]
Train,[-0.00348496329838274],[2.185658901482904e-17]
Train,[-0.004796532812136483],[1.457105934321936e-17]
Train,[-0.002913079283384992],[1.639244176112178e-17]
Train,[-0.002732527737293389],[0.0002183971494257249]
Train,[-0.00536842177425757],[0.020468388897137844]
Train,[-0.011095901953013783],[0.03183374883540315]
Train,[0.0028276396229638353],[-0.00022558532345770454]
Train,[-0.0024327284073699506],[-0.04565742741386274]
Train,[-0.0011702377075859716],[-0.00018499056409219296]
Train,[-0.0011702377075858042],[-0.00018499056409211466]
Train,[0.0036384571347624715],[-0.07587345187227598]
Train,[0.005814835031078097],[-0.000417703483878227]
Train,[-0.0028205304640697153],[-0.03506887734551717]
Train,[-0.002123626299953944],[-0.04598491259983777]
Train,[-0.0008531913475112281],[0.00024937868650868835]
Train,[0.011833128064364786],[-1.274967692531694e-17]
Train,[0.013844761928879467],[1.5117474068590086e-16]
Train,[0.014322788790411487],[1.9853068355136378e-16]
Train,[0.0110823013343371],[-4.371317802965808e-17]
Train,[-0.017542601338928966],[0.034430140265059465]
Train,[-0.007831501431472494],[-0.0001485967658787516]
Train,[-0.00762797415986346],[-0.00014064887786438763]
Train,[-0.01277653028840847],[-0.00403659441117794]
Train,[-0.010741496258506426],[-0.00041770348387830354]
Train,[-0.017758256508022357],[-0.04598491259983788]
Train,[-0.014848977245221162],[-0.03506887734551722]
Train,[-0.009091877598266214],[0.00024937868650867014]
Train,[-0.019941920821517342],[-0.04642098563854254]
Train,[-0.009611339901759365],[-8.929989840338444e-05]
Train,[-0.009611339901759811],[-8.92998984034318e-05]
Train,[-0.017105011555549797],[-0.04070587366488182]
Train,[-0.0067520314706924385],[8.742635605931616e-17]
Train,[-0.006662819416502863],[-3.096350110434114e-17]
Train,[-0.007082799916848771],[-2.367797143273146e-17]
Train,[-0.004208577237010745],[1.274967692531694e-16]
Train,[0.006013941226023611],[-1.4753197585009603e-16]
Train,[0.0035522008350395507],[1.457105934321936e-17]
Train,[0.00485557570744125],[2.185658901482904e-17]
Train,[0.006038003309752585],[1.639244176112178e-17]
Train,[-0.006366276565213002],[-1.274967692531694e-17]
Train,[-0.0017159523230802002],[1.9853068355136378e-16]
Train,[-0.002128176287267881],[1.5117474068590086e-16]
Train,[-0.0006317074630045411],[-4.371317802965808e-17]
Train,[-0.004828354233115939],[8.742635605931616e-17]
Train,[-0.005790629905805139],[-2.367797143273146e-17]
Train,[-0.00537375842702703],[-3.096350110434114e-17]
Train,[-0.0025564173971698266],[1.274967692531694e-16]
Train,[-0.011341573582750846],[-0.026634468268519597]
Train,[-0.007507533356803013],[5.783038463533851e-05]
Train,[-0.007507533356803029],[5.7830384635351266e-05]
Train,[-0.012273001182397002],[-0.010832636499721451]
Train,[-0.01630876087062769],[-0.032258451158275296]
Train,[-0.01197035766046588],[-1.3271416039564208e-05]
Train,[-0.01197035766047105],[-1.3271416039666206e-05]
Train,[-0.021950682329644384],[-0.016905929475836967]
Train,[-0.005364834650462527],[3.667982742938658e-05]
Train,[-0.010556924100585983],[-0.03181689782676138]
Train,[-0.012279230591514268],[-0.020465344205368968]
Train,[-0.00804889347526768],[-3.7879038950043834e-05]
Train,[-0.01750104024907703],[0.03437783697126322]
Train,[-0.004676221662495028],[2.359828106542327e-05]
Train,[-0.004890860049758308],[2.4929931815233868e-05]
Train,[-0.012431808042579696],[-0.004028753092825896]
Train,[-0.0016442335177167828],[-8.19622088056089e-17]
Train,[-0.0028966799278338897],[1.82138241790242e-17]
Train,[-0.0037213282117221588],[1.274967692531694e-17]
Train,[-0.003999876985917874],[7.28552967160968e-18]
Train,[-0.00126041436132233],[3.667982742931737e-05]
Train,[-0.005813234918318479],[-0.02046534420536899]
Train,[-0.006340756399543817],[-0.031816897826761434]
Train,[0.0047258520172818695],[-3.787903895011487e-05]
Train,[-0.0024260713423698197],[-0.045562209296626306]
Train,[0.00016935838189226473],[3.1093243300779163e-05]
Train,[0.00016935838189343952],[3.1093243300713596e-05]
Train,[0.0035925247273193937],[-0.07587647421210354]
Train,[0.00740819695901057],[-7.002230991633843e-05]
Train,[-0.00012895716149720574],[0.03501319319465092]
Train,[-0.0019177807344667832],[0.04595459277084304]
Train,[0.00045446761485945454],[4.188850986001449e-05]
Train,[0.013468132384691049],[1.639244176112178e-17]
Train,[0.013272122371519705],[-9.471188573092583e-17]
Train,[0.013728316237192265],[-1.1656847474575488e-16]
Train,[0.011451998041359681],[3.824903077595082e-17]
Train,[-0.01753220700925576],[0.034377836971263155]
Train,[-0.005127856705169254],[2.4929931815233868e-05]
Train,[-0.004911850257091804],[2.3598281065485193e-05]
Train,[-0.012791938703681439],[-0.004028753092825932]
Train,[-0.009415838984306596],[-7.002230991629472e-05]
Train,[-0.02862985259586786],[0.04595459277084304]
Train,[-0.020498068968317646],[0.035013193194650974]
Train,[-0.006830840420965741],[4.188850985993799e-05]
Train,[-0.01994764029884318],[-0.04633911749680126]
Train,[-0.008286510359820917],[1.496840694527187e-05]
Train,[-0.008286510359821307],[1.496840694528462e-05]
Train,[-0.017105905934377996],[-0.040710207897740124]
Train,[-0.007052051417609489],[5.282009011917018e-17]
Train,[-0.006367558968808201],[-2.914211868643872e-17]
Train,[-0.006591892921956377],[-2.549935385063388e-17]
Train,[-0.004839701223608393],[7.649806155190164e-17]
Train,[0.005196880074872062],[-8.19622088056089e-17]
Train,[0.004644241980124091],[1.274967692531694e-17]
Train,[0.00543350334712028],[1.82138241790242e-17]
Train,[0.004963392006920334],[7.28552967160968e-18]
Train,[-0.005257301280007386],[1.639244176112178e-17]
Train,[-0.0022117169437871724],[-1.1656847474575488e-16]
Train,[-0.002595283814230261],[-9.471188573092583e-17]
Train,[-0.0002766482086130955],[3.824903077595082e-17]
Train,[-0.005253601795909314],[5.282009011917018e-17]
Train,[-0.005299778917349039],[-2.549935385063388e-17]
