Time,Iteration,Cost,Parameters
Thu Aug 15 23:59:51 2024,0,0.6299557047066509,[-2.88132237  2.21557356 -2.14614071 -0.1383921   0.57574815 -2.7482479
  3.04672391  2.16774038  1.20738106 -1.04462201]
Fri Aug 16 00:01:44 2024,1,0.6127949166298267,[-2.86051524  2.19476642 -2.16694785 -0.11758497  0.55494102 -2.72744076
  3.06753104  2.18854751  1.18657392 -1.02381487]
Fri Aug 16 00:03:36 2024,2,0.6099303358144551,[-2.83696182  2.17121301 -2.19050127 -0.09403155  0.57849444 -2.75099418
  3.09108446  2.16499409  1.16302051 -1.04736829]
Fri Aug 16 00:05:30 2024,3,0.587910462472268,[-2.81477934  2.14903053 -2.16831879 -0.07184907  0.60067691 -2.7288117
  3.11326694  2.18717657  1.14083803 -1.06955077]
Fri Aug 16 00:07:23 2024,4,0.5733723608081217,[-2.79178642  2.17202345 -2.14532587 -0.04885615  0.62366983 -2.70581878
  3.09027402  2.21016949  1.11784511 -1.09254369]
Fri Aug 16 00:09:16 2024,5,0.577559988430865,[-2.76526904  2.14550607 -2.11880849 -0.02233877  0.65018721 -2.73233616
  3.06375664  2.23668687  1.09132773 -1.11906107]
Fri Aug 16 00:11:09 2024,6,0.5605491528637508,[-2.74168106e+00  2.16909405e+00 -2.14239647e+00  1.24921215e-03
  6.73775197e-01 -2.70874818e+00  3.08734462e+00  2.21309889e+00
  1.11491571e+00 -1.09547309e+00]
Fri Aug 16 00:13:03 2024,7,0.5484662228094956,[-2.71514659  2.14255959 -2.16893093 -0.02528525  0.70030966 -2.68221371
  3.06081015  2.18656443  1.14145018 -1.12200755]
Fri Aug 16 00:14:56 2024,8,0.5416100307301787,[-2.6910447   2.16666149 -2.19303283 -0.04938715  0.67620776 -2.65811182
  3.03670826  2.16246253  1.16555207 -1.14610945]
Fri Aug 16 00:16:48 2024,9,0.5270112183856122,[-2.66772605  2.14334284 -2.16971418 -0.07270579  0.69952641 -2.68143046
  3.01338961  2.13914388  1.18887072 -1.1227908 ]
