Time,Iteration,Cost,Parameters
Sun Aug 25 00:23:30 2024,0,0.935378487119433,[-2.87502044  2.26559764 -2.15244264 -0.14469403  0.52572407 -2.74194597
  3.04042198  2.16143845  1.15735698 -1.09464609]
Sun Aug 25 00:24:55 2024,1,0.9262394778900656,[-2.84727348  2.2933446  -2.12469568 -0.11694707  0.49797711 -2.76969293
  3.01267502  2.18918541  1.12961002 -1.06689913]
Sun Aug 25 00:26:20 2024,2,0.905139019731916,[-2.81778394  2.26385506 -2.09520614 -0.14643661  0.52746665 -2.79918247
  3.04216456  2.15969586  1.10012048 -1.03740959]
Sun Aug 25 00:27:44 2024,3,0.8780361813538027,[-2.78649643  2.29514257 -2.12649365 -0.17772412  0.55875416 -2.83046998
  3.07345207  2.19098337  1.06883297 -1.0686971 ]
Sun Aug 25 00:29:09 2024,4,0.8775525148426102,[-2.75539702  2.26404317 -2.09539424 -0.20882353  0.58985357 -2.86156938
  3.04235266  2.15988397  1.09993237 -1.0997965 ]
Sun Aug 25 00:30:33 2024,5,0.844516219079383,[-2.72237158  2.29706861 -2.12841969 -0.24184897  0.55682813 -2.82854394
  3.07537811  2.12685853  1.13295781 -1.06677106]
Sun Aug 25 00:31:58 2024,6,0.8279704514098976,[-2.68661736  2.26131439 -2.16417391 -0.27760319  0.52107391 -2.86429816
  3.11113233  2.09110431  1.09720359 -1.10252528]
Sun Aug 25 00:33:22 2024,7,0.7897172540032082,[-2.65318328  2.29474847 -2.19760799 -0.31103727  0.55450799 -2.83086408
  3.14456641  2.05767023  1.06376951 -1.13595936]
Sun Aug 25 00:34:47 2024,8,0.7613829972281942,[-2.61762426  2.33030749 -2.16204897 -0.27547826  0.51894897 -2.86642309
  3.10900739  2.02211121  1.09932853 -1.10040035]
Sun Aug 25 00:36:12 2024,9,0.7441957088219262,[-2.58379614  2.29647936 -2.1958771  -0.24165013  0.48512085 -2.90025122
  3.07517927  2.05593933  1.0655004  -1.06657222]
Sun Aug 25 00:37:36 2024,10,0.7158548151367697,[-2.54714828  2.2598315  -2.15922924 -0.20500227  0.44847299 -2.86360336
  3.11182713  2.0925872   1.02885254 -1.10322008]
Sun Aug 25 00:39:01 2024,11,0.6912575752882903,[-2.51216411  2.22484734 -2.12424508 -0.23998643  0.41348882 -2.8286192
  3.14681129  2.05760303  1.0638367  -1.13820424]
Sun Aug 25 00:40:26 2024,12,0.6567855452474608,[-2.47668568  2.18936891 -2.08876664 -0.27546487  0.37801039 -2.86409763
  3.18228972  2.0221246   1.02835827 -1.17368268]
Sun Aug 25 00:41:50 2024,13,0.6210618661839256,[-2.44172487  2.15440809 -2.05380583 -0.31042568  0.41297121 -2.89905844
  3.21725054  1.98716378  1.06331909 -1.20864349]
Sun Aug 25 00:43:15 2024,14,0.6065972369249735,[-2.40720336  2.11988659 -2.01928432 -0.27590418  0.3784497  -2.86453694
  3.25177204  1.95264228  1.02879758 -1.243165  ]
Sun Aug 25 00:44:40 2024,15,0.5808986681737379,[-2.37249594  2.08517916 -1.9845769  -0.31061161  0.34374228 -2.82982951
  3.21706462  1.98734971  0.99409016 -1.20845757]
Sun Aug 25 00:46:05 2024,16,0.5551101349071976,[-2.33762289  2.05030611 -1.94970385 -0.34548465  0.30886923 -2.86470256
  3.25193767  1.95247666  1.02896321 -1.24333062]
Sun Aug 25 00:47:30 2024,17,0.5306975340910386,[-2.30710174  2.08082726 -1.980225   -0.31496351  0.33939038 -2.83418142
  3.28245881  1.98299781  0.99844206 -1.27385177]
Sun Aug 25 00:48:53 2024,18,0.5111973188515934,[-2.27366983  2.11425917 -1.94679309 -0.34839541  0.37282228 -2.86761332
  3.24902691  2.01642971  1.03187396 -1.24041986]
Sun Aug 25 00:50:16 2024,19,0.47816359499336314,[-2.24003046  2.14789854 -1.98043247 -0.38203479  0.40646166 -2.83397394
  3.28266628  2.05006909  1.06551334 -1.27405924]
Sun Aug 25 00:51:39 2024,20,0.4526240823718724,[-2.20785358  2.18007543 -1.94825559 -0.41421167  0.37428478 -2.86615083
  3.31484317  2.01789221  1.03333646 -1.24188236]
Sun Aug 25 00:53:01 2024,21,0.43931371979633416,[-2.17840459  2.20952441 -1.9188066  -0.44366065  0.40373376 -2.89559981
  3.28539418  2.04734119  1.00388748 -1.27133134]
Sun Aug 25 00:54:24 2024,22,0.41194766938884886,[-2.14998344  2.23794556 -1.94722776 -0.47208181  0.37531261 -2.86717866
  3.31381534  2.07576234  1.03230863 -1.29975249]
Sun Aug 25 00:55:47 2024,23,0.4033829186436363,[-2.12129831  2.20926044 -1.91854263 -0.50076693  0.40399773 -2.83849353
  3.34250046  2.04707722  1.0036235  -1.32843762]
Sun Aug 25 00:57:09 2024,24,0.39502520328746943,[-2.09333784  2.18129996 -1.9465031  -0.5287274   0.4319582  -2.866454
  3.37046093  2.07503769  0.97566303 -1.35639809]
Sun Aug 25 00:58:31 2024,25,0.3775595906026088,[-2.06566484  2.20897297 -1.9188301  -0.55640041  0.45963121 -2.838781
  3.39813394  2.10271069  1.00333604 -1.38407109]
Sun Aug 25 00:59:53 2024,26,0.3533380578309745,[-2.03816873  2.23646908 -1.89133399 -0.58389652  0.48712732 -2.81128489
  3.37063783  2.07521458  0.97583993 -1.4115672 ]
Sun Aug 25 01:01:16 2024,27,0.33824107624261307,[-2.01519319  2.25944462 -1.91430952 -0.56092098  0.46415178 -2.78830935
  3.34766229  2.09819012  0.99881546 -1.43454274]
Sun Aug 25 01:02:40 2024,28,0.3320032854668939,[-1.99192926  2.28270855 -1.89104559 -0.53765705  0.44088785 -2.81157328
  3.32439836  2.07492619  0.97555153 -1.41127881]
Sun Aug 25 01:04:03 2024,29,0.3162690045320901,[-1.97035713  2.30428067 -1.86947347 -0.51608493  0.46245998 -2.79000115
  3.34597049  2.09649832  0.95397941 -1.43285094]
Sun Aug 25 01:05:27 2024,30,0.30221967549220413,[-1.94754146  2.281465   -1.89228914 -0.5389006   0.4396443  -2.81281683
  3.32315481  2.11931399  0.93116373 -1.45566661]
Sun Aug 25 01:06:49 2024,31,0.29809522304591335,[-1.9273444   2.30166206 -1.91248621 -0.55909766  0.45984136 -2.83301389
  3.34335187  2.09911693  0.95136079 -1.47586367]
Sun Aug 25 01:08:13 2024,32,0.29061285925084474,[-1.90754268  2.28186034 -1.89268449 -0.57889938  0.44003965 -2.85281561
  3.36315359  2.07931522  0.93155908 -1.49566539]
Sun Aug 25 01:09:35 2024,33,0.27112094660243613,[-1.88865345  2.30074957 -1.91157372 -0.59778861  0.45892888 -2.83392637
  3.38204282  2.09820445  0.91266985 -1.51455462]
Sun Aug 25 01:10:58 2024,34,0.265871949515912,[-1.87024656  2.31915646 -1.92998061 -0.57938172  0.44052199 -2.85233326
  3.36363593  2.07979756  0.93107673 -1.49614773]
Sun Aug 25 01:12:21 2024,35,0.26040248003173644,[-1.85453761  2.33486541 -1.94568956 -0.59509067  0.45623094 -2.86804221
  3.34792699  2.09550651  0.94678568 -1.48043879]
Sun Aug 25 01:13:45 2024,36,0.26166772495302454,[-1.83904422  2.3503588  -1.96118295 -0.61058406  0.44073755 -2.85254882
  3.3324336   2.1109999   0.93129229 -1.49593218]
Sun Aug 25 01:15:08 2024,37,0.25299695783618253,[-1.82235522  2.3670478  -1.97787195 -0.59389506  0.45742654 -2.83585982
  3.3157446   2.0943109   0.91460329 -1.47924318]
Sun Aug 25 01:16:31 2024,38,0.24472812806407662,[-1.80832598  2.35301856 -1.9638427  -0.60792431  0.47145579 -2.82183058
  3.30171536  2.10834015  0.90057405 -1.49327242]
Sun Aug 25 01:17:55 2024,39,0.24039435403764592,[-1.79560731  2.34029989 -1.95112403 -0.62064298  0.45873712 -2.80911191
  3.31443403  2.09562148  0.88785538 -1.50599109]
Sun Aug 25 01:19:19 2024,40,0.23172748528949044,[-1.78277482  2.32746739 -1.96395653 -0.63347547  0.44590463 -2.8219444
  3.32726652  2.08278898  0.87502289 -1.4931586 ]
Sun Aug 25 01:20:42 2024,41,0.23205762517946196,[-1.7685922   2.34165001 -1.97813915 -0.64765809  0.43172201 -2.80776178
  3.34144914  2.06860636  0.86084027 -1.50734122]
Sun Aug 25 01:22:06 2024,42,0.22878929738191486,[-1.75749613  2.35274609 -1.98923522 -0.65875416  0.42062593 -2.79666571
  3.33035306  2.05751029  0.8497442  -1.49624515]
Sun Aug 25 01:23:30 2024,43,0.22795762283306387,[-1.74459867  2.36564354 -1.97633776 -0.64585671  0.43352339 -2.80956316
  3.34325052  2.04461284  0.83684674 -1.5091426 ]
Sun Aug 25 01:24:54 2024,44,0.2263406060631572,[-1.73386097  2.37638124 -1.98707546 -0.65659441  0.42278569 -2.79882547
  3.33251282  2.03387514  0.82610904 -1.5198803 ]
Sun Aug 25 01:26:18 2024,45,0.22790164227153878,[-1.72287453  2.38736768 -1.97608902 -0.64560797  0.41179925 -2.78783903
  3.34349926  2.0228887   0.83709548 -1.50889386]
Sun Aug 25 01:27:41 2024,46,0.2204227720021793,[-1.71339362  2.37788677 -1.96660811 -0.65508888  0.40231834 -2.79731994
  3.35298017  2.03236961  0.84657639 -1.51837477]
Sun Aug 25 01:29:04 2024,47,0.21739621986660165,[-1.70539529  2.3858851  -1.97460644 -0.64709054  0.39432001 -2.7893216
  3.3609785   2.02437128  0.83857806 -1.51037643]
Sun Aug 25 01:30:27 2024,48,0.22082747252223522,[-1.69592307  2.39535733 -1.96513422 -0.65656277  0.40379223 -2.77984938
  3.37045073  2.0338435   0.82910583 -1.51984866]
Sun Aug 25 01:31:50 2024,49,0.21079557516948913,[-1.68681742  2.38625168 -1.95602857 -0.64745712  0.41289788 -2.77074373
  3.37955637  2.04294915  0.83821148 -1.51074302]
Sun Aug 25 01:33:12 2024,50,0.20922266479000196,[-1.6791362   2.3939329  -1.94834736 -0.65513834  0.40521666 -2.77842495
  3.38723759  2.03526793  0.83053026 -1.51842423]
Sun Aug 25 01:34:35 2024,51,0.21432037876012092,[-1.67112183  2.40194728 -1.94033298 -0.66315272  0.39720229 -2.78643933
  3.39525197  2.02725355  0.82251589 -1.51040986]
Sun Aug 25 01:35:57 2024,52,0.21277523986613506,[-1.66267322  2.39349867 -1.93188437 -0.67160132  0.38875368 -2.77799072
  3.40370057  2.01880495  0.83096449 -1.51885847]
Sun Aug 25 01:37:20 2024,53,0.204203297676081,[-1.65543531  2.38626076 -1.92464646 -0.67883924  0.39599159 -2.78522863
  3.41093848  2.02604286  0.8382024  -1.52609638]
Sun Aug 25 01:38:44 2024,54,0.20604980924760224,[-1.64876369  2.37958913 -1.91797484 -0.67216761  0.40266322 -2.79190026
  3.40426686  2.03271448  0.84487403 -1.51942476]
Sun Aug 25 01:40:07 2024,55,0.19986167794644494,[-1.64294368  2.38540914 -1.91215484 -0.66634761  0.39684321 -2.79772026
  3.39844686  2.02689448  0.83905403 -1.51360475]
Sun Aug 25 01:41:31 2024,56,0.19932998199422972,[-1.63591332  2.3924395  -1.90512447 -0.65931724  0.38981285 -2.80475062
  3.40547722  2.03392484  0.84608439 -1.50657439]
Sun Aug 25 01:42:54 2024,57,0.2057522399832287,[-1.62865986  2.38518604 -1.91237793 -0.66657071  0.39706631 -2.79749716
  3.41273068  2.02667138  0.85333785 -1.51382785]
Sun Aug 25 01:44:18 2024,58,0.2071804519233286,[-1.62384878  2.38037497 -1.90756686 -0.66175963  0.39225523 -2.80230824
  3.40791961  2.03148246  0.84852678 -1.50901677]
Sun Aug 25 01:45:42 2024,59,0.1974063357121761,[-1.61846089  2.37498708 -1.90217897 -0.66714752  0.38686735 -2.80769612
  3.40253172  2.02609457  0.84313889 -1.51440466]
Sun Aug 25 01:47:04 2024,60,0.20524088862483375,[-1.61393526  2.37046145 -1.9067046  -0.67167315  0.39139298 -2.81222175
  3.39800609  2.0306202   0.83861326 -1.51893029]
Sun Aug 25 01:48:27 2024,61,0.20209158865027088,[-1.60910466  2.36563084 -1.901874   -0.66684255  0.39622358 -2.80739115
  3.40283669  2.0354508   0.83378266 -1.51409969]
Sun Aug 25 01:49:50 2024,62,0.20183526514425693,[-1.60419391  2.3705416  -1.90678475 -0.66193179  0.40113433 -2.81230191
  3.40774745  2.03054005  0.83869341 -1.50918893]
Sun Aug 25 01:51:13 2024,63,0.1987769685215578,[-1.59892808  2.36527577 -1.90151892 -0.66719762  0.40640016 -2.81756773
  3.40248162  2.03580587  0.84395924 -1.51445476]
Sun Aug 25 01:52:37 2024,64,0.19561177455415946,[-1.59459228  2.36093998 -1.89718313 -0.67153341  0.41073596 -2.81323194
  3.40681742  2.03147008  0.83962345 -1.51879056]
Sun Aug 25 01:54:01 2024,65,0.20075803847840037,[-1.59002385  2.36550841 -1.90175156 -0.67610185  0.40616752 -2.80866351
  3.40224898  2.02690165  0.83505501 -1.51422212]
