Data,Predicted,Reference
Train,[-0.021348561277314618],[-0.03225818565279794]
Train,[-0.02134856127731459],[-7.769851570889031e-07]
Train,[-0.021348561277314586],[-7.769851570670464e-07]
Train,[-0.021348561277314597],[-0.016908658625533646]
Train,[-0.021348561277314618],[2.147515531627273e-06]
Train,[-0.021348561277314597],[-0.03181998237701682]
Train,[-0.021348561277314635],[-0.020466061799623576]
Train,[-0.021348561277314597],[-2.2178075255649983e-06]
Train,[-0.021348561277314604],[0.034386940850617984]
Train,[-0.021348561277314628],[1.3818615606561856e-06]
Train,[-0.021348561277314583],[1.4598582711141459e-06]
Train,[-0.021348561277314597],[-0.004030206474187189]
Train,[-0.02134856127731455],[-9.471188573092583e-17]
Train,[-0.021348561277314555],[5.46414725370726e-18]
Train,[-0.02134856127731458],[1.82138241790242e-18]
Train,[-0.021348561277314576],[1.092829450741452e-17]
Train,[0.022494305114815188],[2.1475155316309158e-06]
Train,[0.02249430511481517],[-0.02046606179962359]
Train,[0.022494305114815157],[-0.03181998237701695]
Train,[0.022494305114815188],[-2.2178075256323896e-06]
Train,[0.02249430511481521],[-0.04557838729447085]
Train,[0.02249430511481517],[1.820191515441475e-06]
Train,[0.0224943051148152],[1.8201915155289015e-06]
Train,[0.02249430511481517],[-0.07587621233758134]
Train,[0.022494305114815157],[-4.1009506176001475e-06]
Train,[0.022494305114815163],[0.03502305871878561]
Train,[0.022494305114815157],[0.04596011552868171]
Train,[0.0224943051148152],[2.452425396471171e-06]
Train,[0.02249430511481518],[-3.64276483580484e-18]
Train,[0.022494305114815157],[-1.092829450741452e-16]
Train,[0.022494305114815157],[-1.3113953408897423e-16]
Train,[0.022494305114815143],[9.1069120895121e-18]
Train,[-0.020891943041280534],[0.034386940850618]
Train,[-0.02089194304128057],[1.45985827106679e-06]
Train,[-0.02089194304128055],[1.381861560628865e-06]
Train,[-0.02089194304128055],[-0.004030206474187182]
Train,[-0.020891943041280506],[-4.100950617578291e-06]
Train,[-0.02089194304128054],[0.04596011552868179]
Train,[-0.020891943041280527],[0.035023058718785624]
Train,[-0.020891943041280534],[2.4524253964638855e-06]
Train,[-0.020891943041280538],[-0.04635304026034097]
Train,[-0.02089194304128053],[8.766607765741092e-07]
Train,[-0.02089194304128051],[8.766607766032513e-07]
Train,[-0.02089194304128054],[-0.040709636276467155]
Train,[-0.020891943041280527],[5.282009011917018e-17]
Train,[-0.02089194304128053],[-5.46414725370726e-18]
Train,[-0.020891943041280527],[1.82138241790242e-18]
Train,[-0.020891943041280534],[9.471188573092583e-17]
Train,[0.024907020532323524],[-9.471188573092583e-17]
Train,[0.024907020532323517],[1.82138241790242e-18]
Train,[0.024907020532323517],[5.46414725370726e-18]
Train,[0.024907020532323545],[1.092829450741452e-17]
Train,[0.024907020532323597],[-3.64276483580484e-18]
Train,[0.024907020532323576],[-1.3113953408897423e-16]
Train,[0.02490702053232348],[-1.092829450741452e-16]
Train,[0.024907020532323524],[9.1069120895121e-18]
Train,[0.02490702053232353],[5.282009011917018e-17]
Train,[0.02490702053232353],[1.82138241790242e-18]
Train,[0.02490702053232353],[-5.46414725370726e-18]
Train,[0.02490702053232348],[9.471188573092583e-17]
Train,[0.024907020532323503],[-0.026621245462551197]
Train,[0.024907020532323517],[-5.688607871304142e-07]
Train,[0.024907020532323552],[-5.688607871322355e-07]
Train,[0.024907020532323524],[-0.010823945532928939]
Train,[-0.02136554277287708],[-0.03225642570605386]
Train,[-0.021365542772877125],[7.900587201402797e-05]
Train,[-0.02136554277287708],[7.900587201395693e-05]
Train,[-0.021365542772877107],[-0.01692222211298195]
Train,[-0.021365542772877114],[0.00021839714942577227]
Train,[-0.021365542772877083],[0.03183374883540315]
Train,[-0.021365542772877093],[0.020468388897137785]
Train,[-0.02136554277287714],[-0.00022558532345777192]
Train,[-0.021365542772877093],[0.034430140265059306]
Train,[-0.021365542772877093],[-0.00014064887786440584]
Train,[-0.021365542772877125],[-0.00014859676587885906]
Train,[-0.021365542772877118],[-0.004036594411177927]
Train,[-0.021365542772877142],[-1.4753197585009603e-16]
Train,[-0.02136554277287709],[2.185658901482904e-17]
Train,[-0.02136554277287708],[1.457105934321936e-17]
Train,[-0.021365542772877097],[1.639244176112178e-17]
Train,[0.02261914464135489],[0.0002183971494257249]
Train,[0.022619144641354855],[0.020468388897137844]
Train,[0.02261914464135489],[0.03183374883540315]
Train,[0.022619144641354876],[-0.00022558532345770454]
Train,[0.022619144641354883],[-0.04565742741386274]
Train,[0.02261914464135489],[-0.00018499056409219296]
Train,[0.02261914464135487],[-0.00018499056409211466]
Train,[0.022619144641354883],[-0.07587345187227598]
Train,[0.022619144641354876],[-0.000417703483878227]
Train,[0.022619144641354855],[-0.03506887734551717]
Train,[0.022619144641354862],[-0.04598491259983777]
Train,[0.022619144641354876],[0.00024937868650868835]
Train,[0.02261914464135487],[-1.274967692531694e-17]
Train,[0.02261914464135487],[1.5117474068590086e-16]
Train,[0.022619144641354883],[1.9853068355136378e-16]
Train,[0.02261914464135489],[-4.371317802965808e-17]
Train,[-0.020900117331802085],[0.034430140265059465]
Train,[-0.020900117331802102],[-0.0001485967658787516]
Train,[-0.0209001173318021],[-0.00014064887786438763]
Train,[-0.02090011733180211],[-0.00403659441117794]
Train,[-0.020900117331802092],[-0.00041770348387830354]
Train,[-0.020900117331802068],[-0.04598491259983788]
Train,[-0.02090011733180209],[-0.03506887734551722]
Train,[-0.020900117331802096],[0.00024937868650867014]
Train,[-0.020900117331802092],[-0.04642098563854254]
Train,[-0.020900117331802092],[-8.929989840338444e-05]
Train,[-0.020900117331802096],[-8.92998984034318e-05]
Train,[-0.020900117331802102],[-0.04070587366488182]
Train,[-0.02090011733180209],[8.742635605931616e-17]
Train,[-0.020900117331802075],[-3.096350110434114e-17]
Train,[-0.02090011733180208],[-2.367797143273146e-17]
Train,[-0.020900117331802106],[1.274967692531694e-16]
Train,[0.024879619135164666],[-1.4753197585009603e-16]
Train,[0.02487961913516466],[1.457105934321936e-17]
Train,[0.024879619135164614],[2.185658901482904e-17]
Train,[0.024879619135164673],[1.639244176112178e-17]
Train,[0.02487961913516464],[-1.274967692531694e-17]
Train,[0.024879619135164645],[1.9853068355136378e-16]
Train,[0.02487961913516471],[1.5117474068590086e-16]
Train,[0.024879619135164666],[-4.371317802965808e-17]
Train,[0.02487961913516464],[8.742635605931616e-17]
Train,[0.024879619135164645],[-2.367797143273146e-17]
Train,[0.024879619135164666],[-3.096350110434114e-17]
Train,[0.024879619135164645],[1.274967692531694e-16]
Train,[0.02487961913516468],[-0.026634468268519597]
Train,[0.024879619135164652],[5.783038463533851e-05]
Train,[0.024879619135164673],[5.7830384635351266e-05]
Train,[0.02487961913516464],[-0.010832636499721451]
Train,[-0.021345006901097977],[-0.032258451158275296]
Train,[-0.021345006901097998],[-1.3271416039564208e-05]
Train,[-0.02134500690109797],[-1.3271416039666206e-05]
Train,[-0.02134500690109798],[-0.016905929475836967]
Train,[-0.02134500690109801],[3.667982742938658e-05]
Train,[-0.021345006901098033],[-0.03181689782676138]
Train,[-0.021345006901098022],[-0.020465344205368968]
Train,[-0.021345006901097963],[-3.7879038950043834e-05]
Train,[-0.021345006901098],[0.03437783697126322]
Train,[-0.021345006901097974],[2.359828106542327e-05]
Train,[-0.021345006901097984],[2.4929931815233868e-05]
Train,[-0.021345006901097977],[-0.004028753092825896]
Train,[-0.02134500690109797],[-8.19622088056089e-17]
Train,[-0.021345006901097967],[1.82138241790242e-17]
Train,[-0.021345006901097995],[1.274967692531694e-17]
Train,[-0.021345006901097963],[7.28552967160968e-18]
Train,[0.022468237587128535],[3.667982742931737e-05]
Train,[0.02246823758712853],[-0.02046534420536899]
Train,[0.02246823758712853],[-0.031816897826761434]
Train,[0.022468237587128514],[-3.787903895011487e-05]
Train,[0.022468237587128535],[-0.045562209296626306]
Train,[0.022468237587128573],[3.1093243300779163e-05]
Train,[0.022468237587128542],[3.1093243300713596e-05]
