Time,Iteration,Cost,Parameters
Sat Aug 24 21:15:56 2024,0,0.09319458455317221,[-2.90210196  2.23851612 -2.12319815 -0.11761251  0.55280559 -2.76902749
  3.06966647  2.18851997  1.1844385  -1.0654016 ]
Sat Aug 24 21:18:00 2024,1,0.09626416047432161,[-2.90146578  2.23787994 -2.12383433 -0.11697633  0.55216941 -2.76966367
  3.06903028  2.18915615  1.18507468 -1.06476541]
Sat Aug 24 21:20:05 2024,2,0.09503506139569626,[-2.90041723  2.23892848 -2.12488288 -0.11802487  0.55321795 -2.76861513
  3.07007883  2.18810761  1.18402614 -1.06581396]
Sat Aug 24 21:22:09 2024,3,0.092722351622075,[-2.89934362  2.23785487 -2.12380926 -0.11695126  0.55214434 -2.76754152
  3.07115244  2.18918122  1.18295253 -1.06474034]
Sat Aug 24 21:24:12 2024,4,0.09617145314556735,[-2.89816836  2.2366796  -2.122634   -0.11577599  0.5533196  -2.76871678
  3.06997718  2.19035648  1.18177726 -1.06356508]
Sat Aug 24 21:26:16 2024,5,0.09294462903208356,[-2.89719224  2.23570348 -2.12361012 -0.11675211  0.55234348 -2.7696929
  3.06900106  2.18938036  1.18275338 -1.0645412 ]
Sat Aug 24 21:28:20 2024,6,0.09609622862470092,[-2.89605044  2.23684528 -2.12475191 -0.11789391  0.55348527 -2.77083469
  3.06785926  2.19052216  1.18161159 -1.06568299]
Sat Aug 24 21:30:23 2024,7,0.0932549045119973,[-2.89508349  2.23587833 -2.12378496 -0.11692696  0.55251832 -2.76986774
  3.06882622  2.19148911  1.18257854 -1.06471604]
Sat Aug 24 21:32:28 2024,8,0.09628752880463451,[-2.89469208  2.23548691 -2.12417637 -0.11731837  0.55212691 -2.76947633
  3.0684348   2.19188052  1.18218713 -1.06432463]
Sat Aug 24 21:34:32 2024,9,0.09170054851939625,[-2.89365551  2.23445034 -2.12521295 -0.11835494  0.55316348 -2.76843976
  3.06739823  2.19084395  1.18115056 -1.06328806]
Sat Aug 24 21:36:37 2024,10,0.09341037977247893,[-2.89324231  2.23403715 -2.12479975 -0.11794174  0.55357668 -2.76802656
  3.06781143  2.19043075  1.18156375 -1.06287486]
Sat Aug 24 21:38:41 2024,11,0.0976057818423515,[-2.8925679   2.23471155 -2.12412534 -0.11726734  0.55425109 -2.76870097
  3.06848584  2.19110516  1.18088934 -1.06354927]
Sat Aug 24 21:40:45 2024,12,0.09275077124812955,[-2.89151728  2.23366093 -2.12517596 -0.11831796  0.55530171 -2.76975159
  3.06743521  2.19005454  1.18193997 -1.06249865]
