Data,Predicted,Reference
Train,[-0.012750646964880544],[-0.03225818565279794]
Train,[-0.012689657722734081],[-7.769851570889031e-07]
Train,[-0.012689657722734022],[-7.769851570670464e-07]
Train,[-0.012760251841497122],[-0.016908658625533646]
Train,[-0.01263438744997822],[2.147515531627273e-06]
Train,[-0.012697197583503909],[-0.03181998237701682]
Train,[-0.012675340188682561],[-0.020466061799623576]
Train,[-0.012646544538202178],[-2.2178075255649983e-06]
Train,[-0.012776976903084325],[0.034386940850617984]
Train,[-0.01263264764755861],[1.3818615606561856e-06]
Train,[-0.012633185727895253],[1.4598582711141459e-06]
Train,[-0.012673292649900591],[-0.004030206474187189]
Train,[-0.012641904133081824],[-9.471188573092583e-17]
Train,[-0.012654858691481514],[5.46414725370726e-18]
Train,[-0.012670963435687636],[1.82138241790242e-18]
Train,[-0.012648480553328031],[1.092829450741452e-17]
Train,[-0.025583055334959193],[2.1475155316309158e-06]
Train,[-0.023224552505175168],[-0.02046606179962359]
Train,[-0.022308957177783226],[-0.03181998237701695]
Train,[-0.02495313394908123],[-2.2178075256323896e-06]
Train,[-0.02134583061143209],[-0.04557838729447085]
Train,[-0.02498650322238421],[1.820191515441475e-06]
Train,[-0.024986503222377148],[1.8201915155289015e-06]
Train,[-0.018418220419713208],[-0.07587621233758134]
Train,[-0.023347740298287775],[-4.1009506176001475e-06]
Train,[-0.01991880604992147],[0.03502305871878561]
Train,[-0.018267896628330955],[0.04596011552868171]
Train,[-0.024881846546954953],[2.452425396471171e-06]
Train,[-0.022268602651528278],[-3.64276483580484e-18]
Train,[-0.02373245989209541],[-1.092829450741452e-16]
Train,[-0.02381860646575423],[-1.3113953408897423e-16]
Train,[-0.023770330346356994],[9.1069120895121e-18]
Train,[-0.012609050872712562],[0.034386940850618]
Train,[-0.012437153902660642],[1.45985827106679e-06]
Train,[-0.012436509031076785],[1.381861560628865e-06]
Train,[-0.012485219508390566],[-0.004030206474187182]
Train,[-0.012491925969122209],[-4.100950617578291e-06]
Train,[-0.012694006874774394],[0.04596011552868179]
Train,[-0.012606939673371769],[0.035023058718785624]
