Data,Predicted,Reference
Train,[-0.013919652714781773],[-0.03225818565279794]
Train,[-0.004762172894249408],[-7.769851570889031e-07]
Train,[-0.004762172894248976],[-7.769851570670464e-07]
Train,[-0.015226427139937701],[-0.016908658625533646]
Train,[0.007120453933227065],[2.147515531627273e-06]
Train,[-0.008962462883481343],[-0.03181998237701682]
Train,[-0.007213357392229683],[-0.020466061799623576]
Train,[0.004186180342282371],[-2.2178075255649983e-06]
Train,[-0.017687134301401734],[0.034386940850617984]
Train,[0.0076781739535584205],[1.3818615606561856e-06]
Train,[0.007520386642831608],[1.4598582711141459e-06]
Train,[-0.005478717523204067],[-0.004030206474187189]
Train,[0.006943114103834051],[-9.471188573092583e-17]
Train,[0.0007595189194043366],[5.46414725370726e-18]
Train,[-0.004321453402168211],[1.82138241790242e-18]
Train,[0.00018669633492968842],[1.092829450741452e-17]
Train,[0.0031684072680674],[2.1475155316309158e-06]
Train,[-0.0322966500454008],[-0.02046606179962359]
Train,[-0.036747456134944935],[-0.03181998237701695]
Train,[0.0007375210700727695],[-2.2178075256323896e-06]
Train,[-0.023520496798502294],[-0.04557838729447085]
Train,[0.008718105118137927],[1.820191515441475e-06]
Train,[0.008718105118093044],[1.8201915155289015e-06]
Train,[-0.036677168226134906],[-0.07587621233758134]
Train,[0.008875880118424122],[-4.1009506176001475e-06]
Train,[-0.019635801699553427],[0.03502305871878561]
Train,[-0.022312445259656505],[0.04596011552868171]
Train,[0.008739314201953799],[2.452425396471171e-06]
Train,[-0.010710292785136992],[-3.64276483580484e-18]
Train,[-0.007530793489369472],[-1.092829450741452e-16]
Train,[-0.007282181112986669],[-1.3113953408897423e-16]
Train,[-0.004027505182249375],[9.1069120895121e-18]
Train,[-0.017580685898288796],[0.034386940850618]
Train,[0.007525379827862161],[1.45985827106679e-06]
Train,[0.0076822445223103785],[1.381861560628865e-06]
Train,[-0.0054027464612090076],[-0.004030206474187182]
Train,[0.0048568890669308164],[-4.100950617578291e-06]
Train,[-0.02242071758431176],[0.04596011552868179]
Train,[-0.018701049364298776],[0.035023058718785624]
Train,[0.007196660300071672],[2.4524253964638855e-06]
Train,[-0.01614337644206638],[-0.04635304026034097]
Train,[0.006445342194639867],[8.766607765741092e-07]
Train,[0.0064453421945987735],[8.766607766032513e-07]
Train,[-0.012766204773905044],[-0.040709636276467155]
Train,[-0.0037655964945742908],[5.282009011917018e-17]
Train,[-0.006372785246932227],[-5.46414725370726e-18]
Train,[-0.006927747425566392],[1.82138241790242e-18]
Train,[0.0014205158068095057],[9.471188573092583e-17]
Train,[0.004283353494074058],[-9.471188573092583e-17]
Train,[-0.020632403342134155],[1.82138241790242e-18]
Train,[-0.009239388362371885],[5.46414725370726e-18]
Train,[-0.008543637172772504],[1.092829450741452e-17]
Train,[0.0014116126081875297],[-3.64276483580484e-18]
Train,[0.00986382734097423],[-1.3113953408897423e-16]
Train,[0.009209553940019074],[-1.092829450741452e-16]
Train,[0.0028420897502676175],[9.1069120895121e-18]
Train,[0.0008213430102708198],[5.282009011917018e-17]
Train,[-0.00016310545643857916],[1.82138241790242e-18]
Train,[0.0008239530573579475],[-5.46414725370726e-18]
Train,[0.008942248266704398],[9.471188573092583e-17]
Train,[-0.0003534503798883486],[-0.026621245462551197]
Train,[-0.0036170106015468435],[-5.688607871304142e-07]
Train,[-0.003617010601541301],[-5.688607871322355e-07]
Train,[-0.0019732094667871294],[-0.010823945532928939]
Train,[-0.013884565642928282],[-0.03225642570605386]
Train,[-0.006131260976387858],[7.900587201402797e-05]
Train,[-0.006131260976387616],[7.900587201395693e-05]
Train,[-0.015212261304859089],[-0.01692222211298195]
Train,[0.000674094709510405],[0.00021839714942577227]
Train,[-0.01690839814658645],[0.03183374883540315]
Train,[-0.011645690013586422],[0.020468388897137785]
Train,[-0.0005971832171678535],[-0.00022558532345777192]
Train,[-0.017706656728139855],[0.034430140265059306]
Train,[0.0014038114713661647],[-0.00014064887786440584]
Train,[0.0011883312476745108],[-0.00014859676587885906]
Train,[-0.00548188242750545],[-0.004036594411177927]
Train,[0.007749547148582154],[-1.4753197585009603e-16]
Train,[0.0032796095761898634],[2.185658901482904e-17]
Train,[0.0019347934751400423],[1.457105934321936e-17]
Train,[0.0007400414674927071],[1.639244176112178e-17]
Train,[-0.01112228911495859],[0.0002183971494257249]
Train,[-0.034623486923157386],[0.020468388897137844]
Train,[-0.04196562097326519],[0.03183374883540315]
Train,[-0.014823852865463828],[-0.00022558532345770454]
Train,[-0.023617886918875494],[-0.04565742741386274]
Train,[-0.0011243234993127433],[-0.00018499056409219296]
Train,[-0.0011243234993120656],[-0.00018499056409211466]
Train,[-0.036789138052466384],[-0.07587345187227598]
Train,[0.0016522206009601987],[-0.000417703483878227]
Train,[-0.020226307602558325],[-0.03506887734551717]
Train,[-0.02319873959982108],[-0.04598491259983777]
Train,[-0.0011795030367355525],[0.00024937868650868835]
Train,[-0.010787606291662083],[-1.274967692531694e-17]
Train,[-0.007226493750236727],[1.5117474068590086e-16]
Train,[-0.006857692908342385],[1.9853068355136378e-16]
Train,[-0.003806954959567477],[-4.371317802965808e-17]
Train,[-0.017598947157368608],[0.034430140265059465]
Train,[0.0012351827629216814],[-0.0001485967658787516]
Train,[0.0014491364895133513],[-0.00014064887786438763]
Train,[-0.005404440892278976],[-0.00403659441117794]
Train,[-0.0021966606719671035],[-0.00041770348387830354]
Train,[-0.012623036018853324],[-0.04598491259983788]
Train,[-0.011368794229031049],[-0.03506887734551722]
Train,[-0.0002620310254203974],[0.00024937868650867014]
Train,[-0.01614939779969755],[-0.04642098563854254]
Train,[0.0005781141450086304],[-8.929989840338444e-05]
Train,[0.0005781141450076286],[-8.92998984034318e-05]
Train,[-0.012771205348915375],[-0.04070587366488182]
Train,[-0.002868088553076868],[8.742635605931616e-17]
Train,[-0.0037470123824958975],[-3.096350110434114e-17]
Train,[-0.004482817850851524],[-2.367797143273146e-17]
Train,[0.001917903401852868],[1.274967692531694e-16]
Train,[0.005744646883564964],[-1.4753197585009603e-16]
Train,[-0.006727131806304381],[1.457105934321936e-17]
Train,[-0.003926400366672915],[2.185658901482904e-17]
Train,[-0.0073981669450410474],[1.639244176112178e-17]
