Data,Predicted,Reference
Train,[-0.0058249293225212185],[-0.03225818565279794]
Train,[-1.4247638159156377e-05],[-7.769851570889031e-07]
Train,[-1.4247638157615487e-05],[-7.769851570670464e-07]
Train,[-0.010716617782481348],[-0.016908658625533646]
Train,[0.0002471268384102543],[2.147515531627273e-06]
Train,[-0.009505474680960236],[-0.03181998237701682]
Train,[-0.008664586545978131],[-0.020466061799623576]
Train,[0.0012564275544401679],[-2.2178075255649983e-06]
Train,[-0.017149971075958226],[0.034386940850617984]
Train,[0.0004883050523394029],[1.3818615606561856e-06]
Train,[0.00037489603826522557],[1.4598582711141459e-06]
Train,[-0.007561632413121129],[-0.004030206474187189]
Train,[-0.0003585910167501081],[-9.471188573092583e-17]
Train,[-0.0038334195129867284],[5.46414725370726e-18]
Train,[-0.007389148196431857],[1.82138241790242e-18]
Train,[-0.0031711802102941393],[1.092829450741452e-17]
Train,[0.009660810582450614],[2.1475155316309158e-06]
Train,[-0.006588952143513464],[-0.02046606179962359]
Train,[-0.01285925293796964],[-0.03181998237701695]
Train,[0.007236071700608426],[-2.2178075256323896e-06]
Train,[0.0022489249694018928],[-0.04557838729447085]
Train,[0.011260766864074718],[1.820191515441475e-06]
Train,[0.01126076686408078],[1.8201915155289015e-06]
Train,[-0.012315576720842747],[-0.07587621233758134]
Train,[0.01045750481700913],[-4.1009506176001475e-06]
Train,[-0.010086299904090145],[0.03502305871878561]
Train,[-0.02209815393346011],[0.04596011552868171]
Train,[0.011292372076966544],[2.452425396471171e-06]
Train,[-0.0256801037519623],[-3.64276483580484e-18]
Train,[-0.018125385798238615],[-1.092829450741452e-16]
Train,[-0.01732326487057884],[-1.3113953408897423e-16]
Train,[-0.020385450591674247],[9.1069120895121e-18]
Train,[-0.017047867844071366],[0.034386940850618]
Train,[0.00031222378022056376],[1.45985827106679e-06]
Train,[0.00042592106785289],[1.381861560628865e-06]
Train,[-0.00753634489138861],[-0.004030206474187182]
Train,[-0.0026889596215677342],[-4.100950617578291e-06]
Train,[-0.028296323186073762],[0.04596011552868179]
Train,[-0.02211658786437085],[0.035023058718785624]
Train,[-0.0014495257355037175],[2.4524253964638855e-06]
Train,[-0.020430127229100908],[-0.04635304026034097]
Train,[-0.0015302238598837708],[8.766607765741092e-07]
Train,[-0.0015302238599127181],[8.766607766032513e-07]
Train,[-0.017829062385344364],[-0.040709636276467155]
Train,[-0.00925662032477781],[5.282009011917018e-17]
Train,[-0.007933393660083788],[-5.46414725370726e-18]
Train,[-0.008066206146910187],[1.82138241790242e-18]
Train,[-0.004207069425549763],[9.471188573092583e-17]
Train,[0.01289311720075334],[-9.471188573092583e-17]
Train,[0.0034794471782865024],[1.82138241790242e-18]
Train,[0.008761617552580639],[5.46414725370726e-18]
Train,[0.008901007168776289],[1.092829450741452e-17]
Train,[0.013269534288671102],[-3.64276483580484e-18]
Train,[0.013176628859838422],[-1.3113953408897423e-16]
Train,[0.013362914113056581],[-1.092829450741452e-16]
Train,[0.013516835651632007],[9.1069120895121e-18]
Train,[0.009114734584531398],[5.282009011917018e-17]
Train,[0.013068562620514089],[1.82138241790242e-18]
Train,[0.013059716478886518],[-5.46414725370726e-18]
Train,[0.01329052123698574],[9.471188573092583e-17]
Train,[-0.02691051834172588],[-0.026621245462551197]
Train,[-0.01663254399470653],[-5.688607871304142e-07]
Train,[-0.016632543994696044],[-5.688607871322355e-07]
Train,[-0.03513635831687248],[-0.010823945532928939]
Train,[-0.005829846496583775],[-0.03225642570605386]
Train,[-0.0009743315373262275],[7.900587201402797e-05]
Train,[-0.0009743315373260782],[7.900587201395693e-05]
Train,[-0.01063386711742996],[-0.01692222211298195]
Train,[-0.004277767833717198],[0.00021839714942577227]
Train,[-0.012088909626646268],[0.03183374883540315]
Train,[-0.009213380070700663],[0.020468388897137785]
Train,[-0.0019780042312590855],[-0.00022558532345777192]
Train,[-0.017189048804563956],[0.034430140265059306]
Train,[-0.003946111380782643],[-0.00014064887786440584]
Train,[-0.004096080246414085],[-0.00014859676587885906]
Train,[-0.007570542238518747],[-0.004036594411177927]
Train,[0.00013766098134704186],[-1.4753197585009603e-16]
Train,[-0.002099142040779209],[2.185658901482904e-17]
Train,[-0.003027330192421889],[1.457105934321936e-17]
Train,[-0.0027645514818460124],[1.639244176112178e-17]
Train,[0.00501620297502457],[0.0002183971494257249]
Train,[-0.014202326008688874],[0.020468388897137844]
Train,[-0.018680674815569315],[0.03183374883540315]
Train,[0.0007674388445589983],[-0.00022558532345770454]
Train,[0.00225457499211608],[-0.04565742741386274]
Train,[0.010664635175973066],[-0.00018499056409219296]
Train,[0.010664635175973158],[-0.00018499056409211466]
Train,[-0.012305076584411951],[-0.07587345187227598]
Train,[0.012151347081153962],[-0.000417703483878227]
Train,[0.008657078437576652],[-0.03506887734551717]
Train,[0.0022240912313208844],[-0.04598491259983777]
Train,[0.01053207590673732],[0.00024937868650868835]
Train,[-0.02504758896065107],[-1.274967692531694e-17]
Train,[-0.0173435276880077],[1.5117474068590086e-16]
Train,[-0.016323195403845137],[1.9853068355136378e-16]
Train,[-0.017417702093507417],[-4.371317802965808e-17]
Train,[-0.017084466981047403],[0.034430140265059465]
Train,[-0.004155544069125604],[-0.0001485967658787516]
Train,[-0.004006170179788578],[-0.00014064887786438763]
Train,[-0.0075448078216918],[-0.00403659441117794]
Train,[-0.008010155659816588],[-0.00041770348387830354]
Train,[-0.01886636824939351],[-0.04598491259983788]
Train,[-0.014754815474528596],[-0.03506887734551722]
Train,[-0.006937839496989419],[0.00024937868650867014]
Train,[-0.02042864571628551],[-0.04642098563854254]
Train,[-0.005879311206812486],[-8.929989840338444e-05]
Train,[-0.005879311206813238],[-8.92998984034318e-05]
Train,[-0.017826522594163216],[-0.04070587366488182]
Train,[-0.008961517461134657],[8.742635605931616e-17]
Train,[-0.007207486860425341],[-3.096350110434114e-17]
Train,[-0.007433388758405535],[-2.367797143273146e-17]
Train,[-0.004003723337800212],[1.274967692531694e-16]
Train,[0.013092125914253782],[-1.4753197585009603e-16]
Train,[0.009718131368866584],[1.457105934321936e-17]
Train,[0.010663694386632467],[2.185658901482904e-17]
Train,[0.009340551174897597],[1.639244176112178e-17]
Train,[0.013193145605693752],[-1.274967692531694e-17]
Train,[0.01288401811935403],[1.9853068355136378e-16]
Train,[0.01315417901614151],[1.5117474068590086e-16]
Train,[0.013806660336633731],[-4.371317802965808e-17]
Train,[0.008733418043554457],[8.742635605931616e-17]
Train,[0.01273407997856846],[-2.367797143273146e-17]
Train,[0.012515844571283165],[-3.096350110434114e-17]
Train,[0.013096423335961097],[1.274967692531694e-16]
Train,[-0.026643034250154653],[-0.026634468268519597]
Train,[-0.025489084335108065],[5.783038463533851e-05]
Train,[-0.0254890843351081],[5.7830384635351266e-05]
Train,[-0.035122365441878155],[-0.010832636499721451]
Train,[-0.005823915221095737],[-0.032258451158275296]
Train,[-0.00045638933153504163],[-1.3271416039564208e-05]
Train,[-0.0004563893315358339],[-1.3271416039666206e-05]
Train,[-0.010734568575213968],[-0.016905929475836967]
Train,[-0.0023608546808671295],[3.667982742938658e-05]
Train,[-0.009503127079936013],[-0.03181689782676138]
Train,[-0.008662536032361962],[-0.020465344205368968]
Train,[-0.0005716294256341689],[-3.7879038950043834e-05]
Train,[-0.01714184290519657],[0.03437783697126322]
Train,[-0.0020943399923614506],[2.359828106542327e-05]
Train,[-0.0022315740284863024],[2.4929931815233868e-05]
Train,[-0.007559725440849581],[-0.004028753092825896]
Train,[-0.00044943633981742154],[-8.19622088056089e-17]
Train,[-0.0017015461931572029],[1.82138241790242e-17]
Train,[-0.002263323857350169],[1.274967692531694e-17]
Train,[-0.0035692143510669687],[7.28552967160968e-18]
Train,[0.007403907747893865],[3.667982742931737e-05]
Train,[-0.006597957785416853],[-0.02046534420536899]
Train,[-0.012865049392422364],[-0.031816897826761434]
Train,[0.0038979634751157904],[-3.787903895011487e-05]
Train,[0.002247556408434614],[-0.045562209296626306]
Train,[0.011195707837749393],[3.1093243300779163e-05]
Train,[0.011195707837749775],[3.1093243300713596e-05]
Train,[-0.01231762694223918],[-0.07587647421210354]
Train,[0.011768233635892567],[-7.002230991633843e-05]
Train,[-0.010116826103196704],[0.03501319319465092]
Train,[-0.022116190069659817],[0.04595459277084304]
Train,[0.01127442845938101],[4.188850986001449e-05]
Train,[-0.022427127799053967],[1.639244176112178e-17]
Train,[-0.018385483825213333],[-9.471188573092583e-17]
Train,[-0.017492400604102426],[-1.1656847474575488e-16]
Train,[-0.01673099137448799],[3.824903077595082e-17]
Train,[-0.017040246565398407],[0.034377836971263155]
Train,[-0.0022948521306993502],[2.4929931815233868e-05]
Train,[-0.002157822699283624],[2.3598281065485193e-05]
Train,[-0.0075345296007655405],[-0.004028753092825932]
Train,[-0.00565549455835956],[-7.002230991629472e-05]
Train,[-0.028292105472778932],[0.04595459277084304]
Train,[-0.02211302567201778],[0.035013193194650974]
Train,[-0.004561968382666504],[4.188850985993799e-05]
Train,[-0.02043046758030962],[-0.04633911749680126]
Train,[-0.003894492789459692],[1.496840694527187e-05]
Train,[-0.0038944927894602435],[1.496840694528462e-05]
Train,[-0.017829560864426237],[-0.040710207897740124]
Train,[-0.009247387679823763],[5.282009011917018e-17]
Train,[-0.007017956615981793],[-2.914211868643872e-17]
Train,[-0.0071460492152299465],[-2.549935385063388e-17]
Train,[-0.004336516016805979],[7.649806155190164e-17]
Train,[0.012848868731632152],[-8.19622088056089e-17]
Train,[0.01048589478205871],[1.274967692531694e-17]
Train,[0.011000810990969535],[1.82138241790242e-17]
Train,[0.008453489404044154],[7.28552967160968e-18]
Train,[0.012813357392051299],[1.639244176112178e-17]
Train,[0.013223375987351278],[-1.1656847474575488e-16]
Train,[0.01342342327573904],[-9.471188573092583e-17]
Train,[0.013788967415950846],[3.824903077595082e-17]
Train,[0.009124353606182033],[5.282009011917018e-17]
Train,[0.012509412932718915],[-2.549935385063388e-17]
Train,[0.012366373531345912],[-2.914211868643872e-17]
Train,[0.013395535595513526],[7.649806155190164e-17]
Train,[-0.026963981276754995],[-0.026618455211376083]
Train,[-0.022136067063486885],[-9.716962955821612e-06]
Train,[-0.022136067063489036],[-9.716962955823433e-06]
Train,[-0.0351393173905264],[-0.010822185141719742]
Train,[-0.005859194637086501],[-0.03225291592097013]
Train,[-0.0008059559617202441],[6.734542800778838e-05]
Train,[-0.0008059559617199455],[6.734542800765178e-05]
Train,[-0.01016488873022808],[-0.01698701209913348]
Train,[-0.004136849039926],[0.0001863537379243354]
Train,[-0.012181905431401411],[0.031900059154929106]
Train,[-0.009301530945921049],[0.020491276960865223]
Train,[-0.0018742541135391053],[-0.00019272011327513546]
Train,[-0.017379587112099665],[0.034636065097496914]
Train,[-0.003805747591452653],[-0.00012048514277568004]
Train,[-0.003956963558325528],[-0.00012734142166573567]
Train,[-0.007623432888216744],[-0.004063263554342336]
Train,[0.0002184616164906573],[-2.0217344838716861e-16]
Train,[-0.004033946389150514],[-9.1069120895121e-18]
Train,[-0.006121606737018977],[-5.46414725370726e-18]
Train,[-0.0023184539957174536],[2.367797143273146e-17]
Train,[0.0057501762739330005],[0.00018635373792438823]
Train,[-0.013558109861803577],[0.02049127696086523]
Train,[-0.018456690142152572],[0.031900059154928974]
Train,[0.0013922271121644702],[-0.00019272011327503894]
Train,[0.002295396543717947],[-0.046026900956620265]
Train,[0.011183302157801367],[-0.00015737296144795846]
Train,[0.011183302157801446],[-0.00015737296144791293]
Train,[-0.012296582811821484],[-0.07594437972340634]
Train,[0.012509572789209328],[-0.0003593257613444789]
Train,[0.008849601526078109],[-0.03532985502844954]
Train,[0.0023122298356567125],[-0.046184500384455554]
Train,[0.01107910726791762],[0.0002131451434576835]
Train,[-0.028252643859509107],[7.28552967160968e-18]
Train,[-0.017450520978827096],[2.0763759564087587e-16]
Train,[-0.016484786536985787],[2.659218330137533e-16]
Train,[-0.020376695315373658],[1.82138241790242e-17]
Train,[-0.01727623296607495],[0.03463606509749698]
Train,[-0.004014719333975217],[-0.000127341421665661]
Train,[-0.003864018726793869],[-0.00012048514277566183]
Train,[-0.007598680385581034],[-0.004063263554342365]
Train,[-0.007755329727951083],[-0.00035932576134449533]
Train,[-0.018886937706980078],[-0.04618450038445562]
Train,[-0.014739354666842147],[-0.0353298550284496]
Train,[-0.006686390429164792],[0.0002131451434576489]
Train,[-0.02039847629312576],[-0.046806704565322856]
Train,[-0.005665531705677724],[-7.680393062679538e-05]
Train,[-0.005665531705677934],[-7.680393062679721e-05]
Train,[-0.01778715965232813],[-0.04074139126274762]
Train,[-0.00905492135957915],[1.1292570990995005e-16]
Train,[-0.007827269487060294],[1.457105934321936e-17]
Train,[-0.008099244311603176],[1.092829450741452e-17]
Train,[-0.003973460731545634],[1.7849547695443715e-16]
Train,[0.013193623391571641],[-2.0217344838716861e-16]
Train,[0.005667903569801834],[-5.46414725370726e-18]
Train,[0.00862432169996114],[-9.1069120895121e-18]
Train,[0.009837902294714679],[2.367797143273146e-17]
Train,[0.012993369010391618],[7.28552967160968e-18]
