Data,Predicted,Reference
Train,[-0.012167301039120492],[-0.03225818565279794]
Train,[-0.01933622346129129],[-7.769851570889031e-07]
Train,[-0.019336223461296854],[-7.769851570670464e-07]
Train,[-0.01683187171434666],[-0.016908658625533646]
Train,[-0.0008093574074434798],[2.147515531627273e-06]
Train,[-0.0024848465409488198],[-0.03181998237701682]
Train,[0.0009776029531438448],[-0.020466061799623576]
Train,[-0.004428026929571542],[-2.2178075255649983e-06]
Train,[-0.015958285442636864],[0.034386940850617984]
Train,[-0.0007421303204444751],[1.3818615606561856e-06]
Train,[-0.0007420573322275977],[1.4598582711141459e-06]
Train,[0.0004209310180047045],[-0.004030206474187189]
Train,[-0.0012420828920922972],[-9.471188573092583e-17]
Train,[-0.0006730840706849511],[5.46414725370726e-18]
Train,[-0.0006730800171569599],[1.82138241790242e-18]
Train,[-0.00124651201316745],[1.092829450741452e-17]
Train,[-0.06100307192841195],[2.1475155316309158e-06]
Train,[-0.06383016815832888],[-0.02046606179962359]
Train,[-0.05771368538689739],[-0.03181998237701695]
Train,[-0.054144580190898246],[-2.2178075256323896e-06]
Train,[-0.050629136279480486],[-0.04557838729447085]
Train,[-0.054263413477940274],[1.820191515441475e-06]
Train,[-0.054263413477943175],[1.8201915155289015e-06]
Train,[-0.019773009599168168],[-0.07587621233758134]
Train,[-0.03210764131635339],[-4.1009506176001475e-06]
Train,[-0.032948907995471656],[0.03502305871878561]
Train,[-0.023009775561502094],[0.04596011552868171]
Train,[-0.053379124937847584],[2.452425396471171e-06]
Train,[-0.029880244861324002],[-3.64276483580484e-18]
Train,[-0.041483782897178856],[-1.092829450741452e-16]
Train,[-0.04133579077714371],[-1.3113953408897423e-16]
Train,[-0.0516583815360115],[9.1069120895121e-18]
Train,[-0.01608678503122155],[0.034386940850618]
Train,[5.79784165179758e-05],[1.45985827106679e-06]
Train,[5.790114397543398e-05],[1.381861560628865e-06]
Train,[0.0012906463744639341],[-0.004030206474187182]
Train,[-0.013942694349670135],[-4.100950617578291e-06]
Train,[-0.015617492246441095],[0.04596011552868179]
Train,[-0.013174208121767167],[0.035023058718785624]
Train,[-0.004251780871795232],[2.4524253964638855e-06]
Train,[-0.012326914251155978],[-0.04635304026034097]
Train,[-0.01522770474855752],[8.766607765741092e-07]
Train,[-0.015227704748547228],[8.766607766032513e-07]
Train,[-0.005087551243824258],[-0.040709636276467155]
Train,[-0.02238153317431315],[5.282009011917018e-17]
Train,[-0.015273163048186223],[-5.46414725370726e-18]
Train,[-0.015071946587516856],[1.82138241790242e-18]
Train,[-0.010647021495339684],[9.471188573092583e-17]
Train,[0.019109432229432552],[-9.471188573092583e-17]
Train,[0.019746730210064307],[1.82138241790242e-18]
Train,[0.019746727937697547],[5.46414725370726e-18]
Train,[0.019095787451572848],[1.092829450741452e-17]
Train,[-0.003953345841239271],[-3.64276483580484e-18]
Train,[0.005392141276020638],[-1.3113953408897423e-16]
Train,[0.005506806346110677],[-1.092829450741452e-16]
Train,[0.01322528056379356],[9.1069120895121e-18]
Train,[-0.02440582527389429],[5.282009011917018e-17]
Train,[-0.005302964302000383],[1.82138241790242e-18]
Train,[-0.005664279974242331],[-5.46414725370726e-18]
Train,[0.004194165631371464],[9.471188573092583e-17]
Train,[-0.010210978109297603],[-0.026621245462551197]
Train,[-0.015198581446977387],[-5.688607871304142e-07]
Train,[-0.015198581446980481],[-5.688607871322355e-07]
Train,[0.00802561077811412],[-0.010823945532928939]
Train,[-0.012140179950522786],[-0.03225642570605386]
Train,[-0.017476940172412896],[7.900587201402797e-05]
Train,[-0.017476940172413077],[7.900587201395693e-05]
Train,[-0.016800732258990102],[-0.01692222211298195]
Train,[-0.0008893401313887552],[0.00021839714942577227]
Train,[-0.019805874062001603],[0.03183374883540315]
Train,[-0.009082657808825473],[0.020468388897137785]
Train,[-0.003991091249888921],[-0.00022558532345777192]
Train,[-0.015957012593933985],[0.034430140265059306]
Train,[-0.0007172374492152058],[-0.00014064887786440584]
Train,[-0.0007102860429063476],[-0.00014859676587885906]
Train,[0.0003950291268844192],[-0.004036594411177927]
Train,[-0.0012892675460508757],[-1.4753197585009603e-16]
Train,[-0.0007037726098967228],[2.185658901482904e-17]
Train,[-0.0007037725591340462],[1.457105934321936e-17]
Train,[-0.0012761596023249146],[1.639244176112178e-17]
Train,[-0.06076941285928315],[0.0002183971494257249]
Train,[-0.043830065567183794],[0.020468388897137844]
Train,[-0.011119260117193547],[0.03183374883540315]
Train,[-0.05477482032195121],[-0.00022558532345770454]
Train,[-0.05050540579114195],[-0.04565742741386274]
Train,[-0.05479050779740672],[-0.00018499056409219296]
Train,[-0.05479050779740665],[-0.00018499056409211466]
Train,[-0.01982981936125468],[-0.07587345187227598]
Train,[-0.035334457837367717],[-0.000417703483878227]
Train,[-0.05295464904113249],[-0.03506887734551717]
Train,[-0.04946445685303551],[-0.04598491259983777]
Train,[-0.05382432806350049],[0.00024937868650868835]
Train,[-0.02941240208563022],[-1.274967692531694e-17]
Train,[-0.04127032385433614],[1.5117474068590086e-16]
Train,[-0.041093681351512076],[1.9853068355136378e-16]
Train,[-0.051239465297292],[-4.371317802965808e-17]
Train,[-0.016088737672419945],[0.034430140265059465]
Train,[0.00011018996557752759],[-0.0001485967658787516]
Train,[0.00010280953346168516],[-0.00014064887786438763]
Train,[0.0012832709854660336],[-0.00403659441117794]
Train,[-0.012277973205672124],[-0.00041770348387830354]
Train,[-0.005544758391412385],[-0.04598491259983788]
Train,[-0.003594619789128389],[-0.03506887734551722]
Train,[-0.003874174548818871],[0.00024937868650867014]
Train,[-0.012373421537926421],[-0.04642098563854254]
Train,[-0.01380569202465062],[-8.929989840338444e-05]
Train,[-0.013805692024650353],[-8.92998984034318e-05]
Train,[-0.005108066136546148],[-0.04070587366488182]
Train,[-0.022770103790781208],[8.742635605931616e-17]
Train,[-0.01619512285646938],[-3.096350110434114e-17]
Train,[-0.01596255298358864],[-2.367797143273146e-17]
Train,[-0.010758607530227489],[1.274967692531694e-16]
Train,[0.019253805261742103],[-1.4753197585009603e-16]
Train,[0.019916404372761456],[1.457105934321936e-17]
Train,[0.01991640434355526],[2.185658901482904e-17]
Train,[0.019259698439640517],[1.639244176112178e-17]
Train,[-0.004372320385572243],[-1.274967692531694e-17]
Train,[0.005255518884127025],[1.9853068355136378e-16]
Train,[0.005394381861197958],[1.5117474068590086e-16]
Train,[0.013079426360172309],[-4.371317802965808e-17]
Train,[-0.025458078150788262],[8.742635605931616e-17]
Train,[-0.006915674577966898],[-2.367797143273146e-17]
Train,[-0.00733602199028568],[-3.096350110434114e-17]
Train,[0.004086123848674148],[1.274967692531694e-16]
