Data,Predicted,Reference
Train,[-0.006054663180779786],[-0.03225818565279794]
Train,[-0.005720600369271233],[-7.769851570889031e-07]
Train,[-0.005720600369271087],[-7.769851570670464e-07]
Train,[-0.004384515964346939],[-0.016908658625533646]
Train,[-0.010412476707540202],[2.147515531627273e-06]
Train,[-0.009884804072673154],[-0.03181998237701682]
Train,[-0.010681416568352092],[-0.020466061799623576]
Train,[-0.009397537401290072],[-2.2178075255649983e-06]
Train,[-0.0065798239017641254],[0.034386940850617984]
Train,[-0.010432339265645968],[1.3818615606561856e-06]
Train,[-0.01043233016540943],[1.4598582711141459e-06]
Train,[-0.01058511194092273],[-0.004030206474187189]
Train,[-0.010282543459250016],[-9.471188573092583e-17]
Train,[-0.010452555663666303],[5.46414725370726e-18]
Train,[-0.010452555814658425],[1.82138241790242e-18]
Train,[-0.010276930281400878],[1.092829450741452e-17]
Train,[0.0007853840232829861],[2.1475155316309158e-06]
Train,[-0.002941126261093145],[-0.02046606179962359]
Train,[0.002410599459269434],[-0.03181998237701695]
Train,[0.005793187801466328],[-2.2178075256323896e-06]
Train,[0.002416010595990595],[-0.04557838729447085]
Train,[0.005731490854282714],[1.820191515441475e-06]
Train,[0.005731490854276445],[1.8201915155289015e-06]
Train,[0.002553189029380632],[-0.07587621233758134]
Train,[0.01514959219457301],[-4.1009506176001475e-06]
Train,[0.010561338508336283],[0.03502305871878561]
Train,[0.0030592851914884147],[0.04596011552868171]
Train,[0.006271412324412377],[2.452425396471171e-06]
Train,[0.013155195748914127],[-3.64276483580484e-18]
Train,[0.011849302994690432],[-1.092829450741452e-16]
Train,[0.012059722374572144],[-1.3113953408897423e-16]
Train,[0.006397156599437338],[9.1069120895121e-18]
Train,[-0.007370751542444063],[0.034386940850618]
Train,[-0.01144581518523963],[1.45985827106679e-06]
Train,[-0.011445825646850729],[1.381861560628865e-06]
Train,[-0.011603550490004508],[-0.004030206474187182]
Train,[-0.00778802323185287],[-4.100950617578291e-06]
Train,[-0.004483342544015802],[0.04596011552868179]
