Data,Predicted,Reference
Train,[-0.011833723082521],[-0.03225818565279794]
Train,[-0.006225760535180929],[-7.769851570889031e-07]
Train,[-0.0062257605351736635],[-7.769851570670464e-07]
Train,[-0.015696701708545122],[-0.016908658625533646]
Train,[-0.0005485835265191585],[2.147515531627273e-06]
Train,[-0.010692177350279398],[-0.03181998237701682]
Train,[-0.010429786519162614],[-0.020466061799623576]
Train,[-0.002364990155557785],[-2.2178075255649983e-06]
Train,[-0.017350624889598043],[0.034386940850617984]
Train,[-0.0001562398007935508],[1.3818615606561856e-06]
Train,[-0.00027444365583736106],[1.4598582711141459e-06]
Train,[-0.009378376941289766],[-0.004030206474187189]
Train,[-0.0011169412193395],[-9.471188573092583e-17]
Train,[-0.0034798565845097157],[5.46414725370726e-18]
Train,[-0.0070453204901431195],[1.82138241790242e-18]
Train,[-0.0022459900447302276],[1.092829450741452e-17]
Train,[-1.1641220527569715e-06],[2.1475155316309158e-06]
Train,[-0.02894753502113525],[-0.02046606179962359]
Train,[-0.031396484284799284],[-0.03181998237701695]
Train,[0.0012209860845755426],[-2.2178075256323896e-06]
Train,[-0.008329102861619059],[-0.04557838729447085]
Train,[0.0032464776984670327],[1.820191515441475e-06]
Train,[0.003246477698421083],[1.8201915155289015e-06]
Train,[-0.0018079139401323805],[-0.07587621233758134]
Train,[0.014991245319217241],[-4.1009506176001475e-06]
Train,[-0.015178358146994805],[0.03502305871878561]
Train,[-0.01595345146702243],[0.04596011552868171]
Train,[0.0036070483454286417],[2.452425396471171e-06]
Train,[0.008418828327887502],[-3.64276483580484e-18]
Train,[0.009648499763153885],[-1.092829450741452e-16]
Train,[0.010068373656793346],[-1.3113953408897423e-16]
Train,[0.004569746398608296],[9.1069120895121e-18]
Train,[-0.017269425674059837],[0.034386940850618]
Train,[-0.0003956079530196925],[1.45985827106679e-06]
Train,[-0.00027652049454533924],[1.381861560628865e-06]
Train,[-0.009499100475879773],[-0.004030206474187182]
Train,[-0.005552971056327672],[-4.100950617578291e-06]
Train,[-0.03124566668528354],[0.04596011552868179]
Train,[-0.025404217391832493],[0.035023058718785624]
Train,[-0.0019025693806984881],[2.4524253964638855e-06]
Train,[-0.021197662837424587],[-0.04635304026034097]
Train,[-0.004811992186159145],[8.766607765741092e-07]
Train,[-0.004811992186182005],[8.766607766032513e-07]
Train,[-0.017416473864416318],[-0.040709636276467155]
Train,[-0.012007022174256218],[5.282009011917018e-17]
Train,[-0.012870676247968015],[-5.46414725370726e-18]
Train,[-0.012979652485384376],[1.82138241790242e-18]
Train,[-0.009237080902040971],[9.471188573092583e-17]
Train,[0.014656395071603908],[-9.471188573092583e-17]
Train,[0.016580430203955245],[1.82138241790242e-18]
Train,[0.015904408581806213],[5.46414725370726e-18]
Train,[0.012072283635344681],[1.092829450741452e-17]
Train,[0.010794086164623452],[-3.64276483580484e-18]
Train,[0.011335431601547699],[-1.3113953408897423e-16]
Train,[0.01165410963312958],[-1.092829450741452e-16]
Train,[0.015086552132589285],[9.1069120895121e-18]
Train,[0.0015463742745092358],[5.282009011917018e-17]
Train,[0.010320921980170992],[1.82138241790242e-18]
Train,[0.010221019702547428],[-5.46414725370726e-18]
Train,[0.011485331242008167],[9.471188573092583e-17]
Train,[-0.017869063847689437],[-0.026621245462551197]
Train,[-0.009897084434185402],[-5.688607871304142e-07]
Train,[-0.009897084434177557],[-5.688607871322355e-07]
Train,[-0.031635975303622985],[-0.010823945532928939]
Train,[-0.01181084128027478],[-0.03225642570605386]
Train,[-0.008710584997358781],[7.900587201402797e-05]
Train,[-0.008710584997358519],[7.900587201395693e-05]
Train,[-0.01565672405655828],[-0.01692222211298195]
Train,[-0.005157058418614154],[0.00021839714942577227]
Train,[-0.012543181613491628],[0.03183374883540315]
Train,[-0.010687101830837981],[0.020468388897137785]
Train,[-0.005948185800011512],[-0.00022558532345777192]
Train,[-0.01738970524954386],[0.034430140265059306]
Train,[-0.004672108171797113],[-0.00014064887786440584]
Train,[-0.0048219669099115355],[-0.00014859676587885906]
Train,[-0.009374491949617605],[-0.004036594411177927]
Train,[-0.0006223721845064808],[-1.4753197585009603e-16]
Train,[-0.0017670109635342759],[2.185658901482904e-17]
Train,[-0.002686489563963957],[1.457105934321936e-17]
Train,[-0.0018588765630059326],[1.639244176112178e-17]
Train,[-0.011541008458561009],[0.0002183971494257249]
Train,[-0.023862985091245344],[0.020468388897137844]
Train,[-0.010216898062662573],[0.03183374883540315]
Train,[-0.011086216692444634],[-0.00022558532345770454]
Train,[-0.008440689685507832],[-0.04565742741386274]
Train,[-0.004735358681311826],[-0.00018499056409219296]
Train,[-0.004735358681311394],[-0.00018499056409211466]
Train,[-0.001701825085204582],[-0.07587345187227598]
Train,[0.00894116852721229],[-0.000417703483878227]
Train,[-0.004876546826051903],[-0.03506887734551717]
Train,[-0.007677383765816467],[-0.04598491259983777]
Train,[-0.004516369140763904],[0.00024937868650868835]
Train,[0.009187126923275576],[-1.274967692531694e-17]
Train,[0.010152332022959088],[1.5117474068590086e-16]
Train,[0.010668714951155683],[1.9853068355136378e-16]
Train,[0.005702283349424542],[-4.371317802965808e-17]
Train,[-0.017306202340152014],[0.034430140265059465]
Train,[-0.004955653175954932],[-0.0001485967658787516]
Train,[-0.004806163354677976],[-0.00014064887786438763]
Train,[-0.009497197734035042],[-0.00403659441117794]
Train,[-0.010387305754488655],[-0.00041770348387830354]
Train,[-0.01856823473214896],[-0.04598491259983788]
