Data,Predicted,Reference
Train,[-0.014899524347592962],[-0.03225818565279794]
Train,[-0.012959484006942313],[-7.769851570889031e-07]
Train,[-0.01295948400694095],[-7.769851570670464e-07]
Train,[-0.012181407125229313],[-0.016908658625533646]
Train,[-0.021830434073422805],[2.147515531627273e-06]
Train,[-0.02092393449828972],[-0.03181998237701682]
Train,[-0.022501278429521116],[-0.020466061799623576]
Train,[-0.019998064734575632],[-2.2178075255649983e-06]
Train,[-0.014581666484749504],[0.034386940850617984]
Train,[-0.021865491428630385],[1.3818615606561856e-06]
Train,[-0.02186549861851816],[1.4598582711141459e-06]
Train,[-0.022279669060148045],[-0.004030206474187189]
Train,[-0.021602682282929518],[-9.471188573092583e-17]
Train,[-0.021901312557055158],[5.46414725370726e-18]
Train,[-0.021901313616948942],[1.82138241790242e-18]
Train,[-0.021596038183317318],[1.092829450741452e-17]
Train,[-0.040773564998556076],[2.1475155316309158e-06]
Train,[-0.04522043608821005],[-0.02046606179962359]
Train,[-0.03723852830532688],[-0.03181998237701695]
Train,[-0.03241426555230576],[-2.2178075256323896e-06]
Train,[-0.03176437803951649],[-0.04557838729447085]
Train,[-0.03254411904203815],[1.820191515441475e-06]
Train,[-0.03254411904204422],[1.8201915155289015e-06]
Train,[-0.008036987594624796],[-0.07587621233758134]
Train,[-0.009523922078865264],[-4.1009506176001475e-06]
Train,[-0.013073684596969322],[0.03502305871878561]
Train,[-0.01023212462703315],[0.04596011552868171]
Train,[-0.03152845466107082],[2.452425396471171e-06]
Train,[-0.009029477419018089],[-3.64276483580484e-18]
Train,[-0.018864347968784077],[-1.092829450741452e-16]
Train,[-0.018619730272089706],[-1.3113953408897423e-16]
Train,[-0.03011560043667385],[9.1069120895121e-18]
Train,[-0.015213731295202093],[0.034386940850618]
Train,[-0.02313637586447571],[1.45985827106679e-06]
Train,[-0.023136367977590264],[1.381861560628865e-06]
Train,[-0.02358753385676758],[-0.004030206474187182]
Train,[-0.01613957056566183],[-4.100950617578291e-06]
Train,[-0.01243087043522938],[0.04596011552868179]
Train,[-0.015326458579907089],[0.035023058718785624]
Train,[-0.020911558563551393],[2.4524253964638855e-06]
Train,[-0.01495414803558594],[-0.04635304026034097]
Train,[-0.015612708443872404],[8.766607765741092e-07]
Train,[-0.015612708443875047],[8.766607766032513e-07]
Train,[-0.019686131674486216],[-0.040709636276467155]
Train,[-0.011715318224531264],[5.282009011917018e-17]
Train,[-0.01511530189867573],[-5.46414725370726e-18]
Train,[-0.015166699708185937],[1.82138241790242e-18]
Train,[-0.017693466930095984],[9.471188573092583e-17]
Train,[-0.06292970442334764],[-9.471188573092583e-17]
Train,[-0.0630529064495505],[1.82138241790242e-18]
Train,[-0.06305291402529341],[5.46414725370726e-18]
Train,[-0.06289535220230812],[1.092829450741452e-17]
Train,[-0.04737151481028581],[-3.64276483580484e-18]
Train,[-0.056310259163773246],[-1.3113953408897423e-16]
Train,[-0.05626918747454987],[-1.092829450741452e-16]
Train,[-0.06027301561204351],[9.1069120895121e-18]
Train,[-0.025955543800867523],[5.282009011917018e-17]
Train,[-0.045743310330685905],[1.82138241790242e-18]
Train,[-0.045698997289539134],[-5.46414725370726e-18]
Train,[-0.05534803284307418],[9.471188573092583e-17]
Train,[-0.02646781671161107],[-0.026621245462551197]
Train,[-0.03985786570048431],[-5.688607871304142e-07]
Train,[-0.03985786570048354],[-5.688607871322355e-07]
Train,[-0.052231813126978],[-0.010823945532928939]
Train,[-0.014896183967376353],[-0.03225642570605386]
Train,[-0.013391347851024606],[7.900587201402797e-05]
Train,[-0.013391347851024549],[7.900587201395693e-05]
Train,[-0.012178236892349694],[-0.01692222211298195]
Train,[-0.021758626081173627],[0.00021839714942577227]
Train,[-0.011967186271422587],[0.03183374883540315]
Train,[-0.017908834283187],[0.020468388897137785]
Train,[-0.020092184667265558],[-0.00022558532345777192]
Train,[-0.014551785112007554],[0.034430140265059306]
Train,[-0.021840749100720286],[-0.00014064887786440584]
