Data,Predicted,Reference
Train,[-0.01504394870891094],[-0.03225818565279794]
Train,[-0.013103176699659035],[-7.769851570889031e-07]
Train,[-0.013103176699657673],[-7.769851570670464e-07]
Train,[-0.012324951034265565],[-0.016908658625533646]
Train,[-0.021977462632728758],[2.147515531627273e-06]
Train,[-0.021070620263879555],[-0.03181998237701682]
Train,[-0.022648563083884386],[-0.020466061799623576]
Train,[-0.020144396605625274],[-2.2178075255649983e-06]
Train,[-0.014725986640378844],[0.034386940850617984]
Train,[-0.022012533332209615],[1.3818615606561856e-06]
Train,[-0.022012540525432528],[1.4598582711141459e-06]
Train,[-0.022426869025806057],[-0.004030206474187189]
Train,[-0.021749624208333304],[-9.471188573092583e-17]
Train,[-0.02204836809923499],[5.46414725370726e-18]
Train,[-0.022048369159548553],[1.82138241790242e-18]
Train,[-0.021742977649172938],[1.092829450741452e-17]
Train,[-0.04070305773524147],[2.1475155316309158e-06]
Train,[-0.04514913900978439],[-0.02046606179962359]
Train,[-0.03717093302064628],[-0.03181998237701695]
Train,[-0.03234816292353073],[-2.2178075256323896e-06]
Train,[-0.03170692958615091],[-0.04557838729447085]
Train,[-0.032477930373813226],[1.820191515441475e-06]
Train,[-0.03247793037381933],[1.8201915155289015e-06]
Train,[-0.008032763646838297],[-0.07587621233758134]
Train,[-0.009471809695238146],[-4.1009506176001475e-06]
Train,[-0.013029991384294696],[0.03502305871878561]
Train,[-0.010222971843172932],[0.04596011552868171]
Train,[-0.03146282153819642],[2.452425396471171e-06]
Train,[-0.008983001649920743],[-3.64276483580484e-18]
Train,[-0.018806414334709937],[-1.092829450741452e-16]
Train,[-0.01856169974525173],[-1.3113953408897423e-16]
Train,[-0.030051942005557927],[9.1069120895121e-18]
Train,[-0.015357215029056506],[0.034386940850618]
Train,[-0.023282789471267818],[1.45985827106679e-06]
Train,[-0.023282781580637242],[1.381861560628865e-06]
Train,[-0.023734118525298963],[-0.004030206474187182]
Train,[-0.01628336145885829],[-4.100950617578291e-06]
Train,[-0.012573397609836758],[0.04596011552868179]
Train,[-0.015469961134613373],[0.035023058718785624]
Train,[-0.0210571326732732],[2.4524253964638855e-06]
Train,[-0.015097586767236186],[-0.04635304026034097]
