Data,Predicted,Reference
Train,[-0.01038064126875714],[-0.03225818565279794]
Train,[-0.00015005632525746292],[-7.769851570889031e-07]
Train,[-0.00015005632526125868],[-7.769851570670464e-07]
Train,[-0.017925760994588077],[-0.016908658625533646]
Train,[0.009051644726001545],[2.147515531627273e-06]
Train,[-0.008463106760891015],[-0.03181998237701682]
Train,[-0.005453409706856543],[-0.020466061799623576]
Train,[0.008901362978589365],[-2.2178075255649983e-06]
Train,[-0.015465205807400977],[0.034386940850617984]
Train,[0.009296483360372436],[1.3818615606561856e-06]
Train,[0.0092103417056409],[1.4598582711141459e-06]
Train,[-0.003056648516195704],[-0.004030206474187189]
Train,[-0.005680378926059564],[-9.471188573092583e-17]
Train,[-0.010213825757525226],[5.46414725370726e-18]
Train,[-0.014586667272877163],[1.82138241790242e-18]
Train,[-0.007937727768035344],[1.092829450741452e-17]
Train,[0.0001175406418565939],[2.1475155316309158e-06]
Train,[-0.011723024323080354],[-0.02046606179962359]
Train,[-0.012103153336510814],[-0.03181998237701695]
Train,[-0.0011791162154527598],[-2.2178075256323896e-06]
Train,[-0.008767389340154601],[-0.04557838729447085]
Train,[0.0015376964384176469],[1.820191515441475e-06]
Train,[0.0015376964383872372],[1.8201915155289015e-06]
Train,[-0.003614176220181935],[-0.07587621233758134]
Train,[0.003577219194495099],[-4.1009506176001475e-06]
Train,[-0.003650663738628905],[0.03502305871878561]
Train,[0.0019183825753238209],[0.04596011552868171]
Train,[0.0015643950099689268],[2.452425396471171e-06]
Train,[-0.019013803916996894],[-3.64276483580484e-18]
Train,[-0.00917990652656508],[-1.092829450741452e-16]
Train,[-0.008672609070113786],[-1.3113953408897423e-16]
Train,[-0.006128018071670375],[9.1069120895121e-18]
Train,[-0.015462180659409219],[0.034386940850618]
Train,[0.009568567442518529],[1.45985827106679e-06]
Train,[0.009651301017814428],[1.381861560628865e-06]
Train,[-0.0027097170415407573],[-0.004030206474187182]
Train,[0.005590697433983314],[-4.100950617578291e-06]
Train,[-0.019045425183634685],[0.04596011552868179]
Train,[-0.014070757183533313],[0.035023058718785624]
Train,[0.009170302579480266],[2.4524253964638855e-06]
Train,[-0.014889167067597691],[-0.04635304026034097]
Train,[0.005134286531167466],[8.766607765741092e-07]
Train,[0.0051342865311682605],[8.766607766032513e-07]
Train,[-0.009674774707482119],[-0.040709636276467155]
Train,[-0.02461722343732254],[5.282009011917018e-17]
Train,[-0.02051364919999422],[-5.46414725370726e-18]
Train,[-0.020773999286486],[1.82138241790242e-18]
Train,[-0.012990235065826842],[9.471188573092583e-17]
Train,[0.001505657297212183],[-9.471188573092583e-17]
Train,[-0.007305995431728314],[1.82138241790242e-18]
Train,[-0.0028016831995638486],[5.46414725370726e-18]
Train,[-0.0009628564906796082],[1.092829450741452e-17]
Train,[0.0034268470703430185],[-3.64276483580484e-18]
Train,[0.005222313458725709],[-1.3113953408897423e-16]
Train,[0.004943340386156419],[-1.092829450741452e-16]
Train,[0.000372079123827844],[9.1069120895121e-18]
Train,[-0.0015968740833609547],[5.282009011917018e-17]
Train,[0.002834708448114162],[1.82138241790242e-18]
Train,[0.0032188382740442447],[-5.46414725370726e-18]
Train,[0.005098277241636862],[9.471188573092583e-17]
Train,[-0.014958597138094965],[-0.026621245462551197]
Train,[-0.00883878678330374],[-5.688607871304142e-07]
Train,[-0.008838786783297095],[-5.688607871322355e-07]
Train,[-0.017858937652582195],[-0.010823945532928939]
Train,[-0.010368233601822],[-0.03225642570605386]
Train,[-0.0008676932046506743],[7.900587201402797e-05]
Train,[-0.0008676932046504212],[7.900587201395693e-05]
Train,[-0.017814982638616864],[-0.01692222211298195]
Train,[0.004015725033637391],[0.00021839714942577227]
Train,[-0.015097008707009469],[0.03183374883540315]
Train,[-0.00914816287711659],[0.020468388897137785]
Train,[0.004429623314921141],[-0.00022558532345777192]
Train,[-0.015478256825124475],[0.034430140265059306]
Train,[0.004671708640849581],[-0.00014064887786440584]
Train,[0.0044720268733914135],[-0.00014859676587885906]
Train,[-0.0030736578917437275],[-0.004036594411177927]
Train,[-0.004734773989301107],[-1.4753197585009603e-16]
Train,[-0.007622073985357967],[2.185658901482904e-17]
Train,[-0.009035751213087008],[1.457105934321936e-17]
Train,[-0.007332953811137809],[1.639244176112178e-17]
Train,[-0.005690229220964534],[0.0002183971494257249]
Train,[-0.012529335816988526],[0.020468388897137844]
Train,[-0.016732902968118208],[0.03183374883540315]
Train,[-0.007470151842970238],[-0.00022558532345770454]
Train,[-0.008820226107813684],[-0.04565742741386274]
Train,[-0.00328167468293474],[-0.00018499056409219296]
Train,[-0.003281674682934432],[-0.00018499056409211466]
Train,[-0.0038202445989368476],[-0.07587345187227598]
Train,[0.0009370249130231391],[-0.000417703483878227]
Train,[-0.009861156776380926],[-0.03506887734551717]
Train,[-0.008638880791862235],[-0.04598491259983777]
Train,[-0.0031971072264401776],[0.00024937868650868835]
Train,[-0.01880739393867682],[-1.274967692531694e-17]
Train,[-0.008757629459314775],[1.5117474068590086e-16]
Train,[-0.008117585847873735],[1.9853068355136378e-16]
Train,[-0.0038060691231937213],[-4.371317802965808e-17]
Train,[-0.015475415073876776],[0.034430140265059465]
Train,[0.004906500485527664],[-0.0001485967658787516]
Train,[0.005106051590079042],[-0.00014064887786438763]
Train,[-0.0027191575895620075],[-0.00403659441117794]
Train,[0.001896070615982809],[-0.00041770348387830354]
Train,[-0.010039860628278375],[-0.04598491259983788]
Train,[-0.007595675040979526],[-0.03506887734551722]
Train,[0.0045330151111111295],[0.00024937868650867014]
Train,[-0.014945106178750861],[-0.04642098563854254]
Train,[0.0032621235423247836],[-8.929989840338444e-05]
Train,[0.003262123542324226],[-8.92998984034318e-05]
Train,[-0.009679020924453387],[-0.04070587366488182]
Train,[-0.024367826119915864],[8.742635605931616e-17]
Train,[-0.018897899776400176],[-3.096350110434114e-17]
Train,[-0.01941605252514981],[-2.367797143273146e-17]
Train,[-0.012455667060077261],[1.274967692531694e-16]
Train,[0.0021754296592456316],[-1.4753197585009603e-16]
Train,[-0.0017956055801903483],[1.457105934321936e-17]
Train,[-0.0005921249826674882],[2.185658901482904e-17]
Train,[-0.0005051948583992829],[1.639244176112178e-17]
Train,[0.0038319765905192125],[-1.274967692531694e-17]
Train,[0.00558454120391296],[1.9853068355136378e-16]
Train,[0.0052642222263224485],[1.5117474068590086e-16]
Train,[0.0023984335439259444],[-4.371317802965808e-17]
Train,[-0.0014553245463164634],[8.742635605931616e-17]
Train,[0.0043608402267025425],[-2.367797143273146e-17]
Train,[0.004705540951491935],[-3.096350110434114e-17]
Train,[0.005377655814354403],[1.274967692531694e-16]
Train,[-0.014861437608288505],[-0.026634468268519597]
Train,[-0.014550913679763293],[5.783038463533851e-05]
Train,[-0.014550913679763305],[5.7830384635351266e-05]
Train,[-0.017841688097257898],[-0.010832636499721451]
Train,[-0.010383219062376978],[-0.032258451158275296]
Train,[-0.00017226354375768507],[-1.3271416039564208e-05]
Train,[-0.00017226354375851562],[-1.3271416039666206e-05]
Train,[-0.017949606238065286],[-0.016905929475836967]
Train,[0.006490839253344588],[3.667982742938658e-05]
Train,[-0.008461472546511755],[-0.03181689782676138]
Train,[-0.005450893304055221],[-0.020465344205368968]
Train,[0.006689713671668265],[-3.7879038950043834e-05]
Train,[-0.015462453833055884],[0.03437783697126322]
Train,[0.006911612469731511],[2.359828106542327e-05]
Train,[0.006760441555214341],[2.4929931815233868e-05]
Train,[-0.003053039077544796],[-0.004028753092825896]
Train,[-0.005850912219060354],[-8.19622088056089e-17]
Train,[-0.007008520939303516],[1.82138241790242e-17]
Train,[-0.00789142182884859],[1.274967692531694e-17]
Train,[-0.008507984073870283],[7.28552967160968e-18]
Train,[-0.003498097930463406],[3.667982742931737e-05]
Train,[-0.011724174323041493],[-0.02046534420536899]
Train,[-0.012090910886987823],[-0.031816897826761434]
Train,[-0.005036847214746769],[-3.787903895011487e-05]
Train,[-0.008756457475814704],[-0.045562209296626306]
Train,[-0.0013661696208584599],[3.1093243300779163e-05]
Train,[-0.001366169620856748],[3.1093243300713596e-05]
Train,[-0.003571813259863443],[-0.07587647421210354]
Train,[0.002383794626649129],[-7.002230991633843e-05]
Train,[-0.003647086531158933],[0.03501319319465092]
Train,[0.0019389060783426978],[0.04595459277084304]
Train,[-0.0012786687522953265],[4.188850986001449e-05]
Train,[-0.017325608563390403],[1.639244176112178e-17]
Train,[-0.009329813472122153],[-9.471188573092583e-17]
Train,[-0.008763675433100467],[-1.1656847474575488e-16]
Train,[-0.003238236565300628],[3.824903077595082e-17]
Train,[-0.015459391174907581],[0.034377836971263155]
Train,[0.007171482636675981],[2.4929931815233868e-05]
Train,[0.00732090125864652],[2.3598281065485193e-05]
Train,[-0.002707655317003374],[-0.004028753092825932]
Train,[0.00397965158161901],[-7.002230991629472e-05]
Train,[-0.019045912179922055],[0.04595459277084304]
Train,[-0.014068830770130719],[0.035013193194650974]
Train,[0.006928526954769017],[4.188850985993799e-05]
Train,[-0.014877667627137778],[-0.04633911749680126]
Train,[0.004522268894368167],[1.496840694527187e-05]
Train,[0.0045222688943678795],[1.496840694528462e-05]
Train,[-0.009673853111817461],[-0.040710207897740124]
Train,[-0.024599949062918857],[5.282009011917018e-17]
Train,[-0.01847507481044647],[-2.914211868643872e-17]
Train,[-0.018774759780051855],[-2.549935385063388e-17]
Train,[-0.013320424156346761],[7.649806155190164e-17]
Train,[0.0013837215834993568],[-8.19622088056089e-17]
Train,[-0.000760440714981491],[1.274967692531694e-17]
Train,[-2.988261526185351e-05],[1.82138241790242e-17]
Train,[-0.0014384956794162042],[7.28552967160968e-18]
Train,[0.00482182291287801],[1.639244176112178e-17]
Train,[0.005154788394497073],[-1.1656847474575488e-16]
Train,[0.004836562162046742],[-9.471188573092583e-17]
Train,[0.002749863686747714],[3.824903077595082e-17]
Train,[-0.001579509247900466],[5.282009011917018e-17]
Train,[0.004719221308434457],[-2.549935385063388e-17]
Train,[0.004879541390837423],[-2.914211868643872e-17]
Train,[0.004925396637466969],[7.649806155190164e-17]
Train,[-0.014979343611531906],[-0.026618455211376083]
Train,[-0.01236723175504949],[-9.716962955821612e-06]
Train,[-0.012367231755050884],[-9.716962955823433e-06]
Train,[-0.01786266450628147],[-0.010822185141719742]
Train,[-0.010313557162662789],[-0.03225291592097013]
