Data,Predicted,Reference
Train,[-0.012612191638411157],[-0.03225818565279794]
Train,[0.00558543186440297],[-7.769851570889031e-07]
Train,[0.0055854318644104235],[-7.769851570670464e-07]
Train,[-0.013367811638660345],[-0.016908658625533646]
Train,[0.007777241258553306],[2.147515531627273e-06]
Train,[-0.009775961698152228],[-0.03181998237701682]
Train,[-0.006679405479515417],[-0.020466061799623576]
Train,[0.007700172298593055],[-2.2178075255649983e-06]
Train,[-0.01795501956836219],[0.034386940850617984]
Train,[0.008159484000508503],[1.3818615606561856e-06]
Train,[0.008022513414438362],[1.4598582711141459e-06]
Train,[-0.004752890913881659],[-0.004030206474187189]
Train,[0.0009272958191164749],[-9.471188573092583e-17]
Train,[-0.0035482291371005297],[5.46414725370726e-18]
Train,[-0.00978412875758387],[1.82138241790242e-18]
Train,[0.00046492477679320904],[1.092829450741452e-17]
Train,[-0.0005463208739948544],[2.1475155316309158e-06]
Train,[-0.018584681537132768],[-0.02046606179962359]
Train,[-0.019497096921479832],[-0.03181998237701695]
Train,[-0.015335357547732315],[-2.2178075256323896e-06]
Train,[-0.010369370188092763],[-0.04557838729447085]
Train,[0.017315051757829106],[1.820191515441475e-06]
Train,[0.01731505175778153],[1.8201915155289015e-06]
Train,[-0.01095079376992346],[-0.07587621233758134]
Train,[0.019133210192688904],[-4.1009506176001475e-06]
Train,[-0.005006052785376546],[0.03502305871878561]
Train,[-0.004393675992765912],[0.04596011552868171]
Train,[0.017651647363013744],[2.452425396471171e-06]
Train,[-0.006990659167564252],[-3.64276483580484e-18]
Train,[0.007243406663436904],[-1.092829450741452e-16]
Train,[0.0080830910188445],[-1.3113953408897423e-16]
Train,[0.006610609014889498],[9.1069120895121e-18]
Train,[-0.018101830550277646],[0.034386940850618]
Train,[0.008134813785570221],[1.45985827106679e-06]
Train,[0.008269092532916161],[1.381861560628865e-06]
Train,[-0.004474401710247137],[-0.004030206474187182]
Train,[0.003704046086953676],[-4.100950617578291e-06]
Train,[-0.018784369377066682],[0.04596011552868179]
Train,[-0.01292825937348625],[0.035023058718785624]
Train,[0.0072477637796231715],[2.4524253964638855e-06]
Train,[-0.014199856660481736],[-0.04635304026034097]
Train,[0.003544008598389618],[8.766607765741092e-07]
Train,[0.003544008598383917],[8.766607766032513e-07]
Train,[-0.009071349769541132],[-0.040709636276467155]
Train,[-0.01105435423595287],[5.282009011917018e-17]
Train,[-0.012573755907324175],[-5.46414725370726e-18]
Train,[-0.012839935510156697],[1.82138241790242e-18]
Train,[-0.00783447283856769],[9.471188573092583e-17]
Train,[0.004022430483208636],[-9.471188573092583e-17]
Train,[-0.0019450847265486103],[1.82138241790242e-18]
Train,[0.004311389544613318],[5.46414725370726e-18]
Train,[0.011697566096242782],[1.092829450741452e-17]
Train,[-0.008265591056444824],[-3.64276483580484e-18]
Train,[-0.008346797419185007],[-1.3113953408897423e-16]
Train,[-0.008299982103089612],[-1.092829450741452e-16]
Train,[-0.00639813913200258],[9.1069120895121e-18]
Train,[-0.00857038966854105],[5.282009011917018e-17]
Train,[-0.007967862289505656],[1.82138241790242e-18]
Train,[-0.008097592653192561],[-5.46414725370726e-18]
Train,[-0.00858419570908849],[9.471188573092583e-17]
Train,[-0.020439358733243807],[-0.026621245462551197]
Train,[-0.022115391633670402],[-5.688607871304142e-07]
Train,[-0.022115391633664605],[-5.688607871322355e-07]
