Data,Predicted,Reference
Train,[-0.00586887162462917],[-0.03225818565279794]
Train,[0.0028665743898025186],[-7.769851570889031e-07]
Train,[0.0028665743898086747],[-7.769851570670464e-07]
Train,[0.00028519027183067564],[-0.016908658625533646]
Train,[-0.01791477067780445],[2.147515531627273e-06]
Train,[-0.016187111949072748],[-0.03181998237701682]
Train,[-0.019727064500280212],[-0.020466061799623576]
Train,[-0.014194632117950055],[-2.2178075255649983e-06]
Train,[-0.000584884661873905],[0.034386940850617984]
Train,[-0.017982295002342847],[1.3818615606561856e-06]
Train,[-0.017982363677301456],[1.4598582711141459e-06]
Train,[-0.019172374599036417],[-0.004030206474187189]
Train,[-0.017478502843946638],[-9.471188573092583e-17]
Train,[-0.018051576331144986],[5.46414725370726e-18]
Train,[-0.018051580319753083],[1.82138241790242e-18]
Train,[-0.0174736437354011],[1.092829450741452e-17]
Train,[0.013435549204854067],[2.1475155316309158e-06]
Train,[0.010757690605975196],[-0.02046606179962359]
Train,[0.013835768866250332],[-0.03181998237701695]
Train,[0.01591168139849571],[-2.2178075256323896e-06]
Train,[0.0107925957742639],[-0.04557838729447085]
Train,[0.015896135098521506],[1.820191515441475e-06]
Train,[0.015896135098516218],[1.8201915155289015e-06]
Train,[-0.012142697073024235],[-0.07587621233758134]
Train,[0.015514235281939287],[-4.1009506176001475e-06]
Train,[0.011326339824030723],[0.03502305871878561]
Train,[-0.006609112374358185],[0.04596011552868171]
Train,[0.016094303755102603],[2.452425396471171e-06]
Train,[0.011780161484559246],[-3.64276483580484e-18]
Train,[0.01667258338992734],[-1.092829450741452e-16]
Train,[0.016833202715627008],[-1.3113953408897423e-16]
Train,[0.015501400272042345],[9.1069120895121e-18]
Train,[-0.0005234069769191733],[0.034386940850618]
Train,[-0.019041142876686908],[1.45985827106679e-06]
Train,[-0.019041070397326616],[1.381861560628865e-06]
Train,[-0.020303619207879972],[-0.004030206474187182]
Train,[-0.0037533013489182716],[-4.100950617578291e-06]
Train,[-0.0013945727270741558],[0.04596011552868179]
Train,[-0.0048111578404906475],[0.035023058718785624]
Train,[-0.01459187018471973],[2.4524253964638855e-06]
Train,[-0.004709943936296264],[-0.04635304026034097]
Train,[-0.0022753833248235636],[8.766607765741092e-07]
Train,[-0.0022753833248347613],[8.766607766032513e-07]
Train,[-0.013473755244768185],[-0.040709636276467155]
Train,[0.006710333924609826],[5.282009011917018e-17]
Train,[-0.001988901059361462],[-5.46414725370726e-18]
Train,[-0.002209206565224921],[1.82138241790242e-18]
Train,[-0.007552591386395127],[9.471188573092583e-17]
Train,[-0.04316603887990874],[-9.471188573092583e-17]
Train,[-0.04236708008734329],[1.82138241790242e-18]
Train,[-0.04236709716844747],[5.46414725370726e-18]
Train,[-0.043126860004580214],[1.092829450741452e-17]
Train,[-0.05046889878454283],[-3.64276483580484e-18]
Train,[-0.05259191020893186],[-1.3113953408897423e-16]
Train,[-0.052345116451835254],[-1.092829450741452e-16]
Train,[-0.04767131932579322],[9.1069120895121e-18]
Train,[-0.03986473546956946],[5.282009011917018e-17]
Train,[-0.049487504623140915],[1.82138241790242e-18]
Train,[-0.04994264599168896],[-5.46414725370726e-18]
Train,[-0.05268303652461001],[9.471188573092583e-17]
Train,[-0.020983892298519047],[-0.026621245462551197]
Train,[-0.0532098367105129],[-5.688607871304142e-07]
Train,[-0.05320983671051611],[-5.688607871322355e-07]
Train,[-0.041344200039603186],[-0.010823945532928939]
Train,[-0.005892615830412239],[-0.03225642570605386]
Train,[0.0007918533743252129],[7.900587201402797e-05]
Train,[0.0007918533743254387],[7.900587201395693e-05]
Train,[0.000268377372074551],[-0.01692222211298195]
Train,[-0.017823057376279424],[0.00021839714942577227]
Train,[0.0042531248091379125],[0.03183374883540315]
Train,[-0.009018700871065707],[0.020468388897137785]
Train,[-0.014628708716671069],[-0.00022558532345777192]
Train,[-0.0005829575583985038],[0.034430140265059306]
Train,[-0.01799919681622002],[-0.00014064887786440584]
Train,[-0.018006356023686373],[-0.00014859676587885906]
Train,[-0.01913713907323878],[-0.004036594411177927]
Train,[-0.01742193519317709],[-1.4753197585009603e-16]
Train,[-0.0180114992509816],[2.185658901482904e-17]
Train,[-0.01801149930093223],[1.457105934321936e-17]
Train,[-0.017434773071028656],[1.639244176112178e-17]
Train,[0.012588695662841803],[0.0002183971494257249]
Train,[0.015540266217815133],[0.020468388897137844]
Train,[-0.009598117865148255],[0.03183374883540315]
Train,[0.014116312204753737],[-0.00022558532345770454]
Train,[0.010139906954928057],[-0.04565742741386274]
Train,[0.014152242839849477],[-0.00018499056409219296]
Train,[0.01415224283984958],[-0.00018499056409211466]
Train,[-0.01209150082268817],[-0.07587345187227598]
Train,[0.012609222566967133],[-0.000417703483878227]
Train,[0.00872517677614879],[-0.03506887734551717]
Train,[0.009885218073751515],[-0.04598491259983777]
Train,[0.014318854810312977],[0.00024937868650868835]
Train,[0.011791328915878321],[-1.274967692531694e-17]
Train,[0.016425915379725636],[1.5117474068590086e-16]
Train,[0.01662316652514481],[1.9853068355136378e-16]
Train,[0.015422383421654128],[-4.371317802965808e-17]
Train,[-0.0005189834488713926],[0.034430140265059465]
Train,[-0.019090426359909166],[-0.0001485967658787516]
Train,[-0.019082812192384658],[-0.00014064887786438763]
Train,[-0.020291640882508222],[-0.00403659441117794]
Train,[-0.005526692640876317],[-0.00041770348387830354]
Train,[-0.013057216995363408],[-0.04598491259983788]
Train,[-0.014996273453398332],[-0.03506887734551722]
Train,[-0.014967800096049793],[0.00024937868650867014]
Train,[-0.004651126067646509],[-0.04642098563854254]
Train,[-0.0038018247327610472],[-8.929989840338444e-05]
Train,[-0.003801824732761353],[-8.92998984034318e-05]
Train,[-0.013447270556527786],[-0.04070587366488182]
Train,[0.007161620782357868],[8.742635605931616e-17]
Train,[-0.0009720892329798232],[-3.096350110434114e-17]
Train,[-0.0012267981189451257],[-2.367797143273146e-17]
Train,[-0.007430024247830845],[1.274967692531694e-16]
Train,[-0.04361710298479944],[-1.4753197585009603e-16]
Train,[-0.04278593631103247],[1.457105934321936e-17]
Train,[-0.04278593652479675],[2.185658901482904e-17]
Train,[-0.04354948552228702],[1.639244176112178e-17]
Train,[-0.05101612354271486],[-1.274967692531694e-17]
Train,[-0.053153131770010555],[1.9853068355136378e-16]
Train,[-0.052858474432546744],[1.5117474068590086e-16]
Train,[-0.04878716617746136],[-4.371317802965808e-17]
Train,[-0.03986873385194192],[8.742635605931616e-17]
Train,[-0.051476152329297614],[-2.367797143273146e-17]
Train,[-0.051997416421553956],[-3.096350110434114e-17]
Train,[-0.05316203763042279],[1.274967692531694e-16]
Train,[-0.020517461278722917],[-0.026634468268519597]
Train,[-0.04961776127960268],[5.783038463533851e-05]
Train,[-0.0496177612796027],[5.7830384635351266e-05]
Train,[-0.04160681359583732],[-0.010832636499721451]
Train,[-0.005863984173690776],[-0.032258451158275296]
Train,[0.0017761035246516119],[-1.3271416039564208e-05]
Train,[0.0017761035246500198],[-1.3271416039666206e-05]
Train,[0.0002885779179964084],[-0.016905929475836967]
Train,[-0.01791794868826752],[3.667982742938658e-05]
Train,[-0.016193151713820325],[-0.03181689782676138]
Train,[-0.01973429157468815],[-0.020465344205368968]
Train,[-0.014421895962806072],[-3.7879038950043834e-05]
Train,[-0.0005853972518848538],[0.03437783697126322]
Train,[-0.01798582714984928],[2.359828106542327e-05]
Train,[-0.01798484532508928],[2.4929931815233868e-05]
Train,[-0.01917969967613302],[-0.004028753092825896]
Train,[-0.01749013578779977],[-8.19622088056089e-17]
Train,[-0.01805994986765628],[1.82138241790242e-17]
Train,[-0.01805995057845651],[1.274967692531694e-17]
Train,[-0.01748536145819811],[7.28552967160968e-18]
Train,[0.013599137758492221],[3.667982742931737e-05]
Train,[0.010950921493075395],[-0.02046534420536899]
Train,[0.013996372159758557],[-0.031816897826761434]
Train,[0.015487768275323954],[-3.787903895011487e-05]
Train,[0.010926808500920511],[-0.045562209296626306]
Train,[0.01549895483343101],[3.1093243300779163e-05]
Train,[0.015498954833431371],[3.1093243300713596e-05]
Train,[-0.012152772258318975],[-0.07587647421210354]
Train,[0.014191121962247043],[-7.002230991633843e-05]
Train,[0.011383172348800026],[0.03501319319465092]
